freq,longitude,latitude
1,8.86783095,54.97934547,"Abildgård  <br> Abild <br> Sølsted"
4,9.6512351,56.81585346,"Sønderup <br> Rodsted <br> Sønderup Himmerlan <br> Sønderup Himmerland"
1,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
2,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
1,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
2,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
3,12.13567382,54.89973258,"Dame <br> Fanefjord <br> Grønsund"
1,9.01054031,56.4920081,"Åkjær  <br> Iglsø <br> Fly hede <br> Flyv. Skive <br> Åkjær Fly ved Skive <br> Fly ved Skive"
1,9.79005515,56.40882276,"Ulstrup  <br> Grøndal"
3,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
1,8.36724634,55.57513827,"Hostrup <br> Kravens"
4,8.3699163,55.6223361,"Elkjær slot <br> Hylderslev <br> Jandrup <br> Jandrup å <br> St.-Hebo <br> Janderup <br> Janderup Varde"
1,8.33130981,55.6159675,"Billum <br> Kjelst <br> Tarp <br> Billum Varde <br> Billum ved Varde <br> Hannevang Billum ved Varde <br> Kjelst ved Varde"
1,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,9.92621509,57.07193063,Nørre-Sundby
2,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
2,9.39525444,56.37789782,"Almind <br> Tåstrup hede"
1,10.28886161,56.75487617,"Als <br> Hurup <br> Kragelund <br> Tofte <br> Als, Sønderborg amt <br> Toftegård <br> Hurup Himmerland <br> Hurup Salling"
3,8.97059326,56.52697157,"Estvad <br> Estvadgård <br> Estvadgårds hede <br> Flyndergårde <br> Flyndersø mølle <br> Estvad Skive <br> Estvad ved Skive"
4,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
1,9.23692909,55.48401691,Andst
2,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
1,9.50846948,56.80216045,Års
2,8.52353886,56.89543114,"Årup <br> Bjærgsted <br> Elsted <br> Snedsted <br> Elsted Snedsted <br> Snedsted Ty"
1,8.49454284,56.87033328,Hørsted
1,9.43281814,56.44333188,"Asmild kloster <br> Brunshåb <br> Overlund <br> Rindsholm <br> Stof sø"
4,9.37836463,56.45780394,"Blærup sø <br> Borgvold <br> Margretelund <br> Viborg <br> Viborg mark <br> Viborg sø <br> Nordmandsdal <br> Gammel-Asmild Viborg <br> Viborg Vestermark <br> Viborg <br> Viborg Mark"
1,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
3,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
3,9.35986674,55.11536159,"Brudepøt <br> Andholm <br> Fårhus kro <br> Gjenner <br> Gjenner hule <br> Haverslund <br> Kopsholt <br> Lerskov <br> Lerskov plantage <br> Nørre-Hjarup <br> Øster-Løgum <br> Gjenner Åbenrå <br> Gjenner Sønderjylland <br> Gjenner ved Aabenraa <br> Gjenner ved Åbenrå <br> Leerskov <br> Leerskov ved Aabenr"
5,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
2,9.1999361,55.52522839,"Brotten sø <br> Gjesten <br> Revsing hede <br> Revsing sø <br> Revsing"
1,11.73604851,54.69654826,"Frejlev <br> Kibæk"
1,12.08563216,54.84845785,"Åstrup <br> Moseby <br> Vejringe"
5,9.52098813,56.18420884,"Balle <br> Dronningsholm <br> Gub sø <br> Vester-Kejlstrup <br> Hvinningdal"
2,9.46495051,56.20785556,"Sinding <br> Biskov <br> Sinding-Østergård <br> Sinding ved Silkeborg"
1,9.27989612,56.14515128,"Agerskov <br> Bording <br> Nørlund <br> Ravnholt <br> Bording mølle <br> Agerskov Bording ved Herning <br> Munklinde ved Herning"
4,9.40914342,56.19449478,"Kragelund <br> Bølling sø <br> Charlottenlund <br> Charlottenlund skov <br> Hjøllund <br> Kragelund Dam <br> Kragelund skov <br> Mellem-Frederiksdal <br> Stenholt <br> Refshale <br> Refshale Kragelund <br> Refshalegård Kragelund"
3,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
3,10.03387302,57.51267197,"Bjærgby <br> Snævre <br> Bjærgby Hjørring <br> Bjærgby ved Hjørring"
1,8.73114513,56.8682726,"Bjærgby <br> Gullerup <br> Havredalshus <br> Bjærgby Mors <br> Bjærgby Vendsyssel"
1,11.34973579,55.66575769,Bjærgsted
1,11.62415043,55.66339984,"Rejstrup <br> Nørre-Jærnløse"
1,11.6609647,54.87284723,"Sjællands odde"
2,11.57298336,55.29786289,"Eskildstrup <br> Hjelmsømagle <br> Horstofte <br> Sneslev"
2,9.8071931,57.15011259,"Bjærgsted <br> Balbuneshøj <br> Bjørnkjær skov <br> Nørr-Halne"
7,9.87513313,55.82054042,"Boller <br> Ut"
1,9.86197942,55.85797729,"Horsens egn <br> Horsens"
4,8.75039165,56.40578678,"Borbjærg <br> Risum <br> Skave <br> Trabjærg <br> Abildholt <br> Store-Hessel <br> Borbjærg ved Holstebro <br> Trabjærg ved Holstebro"
3,8.78630415,56.52065512,"Egebjærg <br> Ejsing <br> Landting <br> Ejsing ved Vinderup"
18,9.65366138,55.88982838,"Boring <br> Hornum <br> Hvirring <br> Kodallund <br> Rask <br> Rask mølle <br> Rask skov <br> Skejby <br> Trebjærg <br> Boring ved Horsens <br> Kodallund Hvirring Horsens <br> Kodallund Hvirring ved Horsens <br> Rask mølle ved Horsens <br> Raskmølle ved Horsens <br> Trebjærg Tamdrup Horsens <br> Treb"
1,9.25474788,56.486222,"Borris <br> Mosegård Sparkjær"
1,10.6075345,55.02150072,Bregninge
2,9.6598159,55.65100588,"Brejning <br> Brøndsted mølle <br> Hvilsbjærggård <br> Åkjær skov <br> Andkjær <br> Andkjær skov <br> Gaverslund <br> Vunsvad <br> Andkjær Børko <br> Andkjær ved Børkop"
1,8.91775704,56.58922585,"Brøndum <br> Brøndum, Lille-  <br> Retrup <br> Brøndum Salling"
1,10.6586365,55.51612464,"Dalby <br> Dalby, Lille-  <br> Skelenborg <br> Dalby friskole Hindsholmen <br> Dalby Fyen <br> Dalby Hindsholm <br> Dalby Hindsholmen <br> Hersnab Hindsholmen <br> Hindsholmen"
1,8.21046211,56.48868136,"Ramme <br> Ramme dige <br> Rammegård"
6,9.78611904,56.16882659,"Dallerup <br> Langvad <br> Tovstrup  <br> Dallerup sø <br> Soning <br> Tovstrup Silkeborg"
3,9.81101498,56.1519176,"Kalbygård <br> Låsby <br> Æsholt <br> Flensted <br> Kilsgård <br> Låsby høj <br> Låsby ved Silkeborg"
