freq,longitude,latitude
3,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
3,9.78978849,56.3168746,"Ajt <br> Mondrup <br> Tungelund <br> Ajdt Lavrbjærg"
2,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
1,9.39525444,56.37789782,"Almind <br> Tåstrup hede"
2,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
1,9.8414759,54.96362819,Als
1,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
1,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
1,10.00194886,55.89344365,"Ås <br> Toftum <br> Tyrrestrup <br> Bringsted <br> Søvind <br> Torupvolde <br> Vorsø <br> Vorsø Kalv <br> Ås Tvingstrup <br> Ås ved Horsens <br> Ås ved Tvingstrup"
1,9.92891517,56.54533545,"Asferg <br> Ejstrup <br> Ashøj"
1,11.4970398,55.81491731,"Asnæs <br> Høve <br> Tolsager"
1,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
1,9.87184612,55.35964882,"Brænderup <br> N-Aby"
2,10.09670998,55.5001816,"Egelund <br> Hårslev <br> Padersø <br> Padersø-høl"
1,9.91719629,55.46591138,"Indslev <br> Bubøl <br> Gremmelykke <br> Kjærbyholm"
1,9.80011611,55.46035275,"Gamborg <br> Gamborg Fjord <br> Gamborg slot <br> Svinø"
2,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
4,8.98817125,56.76991976,"Åsted <br> Østergård <br> Åsted skov <br> Sæbygårds mølle <br> Sallingborg <br> Aasted Salling <br> Åsted Salling <br> Risum Åsted"
2,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
3,9.63964619,56.89998491,"Åstrup <br> Byrsted <br> Kirketerp <br> Veggerby"
1,8.82771692,55.57328956,Åstrup
3,8.58734506,56.4491865,"Avsumgård <br> Vejrum <br> Kvistgård <br> Skikkild hede <br> Tipsmark <br> Vejrum ved Struer"
