freq,longitude,latitude
1,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
8,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.71390405,57.06848707,"Lykkegård <br> Birkumgård <br> Gjøl <br> Gjøl bjærg <br> Gjøl vejle <br> Haven"
1,9.736462,57.159892,Åbybro
1,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
3,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,9.8414759,54.96362819,Als
11,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
1,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
2,12.62629466,55.62123328,"Amager <br> Amager Fiskerleje <br> Amagerbro København"
1,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
1,8.98848366,56.01340869,"Arnborg <br> Hjøllund høj <br> Arnebjærg, Nørre-Hjarup Mark"
1,9.50846948,56.80216045,Års
13,10.00194886,55.89344365,"Ås <br> Toftum <br> Tyrrestrup <br> Bringsted <br> Søvind <br> Torupvolde <br> Vorsø <br> Vorsø Kalv <br> Ås Tvingstrup <br> Ås ved Horsens <br> Ås ved Tvingstrup"
2,10.31198874,56.62719342,Sødring
6,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
1,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
2,10.31384379,57.48321395,"Åsted <br> Dværgtved <br> Skjørbæks hede <br> Skjørtholt <br> St.-Spanghede <br> Tolne"
1,10.40685789,57.44038976,"Åsted <br> Kvissel <br> Åsted ved Frederikshavn <br> Kvissel <br> Kvissel Vendsyssel <br> Skjørtholt ved Frederikshavn"
7,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
15,9.06787969,56.69700668,"Astrup <br> Eskjær  <br> Mogenstrup <br> Nørgård <br> Rærup <br> Stovby <br> Breum <br> Breum kilde <br> Breum præstegård <br> Grinderslev <br> Grinderslev kloster <br> Rerup <br> Slejtrup <br> Vedhøjgård <br> Vejsmark <br> Eskjær skov <br> Astrup i Grinderslev S <br> Mogenstrup Salling <br> Rærup Himmerland"
1,11.87311353,55.63569967,"Åstrup <br> Åstrup skov <br> Kirke-Såby"
1,11.76354234,55.22707239,"Næstved <br> Næstved bugt <br> Næstved"
2,9.67463947,56.78461746,"Åstrup <br> Haverslev <br> Kragelund"
2,8.794384,56.265473,Avlum
6,9.38319082,55.70244629,"Balle <br> Balle mark <br> Bræsten <br> Kjærbølling <br> Lildfrøst <br> Tyrskind <br> Vingsted mølle <br> Balle Bræsten Vejle <br> Bræsten Vejle  <br> Bræsten ved Vejle <br> Bræsten Vejle"
2,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
6,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
1,9.98880571,56.50431637,"Bjærgby <br> Borup <br> Borup ved Hobro"
1,9.8548158,55.78780502,"Bjærge <br> Bjærge egn <br> Øster-Krog. Bjærge <br> Bjærge ved Horsens <br> Nørre-Bjærge ved Horsens"
2,9.8071931,57.15011259,"Bjærgsted <br> Balbuneshøj <br> Bjørnkjær skov <br> Nørr-Halne"
3,10.11557169,57.38471485,"Boller  <br> Sjørup sø <br> Stagsted <br> Svendstrup <br> Tårs <br> Barsholt <br> Hvidstedgård <br> Klarup hede <br> Li <br> Sæsing <br> Sørup sø <br> Tårs bakker <br> Tårs hede <br> Tidemandsholm <br> Vugdrup <br> Hovstrup  <br> Barholdt Vendsyssel <br> Barholt Vendsyssel <br> Barsholt Vendsyssel <br> Dals Møll"
1,8.65055798,55.95891424,"Borris <br> Egvig <br> Røverstuen"
1,9.66542509,55.59473397,"Bredstrup <br> Bregentved <br> Vellinggård <br> Bredstrup ved Fredericia <br> Stallerup ved Fredericia"
1,8.91775704,56.58922585,"Brøndum <br> Brøndum, Lille-  <br> Retrup <br> Brøndum Salling"
2,9.88704892,56.98163851,"Dal <br> Skudshale <br> Povlstrup hede <br> Dal ved Aalborg"
2,9.50583515,55.46759288,"Dalby <br> Strårup"
1,9.27580365,56.53917503,"Dalsgård <br> Revn <br> Ris mølle <br> Tårup <br> Tårupgård <br> Jordbro mølle <br> Borup Fjends herred <br> Knude Fjends herred <br> Ris-mølle Tårup Viborg <br> Taarup ved Sparrekjær"
1,10.36660623,55.36615198,"Dalum <br> Dalum Gård <br> Hjallese <br> Hjallese ved Odense"
2,8.80624546,55.11730256,"Døstrup <br> Dragsted bro <br> Drengsted <br> Gasse høje <br> Vinum <br> Døstrup Sønderjylland"
1,11.99387683,55.83905468,"Dråby <br> Christiansminde <br> Hjortegården <br> Jægerspris <br> Nygårdene <br> Nyvang <br> Skovsøen <br> Smedemose"
4,10.52468885,55.17876846,"Egeskov  <br> Babenshus <br> Dybe mae <br> Kværndrup <br> Søfelde <br> Trunderup <br> Trunderup Dong <br> Kværndrup Fyen <br> Trunderup Fyen"
1,9.54034898,56.89300613,"Ejdrup <br> Halkjær <br> Lovisendal"
3,9.292717,55.984939,"Ejstrup <br> Hedegaard Ejstrup <br> Hedegård Ejstrup <br> Hedegård Ejstrup Nørre-Snede <br> Hedegård Ejstrup Snede <br> Rønslund ved N-Snede"
9,9.34814612,55.81619745,"Givskud <br> Gjæstlunde <br> Harritsø kro <br> Birkebæk"
1,10.22297261,56.24079763,"Elsted <br> Kjærgård"
2,10.53678096,55.28560022,"Eskildstrup <br> Søllinge <br> Tålshave <br> Søllinge Fyen"
1,10.23859857,55.10001559,"Fåborg <br> Fåborg, Fyn"
28,9.30436222,55.71874186,"Engelsholm <br> Gjødding <br> Lille-Lime <br> Nørup <br> Nørup dal <br> Nørup hede <br> Sødover <br> Store-Lime <br> Limskov <br> Abildgård Nørup ved Vejle"
2,11.87018356,55.14565068,"Fårup <br> Hammer <br> Tårup <br> Hammer"
7,11.75351597,55.17756856,"Lindholm <br> Abbenæs <br> Rettestrup. Vejlø <br> Vejlø <br> Vejløgård <br> Gavnø"
3,10.28306119,56.4446316,"Drammelstrup <br> Favsing <br> Hald sø <br> Gl.-Estrup <br> Gl.-Estrup mølle <br> Favsing <br> Favsing ved Randers"
1,8.79464452,56.88904662,"Dråby <br> Flade <br> Salgjerhøj <br> Handklit <br> Nandrup <br> Flade Mors"
1,9.62628252,55.93511271,"Åstrup <br> Fovling <br> Åstruplund"
2,8.78193285,55.93835342,"Felding mose <br> Fruergård <br> Felding lukker <br> Sønder-Felding"
1,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
2,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,9.73981585,56.22900602,"Gjern <br> Norup <br> Gjern bakker <br> Gjern hede <br> Gjern Silkeborg <br> Gjern ved Silkeborg"
1,11.22814319,55.53878322,"Gjørslev <br> Ry <br> Gjørlev <br> Ågård <br> Gjørslev"
1,11.32404229,55.48889218,"Gjerslev <br> Løve <br> Løve ved Slagelse"
