freq,longitude,latitude
2,9.78978849,56.3168746,"Ajt <br> Mondrup <br> Tungelund <br> Ajdt Lavrbjærg"
1,9.73159609,56.11245692,"Alling <br> Bomholt"
4,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
1,10.21049352,56.26873003,"Balle <br> Hårup <br> Skårupgård <br> Grøtrup <br> Todbjærg <br> Kjelds Mose <br> Todbjærg <br> Todbjærg Århus <br> Todbjærg ved Århus"
3,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
7,10.12774216,56.3615738,"Bramstrup <br> Hallendrup <br> Nielstrup <br> Rude <br> Stubdrup"
2,9.57743689,56.37366129,"Brandstrup <br> Skavngård <br> Faldbjærg <br> Skavn sø <br> Vindum <br> Vindum Overgård <br> Brandstrup ved Viborg <br> Fårup Rødkjær <br> Fårup Vindum <br> Fårup Vindum sogn"
1,10.6586365,55.51612464,"Dalby <br> Dalby, Lille-  <br> Skelenborg <br> Dalby friskole Hindsholmen <br> Dalby Fyen <br> Dalby Hindsholm <br> Dalby Hindsholmen <br> Hersnab Hindsholmen <br> Hindsholmen"
1,9.74345719,56.68568787,Døstrup
1,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
1,10.625367,56.392458,Ellehøj
1,10.64962174,56.40887366,"Grattisbro Sivested <br> Skiffard <br> Tøstrup"
1,9.91113631,57.34394957,"Em <br> Vollerup  <br> Em Vendsyssel"
1,10.50362009,57.45082532,"Flade <br> Jegen <br> Knivholt <br> Knivholt hede"
1,8.79464452,56.88904662,"Dråby <br> Flade <br> Salgjerhøj <br> Handklit <br> Nandrup <br> Flade Mors"
1,8.75837319,56.71836133,Ørding
1,8.86226781,56.65591926,"Andrup <br> Ginderup <br> Krejbjærg <br> Humlegård <br> Krejbjærg Salling <br> Sønder-Andrup Salling"
1,9.73981585,56.22900602,"Gjern <br> Norup <br> Gjern bakker <br> Gjern hede <br> Gjern Silkeborg <br> Gjern ved Silkeborg"
1,9.61833913,56.27388691,"Grønbæk <br> Alling kloster <br> Ans <br> Roe <br> Grønbæk Ans <br> Grønbæk v Ans <br> Grønbæk ved Silkeborg"
1,10.11196406,56.55608744,Hald
2,10.09929141,56.2666501,"Hinnerup <br> Gl.-Hinnerup <br> Grundsø <br> Haraldslund"
2,12.4383224,55.28009782,"Højrup <br> Højerup Stevns"
1,10.19824035,56.41384351,"Brattingsborg <br> Hørning <br> Tustrup <br> Fløjstrup"
3,10.03609583,56.08668184,"Hørning <br> Bjertrup <br> Bjertrup dale <br> Bjertrup skov <br> Hørning <br> Hørning Århus"
1,10.93322495,55.15280828,"Hov <br> Dybsig"
1,10.30657345,56.99519175,"Hals <br> Hals ladegård <br> Hals skov <br> Hals"
1,9.93691933,55.99114271,"Båstrup <br> Katrup <br> Brønderup <br> Hjordbjærg <br> Hylke <br> Hylke Banke <br> Nissumgård <br> Rendelev bro <br> Rendelevgård"
1,10.1191493,55.26116322,"Højrup <br> Kjøng <br> Glamsbjærg Mølle"
1,10.02795254,55.26334949,"Øksenbjærg <br> Øksnebjærg <br> Søby sø <br> Kirke-Søby"
2,12.49697944,55.87703196,"Kokkedal <br> Smidstrup <br> Brudebæksgården <br> Rungsted <br> Hørsholm"
1,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
1,9.50899595,57.09430845,"Bratskov <br> Brovst <br> Halvremmen <br> Nørre mølle <br> Nørre-Økse sø <br> Røgild <br> Smårisled <br> Sønder-Økse <br> Brovst Han herred <br> Nørmarks møllegård Brovst Han herred"
1,8.73269709,56.59971085,"Ålbæk <br> Kås <br> Kås skov <br> Lime <br> Kås sø <br> Øster-Hærup <br> Vester-Hærup"
