freq,longitude,latitude
3,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
3,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
6,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
3,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
3,8.69072917,56.70084584,"Albæk <br> Gammellund <br> Øster-Assels"
3,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
4,9.33984522,57.07189252,"Ålegård <br> Hendrik sø. Skræm <br> Skræm"
2,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
3,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
2,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
2,9.41643927,56.75901943,"Årup <br> Fruergård <br> Østrup <br> Vonsild <br> Morum <br> Svoldrup <br> Årup Himmerland <br> Morum Himmerland <br> Vonsild Himmerland"
3,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
2,10.023887,55.746783,Palsgård
1,9.89391897,55.71048336,"Barritskov <br> Bret"
1,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
4,8.98817125,56.76991976,"Åsted <br> Østergård <br> Åsted skov <br> Sæbygårds mølle <br> Sallingborg <br> Aasted Salling <br> Åsted Salling <br> Risum Åsted"
