freq,longitude,latitude
1,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
1,10.21582202,55.47335524,"Ågård <br> Langesø <br> Morud skov <br> Havrehed ved Odense"
1,10.07977929,55.52595187,"Harridslev <br> Harridslevgård <br> Ejlskov Skovby-h Fyen <br> Harridslev ved Bogense <br> Skovby"
1,10.28886161,56.75487617,"Als <br> Hurup <br> Kragelund <br> Tofte <br> Als, Sønderborg amt <br> Toftegård <br> Hurup Himmerland <br> Hurup Salling"
1,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
2,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
3,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
1,10.12307693,56.44894159,"Assentoft <br> Essenbæk kirke <br> Essenbækgården <br> Tammestrupgårde"
1,10.40685789,57.44038976,"Åsted <br> Kvissel <br> Åsted ved Frederikshavn <br> Kvissel <br> Kvissel Vendsyssel <br> Skjørtholt ved Frederikshavn"
6,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
