freq,longitude,latitude
2,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
2,9.21313241,55.07592424,"Hellevad <br> Hellevad Lille-kirke <br> Svejlund bjærge <br> N-Hostrup Sønderjylland"
6,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
2,9.62246601,57.24730572,"Helligsø <br> Blokhus <br> Blokhus strand <br> Brogård <br> Hune <br> Hune bæk <br> Hune Torp <br> Pirrups hvarre <br> Rødhus <br> Hune Han herred <br> Rødehus Hune Hvetbo herred <br> Rødhus Hune <br> Rønneliden"
3,9.89738756,56.51409406,"Ågård <br> Kovsted <br> Kovsted ved Randers"
4,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
2,8.94781772,55.06049031,"Koldemos kirke <br> Løgumkloster <br> Assit <br> Løgum kloster <br> Løgumkloster"
4,9.07150442,55.1232587,"Branderup <br> Bovlund <br> Rump <br> Bovlund Sønderjylland <br> Branderup Sønderjylland"
9,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
2,9.52098813,56.18420884,"Balle <br> Dronningsholm <br> Gub sø <br> Vester-Kejlstrup <br> Hvinningdal"
5,9.8614429,55.97300374,"Ris <br> Ejer <br> Elling  <br> Elling skov <br> Ovsted. Voer <br> Tammestrup <br> Tebstrup <br> Tebstrup skov <br> Tebstrup sø <br> Tebstrup Ovsted Skanderborg <br> Tebstrup ved Horsens"
1,9.60315595,56.18537171,"Gjødvad <br> Resenbro kro"
1,10.10414087,57.19017333,Ørum
2,9.77578955,57.33870322,"Oksendrup <br> Vrensted"
1,9.984083,57.177319,Ajstrup
1,9.78978849,56.3168746,"Ajt <br> Mondrup <br> Tungelund <br> Ajdt Lavrbjærg"
3,9.507208,56.363111,Brandstrup
4,9.76257845,56.36791677,"Hagenstrup mølle <br> Aldrup <br> Hvorslev <br> Hvorslevgård <br> Kovdal <br> Busbjærg"
3,10.02530132,56.41896103,"Amstrup <br> Haslum <br> Nørskoven <br> Tebbestrup <br> Haslund ved Randers"
2,9.98866255,56.35071271,"Favrskov <br> Lerbjærg <br> Lerbjærg ved Randers"
3,10.01154841,56.36434685,"Vissing <br> Vissing kjære <br> Vissing Lerbjærg"
1,10.13208504,55.9094243,Åkjær
11,10.30975213,57.61903603,"Ålbæk <br> Råbjærg <br> Ålbæks bugt <br> Bunken <br> Gårbo <br> Gårbo sø <br> Hvidmose <br> Klitlund <br> Lodskovad <br> Sørig sø <br> Albæk Vendsyssel <br> Heden Ålbæk <br> Heden ved Aalbæk <br> Heden ved Albæk <br> Råbjærg Vendsyssel"
5,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
3,10.46058464,57.36707857,"Skiftved <br> Understed <br> Vrangbæk"
3,9.94420384,57.27277164,"Agedrup <br> Holte <br> Torsmark <br> Vester-Brønderslev <br> V -Brønderslev <br> V-Brønderslev"
5,9.92621509,57.07193063,Nørre-Sundby
2,9.7251651,57.38234045,"Furreby <br> Furreby bjærge <br> Løkken"
1,9.65004051,56.76576478,"Mejlby <br> Smorup <br> Smorup præstegård <br> Brorstrup Himmerland"
7,9.75047632,56.7553991,"Nørlund <br> Skårup <br> Gud sø <br> Kras <br> Ravnkilde <br> Ravns Bakke <br> Ravnkilde Himmerland"
2,9.59358865,56.75149212,"Bonderup <br> Kirkebjærg <br> Aldstrup <br> Kongens-Tisted <br> Stensbjærggård"
3,9.51687125,56.76774438,"Nyrup <br> Gislum"
2,9.95603185,57.16277574,"Vang <br> Sulsted <br> Sulsted Vendsyssel"
4,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
4,9.91409492,55.88661551,"Blirup <br> Haldrup <br> Stensballe skov <br> Væær <br> Stensballegård ved Horsens"
3,9.58826623,55.84747798,"Hesselballe <br> Kalvhave <br> Uldum"
1,10.47037111,55.33822874,"Allerup <br> Skovgård"
2,10.15273583,57.21287001,"Allerup bakker <br> Hellevad <br> Kragdrup <br> Trøderup <br> Korslund <br> Allerup Hellevad Vendsyssel"
1,10.309553,57.288205,Skjæve
