freq,longitude,latitude
2,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
1,9.07150442,55.1232587,"Branderup <br> Bovlund <br> Rump <br> Bovlund Sønderjylland <br> Branderup Sønderjylland"
1,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
2,10.6586365,55.51612464,"Dalby <br> Dalby, Lille-  <br> Skelenborg <br> Dalby friskole Hindsholmen <br> Dalby Fyen <br> Dalby Hindsholm <br> Dalby Hindsholmen <br> Hersnab Hindsholmen <br> Hindsholmen"
1,9.70233133,55.77376497,"Hedensted <br> Hedensted ved Horsens"
4,10.14363148,56.67328465,"Ajstrup <br> Haderup <br> Norup <br> Vindblæs <br> Nebstrup <br> Lystrup"
1,10.22120378,56.63603356,"Binderup <br> Dalbynedre <br> Dalbynedre lund <br> Dalbynedre Ommersyssel <br> Dalbynedre Udbyhøj"
1,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
2,10.09929141,56.2666501,"Hinnerup <br> Gl.-Hinnerup <br> Grundsø <br> Haraldslund"
1,8.33130981,55.6159675,"Billum <br> Kjelst <br> Tarp <br> Billum Varde <br> Billum ved Varde <br> Hannevang Billum ved Varde <br> Kjelst ved Varde"
1,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
4,9.32170212,55.51180511,"Egholt <br> Ferup <br> Kisbøl <br> Lejrskov <br> Lejrskov Dige <br> Rådgård <br> Egholt ved Kolding <br> Ø-Gjesten mark <br> Øster-Gjesten Kolding"
2,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
1,9.34359,56.62822779,"Sundstrup <br> Ulstrup <br> Brakbjærg <br> Uldbjærg <br> Uldbjærghede <br> Sundstrup Uldbjærg Himmerland <br> Sundstrup Himmerl"
1,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
4,8.86226781,56.65591926,"Andrup <br> Ginderup <br> Krejbjærg <br> Humlegård <br> Krejbjærg Salling <br> Sønder-Andrup Salling"
12,8.810434,56.6441,"Ejstrup <br> Mollerup <br> Nymølle <br> Rødding <br> Hesthave <br> Knude <br> Spøtrup <br> Rødding Salling"
2,9.3590821,55.35439508,"Andrup <br> Højrup <br> Stepping <br> Sønderjylland"
2,9.42033033,55.33253457,Hjerndrup
1,9.23692909,55.48401691,Andst
1,9.44872588,55.60181971,"Starup <br> Hvilested <br> Fønixborg"
1,9.30966436,55.5577799,"Jordrup <br> Kudsbo skov <br> Jordrup ved Kolding"
1,9.1999361,55.52522839,"Brotten sø <br> Gjesten <br> Revsing hede <br> Revsing sø <br> Revsing"
3,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
2,9.88838246,56.83713849,"Sejlstrup <br> Skindbjærg <br> Brudehøllerne <br> Egholm slot <br> Jægersborg <br> Jægersborg skov <br> Ræbild <br> Ræbild kold <br> Skjørping <br> Skjørping holme <br> Skjørping Himmerland"
6,9.50846948,56.80216045,Års
1,9.8486775,56.97366644,Svendstrup
3,9.51169578,56.86708269,"Blære <br> Blære Himmerland"
1,9.67331937,56.67429951,"St.-Stenild bro <br> Stenild <br> Stenild mosegård <br> Stenild ved Hobro"
4,9.33453634,56.97674443,"Næsborg <br> Tolstrup <br> Tolstrupgårde <br> Næsborg Aggersund <br> Næsborg ved Aggersund"
2,9.3847749,56.92849264,"Ovtrup <br> Brårup <br> Ovtrup Himmerland"
2,9.35760145,56.94930757,"Hemdrup <br> Skarpsalling"
1,9.84767266,56.54380481,"Fårup <br> Purhus kro <br> Ørrild mark ved Hobro"
1,9.89738756,56.51409406,"Ågård <br> Kovsted <br> Kovsted ved Randers"
3,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
2,10.023887,55.746783,Palsgård
1,9.92891517,56.54533545,"Asferg <br> Ejstrup <br> Ashøj"
1,11.4970398,55.81491731,"Asnæs <br> Høve <br> Tolsager"
1,11.06625641,55.69549401,"Kallerup <br> Nyrup <br> Vollerup <br> Raklev <br> Raminsgård <br> Skambæk mølle <br> Illerup ved Kalundborg"
1,8.51066702,56.4322328,Asp
2,8.309011,56.523211,Romme
1,10.09554613,57.47845447,"Astrup <br> Bøgsted skov <br> Bøgsted"
8,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,9.9260865,56.73172154,"Rostrup <br> Stenstrup <br> Blegetø <br> Brøndbjærg Himmerland"
1,8.95267034,56.14219771,"Herning <br> Herningsholm <br> Gullestrup <br> Gullestrup Herning <br> Gullestrup ved Herning"
1,9.69765191,55.94268118,"Torp <br> Underup <br> Underup ved Horsens"
1,10.03387302,57.51267197,"Bjærgby <br> Snævre <br> Bjærgby Hjørring <br> Bjærgby ved Hjørring"
2,10.09111504,57.54013728,"Mygdal <br> Odden"
1,9.87513313,55.82054042,"Boller <br> Ut"
2,10.00194886,55.89344365,"Ås <br> Toftum <br> Tyrrestrup <br> Bringsted <br> Søvind <br> Torupvolde <br> Vorsø <br> Vorsø Kalv <br> Ås Tvingstrup <br> Ås ved Horsens <br> Ås ved Tvingstrup"
2,8.75039165,56.40578678,"Borbjærg <br> Risum <br> Skave <br> Trabjærg <br> Abildholt <br> Store-Hessel <br> Borbjærg ved Holstebro <br> Trabjærg ved Holstebro"
1,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
1,12.44955107,54.99609429,"Borre <br> Sønderby <br> Borre Møen"
