freq,longitude,latitude
10,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.78313657,57.40131627,"Lyngby <br> Lyngby ved Løkken"
1,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
3,9.8414759,54.96362819,Als
1,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
1,8.98848366,56.01340869,"Arnborg <br> Hjøllund høj <br> Arnebjærg, Nørre-Hjarup Mark"
1,10.070086,56.152745,Årslev
1,10.10813829,56.15817284,"True  <br> Brabrand <br> Brabrand sø <br> Yderup <br> Brabrand Århus <br> Brabrand ved Århus"
1,9.496307,56.417557,Ås
1,10.5231,56.346871,Astrup
1,8.82771692,55.57328956,Åstrup
1,9.35760145,56.94930757,"Hemdrup <br> Skarpsalling"
1,10.48550918,56.29043477,"Bregnet <br> Følle <br> Kalvø <br> Kalvø slot <br> Rønde"
1,11.41222,55.265376,Bøgelund
2,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,9.507208,56.363111,Brandstrup
1,9.659257,56.371311,"Bro mølle"
2,9.54037982,56.45510207,"Hesselholt <br> Vejrum <br> Ravnhule <br> Vejrum bro <br> Vejrum Viborg <br> Vejrum ved Viborg"
1,8.91775704,56.58922585,"Brøndum <br> Brøndum, Lille-  <br> Retrup <br> Brøndum Salling"
1,9.43281814,56.44333188,"Asmild kloster <br> Brunshåb <br> Overlund <br> Rindsholm <br> Stof sø"
1,9.288769,55.473308,Dollerup
3,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
1,9.292717,55.984939,"Ejstrup <br> Hedegaard Ejstrup <br> Hedegård Ejstrup <br> Hedegård Ejstrup Nørre-Snede <br> Hedegård Ejstrup Snede <br> Rønslund ved N-Snede"
