freq,longitude,latitude
1,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.8071931,57.15011259,"Bjærgsted <br> Balbuneshøj <br> Bjørnkjær skov <br> Nørr-Halne"
1,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
2,8.33130981,55.6159675,"Billum <br> Kjelst <br> Tarp <br> Billum Varde <br> Billum ved Varde <br> Hannevang Billum ved Varde <br> Kjelst ved Varde"
2,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
2,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
1,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
1,8.66601797,55.57442035,"Årre <br> Årre ved Varde"
2,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
3,9.52098813,56.18420884,"Balle <br> Dronningsholm <br> Gub sø <br> Vester-Kejlstrup <br> Hvinningdal"
3,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
1,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
1,8.73114513,56.8682726,"Bjærgby <br> Gullerup <br> Havredalshus <br> Bjærgby Mors <br> Bjærgby Vendsyssel"
2,8.7041957,56.84934584,"Solbjærg <br> Jølbygård <br> Mellem-Jolby"
1,9.27989612,56.14515128,"Agerskov <br> Bording <br> Nørlund <br> Ravnholt <br> Bording mølle <br> Agerskov Bording ved Herning <br> Munklinde ved Herning"
1,9.98880571,56.50431637,"Bjærgby <br> Borup <br> Borup ved Hobro"
2,10.12774216,56.3615738,"Bramstrup <br> Hallendrup <br> Nielstrup <br> Rude <br> Stubdrup"
2,9.57743689,56.37366129,"Brandstrup <br> Skavngård <br> Faldbjærg <br> Skavn sø <br> Vindum <br> Vindum Overgård <br> Brandstrup ved Viborg <br> Fårup Rødkjær <br> Fårup Vindum <br> Fårup Vindum sogn"
1,8.9892034,55.50158803,"Brørup <br> Brørupgård <br> Eskelund <br> Hulvad <br> Tirslund <br> Gjerndrup <br> Tirslund krat <br> Tirslund-stenen <br> Tuesdal <br> Gravengård <br> Eskelund Kjær"
2,9.88704892,56.98163851,"Dal <br> Skudshale <br> Povlstrup hede <br> Dal ved Aalborg"
2,10.09670998,55.5001816,"Egelund <br> Hårslev <br> Padersø <br> Padersø-høl"
2,9.292717,55.984939,"Ejstrup <br> Hedegaard Ejstrup <br> Hedegård Ejstrup <br> Hedegård Ejstrup Nørre-Snede <br> Hedegård Ejstrup Snede <br> Rønslund ved N-Snede"
1,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,8.80146899,55.46951931,"Gjørding <br> Varho"
2,11.87018356,55.14565068,"Fårup <br> Hammer <br> Tårup <br> Hammer"
1,11.896906,55.145796,Torup
1,9.54388431,56.3380454,"Højbjærg <br> Tange <br> Palstrup"
2,9.49068388,55.66364171,Højen
1,9.43858316,55.67283345,"Jernit Dam <br> Jerlev <br> Mejsling <br> Albertsminde <br> Mejsling ved Vejle"
2,9.86197942,55.85797729,"Horsens egn <br> Horsens"
1,8.75963174,55.85061708,"Hoven <br> Tisbjærg <br> Hoven Tarum <br> Hoven mølle ved Tarum <br> Hoven ved Tarm <br> Hoven ved Tarum <br> Påbøl <br> Påbøl Hoven <br> Påbol Ølgod"
1,8.50628858,56.92882865,"Hundborg <br> Ulstrup <br> Hundehøw <br> Hundborg Ty <br> Sennels Ty"
2,10.15333015,56.64244951,"Kastbjærg <br> Trudsholm"
1,9.25849993,57.0671638,"Kjeldgård <br> Kjetrup <br> Husby hule <br> Husby Han herred"
2,9.45756956,55.78054463,Kollerup
3,9.40914342,56.19449478,"Kragelund <br> Bølling sø <br> Charlottenlund <br> Charlottenlund skov <br> Hjøllund <br> Kragelund Dam <br> Kragelund skov <br> Mellem-Frederiksdal <br> Stenholt <br> Refshale <br> Refshale Kragelund <br> Refshalegård Kragelund"
1,10.103645,57.190227,Kraghede
2,10.10414087,57.19017333,Ørum
1,9.39024935,56.57867744,"Borup mølle <br> Låstrup <br> Borup bakker <br> Låstrup hoppe <br> Nørre-Rind <br> Sønder-Borup"
1,8.3083178,56.55861582,"Lemvig <br> Lemvig mølle"
1,10.12903027,56.49923012,"Harridslev <br> Lindbjærg <br> Lindbjærggård <br> Mejlby <br> Lindbjærg bakke <br> Lindbjærg skov"
1,9.9843203,56.65025328,"Hov <br> Mariager <br> Trinderup <br> Brødløs mølle <br> Fjeldsted <br> Frandsbjærg <br> Hohøj <br> Hov skov <br> Volstedlund <br> Mariager Kloster <br> Brødløs mølle ved Mariager <br> Brødløs Mølle"
7,9.34811902,56.93022611,"Vindblæs <br> Bjørum slette <br> Vindblæs ved Løgstør"
1,9.65004051,56.76576478,"Mejlby <br> Smorup <br> Smorup præstegård <br> Brorstrup Himmerland"
1,10.11611215,56.82866129,"Bælum <br> Lille-Brøndum <br> Smidie <br> Bælum <br> Smidie Himmerland"
1,10.55290497,55.96474501,"Mårup <br> Nordby <br> Armhoved <br> Glistrupgård <br> Hesselholmen <br> Nordby hede <br> Issehoved <br> Lille-Øre <br> Nordby Samsø"
1,9.64459232,55.79600588,"Båstrup <br> Kragelund <br> Øster-Snede <br> Aggersbølgård <br> Aggersbøl <br> Båstrup Øster-Snede <br> Kragelund Ø-Snede"
7,9.23259893,55.8468133,"Bøllund <br> Donneruplund <br> Farre <br> Give <br> Ramskov <br> Sillesthoved <br> Søndersthoved <br> Stenbjærglund <br> Giver Himmerland <br> Hedegaard Give Sogn <br> Hedegård Give"
1,9.41643927,56.75901943,"Årup <br> Fruergård <br> Østrup <br> Vonsild <br> Morum <br> Svoldrup <br> Årup Himmerland <br> Morum Himmerland <br> Vonsild Himmerland"
1,9.69964954,57.27219689,"Fårup <br> Østrup <br> Drustrup <br> Jonstrup <br> Nols sø <br> Rendbæk <br> Saltum <br> Salvig <br> Torpet <br> Vestrupgård <br> Villerup <br> Sønder-Saltum Vendsyssel <br> S-Saltum"
3,8.79073935,55.41670096,"Plovstrup <br> Gredstedbro <br> Jærnved <br> Gredsted <br> Allerup ved Varde <br> Jærnelund Jærnved ved Ribe <br> Plovstrup ved Ribe"
3,9.05689351,55.36810054,"Rødding <br> Rødding Sønderjylland <br> Rødding højskole <br> Sest Rødding højskole"
1,9.64459583,56.98237689,"Nibe <br> Nielsby <br> Skalde bakker"
1,9.9260865,56.73172154,"Rostrup <br> Stenstrup <br> Blegetø <br> Brøndbjærg Himmerland"
1,8.49004729,56.94748554,"Såby <br> Jannerup <br> Janderup Ty <br> Jannerup Ty"
