freq,longitude,latitude
4,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
3,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
3,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
5,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
4,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
1,9.86580873,56.93137827,"Andrup <br> Ellidshøj <br> Ellidshøj skov <br> Katvad"
8,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
1,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
2,10.023887,55.746783,Palsgård
1,9.43281814,56.44333188,"Asmild kloster <br> Brunshåb <br> Overlund <br> Rindsholm <br> Stof sø"
3,9.9843203,56.65025328,"Hov <br> Mariager <br> Trinderup <br> Brødløs mølle <br> Fjeldsted <br> Frandsbjærg <br> Hohøj <br> Hov skov <br> Volstedlund <br> Mariager Kloster <br> Brødløs mølle ved Mariager <br> Brødløs Mølle"
6,9.83422482,57.36607902,"Børglum kloster <br> Skøtrup <br> Skrolles hede <br> Hjortnæs <br> Børglum by Vendsyssel"
3,10.09554613,57.47845447,"Astrup <br> Bøgsted skov <br> Bøgsted"
4,10.09111504,57.54013728,"Mygdal <br> Odden"
8,10.02870892,57.55574435,Asdal
3,9.06787969,56.69700668,"Astrup <br> Eskjær  <br> Mogenstrup <br> Nørgård <br> Rærup <br> Stovby <br> Breum <br> Breum kilde <br> Breum præstegård <br> Grinderslev <br> Grinderslev kloster <br> Rerup <br> Slejtrup <br> Vedhøjgård <br> Vejsmark <br> Eskjær skov <br> Astrup i Grinderslev S <br> Mogenstrup Salling <br> Rærup Himmerland"
8,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,8.58734506,56.4491865,"Avsumgård <br> Vejrum <br> Kvistgård <br> Skikkild hede <br> Tipsmark <br> Vejrum ved Struer"
1,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
7,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
2,9.25829724,56.85728982,"Bjørnsholm <br> Overlade <br> Trende å"
2,9.30317806,56.47897071,"Boller <br> Kirkebæk <br> Romlund"
2,9.19668307,56.44299631,"Bryrup <br> Mønsted <br> Moreshøj <br> Rosborg sø <br> Rosborggård"
5,9.27580365,56.53917503,"Dalsgård <br> Revn <br> Ris mølle <br> Tårup <br> Tårupgård <br> Jordbro mølle <br> Borup Fjends herred <br> Knude Fjends herred <br> Ris-mølle Tårup Viborg <br> Taarup ved Sparrekjær"
3,10.11557169,57.38471485,"Boller  <br> Sjørup sø <br> Stagsted <br> Svendstrup <br> Tårs <br> Barsholt <br> Hvidstedgård <br> Klarup hede <br> Li <br> Sæsing <br> Sørup sø <br> Tårs bakker <br> Tårs hede <br> Tidemandsholm <br> Vugdrup <br> Hovstrup  <br> Barholdt Vendsyssel <br> Barholt Vendsyssel <br> Barsholt Vendsyssel <br> Dals Møll"
1,8.75039165,56.40578678,"Borbjærg <br> Risum <br> Skave <br> Trabjærg <br> Abildholt <br> Store-Hessel <br> Borbjærg ved Holstebro <br> Trabjærg ved Holstebro"
1,8.29581513,56.81791974,"Borg <br> Lodbjærg <br> Lodbjærg ell. Tølbøl kirke <br> Svegård"
2,9.98880571,56.50431637,"Bjærgby <br> Borup <br> Borup ved Hobro"
5,10.0483414,56.4586074,"Dronningborg <br> Randers <br> Juelslund <br> Randers fjord <br> Langskov <br> Langskov ved Randers <br> Randers <br> Randers amt <br> Randers"
2,8.50307568,56.11106335,"Brejning <br> Brejninggård <br> Brejning kro Ringkjøbing"
1,9.88704892,56.98163851,"Dal <br> Skudshale <br> Povlstrup hede <br> Dal ved Aalborg"
