freq,longitude,latitude
1,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.25655365,56.99777043,"Aggersborg <br> Ullerup <br> Aggersborggård <br> Ullerup Han herred"
1,8.63217387,55.46388899,"Allerup <br> Sneumgård <br> Krogsgård <br> Sneum <br> Terpager <br> Allerup ved Esbjærg <br> Sneum ved Tjæreborg <br> Sneum ved Tjæreborg"
1,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
1,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
2,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
2,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
1,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,10.102057,56.034027,Astrup
2,9.98648017,56.03428143,"Fruering <br> Gjessing <br> Fruering ved Skanderborg <br> Gjesing Skanderborg <br> Gjesing ved Skanderborg"
6,8.82771692,55.57328956,Åstrup
4,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
3,10.37665808,56.33447364,"Borup <br> Mørke <br> Kulsø <br> Ommestrup"
2,10.31667047,56.31261766,"Krejbjærg <br> Rosenholm <br> Tendrup <br> Hornslet <br> Hornslet <br> Hornslet mark <br> Rodskov ved Hornslet"
2,9.07150442,55.1232587,"Branderup <br> Bovlund <br> Rump <br> Bovlund Sønderjylland <br> Branderup Sønderjylland"
2,8.91775704,56.58922585,"Brøndum <br> Brøndum, Lille-  <br> Retrup <br> Brøndum Salling"
2,8.9892034,55.50158803,"Brørup <br> Brørupgård <br> Eskelund <br> Hulvad <br> Tirslund <br> Gjerndrup <br> Tirslund krat <br> Tirslund-stenen <br> Tuesdal <br> Gravengård <br> Eskelund Kjær"
1,8.94704952,56.7403163,"Durup <br> Gammelby <br> Tovstrup  <br> Tovstrup huse <br> Durup Salling <br> Tovstrup Salling"
1,9.8965714,56.95132156,"Ferslev <br> Nøtten"
2,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
2,8.89755494,55.97740889,"Kragelund <br> Karlstoft <br> Skarrild <br> Selstrup <br> Hesselvig Skarrild"
3,9.73981585,56.22900602,"Gjern <br> Norup <br> Gjern bakker <br> Gjern hede <br> Gjern Silkeborg <br> Gjern ved Silkeborg"
5,9.74363706,56.28053824,Skorup
1,8.80146899,55.46951931,"Gjørding <br> Varho"
