freq,longitude,latitude
1,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
12,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
2,9.94420384,57.27277164,"Agedrup <br> Holte <br> Torsmark <br> Vester-Brønderslev <br> V -Brønderslev <br> V-Brønderslev"
1,10.490978,55.43045,Agedrup
1,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
11,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
7,8.95811773,56.09047433,"Gunderup <br> Rind <br> Søby <br> Kollund <br> Øster-Høgild"
2,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,8.6616859,55.07133637,"Ballum <br> Bundti <br> Kugsbøl"
5,9.25655365,56.99777043,"Aggersborg <br> Ullerup <br> Aggersborggård <br> Ullerup Han herred"
1,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
3,10.14363148,56.67328465,"Ajstrup <br> Haderup <br> Norup <br> Vindblæs <br> Nebstrup <br> Lystrup"
9,10.13208504,55.9094243,Åkjær
2,9.93314947,56.18447132,"Sjelle <br> Sjelle skovgård <br> Vedelslund"
1,10.00654332,55.96649473,"Grumstrup <br> Vedslet <br> Vedslet bro"
2,10.31225829,57.2885669,"Dybvad <br> Knudseje <br> Nejsum <br> Øster-Padhede <br> Ovnstrup <br> Øster-Vrængmose Torslev Vendsyssel <br> Ovnstrup Skjæve Vendsyssel <br> Skjæve <br> Skjæve Vendsyssel <br> Skjæve ved Frederikshavn <br> Ovnstrup"
1,9.96726663,56.19891774,"Herskind <br> Skivholme"
8,8.73269709,56.59971085,"Ålbæk <br> Kås <br> Kås skov <br> Lime <br> Kås sø <br> Øster-Hærup <br> Vester-Hærup"
6,12.03507793,55.08196045,"Allerslev <br> Oremandsgård <br> Rækkende <br> Tjørnehoved"
6,9.73159609,56.11245692,"Alling <br> Bomholt"
1,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
2,9.8414759,54.96362819,Als
1,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
14,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
3,9.28273477,56.72716896,"Søkbæk <br> Ullits <br> Søkbæk Ullits Himmerland <br> Søkbæk Ullits <br> Ullits Gjedsted <br> Ullits Himmerland"
2,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
4,8.86226781,56.65591926,"Andrup <br> Ginderup <br> Krejbjærg <br> Humlegård <br> Krejbjærg Salling <br> Sønder-Andrup Salling"
2,9.3590821,55.35439508,"Andrup <br> Højrup <br> Stepping <br> Sønderjylland"
4,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
1,9.50846948,56.80216045,Års
1,10.15214764,56.39792757,"Årslev <br> Årslev Randers <br> Årslev ved Randers"
14,9.4850338,57.07415465,"Årup <br> Kokkedal <br> Torslev <br> Alsbjærg <br> Alsbjærg bakker <br> Alsbjærglund <br> Atrup <br> Flegum <br> Fristrupgård eller Frejstrupgård <br> Stenkold <br> Torslev Han herred"
9,8.52353886,56.89543114,"Årup <br> Bjærgsted <br> Elsted <br> Snedsted <br> Elsted Snedsted <br> Snedsted Ty"
3,8.62277581,56.76458846,"Rakkeby <br> Rakkeby Mors"
2,9.41643927,56.75901943,"Årup <br> Fruergård <br> Østrup <br> Vonsild <br> Morum <br> Svoldrup <br> Årup Himmerland <br> Morum Himmerland <br> Vonsild Himmerland"
5,9.49193263,55.58573142,"Blåkjær <br> Viuf <br> Blåkjær skov ved Kolding <br> Blåkjærskov ved Kolding"
2,9.92891517,56.54533545,"Asferg <br> Ejstrup <br> Ashøj"
5,11.4970398,55.81491731,"Asnæs <br> Høve <br> Tolsager"
2,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
9,10.40685789,57.44038976,"Åsted <br> Kvissel <br> Åsted ved Frederikshavn <br> Kvissel <br> Kvissel Vendsyssel <br> Skjørtholt ved Frederikshavn"
4,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
5,8.98817125,56.76991976,"Åsted <br> Østergård <br> Åsted skov <br> Sæbygårds mølle <br> Sallingborg <br> Aasted Salling <br> Åsted Salling <br> Risum Åsted"
2,10.09554613,57.47845447,"Astrup <br> Bøgsted skov <br> Bøgsted"
12,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
7,10.52600958,55.13564886,"Åstrup <br> Lunde <br> Bobjærg <br> Høje <br> Lunde"
5,10.17381332,56.50485268,"Åstrup <br> Støvring <br> Støvringgård <br> Støvring ved Randers"
3,10.46305793,55.39988592,"Åsum <br> Atibakken <br> Rågelund"
1,10.37605989,56.43195376,"Avning <br> Tårup <br> Avning <br> Taarup ved Avning <br> Tårup ved Avning"
2,9.52098813,56.18420884,"Balle <br> Dronningsholm <br> Gub sø <br> Vester-Kejlstrup <br> Hvinningdal"
1,11.678231,55.316558,Barnehøj
3,9.64459232,55.79600588,"Båstrup <br> Kragelund <br> Øster-Snede <br> Aggersbølgård <br> Aggersbøl <br> Båstrup Øster-Snede <br> Kragelund Ø-Snede"
8,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
2,10.22120378,56.63603356,"Binderup <br> Dalbynedre <br> Dalbynedre lund <br> Dalbynedre Ommersyssel <br> Dalbynedre Udbyhøj"
4,10.03387302,57.51267197,"Bjærgby <br> Snævre <br> Bjærgby Hjørring <br> Bjærgby ved Hjørring"
2,8.73114513,56.8682726,"Bjærgby <br> Gullerup <br> Havredalshus <br> Bjærgby Mors <br> Bjærgby Vendsyssel"
6,8.79464452,56.88904662,"Dråby <br> Flade <br> Salgjerhøj <br> Handklit <br> Nandrup <br> Flade Mors"
5,10.24204167,56.66137113,"Bjærge <br> Klatrup <br> Havndal <br> Overgård. Udbynedre <br> Udbyneder <br> Udbyovre <br> Stejlbjærg ved Havndal <br> Udbvovre mark Randers <br> Udbyovre Mark"
24,9.02754383,56.82667681,"Bjærggård <br> Lundgård <br> Fur <br> Rangelmose skoven <br> Rødstenen <br> Dalager Fur"
2,11.34973579,55.66575769,Bjærgsted
12,10.11557169,57.38471485,"Boller  <br> Sjørup sø <br> Stagsted <br> Svendstrup <br> Tårs <br> Barsholt <br> Hvidstedgård <br> Klarup hede <br> Li <br> Sæsing <br> Sørup sø <br> Tårs bakker <br> Tårs hede <br> Tidemandsholm <br> Vugdrup <br> Hovstrup  <br> Barholdt Vendsyssel <br> Barholt Vendsyssel <br> Barsholt Vendsyssel <br> Dals Møll"
2,9.59358865,56.75149212,"Bonderup <br> Kirkebjærg <br> Aldstrup <br> Kongens-Tisted <br> Stensbjærggård"
9,8.75039165,56.40578678,"Borbjærg <br> Risum <br> Skave <br> Trabjærg <br> Abildholt <br> Store-Hessel <br> Borbjærg ved Holstebro <br> Trabjærg ved Holstebro"
6,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
