freq,longitude,latitude
1,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
5,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.78313657,57.40131627,"Lyngby <br> Lyngby ved Løkken"
1,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
2,8.41671166,56.73685182,"Tyholm <br> Ulshøj"
4,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
1,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
3,8.77858359,55.33618399,"Ribe herred <br> Ribe <br> Splidsholm <br> Øster-Vedsted <br> Ribeskole <br> Ribe-egn <br> Ø-Vedsted ved Ribe"
4,9.37836463,56.45780394,"Blærup sø <br> Borgvold <br> Margretelund <br> Viborg <br> Viborg mark <br> Viborg sø <br> Nordmandsdal <br> Gammel-Asmild Viborg <br> Viborg Vestermark <br> Viborg <br> Viborg Mark"
1,8.70673568,56.32170455,"Tvis <br> Tvis mølle <br> Tvisgård <br> Tvis ved Holstebro"
1,9.8414759,54.96362819,Als
1,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
1,8.4446389,55.90317791,"Lønborggård <br> Bøle <br> Lønborg <br> Lønborg Å <br> Lønborg Tarum"
3,10.64140852,55.86326329,"Alstrup <br> Østerby <br> Torup  <br> Besser <br> Langøre <br> Udsagshage <br> Langemark <br> Besser Samso <br> Besser Samsø <br> Østerby Samsø"
