freq,longitude,latitude
3,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
12,8.77858359,55.33618399,"Ribe herred <br> Ribe <br> Splidsholm <br> Øster-Vedsted <br> Ribeskole <br> Ribe-egn <br> Ø-Vedsted ved Ribe"
2,9.18041262,56.11327889,"Herrested <br> Ordrup <br> Toftlund"
1,9.40756732,54.98983283,Stybbæk
3,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
3,9.27989612,56.14515128,"Agerskov <br> Bording <br> Nørlund <br> Ravnholt <br> Bording mølle <br> Agerskov Bording ved Herning <br> Munklinde ved Herning"
1,9.17347087,56.31082534,"Bøgelund <br> Karup"
8,9.86197942,55.85797729,"Horsens egn <br> Horsens"
1,9.619828,56.275047,Iller
13,8.25410165,56.08699748,"Ringkjøbing <br> Ringkøbing amt <br> Stagehøj og Snekkehøj <br> Ringkøbing <br> Brejninggård Ringkøbing <br> Ringkøbing-egn"
1,9.5470055,56.16936133,"Silkeborg <br> Silkeborg skov <br> Resendal ved Silkeborg"
2,9.61833913,56.27388691,"Grønbæk <br> Alling kloster <br> Ans <br> Roe <br> Grønbæk Ans <br> Grønbæk v Ans <br> Grønbæk ved Silkeborg"
1,9.43240349,56.25517925,"Pederstrup <br> Ødemølle bro <br> Vinderslev <br> Vinderslevgård"
5,8.61016464,56.36097923,"Holstebro <br> Mundbjærg ved Holstebro"
1,9.01802188,56.20596981,"Lindbjærg <br> Sunds <br> Ildsgård <br> Skophuset <br> Sunds præstegård <br> Rojen ved Herning <br> Sønder-Os Sunds <br> Tværmose Sunds ved Herning <br> Sunds"
2,8.702898,56.08892904,"Fjelstervang <br> Sol sø <br> Vorgod <br> Fjelstervang ved Herning"
13,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,9.71390405,57.06848707,"Lykkegård <br> Birkumgård <br> Gjøl <br> Gjøl bjærg <br> Gjøl vejle <br> Haven"
4,8.31670931,56.75720487,"Kappel <br> Randrup <br> Skårup <br> Gramstrup <br> Tåbøl sø <br> Vestervig <br> Vestervig kloster <br> Randrup Vestervig"
22,8.17369803,56.62066705,"Flyvholm <br> Harboøre <br> Knopper <br> Langerhuse <br> Nørre-Langer <br> Rønland <br> Sønder-Langer"
4,8.41671166,56.73685182,"Tyholm <br> Ulshøj"
2,10.14363148,56.67328465,"Ajstrup <br> Haderup <br> Norup <br> Vindblæs <br> Nebstrup <br> Lystrup"
5,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,10.30657345,56.99519175,"Hals <br> Hals ladegård <br> Hals skov <br> Hals"
2,10.13675969,56.8107845,"Korup <br> Solbjærg"
5,10.03168556,56.77982117,"Tisted <br> Lendrup sø <br> Tisted fjord <br> Tisted"
13,9.37836463,56.45780394,"Blærup sø <br> Borgvold <br> Margretelund <br> Viborg <br> Viborg mark <br> Viborg sø <br> Nordmandsdal <br> Gammel-Asmild Viborg <br> Viborg Vestermark <br> Viborg <br> Viborg Mark"
1,10.02870892,57.55574435,Asdal
1,8.63217387,55.46388899,"Allerup <br> Sneumgård <br> Krogsgård <br> Sneum <br> Terpager <br> Allerup ved Esbjærg <br> Sneum ved Tjæreborg <br> Sneum ved Tjæreborg"
2,8.5822951,55.46497798,"Trasborg <br> Roborghus <br> Tjæreborg <br> Tjæreborg ved Esbjærg"
3,9.8414759,54.96362819,Als
1,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
1,10.0373779,55.22283913,"Dreslette <br> Brøndgård"
2,10.00026428,55.15714245,"Bogården <br> Helnæs <br> Helnæsgård"
1,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
2,10.64140852,55.86326329,"Alstrup <br> Østerby <br> Torup  <br> Besser <br> Langøre <br> Udsagshage <br> Langemark <br> Besser Samso <br> Besser Samsø <br> Østerby Samsø"
5,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
7,9.27023832,56.73474316,"Dollerup <br> Fovlum <br> Stistrup <br> Stistrupgård <br> Fovlum Gjedsted <br> Fovlum Himmerland"
1,10.087681,56.356834,Alstrup
1,12.62629466,55.62123328,"Amager <br> Amager Fiskerleje <br> Amagerbro København"
1,8.428295,56.032612,Andbæk
8,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
1,9.7379295,56.99928983,"Restrup skov <br> Store-Restrup <br> Vandtrangs bakker <br> Sønderholm <br> Sønderholm ved Ålborg"
9,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
8,9.93019729,56.03898678,"Skanderborg <br> Skanderborg sø"
16,10.0483414,56.4586074,"Dronningborg <br> Randers <br> Juelslund <br> Randers fjord <br> Langskov <br> Langskov ved Randers <br> Randers <br> Randers amt <br> Randers"
6,10.16468114,56.36638954,"Klavsholm <br> Hvalløs <br> Hvalløs vie <br> Regstrup <br> Voldum <br> Voldum ved Randers"
3,9.99651253,56.09972201,"Adslev <br> Jegsen dale"
2,8.98848366,56.01340869,"Arnborg <br> Hjøllund høj <br> Arnebjærg, Nørre-Hjarup Mark"
1,8.66601797,55.57442035,"Årre <br> Årre ved Varde"
1,10.070086,56.152745,Årslev
3,9.41643927,56.75901943,"Årup <br> Fruergård <br> Østrup <br> Vonsild <br> Morum <br> Svoldrup <br> Årup Himmerland <br> Morum Himmerland <br> Vonsild Himmerland"
1,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
2,10.28890993,55.76166139,Endelave
1,8.51066702,56.4322328,Asp
1,10.19538302,55.99397479,"Assendrup <br> Assendrup strand ved Vejle"
6,9.5521637,55.71165991,"Vejle <br> Skyttehuset <br> St.-Grundet <br> Vejle å <br> Petersholm <br> Ribevejen Vejle <br> Vejle-egn <br> Vejle"
1,10.31384379,57.48321395,"Åsted <br> Dværgtved <br> Skjørbæks hede <br> Skjørtholt <br> St.-Spanghede <br> Tolne"
1,10.1928376,57.58773669,"Nørre-Elkjær <br> Tværsted <br> Tværsted å <br> Østenkjær"
3,8.98817125,56.76991976,"Åsted <br> Østergård <br> Åsted skov <br> Sæbygårds mølle <br> Sallingborg <br> Aasted Salling <br> Åsted Salling <br> Risum Åsted"
4,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,10.5231,56.346871,Astrup
