freq,longitude,latitude
2,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
3,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
2,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,8.63217387,55.46388899,"Allerup <br> Sneumgård <br> Krogsgård <br> Sneum <br> Terpager <br> Allerup ved Esbjærg <br> Sneum ved Tjæreborg <br> Sneum ved Tjæreborg"
2,10.28886161,56.75487617,"Als <br> Hurup <br> Kragelund <br> Tofte <br> Als, Sønderborg amt <br> Toftegård <br> Hurup Himmerland <br> Hurup Salling"
3,10.19194129,56.76065659,"Skelum <br> Veddum"
2,9.8414759,54.96362819,Als
3,12.62629466,55.62123328,"Amager <br> Amager Fiskerleje <br> Amagerbro København"
1,9.23692909,55.48401691,Andst
1,8.66601797,55.57442035,"Årre <br> Årre ved Varde"
1,10.00194886,55.89344365,"Ås <br> Toftum <br> Tyrrestrup <br> Bringsted <br> Søvind <br> Torupvolde <br> Vorsø <br> Vorsø Kalv <br> Ås Tvingstrup <br> Ås ved Horsens <br> Ås ved Tvingstrup"
1,11.4970398,55.81491731,"Asnæs <br> Høve <br> Tolsager"
2,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
1,10.12307693,56.44894159,"Assentoft <br> Essenbæk kirke <br> Essenbækgården <br> Tammestrupgårde"
1,10.31384379,57.48321395,"Åsted <br> Dværgtved <br> Skjørbæks hede <br> Skjørtholt <br> St.-Spanghede <br> Tolne"
2,10.88655,56.428273,Åstrup
1,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
1,8.73114513,56.8682726,"Bjærgby <br> Gullerup <br> Havredalshus <br> Bjærgby Mors <br> Bjærgby Vendsyssel"
1,8.15001308,55.96646108,"Bjærggård <br> Holmslands klit <br> Hovvig <br> Klegod <br> Lyngvig <br> Bjerregård Holmslands klit"
1,12.44955107,54.99609429,"Borre <br> Sønderby <br> Borre Møen"
1,10.37665808,56.33447364,"Borup <br> Mørke <br> Kulsø <br> Ommestrup"
2,9.507208,56.363111,Brandstrup
1,11.700954,54.715152,Brejning
2,10.22994745,56.60811234,"Demstrup <br> Råby"
14,10.18655208,56.57922546,"Hundstrup <br> Tørring <br> Øster-Tørslev <br> Øster-Tørslev Randers <br> Ø-Tørslev <br> Tørring Øster-Tørslev <br> Tørring ved Randers"
1,8.80624546,55.11730256,"Døstrup <br> Dragsted bro <br> Drengsted <br> Gasse høje <br> Vinum <br> Døstrup Sønderjylland"
1,10.70248201,56.22370281,"Dråby <br> Lyngsbæk <br> Lyngsbækgård <br> Skjærsø"
8,10.28306119,56.4446316,"Drammelstrup <br> Favsing <br> Hald sø <br> Gl.-Estrup <br> Gl.-Estrup mølle <br> Favsing <br> Favsing ved Randers"
1,11.87018356,55.14565068,"Fårup <br> Hammer <br> Tårup <br> Hammer"
1,8.78632945,56.59122572,"Hostrup <br> Lundhøj <br> Nørre-Lem <br> Sønder-Lem <br> Fælen <br> Klitterne <br> Lem i Salling <br> Vester-Lem <br> Vrigsbjærg <br> Lem Salling"
2,10.069656,56.2089,Fårup
