freq,longitude,latitude
1,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
2,9.8414759,54.96362819,Als
1,10.28886161,56.75487617,"Als <br> Hurup <br> Kragelund <br> Tofte <br> Als, Sønderborg amt <br> Toftegård <br> Hurup Himmerland <br> Hurup Salling"
2,9.78611904,56.16882659,"Dallerup <br> Langvad <br> Tovstrup  <br> Dallerup sø <br> Soning <br> Tovstrup Silkeborg"
1,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,8.92627143,55.75784153,"Grindsted <br> Urup <br> Dalbygård <br> Grindsted sø <br> Lamborg <br> Lundenæs <br> Nollund <br> Udtoft <br> Grindsted Vendsyssel <br> Udtoft Grindsted"
1,10.010862,56.940995,"Gunderup <br> Obbelstrup <br> Tårdrup <br> Vårst <br> Vårst ved Ålborg"
2,9.99749113,57.45913657,"Hjørring <br> Vandsted bakker <br> Hjørring"
1,9.78428526,56.63226828,"Hobro <br> Hostrup <br> Tvingstrup <br> Heggedal"
1,9.49068388,55.66364171,Højen
6,9.15762141,56.13579896,"Højris <br> Bøgeskov <br> Grødde <br> Ikast <br> Isen kast <br> Isengårde"
1,8.53207921,55.72494883,"Horn <br> Horne <br> Bjærgmose <br> Hornelund <br> Transbøl"
1,8.61786553,55.80774922,"Lindbjærggård <br> Egkund ell. Ekknud <br> Hejbølgård <br> Mavehøj <br> Ølgod <br> Ølholm <br> Havlund Ølgod"
1,8.36724634,55.57513827,"Hostrup <br> Kravens"
1,8.97932374,55.35278211,"Hygum <br> Fædsted <br> Harreby"
1,9.40914342,56.19449478,"Kragelund <br> Bølling sø <br> Charlottenlund <br> Charlottenlund skov <br> Hjøllund <br> Kragelund Dam <br> Kragelund skov <br> Mellem-Frederiksdal <br> Stenholt <br> Refshale <br> Refshale Kragelund <br> Refshalegård Kragelund"
2,9.23779608,56.9188957,"Malle <br> Brøttrup <br> Malle Hedegård <br> Svendstrupgård <br> Vandstedgård <br> Malle ved Løgstør"
2,9.75047632,56.7553991,"Nørlund <br> Skårup <br> Gud sø <br> Kras <br> Ravnkilde <br> Ravns Bakke <br> Ravnkilde Himmerland"
1,10.39005511,55.39681993,"Odense <br> Ålykkegården <br> Klokkedybet <br> Palleshøj <br> Odense å <br> Odense"
1,10.30975213,57.61903603,"Ålbæk <br> Råbjærg <br> Ålbæks bugt <br> Bunken <br> Gårbo <br> Gårbo sø <br> Hvidmose <br> Klitlund <br> Lodskovad <br> Sørig sø <br> Albæk Vendsyssel <br> Heden Ålbæk <br> Heden ved Aalbæk <br> Heden ved Albæk <br> Råbjærg Vendsyssel"
