freq,longitude,latitude
2,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
2,9.12743054,55.13081541,"Agerskov <br> Galsted <br> Gestrup <br> Gjestruplund <br> Rangstrup <br> Vellerup <br> Agerskov Sønderjylland <br> Bovlund <br> Bovlund Sønderjylland <br> Gestrup Sønderjylland <br> Vellund Sønderjylland"
1,9.78978849,56.3168746,"Ajt <br> Mondrup <br> Tungelund <br> Ajdt Lavrbjærg"
2,8.69268956,56.36744648,"Albæk <br> Mejrup <br> Mejrup Holstebro <br> Mejrup ved Holstebro"
2,8.86845772,56.45666669,"Damgård <br> Hale <br> Hjelm hede <br> Mogenstrup <br> Søgård <br> Hjelm mølle <br> Sebstrup <br> Sevel <br> Sønder mølle <br> Stubbergårds sø <br> Trandum <br> Trandum kirkegård <br> Stubbergård <br> Djeld"
2,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
1,10.20840085,56.19924869,"Vejlby <br> Vejlby <br> Vejlby Århus"
2,10.16522189,56.22110231,"Lisbjærg <br> Lisbjærgterp"
1,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
2,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
2,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
2,9.88154132,56.76151304,"Blåkilde <br> Store-Arden"
1,9.38319082,55.70244629,"Balle <br> Balle mark <br> Bræsten <br> Kjærbølling <br> Lildfrøst <br> Tyrskind <br> Vingsted mølle <br> Balle Bræsten Vejle <br> Bræsten Vejle  <br> Bræsten ved Vejle <br> Bræsten Vejle"
2,9.93691933,55.99114271,"Båstrup <br> Katrup <br> Brønderup <br> Hjordbjærg <br> Hylke <br> Hylke Banke <br> Nissumgård <br> Rendelev bro <br> Rendelevgård"
1,9.64459232,55.79600588,"Båstrup <br> Kragelund <br> Øster-Snede <br> Aggersbølgård <br> Aggersbøl <br> Båstrup Øster-Snede <br> Kragelund Ø-Snede"
1,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
2,9.8548158,55.78780502,"Bjærge <br> Bjærge egn <br> Øster-Krog. Bjærge <br> Bjærge ved Horsens <br> Nørre-Bjærge ved Horsens"
6,10.39005511,55.39681993,"Odense <br> Ålykkegården <br> Klokkedybet <br> Palleshøj <br> Odense å <br> Odense"
1,10.60946083,55.46615784,"Drigstrup <br> Dripkjelde <br> Drigstrup Fyen"
2,10.65777485,55.45303825,"Kjærteminde fjord <br> Kjærteminde"
1,9.8071931,57.15011259,"Bjærgsted <br> Balbuneshøj <br> Bjørnkjær skov <br> Nørr-Halne"
1,9.25829724,56.85728982,"Bjørnsholm <br> Overlade <br> Trende å"
1,9.34359,56.62822779,"Sundstrup <br> Ulstrup <br> Brakbjærg <br> Uldbjærg <br> Uldbjærghede <br> Sundstrup Uldbjærg Himmerland <br> Sundstrup Himmerl"
1,11.30667568,55.54653956,"Bliden <br> Sæby <br> Frendved <br> Fiskerhuset ved Tis sø"
3,10.00026428,55.15714245,"Bogården <br> Helnæs <br> Helnæsgård"
1,9.07150442,55.1232587,"Branderup <br> Bovlund <br> Rump <br> Bovlund Sønderjylland <br> Branderup Sønderjylland"
