freq,longitude,latitude
2,10.28886161,56.75487617,"Als <br> Hurup <br> Kragelund <br> Tofte <br> Als, Sønderborg amt <br> Toftegård <br> Hurup Himmerland <br> Hurup Salling"
1,9.75347036,57.27583849,"Alstrup <br> Alstrup bakker"
2,8.98848366,56.01340869,"Arnborg <br> Hjøllund høj <br> Arnebjærg, Nørre-Hjarup Mark"
1,8.66601797,55.57442035,"Årre <br> Årre ved Varde"
6,9.08327118,55.6296138,"Skøddebjærg <br> Vorbasse <br> Fitting <br> Vorbasse ved Vejle"
1,10.19538302,55.99397479,"Assendrup <br> Assendrup strand ved Vejle"
14,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,8.40385203,56.80774672,"Bedsted <br> Tanderup <br> Bedsted hede"
1,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
1,10.24204167,56.66137113,"Bjærge <br> Klatrup <br> Havndal <br> Overgård. Udbynedre <br> Udbyneder <br> Udbyovre <br> Stejlbjærg ved Havndal <br> Udbvovre mark Randers <br> Udbyovre Mark"
1,10.15333015,56.64244951,"Kastbjærg <br> Trudsholm"
1,9.8548158,55.78780502,"Bjærge <br> Bjærge egn <br> Øster-Krog. Bjærge <br> Bjærge ved Horsens <br> Nørre-Bjærge ved Horsens"
1,9.07150442,55.1232587,"Branderup <br> Bovlund <br> Rump <br> Bovlund Sønderjylland <br> Branderup Sønderjylland"
3,8.9892034,55.50158803,"Brørup <br> Brørupgård <br> Eskelund <br> Hulvad <br> Tirslund <br> Gjerndrup <br> Tirslund krat <br> Tirslund-stenen <br> Tuesdal <br> Gravengård <br> Eskelund Kjær"
1,8.79073935,55.41670096,"Plovstrup <br> Gredstedbro <br> Jærnved <br> Gredsted <br> Allerup ved Varde <br> Jærnelund Jærnved ved Ribe <br> Plovstrup ved Ribe"
1,9.88704892,56.98163851,"Dal <br> Skudshale <br> Povlstrup hede <br> Dal ved Aalborg"
1,9.78611904,56.16882659,"Dallerup <br> Langvad <br> Tovstrup  <br> Dallerup sø <br> Soning <br> Tovstrup Silkeborg"
1,9.81101498,56.1519176,"Kalbygård <br> Låsby <br> Æsholt <br> Flensted <br> Kilsgård <br> Låsby høj <br> Låsby ved Silkeborg"
3,8.58942945,56.95694272,"Dollerup <br> Sjørring <br> Sjørring sø <br> Nordentoft <br> Sjørring slot <br> Sjørring volde <br> Sjøring ved Tisted"
5,11.79638975,55.6060789,"Bukkerup <br> Ebberup  <br> Rygård <br> Smidstrup <br> Soderup <br> Tingerup <br> Soderup <br> Soderup Sjælland <br> Tingerup ved Hvalsø"
1,11.87536564,55.67183875,Ryegård
1,11.4397201,55.80248958,"Fårevejle <br> Veddinge <br> Vindekilde <br> Dragsholm"
2,8.9366792,55.45078486,"Fovling <br> Åtte <br> Bobøl <br> Lervad <br> Nielsbygård <br> Tobøl <br> Lervad mark Føvling Holsted <br> Lervad mark Føvling Holsted"
1,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
7,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,12.11936865,55.54706625,"Have <br> Havdrup"
1,9.73981585,56.22900602,"Gjern <br> Norup <br> Gjern bakker <br> Gjern hede <br> Gjern Silkeborg <br> Gjern ved Silkeborg"
1,10.89117652,56.40594271,"Bredstrup <br> Grenå <br> Bojstrup-skoven <br> Grenå-Egnen <br> Bavnehøj <br> Robstrupgård <br> Grenå"
1,10.45547016,56.34646653,"Torsager <br> Rostved <br> Skrærup <br> Rostved ved Rønde <br> Torsager <br> Torsager ved Rønde"
1,8.92627143,55.75784153,"Grindsted <br> Urup <br> Dalbygård <br> Grindsted sø <br> Lamborg <br> Lundenæs <br> Nollund <br> Udtoft <br> Grindsted Vendsyssel <br> Udtoft Grindsted"
3,9.271131,55.769331,Smidstrup
1,10.52367332,56.23113175,"Grønfeld <br> Agrie <br> Grønfeld <br> Grønfeld Mols"
2,8.46526917,56.51842152,"Gudum <br> Højbjærg <br> Østergård <br> Råbjærg <br> Trabjærg <br> Trælborg <br> Bjærrum <br> Englands mose eller Angelands m. <br> Gudum kloster <br> Øster-Trabjærg <br> Vester-Vium <br> Remmer <br> Dalgårdhus <br> Gudum Lemvig <br> Gudum ved Lemvig <br> Kloster Hedehus Gudum ved Lemvig <br> Surkjær Gu"
1,10.14363148,56.67328465,"Ajstrup <br> Haderup <br> Norup <br> Vindblæs <br> Nebstrup <br> Lystrup"
1,8.85177166,56.57478117,"Håsum <br> Kjærgårdsholm <br> Lundholm <br> Sønder-Lem vig <br> Vellumgård <br> Kjærgårdsholm Salling"
3,8.810434,56.6441,"Ejstrup <br> Mollerup <br> Nymølle <br> Rødding <br> Hesthave <br> Knude <br> Spøtrup <br> Rødding Salling"
1,10.26903861,56.24806097,"Hesselballe <br> Hjørre <br> Hjortshøj <br> Hjortshøjlund <br> Kankbølle <br> Sortemose <br> Hesselballe ved Skjødstrup"
1,8.73479715,57.01500974,"Bro mølle <br> Hillerslev <br> Kandstrup <br> Kjeldstrup <br> Hillerslev Ty <br> Kjelstrup <br> Kjelstrup ved Tisted"
1,8.81115202,57.03933168,"Hundstrup <br> Kjølbygård"
1,9.99749113,57.45913657,"Hjørring <br> Vandsted bakker <br> Hjørring"
1,10.43689839,55.33173429,"Højby <br> Højby mose"
1,9.66467701,55.85329784,"Havrum <br> Hornborg <br> Flemming <br> Havrum søsten <br> Homborg ved Horsens <br> Hornborg Horsen <br> Hornborg Horsens <br> Hornborg ved Horsens <br> Kalvhave Uldum <br> Kalvhave ved Uldum"
1,9.55584445,55.75117948,"Hornstrup <br> Bredballe hule <br> Bybæk skov <br> Grundet skov <br> Bredballe"
2,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
2,8.362999,56.86183,Hvidbjærg
2,8.97932374,55.35278211,"Hygum <br> Fædsted <br> Harreby"
