freq,longitude,latitude
6,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
5,9.89738756,56.51409406,"Ågård <br> Kovsted <br> Kovsted ved Randers"
7,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
1,10.14363148,56.67328465,"Ajstrup <br> Haderup <br> Norup <br> Vindblæs <br> Nebstrup <br> Lystrup"
6,10.24204167,56.66137113,"Bjærge <br> Klatrup <br> Havndal <br> Overgård. Udbynedre <br> Udbyneder <br> Udbyovre <br> Stejlbjærg ved Havndal <br> Udbvovre mark Randers <br> Udbyovre Mark"
1,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
2,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
1,10.47037111,55.33822874,"Allerup <br> Skovgård"
2,10.28886161,56.75487617,"Als <br> Hurup <br> Kragelund <br> Tofte <br> Als, Sønderborg amt <br> Toftegård <br> Hurup Himmerland <br> Hurup Salling"
2,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
3,10.64140852,55.86326329,"Alstrup <br> Østerby <br> Torup  <br> Besser <br> Langøre <br> Udsagshage <br> Langemark <br> Besser Samso <br> Besser Samsø <br> Østerby Samsø"
