freq,longitude,latitude
1,8.28146,55.632333,"Ål <br> Borg <br> Skjødstrup <br> Børsmose <br> Hesselmed <br> Lille og Store-Jenses høj <br> Tudel <br> Al ved Varde <br> Markskjælbæk Ål ved Varde"
1,8.35700288,55.79599626,"Lydum <br> Uldbæk hede <br> Lydumgård <br> Rærup Lydum Nørre-Nebel <br> Rærup Nørre-Nebel"
1,10.15273583,57.21287001,"Allerup bakker <br> Hellevad <br> Kragdrup <br> Trøderup <br> Korslund <br> Allerup Hellevad Vendsyssel"
2,8.41666096,55.5895359,"Alslev <br> Hvisselbjærg <br> Alslev Vard"
7,10.64140852,55.86326329,"Alstrup <br> Østerby <br> Torup  <br> Besser <br> Langøre <br> Udsagshage <br> Langemark <br> Besser Samso <br> Besser Samsø <br> Østerby Samsø"
1,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
8,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
1,10.09445251,56.67529905,"Assens <br> Assens ved Mariager"
2,8.98817125,56.76991976,"Åsted <br> Østergård <br> Åsted skov <br> Sæbygårds mølle <br> Sallingborg <br> Aasted Salling <br> Åsted Salling <br> Risum Åsted"
5,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
4,10.46305793,55.39988592,"Åsum <br> Atibakken <br> Rågelund"
3,8.794384,56.265473,Avlum
2,12.16762997,55.52527013,"Jersie <br> Jersild Gårde <br> Søllerød høje <br> Jersie ved Kjøge"
1,9.389126,56.320297,Avnsbjærg
5,8.58734506,56.4491865,"Avsumgård <br> Vejrum <br> Kvistgård <br> Skikkild hede <br> Tipsmark <br> Vejrum ved Struer"
6,10.57176875,55.84903122,"Bisgård <br> Tanderup <br> Dyret <br> Onsbjærg <br> Selsinggårde <br> St.-Vorbjærg <br> Stavns <br> Stavns fjord <br> Taftebjærg <br> Vadstrup <br> Sælvig"
3,10.24204167,56.66137113,"Bjærge <br> Klatrup <br> Havndal <br> Overgård. Udbynedre <br> Udbyneder <br> Udbyovre <br> Stejlbjærg ved Havndal <br> Udbvovre mark Randers <br> Udbyovre Mark"
1,9.8548158,55.78780502,"Bjærge <br> Bjærge egn <br> Øster-Krog. Bjærge <br> Bjærge ved Horsens <br> Nørre-Bjærge ved Horsens"
1,9.27989612,56.14515128,"Agerskov <br> Bording <br> Nørlund <br> Ravnholt <br> Bording mølle <br> Agerskov Bording ved Herning <br> Munklinde ved Herning"
2,11.95936623,55.64460914,"Borrevejle skov"
