freq,longitude,latitude
2,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
1,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
2,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,9.96556941,57.17978982,"Ajstrup <br> Gammel-Vrå <br> Gåselunerne <br> Tylstrup <br> Vrå mølle <br> Brændskov Tylstrup <br> Brændskov Tylstrup Vendsyssel <br> Brændskov Vendsyssel"
4,9.01054031,56.4920081,"Åkjær  <br> Iglsø <br> Fly hede <br> Flyv. Skive <br> Åkjær Fly ved Skive <br> Fly ved Skive"
3,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,9.22969026,56.90156343,"Åle <br> Lunden <br> Næsby <br> Rønbjærg <br> Livgrav <br> Livø i Limfjorden <br> Randum <br> Vitskøl"
1,9.23779608,56.9188957,"Malle <br> Brøttrup <br> Malle Hedegård <br> Svendstrupgård <br> Vandstedgård <br> Malle ved Løgstør"
2,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
1,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
3,10.84759727,56.37121286,"Ålsø <br> Katholm <br> Katholm skov <br> Ålsø ved Grenå"
1,8.66601797,55.57442035,"Årre <br> Årre ved Varde"
1,10.02216133,55.75891388,"As <br> Hosby <br> Kirkholm <br> Palsgård skov <br> Ringstholm <br> As <br> As ved Horsens <br> Hosby <br> Hosby ved Horsens <br> Overby Mark <br> Overby mark As ved Horsens"
1,10.023887,55.746783,Palsgård
2,9.92891517,56.54533545,"Asferg <br> Ejstrup <br> Ashøj"
1,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
1,10.40685789,57.44038976,"Åsted <br> Kvissel <br> Åsted ved Frederikshavn <br> Kvissel <br> Kvissel Vendsyssel <br> Skjørtholt ved Frederikshavn"
3,8.98817125,56.76991976,"Åsted <br> Østergård <br> Åsted skov <br> Sæbygårds mølle <br> Sallingborg <br> Aasted Salling <br> Åsted Salling <br> Risum Åsted"
1,10.33785405,55.22466686,"Salling <br> Sallingsholm"
1,8.82771692,55.57328956,Åstrup
2,8.794384,56.265473,Avlum
1,8.80236874,56.26921768,"Lundgård <br> Avnbøl <br> Avlum ved Holstebro"
2,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
2,11.97672013,54.77021703,"Bellinge <br> Bellinge slot"
9,10.57176875,55.84903122,"Bisgård <br> Tanderup <br> Dyret <br> Onsbjærg <br> Selsinggårde <br> St.-Vorbjærg <br> Stavns <br> Stavns fjord <br> Taftebjærg <br> Vadstrup <br> Sælvig"
1,8.73114513,56.8682726,"Bjærgby <br> Gullerup <br> Havredalshus <br> Bjærgby Mors <br> Bjærgby Vendsyssel"
2,8.48820299,56.97051219,"Vang <br> Djernæs <br> Færgegårde <br> Fersborg <br> Nyestrup <br> Vangså <br> Vangså Vendsyssel"
1,9.25829724,56.85728982,"Bjørnsholm <br> Overlade <br> Trende å"
1,12.44955107,54.99609429,"Borre <br> Sønderby <br> Borre Møen"
1,12.48500029,54.98462945,"Liselund <br> Businge <br> Hune sø <br> Møens klint <br> Magleby Møe"
3,9.66542509,55.59473397,"Bredstrup <br> Bregentved <br> Vellinggård <br> Bredstrup ved Fredericia <br> Stallerup ved Fredericia"
1,11.31006328,55.68657399,"Bregninge <br> Eskebjærg <br> Torpe <br> Bregnør <br> Daverup <br> Ellehave"
2,10.39005511,55.39681993,"Odense <br> Ålykkegården <br> Klokkedybet <br> Palleshøj <br> Odense å <br> Odense"
2,9.88704892,56.98163851,"Dal <br> Skudshale <br> Povlstrup hede <br> Dal ved Aalborg"
2,10.0373779,55.22283913,"Dreslette <br> Brøndgård"
5,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
2,9.61684353,56.71861431,"Durup <br> Nørager <br> Duvensted <br> Nørager Nørre herred"
