freq,longitude,latitude
2,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
1,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
9,10.1928376,57.58773669,"Nørre-Elkjær <br> Tværsted <br> Tværsted å <br> Østenkjær"
2,8.60389504,57.11528803,"Hansted <br> Hansted strand <br> Hanstholmen"
1,9.9857954,57.55960816,Horne
2,8.17656268,56.27879324,"Husby <br> Græm <br> Husby klit <br> Skårbjærg <br> Husby Ringkjøbing <br> Husby ved Ringkjøbing"
1,8.362999,56.86183,Hvidbjærg
2,8.73269709,56.59971085,"Ålbæk <br> Kås <br> Kås skov <br> Lime <br> Kås sø <br> Øster-Hærup <br> Vester-Hærup"
2,9.78313657,57.40131627,"Lyngby <br> Lyngby ved Løkken"
1,9.78457859,57.46253693,"Mårup <br> Krågestrand <br> Lønstrup <br> Stageshøj"
1,9.77707939,57.41548443,"Rubjærg <br> Rubjærg knude <br> Rubjærg ved Løkken"
3,10.55290497,55.96474501,"Mårup <br> Nordby <br> Armhoved <br> Glistrupgård <br> Hesselholmen <br> Nordby hede <br> Issehoved <br> Lille-Øre <br> Nordby Samsø"
2,10.57176875,55.84903122,"Bisgård <br> Tanderup <br> Dyret <br> Onsbjærg <br> Selsinggårde <br> St.-Vorbjærg <br> Stavns <br> Stavns fjord <br> Taftebjærg <br> Vadstrup <br> Sælvig"
3,10.30975213,57.61903603,"Ålbæk <br> Råbjærg <br> Ålbæks bugt <br> Bunken <br> Gårbo <br> Gårbo sø <br> Hvidmose <br> Klitlund <br> Lodskovad <br> Sørig sø <br> Albæk Vendsyssel <br> Heden Ålbæk <br> Heden ved Aalbæk <br> Heden ved Albæk <br> Råbjærg Vendsyssel"
12,10.56422311,57.72685939,"Højen <br> Nørrestrand <br> Randerød <br> Rannerød <br> Skagen <br> Starholmgårdene <br> Kandestederne <br> Skagen"
1,10.67239199,55.53421698,"Egense  <br> Langø <br> Nordskov <br> Stubberup <br> Bogensø <br> Fyenshoved <br> Snave <br> Grønlund <br> Martofte"
2,8.48820299,56.97051219,"Vang <br> Djernæs <br> Færgegårde <br> Fersborg <br> Nyestrup <br> Vangså <br> Vangså Vendsyssel"
1,10.55570458,55.7971772,"Kolby <br> Hårmark <br> Kolby Kås <br> Krogsgården <br> Lushagen <br> Permelille <br> Vejlen <br> Vestborg banke <br> Visborg eller Vestborg <br> Kolby <br> Kolby Samsø"
3,10.82520646,56.50293044,"Benzon <br> Gjerild <br> Sostrup <br> Stokbro <br> Tremølle <br> Stokbro Gjerrild"
1,10.64140852,55.86326329,"Alstrup <br> Østerby <br> Torup  <br> Besser <br> Langøre <br> Udsagshage <br> Langemark <br> Besser Samso <br> Besser Samsø <br> Østerby Samsø"
1,10.00026428,55.15714245,"Bogården <br> Helnæs <br> Helnæsgård"
5,10.4799494,57.47709661,"Jebjærg <br> Strandby <br> Bratten <br> Elling <br> Ellinggård <br> Jerups hede <br> Krageskov <br> Rugholm å <br> Slettemose <br> Stabæk <br> Vindbæk <br> Jerup <br> Elling ved Frederikshavn <br> Jerup Frederikshavn <br> Jerup Hede <br> Jerup-hede Frederikshavn <br> Strandby ved Frederikshavn <br> Jerup"
1,10.02870892,57.55574435,Asdal
1,9.94435879,57.52981312,Tornby
1,9.46249934,57.13223706,"Bratbjærg <br> Tranum <br> Tranum klit <br> Underliden <br> Tranum Han herred <br> Underliden Han herred"
1,9.4850338,57.07415465,"Årup <br> Kokkedal <br> Torslev <br> Alsbjærg <br> Alsbjærg bakker <br> Alsbjærglund <br> Atrup <br> Flegum <br> Fristrupgård eller Frejstrupgård <br> Stenkold <br> Torslev Han herred"
1,11.03403286,57.27247189,Læsø
1,9.00099051,57.10595107,"Bjærget <br> Bulbjærg <br> Glæde <br> Koldkjær <br> Lild <br> Skarre klit"
1,8.81166219,57.05900617,"Hjardemål <br> Oddersbøgård"
