freq,longitude,latitude
2,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
1,9.14370589,55.30843464,"Modbøl <br> Øster-Lindet"
1,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
2,9.90594911,55.480346,"Asperup <br> Båring <br> Boring <br> Båring skov <br> Asperup Fyen"
1,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,9.51321614,56.26336109,"Astrup <br> Hinge <br> Hinge Skov"
1,9.25829724,56.85728982,"Bjørnsholm <br> Overlade <br> Trende å"
1,9.00383831,57.02701394,"Bygholms vejle <br> Hannæs <br> Øsløs"
1,9.87513313,55.82054042,"Boller <br> Ut"
1,9.77873268,55.76307905,"Urlev skov"
1,9.8072582,55.79152308,"Sønder-Aldum <br> Brå Horsens <br> Brå ved Horsens"
1,12.44955107,54.99609429,"Borre <br> Sønderby <br> Borre Møen"
1,12.05240733,55.11870202,"Præstø amt <br> Præstø <br> Øensskovhuse ved Præstø"
1,10.70248201,56.22370281,"Dråby <br> Lyngsbæk <br> Lyngsbækgård <br> Skjærsø"
1,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
1,10.14287997,55.92725107,Ørtoft
1,10.52581584,55.05569058,"Egense  <br> Hvidkilde"
19,10.67239199,55.53421698,"Egense  <br> Langø <br> Nordskov <br> Stubberup <br> Bogensø <br> Fyenshoved <br> Snave <br> Grønlund <br> Martofte"
4,10.56795957,55.32034324,"Ferritslevgård <br> Ferritslev <br> Kappendrup <br> Rolfsted"
1,10.43087602,56.45704946,"Gjesing <br> Løvenholm <br> Løvenholms skov"
2,10.01192636,57.15092785,"Grindsted <br> Hammer <br> Hammer bakker <br> Møgelbjærg <br> Vodskov bro <br> Vodskov <br> Øsbjærg Bakker <br> Grindsted <br> Grindsted Hammer Vendsyssel <br> Hammer Vendsyssel <br> Skovlund Hov Vendsyssel <br> Vodskov Nørre-Sundby"
2,8.92627143,55.75784153,"Grindsted <br> Urup <br> Dalbygård <br> Grindsted sø <br> Lamborg <br> Lundenæs <br> Nollund <br> Udtoft <br> Grindsted Vendsyssel <br> Udtoft Grindsted"
1,9.67463947,56.78461746,"Åstrup <br> Haverslev <br> Kragelund"
2,9.99749113,57.45913657,"Hjørring <br> Vandsted bakker <br> Hjørring"
