freq,longitude,latitude
1,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
2,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
1,9.01054031,56.4920081,"Åkjær  <br> Iglsø <br> Fly hede <br> Flyv. Skive <br> Åkjær Fly ved Skive <br> Fly ved Skive"
1,9.4886069,55.5670455,"Almind <br> Almind hule <br> Dons <br> Almind ved Kolding"
1,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
3,10.37605989,56.43195376,"Avning <br> Tårup <br> Avning <br> Taarup ved Avning <br> Tårup ved Avning"
1,9.389126,56.320297,Avnsbjærg
1,11.97672013,54.77021703,"Bellinge <br> Bellinge slot"
1,10.31296587,55.33724584,"Bellinge <br> Bellinge bro"
1,8.65055798,55.95891424,"Borris <br> Egvig <br> Røverstuen"
1,8.91775704,56.58922585,"Brøndum <br> Brøndum, Lille-  <br> Retrup <br> Brøndum Salling"
1,8.80624546,55.11730256,"Døstrup <br> Dragsted bro <br> Drengsted <br> Gasse høje <br> Vinum <br> Døstrup Sønderjylland"
3,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
1,10.31225829,57.2885669,"Dybvad <br> Knudseje <br> Nejsum <br> Øster-Padhede <br> Ovnstrup <br> Øster-Vrængmose Torslev Vendsyssel <br> Ovnstrup Skjæve Vendsyssel <br> Skjæve <br> Skjæve Vendsyssel <br> Skjæve ved Frederikshavn <br> Ovnstrup"
1,9.30375303,56.50826702,"Fiskbæk <br> Ørregård <br> Kvols <br> Kvols Viborg"
2,9.11742998,55.5219207,"Drostrup <br> Gammelby  <br> Fru Mettes bjærg <br> Holm <br> Hundsbæk <br> Læborg <br> Lægård <br> Gammelby"
4,9.73267011,56.02420768,"Gandrup <br> Hem <br> Mos sø <br> Dørup  <br> Dørup skov <br> Højlund skov <br> Ring kloster <br> Voer kloster <br> Voer kloster mølle <br> Voer-Ladegård <br> Voervads bro <br> Dørup ved Skanderborg <br> Voerladegård"
3,8.25956149,56.57005065,"Gjeller sø <br> Tørring <br> Tørring ved Lemvig"
1,8.92627143,55.75784153,"Grindsted <br> Urup <br> Dalbygård <br> Grindsted sø <br> Lamborg <br> Lundenæs <br> Nollund <br> Udtoft <br> Grindsted Vendsyssel <br> Udtoft Grindsted"
2,9.55622921,56.69662805,"Guldager <br> Korsøgård <br> Simested <br> Skat skov"
1,10.010862,56.940995,"Gunderup <br> Obbelstrup <br> Tårdrup <br> Vårst <br> Vårst ved Ålborg"
