freq,longitude,latitude
1,9.4116545,55.04862654,"Åbenrå <br> Åbenrå Sønderskov <br> Aabenraa"
2,9.35986674,55.11536159,"Brudepøt <br> Andholm <br> Fårhus kro <br> Gjenner <br> Gjenner hule <br> Haverslund <br> Kopsholt <br> Lerskov <br> Lerskov plantage <br> Nørre-Hjarup <br> Øster-Løgum <br> Gjenner Åbenrå <br> Gjenner Sønderjylland <br> Gjenner ved Aabenraa <br> Gjenner ved Åbenrå <br> Leerskov <br> Leerskov ved Aabenr"
1,9.46147095,55.09054028,"Barsø <br> Løjt"
2,9.29617367,57.09917817,"Ågård <br> Andrup <br> Kollerup <br> Kollerup Fjerritslev <br> Kollerup Han herred <br> Kollerup ved Fjerritslev"
5,9.25655365,56.99777043,"Aggersborg <br> Ullerup <br> Aggersborggård <br> Ullerup Han herred"
1,10.14363148,56.67328465,"Ajstrup <br> Haderup <br> Norup <br> Vindblæs <br> Nebstrup <br> Lystrup"
2,10.15333015,56.64244951,"Kastbjærg <br> Trudsholm"
2,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
1,9.71390405,57.06848707,"Lykkegård <br> Birkumgård <br> Gjøl <br> Gjøl bjærg <br> Gjøl vejle <br> Haven"
1,9.56111779,55.88758037,"Åle <br> Bjærggård <br> Havbjærg <br> Brejnholm <br> Brejnholms mølle <br> Åle Horsens <br> Åle pigeskole <br> Åle ved Tørring"
10,9.86197942,55.85797729,"Horsens egn <br> Horsens"
7,9.76258507,55.85186739,"Hatting herred <br> Hatting <br> Bygholm <br> Bygholms mølle"
1,9.8414759,54.96362819,Als
10,12.55338778,55.68488326,"Kjøbenhavn <br> Kobjærg <br> Kristianshavn <br> Blågård <br> København <br> København"
7,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
1,9.85612331,56.85858438,"Sørup <br> Støvring <br> Buderup kirke <br> Buderupholm <br> Juelstrup <br> Stubberuphus <br> Vaseholm. Buderup <br> Mastrup Buderup Himmerland <br> Sørup Himmerland <br> Sørup ved Støvring <br> Støvring Himmerland <br> Støvring højskole"
8,9.75047632,56.7553991,"Nørlund <br> Skårup <br> Gud sø <br> Kras <br> Ravnkilde <br> Ravns Bakke <br> Ravnkilde Himmerland"
6,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
3,9.37836463,56.45780394,"Blærup sø <br> Borgvold <br> Margretelund <br> Viborg <br> Viborg mark <br> Viborg sø <br> Nordmandsdal <br> Gammel-Asmild Viborg <br> Viborg Vestermark <br> Viborg <br> Viborg Mark"
2,9.03275937,56.56919621,"Høstrup <br> Skive hus <br> Skive <br> Svansø <br> Vinde hede"
13,9.65366138,55.88982838,"Boring <br> Hornum <br> Hvirring <br> Kodallund <br> Rask <br> Rask mølle <br> Rask skov <br> Skejby <br> Trebjærg <br> Boring ved Horsens <br> Kodallund Hvirring Horsens <br> Kodallund Hvirring ved Horsens <br> Rask mølle ved Horsens <br> Raskmølle ved Horsens <br> Trebjærg Tamdrup Horsens <br> Treb"
1,10.0483414,56.4586074,"Dronningborg <br> Randers <br> Juelslund <br> Randers fjord <br> Langskov <br> Langskov ved Randers <br> Randers <br> Randers amt <br> Randers"
3,10.22297261,56.24079763,"Elsted <br> Kjærgård"
5,10.21049352,56.26873003,"Balle <br> Hårup <br> Skårupgård <br> Grøtrup <br> Todbjærg <br> Kjelds Mose <br> Todbjærg <br> Todbjærg Århus <br> Todbjærg ved Århus"
2,10.13314571,56.31072258,"Tåstrup <br> Amdrup kjær <br> Gunderuplund <br> Ødum <br> Oensbak <br> Røved <br> Selling <br> Ødum ved Randers <br> Selling ved Hadsten"
6,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,8.66601797,55.57442035,"Årre <br> Årre ved Varde"
2,9.50846948,56.80216045,Års
8,9.4181296,56.80367274,"Havbro <br> Mølgård <br> Havbrogård <br> Tåsgårde <br> Havbro Himmerland <br> Havbro ved Ars"
5,9.97425461,56.82201514,"Asp <br> Gammelby <br> Hellum <br> Torup <br> Hellum herred <br> Tulsted <br> Rav <br> Torup ved Skjørping"
1,9.90012939,55.27057781,"Assens <br> Assens og Falslev Heder  <br> Mullerød ved Assens"
1,10.31384379,57.48321395,"Åsted <br> Dværgtved <br> Skjørbæks hede <br> Skjørtholt <br> St.-Spanghede <br> Tolne"
2,10.35363066,57.42561052,"Skjærum <br> Skjærum"
1,10.52416574,57.43632047,"Frederikshavn <br> Frederikshøjs Hede"
7,9.06787969,56.69700668,"Astrup <br> Eskjær  <br> Mogenstrup <br> Nørgård <br> Rærup <br> Stovby <br> Breum <br> Breum kilde <br> Breum præstegård <br> Grinderslev <br> Grinderslev kloster <br> Rerup <br> Slejtrup <br> Vedhøjgård <br> Vejsmark <br> Eskjær skov <br> Astrup i Grinderslev S <br> Mogenstrup Salling <br> Rærup Himmerland"
3,8.9884204,56.70460706,"Gamstrup <br> Lorilddal <br> Roslev"
1,9.08061225,56.64924931,"Grønning <br> Grønning odde <br> V -Grønning <br> Vester-Grønning <br> Vester-Grønning Salling <br> V-Grønning Salling"
1,9.982402,57.462549,"Åstrup <br> Hjørring  <br> Bagterp <br> Krustrup <br> Giverup"
2,9.469442,56.554303,Åstrup
2,9.50462116,56.49808114,"Batum <br> Kokholm <br> Rødding <br> Sødal <br> Sødal skov <br> Kokholm Rødding ved Viborg"
1,9.389126,56.320297,Avnsbjærg
1,9.37801364,56.32596724,"Vium <br> Marsvinslund"
1,9.8548158,55.78780502,"Bjærge <br> Bjærge egn <br> Øster-Krog. Bjærge <br> Bjærge ved Horsens <br> Nørre-Bjærge ved Horsens"
2,9.87513313,55.82054042,"Boller <br> Ut"
2,10.585542,55.783934,Brattingsborg
5,10.55290497,55.96474501,"Mårup <br> Nordby <br> Armhoved <br> Glistrupgård <br> Hesselholmen <br> Nordby hede <br> Issehoved <br> Lille-Øre <br> Nordby Samsø"
1,9.659257,56.371311,"Bro mølle"
2,9.519911,56.427383,Vistrup
2,9.838386,55.813967,Dallerup
1,9.81101498,56.1519176,"Kalbygård <br> Låsby <br> Æsholt <br> Flensted <br> Kilsgård <br> Låsby høj <br> Låsby ved Silkeborg"
1,9.774742,56.17719,Sorring
5,10.28792117,57.15748006,"Aså <br> Dronningborg <br> Dronninggård <br> Dronninglund herred <br> Dronninglund <br> Holtet <br> Hundslund <br> Skovgård <br> Stagsted <br> Stagsted skov <br> Bolle <br> Buur <br> Dronninglund storskov <br> Gammel-kirke <br> Kirke-Torup <br> Kjællingbro <br> Mileholt. Dronninglund <br> Sørå <br> Stagsted m"
1,10.332127,57.176924,Ørsø
2,9.92621509,57.07193063,Nørre-Sundby
3,10.10058993,57.24046025,"Hallund <br> Hallund kjær <br> Kjølske"
1,10.52468885,55.17876846,"Egeskov  <br> Babenshus <br> Dybe mae <br> Kværndrup <br> Søfelde <br> Trunderup <br> Trunderup Dong <br> Kværndrup Fyen <br> Trunderup Fyen"
5,8.810434,56.6441,"Ejstrup <br> Mollerup <br> Nymølle <br> Rødding <br> Hesthave <br> Knude <br> Spøtrup <br> Rødding Salling"
1,8.754129,56.208351,Kjær
4,9.58719864,56.45039719,"Fårdal <br> Ø <br> Ø bakker <br> Viskum <br> Viskum skov <br> Viskumgård"
9,9.61130651,56.51098866,"Fovlum <br> Flarup <br> Lang sø <br> Tjele <br> Tjele skov"
1,8.30687234,56.33569219,Favsing
1,8.55103757,56.47127886,"Kjærgårds mølle <br> Ølby <br> Ølby Bakker  <br> Ølby dale"
4,9.27023832,56.73474316,"Dollerup <br> Fovlum <br> Stistrup <br> Stistrupgård <br> Fovlum Gjedsted <br> Fovlum Himmerland"
1,8.80146899,55.46951931,"Gjørding <br> Varho"
2,8.6991812,55.46858286,"Bramming kirke <br> Bramminggård"
8,8.92627143,55.75784153,"Grindsted <br> Urup <br> Dalbygård <br> Grindsted sø <br> Lamborg <br> Lundenæs <br> Nollund <br> Udtoft <br> Grindsted Vendsyssel <br> Udtoft Grindsted"
2,9.24202741,55.77058218,"Brudepøt <br> Gjødsbøl <br> Lindeballe <br> Norskov <br> Lindeballe skov <br> Amlund <br> Lindeballe Vejle <br> Lindeballe ved Vejle"
1,9.48630959,55.25084875,"Haderslev herred <br> Haderslev <br> Haderslev"
1,9.31879937,56.37078665,"Hald <br> Hald sø <br> Dollerup  <br> Hald skov"
2,9.84686328,55.89456335,"Egebjærg <br> Hansted <br> Hanstedgård <br> Skovgård"
4,9.75157225,55.96646262,"Urup <br> Lillerupholm <br> Østbirk <br> Østenkjær <br> Vestbirk <br> Mondbjærg Østbirk <br> Sattrup Østbirk"
9,9.68866011,56.1539,"Hårup <br> Hjul sø <br> Linå <br> Lundbjærg <br> Mollerup <br> Skjellerup <br> Engedalen <br> Grønbækgården <br> Hårupgård <br> Kjælling vide <br> Laven <br> Laven hovgård <br> Linå skov <br> Svejbæk <br> Tyrens hul <br> Bjarup <br> Bjaruplund ved Silkeborg <br> Hårup ved Silkeborg <br> Linå mark  <br> Linå ved "
7,9.5470055,56.16936133,"Silkeborg <br> Silkeborg skov <br> Resendal ved Silkeborg"
5,8.85177166,56.57478117,"Håsum <br> Kjærgårdsholm <br> Lundholm <br> Sønder-Lem vig <br> Vellumgård <br> Kjærgårdsholm Salling"
1,9.67463947,56.78461746,"Åstrup <br> Haverslev <br> Kragelund"
1,9.21313241,55.07592424,"Hellevad <br> Hellevad Lille-kirke <br> Svejlund bjærge <br> N-Hostrup Sønderjylland"
1,9.88849319,56.42909109,"Helstrup <br> Helstrup ved Randers"
2,9.89037661,56.38825081,"Langå <br> Torup <br> Langå bakker"
3,9.82537421,56.2802359,"Sale <br> Frisholt <br> Aptrup Sal ved Hammel <br> Sale Bjerringbro <br> Sale ved Bjerringbro"
1,8.96643749,56.59403702,"Hem <br> Hem Salling"
1,9.02997866,56.59246572,"Resen <br> Krabbesholm <br> Krabbesholm skov"
5,10.61029428,55.28111097,"Herrested <br> Ravnholt <br> Måre <br> Måre skov"
2,9.2363639,56.69459991,"Hessel <br> Hule <br> Hvalpsund <br> Lovns <br> Lovringvejene"
6,9.21998851,56.79001184,"Kjærsgård <br> Sjørup <br> Sjørup sø <br> Strandby <br> Tanderup <br> Tårup <br> Torup <br> Ærtbølle <br> Ærtbølle bjærg <br> Ærtbølle hede <br> Eldrup sige <br> Gunderupgård <br> Ildrup sige <br> Kjeldgårdsminde <br> ldrup <br> Risgård. Strandby <br> Strandbygårde <br> Myrhøj <br> Fredbjærg Strandby ved Løgs"
1,9.03680932,56.71756594,"Hestbæk <br> Rybjærg <br> Ytrup <br> Hestbæk Salling"
1,8.98445405,56.73839505,"Hedegård <br> Hegnet <br> Hegnets mølle <br> Tøndering"
1,8.40174362,55.53024781,"Hjerting <br> Guldager"
1,9.78428526,56.63226828,"Hobro <br> Hostrup <br> Tvingstrup <br> Heggedal"
1,9.81387091,56.77518886,"Rold skov <br> Hofmandsdam <br> Mylenberg <br> Rold"
1,9.49068388,55.66364171,Højen
1,8.34991012,56.3910552,"Holmgård <br> Møborg"
3,8.77525835,56.43441356,"Ryde <br> Rydhave"
1,9.40682962,56.55223769,"Holmgård  <br> Kjærulf <br> Skals <br> Skals å <br> Skals hoppe <br> Skringstrup <br> Vathus <br> Skals ved Viborg"
1,9.39024935,56.57867744,"Borup mølle <br> Låstrup <br> Borup bakker <br> Låstrup hoppe <br> Nørre-Rind <br> Sønder-Borup"
1,9.66467701,55.85329784,"Havrum <br> Hornborg <br> Flemming <br> Havrum søsten <br> Homborg ved Horsens <br> Hornborg Horsen <br> Hornborg Horsens <br> Hornborg ved Horsens <br> Kalvhave Uldum <br> Kalvhave ved Uldum"
2,9.89391897,55.71048336,"Barritskov <br> Bret"
1,9.84169772,55.72965952,"Vrigsted <br> Vrigsted ved Barrit"
1,9.12694735,56.43629508,"Dagbjærg <br> Dagbjærg Dås <br> Harrestrup"
2,9.8614429,55.97300374,"Ris <br> Ejer <br> Elling  <br> Elling skov <br> Ovsted. Voer <br> Tammestrup <br> Tebstrup <br> Tebstrup skov <br> Tebstrup sø <br> Tebstrup Ovsted Skanderborg <br> Tebstrup ved Horsens"
1,8.36724634,55.57513827,"Hostrup <br> Kravens"
18,8.56476803,55.66314101,"Nørholm <br> Armvanggård <br> Knofholm <br> Lindinggård <br> Sækbæk <br> Torstrup <br> Sig Varde <br> Torstrup ved Varde <br> Yderik Torstrup <br> Yderik Torstrup ved Varde"
1,9.42949692,55.80849147,"Hvejselgård <br> Bjarlev <br> Hvejsel <br> Ildved <br> Mindstrup <br> Hvejsel ved Vejle"
12,9.32137834,55.77096642,"Klavsholm <br> Rostrup <br> Frisvad <br> Gadbjærg <br> Klavsholm skov <br> Refstrup <br> Tødsby hede <br> Tofthøj <br> Tykhøjt <br> Gadbjærg Vejle <br> Mårskjælgård Gadbjærg ved Vejle <br> Rostrup Gadbjærg Jelling <br> Rostrup Gadbjærg <br> Rostrup ved Vejle <br> Smidstrup <br> Smidstrup ved Vejle"
1,9.41612043,55.75406825,"Fårup <br> Fårup sø <br> Fårupgård <br> Jelling <br> Jelling høje <br> Skovdallund mølle <br> Jelling (Hejls) <br> Skovdallundsmølle <br> Vævergården Jelling"
2,10.76863181,56.28251394,Hyllested
1,10.77207094,56.30167713,"Rugård <br> Rosmus"
1,8.18988814,56.30624905,"Bjærggård <br> Udstrup  <br> Fjande <br> Fjande grønne <br> Fjandø <br> Kabel kirke <br> Nissum fjord <br> Sønder-Nissum <br> Torsminde <br> Udstrup hede <br> Voldegård <br> Bjærg huse Fjand <br> Fjand S-Nissum <br> S-Nissum"
1,9.83642156,56.43028867,"Iglsø <br> Vester-Velling"
1,9.75427647,56.4540764,"Skjern <br> Karmark <br> Løvskal <br> Løvskal skov <br> Skjern bro <br> Tindbæk hestehave <br> Tindbæk Skjern <br> Tindbæk ved Skjærn"
5,9.79005515,56.40882276,"Ulstrup  <br> Grøndal"
1,9.91719629,55.46591138,"Indslev <br> Bubøl <br> Gremmelykke <br> Kjærbyholm"
1,10.36887143,55.57274748,"Krogsgård, Søndre- <br> Einsiedelsborg <br> Kjørup"
2,9.01342881,56.66903046,"Jebjærg <br> Jebjærg hede <br> lbjærg hede <br> Ilbjærg <br> Jebjærg Salling"
3,9.95341354,56.40107065,"Jebjærg <br> Torupgård <br> Frisenvold <br> Kristianslund <br> Ørum ved Randers"
2,9.99211737,56.4052325,"Lundbjærg <br> Lundbjærg skov <br> Værum"
1,10.86238959,56.47355037,"Karlby <br> Karlby ved Grenå"
1,8.869314,56.456325,Karstoft
3,8.73269709,56.59971085,"Ålbæk <br> Kås <br> Kås skov <br> Lime <br> Kås sø <br> Øster-Hærup <br> Vester-Hærup"
1,8.92905296,56.65225585,"Oddense <br> Vojens"
1,8.91959964,56.64164,"Otting <br> Øvad Eng <br> Otting Salling"
1,10.53100515,55.11410639,"Kirkeby <br> Dongs-Højrup <br> Kirkeby Mark <br> Klokkemae"
4,8.71941953,55.436327,"Hunderup <br> Kjærgård <br> Herredsbjærg <br> Hundestenen <br> Frøsiggård ved Ribe <br> Hunderup ved Ribe"
2,8.17369803,56.62066705,"Flyvholm <br> Harboøre <br> Knopper <br> Langerhuse <br> Nørre-Langer <br> Rønland <br> Sønder-Langer"
1,9.94035949,56.60150184,"Kjellerup <br> Svendstrup"
4,9.85316849,56.58423344,"Karlby <br> Glenstrup <br> Glenstrup kloster <br> Glenstrup sø <br> Gundestrup <br> Handest <br> Handest kjær <br> Mejlbjærggård <br> Tystrup by og mølle <br> Glenstrup ved Hobro <br> Gundestrup Års <br> Handest Fårup <br> Handest Onsild <br> Handest ved Randers <br> Søgård Handest ved Fårup"
1,10.1191493,55.26116322,"Højrup <br> Kjøng <br> Glamsbjærg Mølle"
12,10.16468114,56.36638954,"Klavsholm <br> Hvalløs <br> Hvalløs vie <br> Regstrup <br> Voldum <br> Voldum ved Randers"
1,10.12774216,56.3615738,"Bramstrup <br> Hallendrup <br> Nielstrup <br> Rude <br> Stubdrup"
2,9.4850338,57.07415465,"Årup <br> Kokkedal <br> Torslev <br> Alsbjærg <br> Alsbjærg bakker <br> Alsbjærglund <br> Atrup <br> Flegum <br> Fristrupgård eller Frejstrupgård <br> Stenkold <br> Torslev Han herred"
5,9.33595226,56.77379815,"Gjøtrup <br> Holme <br> Fandrup <br> Farsø <br> Fragtrup <br> Fredbjærg hovgård <br> Fredbjærg sande <br> Hvanstrup <br> Støtrup <br> Fredbjærg <br> Farsø Himmerland <br> Gjøttrup Himmerland"
1,9.23779608,56.9188957,"Malle <br> Brøttrup <br> Malle Hedegård <br> Svendstrupgård <br> Vandstedgård <br> Malle ved Løgstør"
42,9.3617377,56.71405477,"Knudstrup <br> Kokholm <br> Bølle bro <br> Bunderup <br> Kragegården <br> Lerkenfeldt <br> Lerkenfeldts mølle <br> Pin hede <br> Svingelbjærg <br> Vester-Bølle <br> Lerchenfeldt Himmerl <br> Lerkenfeldt Himmerland <br> Svingelbjærg Gjedsted <br> Svingelbjærg Himmerland <br> Vesterbølle ved Gjedste"
1,10.55570458,55.7971772,"Kolby <br> Hårmark <br> Kolby Kås <br> Krogsgården <br> Lushagen <br> Permelille <br> Vejlen <br> Vestborg banke <br> Visborg eller Vestborg <br> Kolby <br> Kolby Samsø"
1,10.57176875,55.84903122,"Bisgård <br> Tanderup <br> Dyret <br> Onsbjærg <br> Selsinggårde <br> St.-Vorbjærg <br> Stavns <br> Stavns fjord <br> Taftebjærg <br> Vadstrup <br> Sælvig"
2,9.40914342,56.19449478,"Kragelund <br> Bølling sø <br> Charlottenlund <br> Charlottenlund skov <br> Hjøllund <br> Kragelund Dam <br> Kragelund skov <br> Mellem-Frederiksdal <br> Stenholt <br> Refshale <br> Refshale Kragelund <br> Refshalegård Kragelund"
1,8.3083178,56.55861582,"Lemvig <br> Lemvig mølle"
1,8.329496,56.55614435,"Nørre-Lem <br> Kabbel"
1,9.494784,55.749688,Lerbæk
1,10.500355,57.469114,Lerbæk
6,9.66364638,56.22223224,"Borup <br> Alling mølle <br> Alling Skovgård  <br> Allinggård <br> Gravballe <br> Gravballegård <br> Svostrup <br> Asmildgårde ved Silkeborg <br> Svostrup ved Silkeborg"
1,8.61786553,55.80774922,"Lindbjærggård <br> Egkund ell. Ekknud <br> Hejbølgård <br> Mavehøj <br> Ølgod <br> Ølholm <br> Havlund Ølgod"
4,10.01075277,56.88382407,"Horsens <br> Lindenborg <br> Askildrup <br> Blendstrup <br> Blidekilde"
1,9.95432161,56.89635166,"Gjerding <br> Teglgården <br> Gjerding Himmerland <br> Gjerding ved Skjørping <br> Gjerding ved Skørping"
3,8.4446389,55.90317791,"Lønborggård <br> Bøle <br> Lønborg <br> Lønborg Å <br> Lønborg Tarum"
1,9.249415,56.862628,Lundgård
1,10.027857,56.169688,Lyngbygård
4,9.56520603,55.94774472,Matrup
2,10.72367324,56.47687714,"Hedegård <br> Mejlgård <br> Skippershoved <br> Skjærbæk <br> Glæsborg <br> Laen <br> Mejlgård skov <br> Glæsborg <br> Gleesborg Nørre herred <br> Gleesbørg Nørre herred <br> Laen Glæsborg Nørre herred"
3,10.82520646,56.50293044,"Benzon <br> Gjerild <br> Sostrup <br> Stokbro <br> Tremølle <br> Stokbro Gjerrild"
10,9.41643927,56.75901943,"Årup <br> Fruergård <br> Østrup <br> Vonsild <br> Morum <br> Svoldrup <br> Årup Himmerland <br> Morum Himmerland <br> Vonsild Himmerland"
3,10.11185967,56.88367465,"Kongstedlund <br> Mosegården <br> Sønder-Kongerslev <br> Våst sø <br> Kongerslev Himmerland <br> S-Kongerslev"
1,9.30272533,56.56686453,"Lynderup <br> Lynderupgård"
3,9.9843203,56.65025328,"Hov <br> Mariager <br> Trinderup <br> Brødløs mølle <br> Fjeldsted <br> Frandsbjærg <br> Hohøj <br> Hov skov <br> Volstedlund <br> Mariager Kloster <br> Brødløs mølle ved Mariager <br> Brødløs Mølle"
1,10.37665808,56.33447364,"Borup <br> Mørke <br> Kulsø <br> Ommestrup"
1,10.31667047,56.31261766,"Krejbjærg <br> Rosenholm <br> Tendrup <br> Hornslet <br> Hornslet <br> Hornslet mark <br> Rodskov ved Hornslet"
1,11.172495,54.879718,Nedergård
1,8.54329883,56.02629287,"Sædding <br> Sædehøj <br> Slumstrup"
3,10.3978702,55.51705368,"Nislevgård <br> Otterup"
4,10.67239199,55.53421698,"Egense  <br> Langø <br> Nordskov <br> Stubberup <br> Bogensø <br> Fyenshoved <br> Snave <br> Grønlund <br> Martofte"
3,10.6586365,55.51612464,"Dalby <br> Dalby, Lille-  <br> Skelenborg <br> Dalby friskole Hindsholmen <br> Dalby Fyen <br> Dalby Hindsholm <br> Dalby Hindsholmen <br> Hersnab Hindsholmen <br> Hindsholmen"
2,8.60490123,55.71878903,"Tirstrup <br> Lindagergård <br> Snorup <br> Letbæk mølle ved Varde <br> Tirstrup ved Varde"
1,8.75298581,55.70464667,"Andsager <br> Kvie sø"
