freq,longitude,latitude
2,8.53756484,55.79289029,"Adsbøl <br> Mosebøl <br> Strellev <br> Topgård Strellev"
1,8.24072529,56.77887529,"Agger <br> Tyborøn <br> Agger Bakker, Mors"
2,9.97477036,56.76993809,"Astrup <br> Borup <br> Borup mølle <br> Møltrup <br> Astrup nørskov <br> Freggelund bakker <br> Lille-Arden <br> Madum Sø <br> Villestrup <br> Villestrup mølle <br> Akselterp <br> Agselterp <br> Agselterp Astrup Himmerland <br> Astrup Himmerland <br> Møltrup Himmerland <br> Møltrup Astrup <br> Møltrup"
1,8.82771692,55.57328956,Åstrup
1,12.44955107,54.99609429,"Borre <br> Sønderby <br> Borre Møen"
3,9.78611904,56.16882659,"Dallerup <br> Langvad <br> Tovstrup  <br> Dallerup sø <br> Soning <br> Tovstrup Silkeborg"
1,9.86775161,55.92840987,"Tolstrup <br> Gjedved <br> Gjedved Mølle <br> Gjedved mark <br> Gjedved seminarium <br> Gjedved ved Horsens <br> Gjedvedhøjskole <br> Gjedvedmark <br> Gjedved mølle"
2,8.72348027,56.8021533,"Frøslev <br> Frøslevgård <br> Frøslev Mors"
4,8.67061542,56.81603075,"Dragstrup <br> Fins pyt <br> Vester-Jølby <br> Kobbervold"
1,10.181108,57.012936,Gåser
1,10.20254944,57.06995981,"Aslund <br> Hasselholt <br> Øster-Hassing <br> Povlstrup <br> Ø-Hassing Vendsyssel"
2,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
1,9.59039032,54.91496995,Gråsten
1,9.76258507,55.85186739,"Hatting herred <br> Hatting <br> Bygholm <br> Bygholms mølle"
2,9.4181296,56.80367274,"Havbro <br> Mølgård <br> Havbrogård <br> Tåsgårde <br> Havbro Himmerland <br> Havbro ved Ars"
1,9.9857954,57.55960816,Horne
1,10.0522261,55.91537141,"Hundslund <br> Hundslund Kloster <br> Skabelund skov <br> Sondrup. Hundslund <br> Tandrup"
4,8.17656268,56.27879324,"Husby <br> Græm <br> Husby klit <br> Skårbjærg <br> Husby Ringkjøbing <br> Husby ved Ringkjøbing"
1,9.17347087,56.31082534,"Bøgelund <br> Karup"
1,10.55570458,55.7971772,"Kolby <br> Hårmark <br> Kolby Kås <br> Krogsgården <br> Lushagen <br> Permelille <br> Vejlen <br> Vestborg banke <br> Visborg eller Vestborg <br> Kolby <br> Kolby Samsø"
