freq,longitude,latitude
1,9.93214951,57.04020941,"Ålborg <br> Ålborg  <br> Ålborg fjord <br> Aalborg <br> Aalborg"
3,9.74889991,56.8216214,"Årestrup <br> Stubberup <br> Torsted <br> Ersted <br> Ersted hule <br> Skjelhusene <br> Torstedlund <br> Tvorndal <br> Ersted Himmerland"
3,10.19506313,56.16685115,"Århus <br> Aarhus <br> Århus"
1,10.55290497,55.96474501,"Mårup <br> Nordby <br> Armhoved <br> Glistrupgård <br> Hesselholmen <br> Nordby hede <br> Issehoved <br> Lille-Øre <br> Nordby Samsø"
2,10.40685789,57.44038976,"Åsted <br> Kvissel <br> Åsted ved Frederikshavn <br> Kvissel <br> Kvissel Vendsyssel <br> Skjørtholt ved Frederikshavn"
2,10.30657345,56.99519175,"Hals <br> Hals ladegård <br> Hals skov <br> Hals"
16,9.06787969,56.69700668,"Astrup <br> Eskjær  <br> Mogenstrup <br> Nørgård <br> Rærup <br> Stovby <br> Breum <br> Breum kilde <br> Breum præstegård <br> Grinderslev <br> Grinderslev kloster <br> Rerup <br> Slejtrup <br> Vedhøjgård <br> Vejsmark <br> Eskjær skov <br> Astrup i Grinderslev S <br> Mogenstrup Salling <br> Rærup Himmerland"
3,12.08563216,54.84845785,"Åstrup <br> Moseby <br> Vejringe"
1,10.19922035,57.5422646,"Bindslev <br> Stensbæk <br> Bragholt <br> Ravheden <br> Bindslev <br> Bindslev Vendsyssel <br> Bindslev ved Hjørring <br> Nørre-Bindslev Vendsyssel <br> Skoven Bindslev Vendsyssel"
1,11.4122837,55.26619431,"Bjærge <br> Bøgelund <br> Bjærge ved Skjelskør"
1,9.6598159,55.65100588,"Brejning <br> Brøndsted mølle <br> Hvilsbjærggård <br> Åkjær skov <br> Andkjær <br> Andkjær skov <br> Gaverslund <br> Vunsvad <br> Andkjær Børko <br> Andkjær ved Børkop"
5,9.11742998,55.5219207,"Drostrup <br> Gammelby  <br> Fru Mettes bjærg <br> Holm <br> Hundsbæk <br> Læborg <br> Lægård <br> Gammelby"
1,10.50362009,57.45082532,"Flade <br> Jegen <br> Knivholt <br> Knivholt hede"
2,12.2183729,54.94106039,"Frenderupgård <br> Frenderup <br> Hjelm <br> Marienborg"
1,12.48500029,54.98462945,"Liselund <br> Businge <br> Hune sø <br> Møens klint <br> Magleby Møe"
3,9.74794645,57.16692875,"Åby <br> Åstrup <br> Fristrup <br> Hoven <br> Ry å <br> Tornegård <br> Vedsted <br> Vildmosen <br> Åby enge <br> Åbybro kro <br> Fristrup enge <br> Græsrimmen <br> Kjølvring <br> Mælport <br> Munkgård <br> Nørre-Skovby <br> Rævhede <br> Rævkjærgård <br> Ulvskov <br> Birkelse <br> Åby Hvetbo herre <br> Åby ved Åbybro <br>"
2,9.05474062,56.1479359,"Agerskov <br> Gjellerup <br> Skovby <br> Bisse <br> Hammerum bæk <br> Fastrup Gjellerup <br> Hammerum <br> Hammerum Herning <br> Hammerum højskole <br> Hammerum højskole"
8,9.12705174,55.9459115,"Nørholm <br> Ure <br> Brande <br> Brande Krat  <br> Brandure <br> Lille-Brande <br> Sandfeld sande <br> Brande Herning"
4,9.21079873,57.05402951,"Gjøtrup <br> Havgård <br> Søndergård <br> Gjøtrup Han herred <br> Gjøttrup Han herred"
1,10.89117652,56.40594271,"Bredstrup <br> Grenå <br> Bojstrup-skoven <br> Grenå-Egnen <br> Bavnehøj <br> Robstrupgård <br> Grenå"
2,8.46526917,56.51842152,"Gudum <br> Højbjærg <br> Østergård <br> Råbjærg <br> Trabjærg <br> Trælborg <br> Bjærrum <br> Englands mose eller Angelands m. <br> Gudum kloster <br> Øster-Trabjærg <br> Vester-Vium <br> Remmer <br> Dalgårdhus <br> Gudum Lemvig <br> Gudum ved Lemvig <br> Kloster Hedehus Gudum ved Lemvig <br> Surkjær Gu"
1,9.81387091,56.77518886,"Rold skov <br> Hofmandsdam <br> Mylenberg <br> Rold"
2,9.21746784,56.59746309,"Hald <br> Ørslev kloster <br> Hald Fjends herred <br> Hejlskov <br> Hejlskov ved Skive <br> Lund mark Ørslevkloster"
4,9.14028051,56.62178612,"Lundsgård <br> Lundø <br> Lundø ved Skive"
2,10.01192636,57.15092785,"Grindsted <br> Hammer <br> Hammer bakker <br> Møgelbjærg <br> Vodskov bro <br> Vodskov <br> Øsbjærg Bakker <br> Grindsted <br> Grindsted Hammer Vendsyssel <br> Hammer Vendsyssel <br> Skovlund Hov Vendsyssel <br> Vodskov Nørre-Sundby"
1,8.85177166,56.57478117,"Håsum <br> Kjærgårdsholm <br> Lundholm <br> Sønder-Lem vig <br> Vellumgård <br> Kjærgårdsholm Salling"
1,9.12831637,56.70268186,"Havbjærg <br> Tise <br> Havbjærggård <br> Skaldborg <br> Tis enge <br> Tise Torp <br> Havbjærg Tise Salling <br> Havbjærg Tisse <br> Tisse-Torp Salling"
1,10.15273583,57.21287001,"Allerup bakker <br> Hellevad <br> Kragdrup <br> Trøderup <br> Korslund <br> Allerup Hellevad Vendsyssel"
3,10.16486773,57.26998552,"Hellum <br> Vangeskrog Hellum Vendsyssel"
2,8.95267034,56.14219771,"Herning <br> Herningsholm <br> Gullestrup <br> Gullestrup Herning <br> Gullestrup ved Herning"
3,10.61029428,55.28111097,"Herrested <br> Ravnholt <br> Måre <br> Måre skov"
2,8.73479715,57.01500974,"Bro mølle <br> Hillerslev <br> Kandstrup <br> Kjeldstrup <br> Hillerslev Ty <br> Kjelstrup <br> Kjelstrup ved Tisted"
1,11.50942046,55.4901315,"Bromme <br> Bromølle"
1,9.54388431,56.3380454,"Højbjærg <br> Tange <br> Palstrup"
1,11.59905949,55.91342466,"Højby <br> Gudmundrup <br> Klint sø"
2,10.30030868,56.55153665,"Holbæk <br> Hvolbæk <br> Kare <br> Kare bakker <br> Kareholm <br> Holbækgård"
1,9.9843203,56.65025328,"Hov <br> Mariager <br> Trinderup <br> Brødløs mølle <br> Fjeldsted <br> Frandsbjærg <br> Hohøj <br> Hov skov <br> Volstedlund <br> Mariager Kloster <br> Brødløs mølle ved Mariager <br> Brødløs Mølle"
1,8.81115202,57.03933168,"Hundstrup <br> Kjølbygård"
1,8.362999,56.86183,Hvidbjærg
1,9.01342881,56.66903046,"Jebjærg <br> Jebjærg hede <br> lbjærg hede <br> Ilbjærg <br> Jebjærg Salling"
1,9.95341354,56.40107065,"Jebjærg <br> Torupgård <br> Frisenvold <br> Kristianslund <br> Ørum ved Randers"
1,12.16277647,55.00013266,"Kalvhave <br> Langø <br> Nymølle <br> Ærtehøjen <br> Pedersgård <br> Viemose <br> Viemose ved Kalvhave"
1,9.81101498,56.1519176,"Kalbygård <br> Låsby <br> Æsholt <br> Flensted <br> Kilsgård <br> Låsby høj <br> Låsby ved Silkeborg"
1,8.61786553,55.80774922,"Lindbjærggård <br> Egkund ell. Ekknud <br> Hejbølgård <br> Mavehøj <br> Ølgod <br> Ølholm <br> Havlund Ølgod"
1,10.59139922,55.83257606,"Lindholm <br> Tranbjærg <br> Blafferholm <br> Gl. Brattingsborg <br> Sellegård <br> Skagbjærg <br> Søllemark <br> Brundby <br> Dandsebjærg <br> Ørby  <br> Pilemark <br> Brundby Samsø <br> Pilemark Samsø"
1,8.480673,56.706579,Lindholm
6,9.01688742,55.5661491,"Lindknud <br> Lindserhøj <br> Lindknud Holsted <br> Ribe"
1,9.99211737,56.4052325,"Lundbjærg <br> Lundbjærg skov <br> Værum"
1,9.26398226,56.70269291,"Alstrup <br> Hestbæk <br> Lodhøj <br> Lundgård <br> Alstrup lide <br> Elkjær <br> Hestbæk mølle <br> Illeris <br> Kaldal <br> Hestbæk Alstrup <br> Hestbæk Alstrup Himmerland <br> Hestbæk ved Gjedsted"
1,9.30272533,56.56686453,"Lynderup <br> Lynderupgård"
1,9.34733479,56.52834942,"Lundsgård <br> Alminddalen <br> Hjarbæk <br> Kjølsen <br> Kjølsen hede <br> Løgstrup <br> Navntoft <br> Vorde <br> Vordebjærg <br> Hjarbæk Viborg <br> Kjølsen Viborg <br> Kjølsen ved Viborg <br> Vorde ved Viborg"
2,12.50391673,55.77013224,"Lyngby <br> Lundtofte <br> Ørholm <br> Stokkerup"
1,10.21339439,56.3006803,"Mejlby <br> Bygballe <br> Krannestrup <br> Mejlby <br> Mejlby Århus <br> Mejlby Ribe <br> Mejlby ved Århus <br> Mejlby ved Hornslet"
1,10.37665808,56.33447364,"Borup <br> Mørke <br> Kulsø <br> Ommestrup"
1,10.25423316,55.48575526,"Ørritslev <br> Serup <br> Dallund mølle <br> Serup høje <br> Søndersø <br> Søndersø skov <br> Dallund <br> Ørritslev Fye <br> Ørritslev Fyen"
1,9.2370254,56.56851646,"Ørum <br> Ørum hoppe <br> Sønder-Ørum Fjends herred"
1,9.02997866,56.59246572,"Resen <br> Krabbesholm <br> Krabbesholm skov"
1,9.33949841,55.05584055,"Mjels <br> Ris <br> Rises Skov <br> Brunde <br> Rishjarup. Sønderjylland <br> Søes"
1,10.39646714,54.84003669,"Rise <br> Stokkeby"
1,9.03680932,56.71756594,"Hestbæk <br> Rybjærg <br> Ytrup <br> Hestbæk Salling"
1,11.30667568,55.54653956,"Bliden <br> Sæby <br> Frendved <br> Fiskerhuset ved Tis sø"
1,10.01132401,56.82231318,"Siem <br> Siem skov"
1,9.5470055,56.16936133,"Silkeborg <br> Silkeborg skov <br> Resendal ved Silkeborg"
1,10.67239199,55.53421698,"Egense  <br> Langø <br> Nordskov <br> Stubberup <br> Bogensø <br> Fyenshoved <br> Snave <br> Grønlund <br> Martofte"
1,9.01802188,56.20596981,"Lindbjærg <br> Sunds <br> Ildsgård <br> Skophuset <br> Sunds præstegård <br> Rojen ved Herning <br> Sønder-Os Sunds <br> Tværmose Sunds ved Herning <br> Sunds"
