Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.21559751,55.61861785,1,266,84.35
12.55338778,55.68488326,10.68640214,56.30044853,1,301,134.93
12.55338778,55.68488326,11.30930063,55.50046107,1,256,80.9
12.55338778,55.68488326,11.30667568,55.54653956,1,259,79.87
12.55338778,55.68488326,11.4397201,55.80248958,1,281,71
12.55338778,55.68488326,10.84759727,56.37121286,1,306,130.74
12.55338778,55.68488326,11.06625641,55.69549401,1,271,93.32
12.55338778,55.68488326,9.66768366,55.97080928,1,281,183.2
12.55338778,55.68488326,9.35986674,55.11536159,1,254,211.57
12.55338778,55.68488326,10.60926315,55.39837118,1,256,126.53
12.55338778,55.68488326,12.01929904,55.7797722,2,288,35.1
12.55338778,55.68488326,9.90012939,55.27057781,2,256,173.61
12.55338778,55.68488326,10.74455972,56.36650725,1,305,135.71
12.55338778,55.68488326,11.81749277,55.15569473,1,219,75.04
12.55338778,55.68488326,11.76354234,55.22707239,2,225,71.29
12.55338778,55.68488326,11.75351597,55.17756856,2,222,75.77
12.55338778,55.68488326,10.17650943,55.53871987,1,265,150.32
9.01688742,55.5661491,9.24934405,55.69568351,1,45,20.53
8.24156208,56.26451832,8.20005733,56.23337586,3,217,4.31
8.24156208,56.26451832,10.0272562,55.41308723,2,130,146.42
8.24156208,56.26451832,10.39005511,55.39681993,1,125,165.44
8.24156208,56.26451832,9.24934405,55.69568351,1,135,89.16
8.24156208,56.26451832,8.702898,56.08892904,1,124,34.63
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7
8.7024578,56.20224399,9.14028051,56.62178612,1,30,53.93
8.80624546,55.11730256,9.10258616,54.94658235,2,135,26.81
8.80624546,55.11730256,8.94781772,55.06049031,1,125,11.02
8.80624546,55.11730256,9.07018611,54.91668922,1,143,27.97
8.80624546,55.11730256,9.21313241,55.07592424,1,100,26.32
8.80624546,55.11730256,8.96530936,54.94760919,1,152,21.44
9.17733486,55.80010134,9.7076326,56.07812985,3,47,45.29
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24
9.17733486,55.80010134,9.373212,55.885195,1,52,15.48
9.17733486,55.80010134,9.55584445,55.75117948,1,103,24.32
11.79638975,55.6060789,14.80962319,55.16979401,1,103,196.6
11.79638975,55.6060789,11.91814447,55.57810525,1,112,8.27
11.79638975,55.6060789,11.90265841,55.59897988,1,97,6.73
11.79638975,55.6060789,11.77232596,54.90879,1,181,77.64
11.79638975,55.6060789,11.76838014,55.49068151,1,188,12.97
9.68121288,56.96651518,9.97517409,56.69650549,1,149,34.98
9.68121288,56.96651518,9.9843203,56.65025328,1,152,39.76
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19
9.99781555,57.24808351,9.89119526,57.415178,1,341,19.67
10.11913347,56.53164726,10.14363148,56.67328465,2,5,15.84
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66
10.11913347,56.53164726,10.24204167,56.66137113,4,28,16.29
10.11913347,56.53164726,9.9843203,56.65025328,2,328,15.58
10.11913347,56.53164726,10.15333015,56.64244951,1,10,12.51
10.11913347,56.53164726,10.31198874,56.62719342,1,48,15.9
10.11913347,56.53164726,10.0483414,56.4586074,1,208,9.22
10.11913347,56.53164726,9.97517409,56.69650549,1,334,20.36
10.11913347,56.53164726,9.88838246,56.83713849,1,338,36.82
9.93800241,55.79863714,9.86197942,55.85797729,1,324,8.14
9.93800241,55.79863714,9.87513313,55.82054042,6,302,4.63
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34
9.93800241,55.79863714,10.0036492,55.80811982,1,76,4.24
9.93800241,55.79863714,9.51809004,56.02274383,1,314,36.18
9.68866011,56.1539,9.78611904,56.16882659,3,75,6.27
9.68866011,56.1539,9.81101498,56.1519176,2,92,7.59
9.68866011,56.1539,9.66364638,56.22223224,1,348,7.76
9.14255855,55.47592324,12.43071196,55.84474055,1,77,210.5
9.14255855,55.47592324,8.75039165,56.40578678,1,347,106.36
9.14255855,55.47592324,9.13191071,56.58161849,1,360,123.09
