Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.51064384,54.72686536,1,212,125.54
12.55338778,55.68488326,11.06625641,55.69549401,1,271,93.32
12.55338778,55.68488326,12.36413324,55.78331028,1,313,16.15
12.55338778,55.68488326,12.19971411,55.30811363,1,208,47.5
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02
12.55338778,55.68488326,12.26530969,55.83761231,1,313,24.79
12.55338778,55.68488326,10.36139511,55.33936662,1,255,143.41
9.46495051,56.20785556,8.21050888,56.10159678,1,262,78.67
9.01688742,55.5661491,8.761911,55.327904,1,211,31.02
9.01688742,55.5661491,9.63609942,56.59030387,2,18,120.32
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86
8.24156208,56.26451832,10.60926315,55.39837118,1,122,176.65
8.24156208,56.26451832,8.34991012,56.3910552,1,25,15.59
8.24156208,56.26451832,8.41956866,56.00107272,1,159,31.34
8.24156208,56.26451832,11.55538777,55.45773482,1,112,225.63
8.24156208,56.26451832,8.30700823,56.19509868,1,152,8.72
9.88182547,56.11098135,9.93019729,56.03898678,1,159,8.56
9.88182547,56.11098135,9.94012695,56.1357368,1,53,4.55
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91
8.80624546,55.11730256,8.81679207,55.06013901,2,174,6.4
8.80624546,55.11730256,9.21313241,55.07592424,1,100,26.32
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07
8.80624546,55.11730256,9.48630959,55.25084875,1,71,45.71
9.17733486,55.80010134,9.75157225,55.96646262,1,62,40.35
9.17733486,55.80010134,9.6615436,55.98937886,1,55,36.84
9.17733486,55.80010134,9.38319082,55.70244629,2,130,16.87
9.17733486,55.80010134,9.30436222,55.71874186,3,139,12.06
9.17733486,55.80010134,9.373212,55.885195,1,52,15.48
11.79638975,55.6060789,12.16277647,55.00013266,1,161,71.34
11.79638975,55.6060789,11.76354234,55.22707239,1,183,42.24
11.79638975,55.6060789,12.03285693,55.1049871,2,165,57.75
11.79638975,55.6060789,11.87311353,55.63569967,1,56,5.84
11.79638975,55.6060789,11.39543217,55.62219558,1,274,25.27
9.31819277,55.02032089,9.19196978,55.87934678,1,355,95.96
9.31819277,55.02032089,9.56918805,55.01426547,1,92,16.03
9.31819277,55.02032089,9.07696481,54.9699841,1,250,16.39
9.68121288,56.96651518,9.64459583,56.98237689,1,308,2.84
9.32170212,55.51180511,9.76768063,56.00244817,1,27,61.35
9.32170212,55.51180511,9.30973468,55.61507191,1,356,11.52
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19
9.99781555,57.24808351,9.96556941,57.17978982,1,194,7.85
9.99781555,57.24808351,10.35104153,57.24032431,1,92,21.29
9.99781555,57.24808351,10.11611215,56.82866129,1,171,47.24
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29
10.11913347,56.53164726,10.31198874,56.62719342,1,48,15.9
10.11913347,56.53164726,10.1617549,56.48297994,1,154,6.02
