Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,9.85556339,56.25716427,1,292,179.72
12.55338778,55.68488326,10.28792117,57.15748006,1,320,215.21
12.55338778,55.68488326,12.50083367,55.80989088,2,347,14.3
12.55338778,55.68488326,9.35986674,55.11536159,1,254,211.57
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02
12.55338778,55.68488326,12.01929904,55.7797722,1,288,35.1
9.01688742,55.5661491,8.9892034,55.50158803,1,194,7.4
8.24156208,56.26451832,10.09670998,55.5001816,1,125,143.72
8.24156208,56.26451832,10.15997114,55.47376268,1,125,148.67
8.24156208,56.26451832,8.33953781,56.29960833,2,57,7.21
9.07696481,54.9699841,9.31819277,55.02032089,1,70,16.39
9.07696481,54.9699841,9.72628521,54.91338897,1,98,41.99
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
9.17733486,55.80010134,9.7076326,56.07812985,2,47,45.29
11.79638975,55.6060789,12.05240733,55.11870202,1,163,56.62
11.79638975,55.6060789,11.76354234,55.22707239,1,183,42.24
9.68121288,56.96651518,9.61424246,56.94766364,2,243,4.57
9.32170212,55.51180511,9.24419327,55.55835913,1,317,7.12
9.99781555,57.24808351,10.01192636,57.15092785,1,175,10.85
9.99781555,57.24808351,9.50899595,57.09430845,1,240,34.11
10.11913347,56.53164726,10.03578012,56.53842593,1,278,5.17
9.93800241,55.79863714,9.92856546,55.77075429,3,191,3.16
9.14255855,55.47592324,11.25718547,55.36278196,1,95,134.19
9.14255855,55.47592324,9.30436222,55.71874186,1,21,28.88
9.14255855,55.47592324,9.937012,55.93928701,1,44,71.72
9.14255855,55.47592324,9.90314564,56.48560693,1,23,121.97
9.49149073,55.49190407,9.84559872,56.01132805,1,21,61.93
9.49149073,55.49190407,9.75157225,55.96646262,1,17,55.29
10.52468885,55.17876846,10.70372579,55.36192302,1,29,23.34
10.52468885,55.17876846,10.68597858,55.4965815,1,16,36.82
8.95267034,56.14219771,9.5521637,55.71165991,1,142,60.78
9.97477036,56.76993809,9.9260865,56.73172154,2,215,5.19
9.97477036,56.76993809,9.97425461,56.82201514,2,360,5.8
9.97477036,56.76993809,9.85296203,56.6747888,1,215,12.94
9.82537421,56.2802359,9.86449283,56.30454262,1,42,3.63
10.53161141,55.23721546,10.48172023,55.2383892,1,272,3.17
10.53161141,55.23721546,10.39005511,55.39681993,1,333,19.9
10.53161141,55.23721546,9.80011611,55.46035275,2,298,52.54
9.5521637,55.71165991,10.31667047,56.31261766,1,35,82.09
9.5521637,55.71165991,10.21049352,56.26873003,1,33,74.33
9.5521637,55.71165991,9.2939597,55.31614505,2,200,46.94
9.5521637,55.71165991,8.70681512,55.39688553,1,237,63.72
10.31667047,56.31261766,10.12774216,56.3615738,1,295,12.87
10.31667047,56.31261766,8.18259745,56.1297722,1,262,133.64
11.62189769,55.71362383,10.29659671,57.40928505,1,337,205.51
11.21334063,55.65521253,11.76838014,55.49068151,1,117,39.44
11.21334063,55.65521253,11.83510257,55.52285147,1,110,41.8
9.74794645,57.16692875,9.90701839,57.30294273,2,32,17.92
9.74794645,57.16692875,9.71411564,57.31273827,1,353,16.36
9.74794645,57.16692875,9.85763259,57.11839779,1,129,8.55
9.74794645,57.16692875,10.09226362,57.2849937,1,58,24.56
9.74794645,57.16692875,9.86429637,57.32061766,1,22,18.49
9.74794645,57.16692875,9.99781555,57.24808351,2,59,17.57
9.74794645,57.16692875,9.83422482,57.36607902,2,13,22.77
9.74794645,57.16692875,9.73562834,57.03783474,1,183,14.39
9.74794645,57.16692875,10.32289645,57.34965454,1,59,40.15
11.22814319,55.53878322,9.29280551,55.42672846,1,265,122.71
9.01276464,56.44164212,9.9752457,55.28372306,1,155,142.23
9.52005422,56.21760026,9.52098813,56.18420884,2,179,3.72
11.29584204,55.61003819,12.11865563,55.08975669,1,138,77.89
11.42615124,55.74366106,11.4397201,55.80248958,2,7,6.6
10.57176876,55.84903122,10.55290497,55.96474501,1,355,12.93
10.57176876,55.84903122,10.55570458,55.7971772,1,190,5.86
10.57176876,55.84903122,10.67239199,55.53421698,1,170,35.61
10.25423316,55.48575526,9.96556941,57.17978982,1,355,189.42
