Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,10.68640214,56.30044853,2,301,134.93
12.55338778,55.68488326,8.31670931,56.75720487,1,296,288.05
12.55338778,55.68488326,10.60926315,55.39837118,1,256,126.53
12.55338778,55.68488326,12.57343889,56.01610814,1,2,36.89
12.55338778,55.68488326,8.67061542,56.81603075,1,299,271.09
9.46495051,56.20785556,9.40914342,56.19449478,1,247,3.76
9.01688742,55.5661491,9.63609942,56.59030387,1,18,120.32
8.24156208,56.26451832,9.38319082,55.70244629,1,131,94.7
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21
8.24156208,56.26451832,8.31181859,56.45083072,1,12,21.19
8.24156208,56.26451832,9.85700048,55.37125621,1,134,141.75
8.24156208,56.26451832,8.87320042,55.3718221,1,158,106.94
8.24156208,56.26451832,8.73244274,55.36384026,1,163,104.86
9.07696481,54.9699841,9.31819277,55.02032089,1,70,16.39
9.88182547,56.11098135,9.95281764,56.11665377,1,82,4.45
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91
8.80624546,55.11730256,9.36239271,55.19519696,1,76,36.42
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07
8.80624546,55.11730256,8.18988814,56.30624905,1,344,137.88
8.80624546,55.11730256,8.794384,56.265473,1,360,127.82
9.17733486,55.80010134,9.937012,55.93928701,1,72,49.91
9.17733486,55.80010134,9.30436222,55.71874186,2,139,12.06
9.17733486,55.80010134,10.17381332,56.50485268,1,38,99.86
9.17733486,55.80010134,10.03578012,56.53842593,1,33,97.9
9.17733486,55.80010134,8.78193285,55.93835342,1,302,29.1
11.79638975,55.6060789,11.83510257,55.52285147,1,165,9.58
11.79638975,55.6060789,12.55338778,55.68488326,1,79,48.36
11.79638975,55.6060789,12.11021698,55.46453395,1,128,25.28
9.31819277,55.02032089,9.17997552,55.2711306,1,343,29.27
9.68121288,56.96651518,9.61424246,56.94766364,1,243,4.57
9.32170212,55.51180511,9.49149073,55.49190407,1,102,10.93
9.32170212,55.51180511,10.64791633,55.49989519,1,90,83.62
9.99781555,57.24808351,10.28792117,57.15748006,1,120,20.19
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66
10.11913347,56.53164726,10.33760845,56.50255801,1,103,13.8
10.11913347,56.53164726,8.406612,56.05291,1,244,118.45
9.93800241,55.79863714,9.78571328,55.72107171,1,228,12.87
9.68866011,56.1539,9.6928785,56.18970837,1,4,3.99
9.14255855,55.47592324,9.40682962,56.55223769,1,8,120.94
9.14255855,55.47592324,10.08609309,56.38771491,1,30,117.32
9.14255855,55.47592324,9.66189836,56.59530828,1,14,128.73
9.14255855,55.47592324,9.41612043,55.75406825,1,29,35.42
9.14255855,55.47592324,8.48301381,55.6233681,1,292,44.66
9.14255855,55.47592324,9.61140386,55.46166565,1,93,29.63
8.46526917,56.51842152,8.31181859,56.45083072,1,232,12.07
8.46526917,56.51842152,8.40990349,56.55878913,1,323,5.63
8.46526917,56.51842152,8.329496,56.55614435,1,297,9.33
8.46526917,56.51842152,8.18454087,56.44940382,1,246,18.89
11.52566098,55.50739674,11.62154222,55.55514813,1,49,8.05
9.49149073,55.49190407,9.44872588,55.60181971,1,348,12.53
9.49149073,55.49190407,9.8614429,55.97300374,2,23,58.36
8.95267034,56.14219771,8.53003402,56.17769268,1,279,26.5
9.97477036,56.76993809,9.53743676,56.96224749,1,309,34.15
9.97477036,56.76993809,10.01075277,56.88382407,1,10,12.87
9.97477036,56.76993809,10.89117652,56.40594271,1,125,69.26
9.97477036,56.76993809,11.1239032,54.89912876,1,160,220.29
12.49697944,55.87703196,12.41140548,55.96966209,1,333,11.61
12.49697944,55.87703196,12.05240733,55.11870202,1,199,88.95
12.49697944,55.87703196,12.31187972,56.11894532,1,337,29.29
9.82537421,56.2802359,11.09581415,55.68344305,1,129,103.31
12.57120585,55.76203412,10.14450884,56.252295,3,291,160.58
10.53161141,55.23721546,10.48172023,55.2383892,1,272,3.17
10.53161141,55.23721546,10.74650728,55.17597852,1,116,15.26
10.53161141,55.23721546,12.09151197,55.82302797,1,56,117.94
8.9366792,55.45078486,9.57743689,56.37366129,1,21,110.24
12.11926659,55.52436802,12.16174076,55.4998807,1,135,3.82
9.5521637,55.71165991,9.65824266,55.74095127,1,64,7.41
9.5521637,55.71165991,12.48500029,54.98462945,1,112,202.49
9.5521637,55.71165991,8.71941953,55.436327,1,240,60.71
9.5521637,55.71165991,8.64674475,55.42798863,1,241,65.15
11.09581415,55.68344305,8.57136705,56.83725467,1,310,202.11
9.3847749,56.92849264,8.57136705,56.83725467,1,259,50.5
9.3847749,56.92849264,9.35760145,56.94930757,1,324,2.84
8.59144328,56.40590419,8.65614946,56.27433361,1,165,15.18
8.59144328,56.40590419,8.58734506,56.4491865,1,357,4.82
8.59144328,56.40590419,8.31181859,56.45083072,1,286,17.92
