Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,9.97718946,56.22214714,1,291,171.32
9.01688742,55.5661491,8.77858359,55.33618399,3,211,29.69
9.01688742,55.5661491,8.718767,55.392738,1,224,26.95
9.01688742,55.5661491,8.73244274,55.36384026,1,219,28.8
9.01688742,55.5661491,8.96530936,54.94760919,1,183,68.93
9.01688742,55.5661491,8.9892034,55.50158803,5,194,7.4
9.01688742,55.5661491,9.24419327,55.55835913,1,93,14.34
9.01688742,55.5661491,9.34202377,55.46310117,1,119,23.48
8.24156208,56.26451832,9.06787969,56.69700668,1,46,69.99
8.24156208,56.26451832,9.02754383,56.82667681,1,37,79.01
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65
9.88182547,56.11098135,9.348564,55.931241,1,239,38.74
9.88182547,56.11098135,9.93019729,56.03898678,1,159,8.56
9.88182547,56.11098135,10.16351111,56.06922865,1,105,18.1
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63
8.80624546,55.11730256,9.25058971,54.9343524,3,125,34.91
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
8.80624546,55.11730256,8.8669604,54.94019039,1,169,20.09
8.80624546,55.11730256,9.4116545,55.04862654,1,101,39.33
8.80624546,55.11730256,9.10258616,54.94658235,2,135,26.81
9.17733486,55.80010134,9.38319082,55.70244629,2,130,16.87
9.17733486,55.80010134,9.30436222,55.71874186,1,139,12.06
9.17733486,55.80010134,9.32137834,55.77096642,1,110,9.58
9.17733486,55.80010134,8.92627143,55.75784153,1,253,16.41
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24
9.17733486,55.80010134,8.56476803,55.66314101,1,249,41.31
9.17733486,55.80010134,8.77858359,55.33618399,1,206,57.42
9.17733486,55.80010134,12.55338778,55.68488326,1,92,211.92
11.79638975,55.6060789,11.77046667,55.6131776,2,296,1.81
11.79638975,55.6060789,12.55338778,55.68488326,2,79,48.36
11.79638975,55.6060789,11.79244904,55.43881169,1,181,18.62
11.79638975,55.6060789,12.03992675,55.57338978,1,103,15.75
11.79638975,55.6060789,11.608922,55.590339,1,262,11.92
11.79638975,55.6060789,11.7649764,55.57309263,1,208,4.17
11.79638975,55.6060789,11.777472,55.640932,2,343,4.06
9.29617367,57.09917817,9.00383831,57.02701394,1,246,19.43
9.29617367,57.09917817,8.56931314,56.61326781,1,220,69.88
9.29617367,57.09917817,8.84204377,57.03302314,1,255,28.45
9.68121288,56.96651518,9.54388431,56.3380454,1,187,70.46
9.32170212,55.51180511,9.14109107,55.56995085,1,300,13.09
9.32170212,55.51180511,9.24419327,55.55835913,1,317,7.12
9.32170212,55.51180511,9.1999361,55.52522839,1,281,7.82
9.32170212,55.51180511,9.434338,55.775945,1,14,30.24
9.32170212,55.51180511,9.937012,55.93928701,1,39,61.26
10.94768309,55.73466966,9.72628521,54.91338897,1,221,119.75
10.11913347,56.53164726,10.03578012,56.53842593,1,278,5.17
10.11913347,56.53164726,9.92891517,56.54533545,1,277,11.77
9.68866011,56.1539,9.78611904,56.16882659,1,75,6.27
9.68866011,56.1539,9.73981585,56.22900602,1,21,8.94
9.68866011,56.1539,9.6928785,56.18970837,1,4,3.99
9.68866011,56.1539,9.6856841,56.24978537,1,359,10.68
9.68866011,56.1539,10.02530132,56.41896103,1,35,36.1
9.99999312,55.92744303,10.00194886,55.89344365,2,178,3.79
9.99999312,55.92744303,10.39005511,55.39681993,1,157,63.94
9.99999312,55.92744303,12.55338778,55.68488326,1,99,162
9.99999312,55.92744303,9.81387091,56.77518886,1,353,95.07
9.99999312,55.92744303,10.12959102,56.58744711,1,6,73.91
9.99999312,55.92744303,9.99083084,55.36324414,1,181,62.81
9.99999312,55.92744303,10.0483414,56.4586074,2,3,59.2
9.99999312,55.92744303,10.17396194,55.51225264,1,167,47.49
9.99999312,55.92744303,9.87059793,56.34485987,2,350,47.15
9.99999312,55.92744303,9.872761,56.344184,2,350,47.06
9.99999312,55.92744303,8.79073935,55.41670096,1,234,94.84
9.99999312,55.92744303,10.15214764,56.39792757,1,10,53.22
9.99999312,55.92744303,9.937012,55.93928701,1,289,4.14
9.99999312,55.92744303,9.84559872,56.01132805,1,314,13.41
9.14255855,55.47592324,12.55338778,55.68488326,2,82,215.85
9.14255855,55.47592324,8.31799745,56.11248916,1,324,87.66
10.15055444,55.97882035,10.18626422,55.95692501,1,138,3.3
10.15055444,55.97882035,9.28827377,56.41466039,1,313,72.15
10.15055444,55.97882035,9.50462116,56.49808114,3,326,70.27
10.15055444,55.97882035,10.221748,55.991901,1,72,4.67
10.15055444,55.97882035,8.9892034,55.50158803,1,234,90.1
10.15055444,55.97882035,8.73672367,56.81203718,1,317,127.24
10.15055444,55.97882035,10.27140358,56.52008274,1,7,60.71
