Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,12.49697944,55.87703196,1,351,21.68
12.55338778,55.68488326,9.50899595,57.09430845,1,311,244.52
12.55338778,55.68488326,10.430304,55.23965024,1,251,142.86
12.55338778,55.68488326,10.48957747,55.43023774,1,259,132.99
12.55338778,55.68488326,10.48172023,55.2383892,1,250,139.87
12.55338778,55.68488326,12.43071196,55.84474055,2,337,19.38
12.55338778,55.68488326,11.5637071,54.76184575,1,212,120.44
12.55338778,55.68488326,11.21334063,55.65521253,2,268,84.19
12.55338778,55.68488326,11.30930063,55.50046107,2,256,80.9
12.55338778,55.68488326,11.14059586,55.64646634,1,268,88.81
12.55338778,55.68488326,11.39288487,55.72992499,1,274,72.96
12.55338778,55.68488326,10.81577996,56.31368678,1,304,128.83
12.55338778,55.68488326,11.38081372,55.47713842,1,253,77.32
12.55338778,55.68488326,11.1239032,54.89912876,1,227,125.93
12.55338778,55.68488326,10.15273583,57.21287001,1,320,225.24
12.55338778,55.68488326,10.16486773,57.26998552,1,321,229.53
12.55338778,55.68488326,11.87018356,55.14565068,1,216,73.94
12.55338778,55.68488326,12.26697621,55.79216521,1,304,21.56
12.55338778,55.68488326,11.99387683,55.83905468,2,296,39.02
12.55338778,55.68488326,11.5228518,55.7107697,1,273,64.71
12.55338778,55.68488326,12.57343889,56.01610814,2,2,36.89
12.55338778,55.68488326,12.62152375,56.01610814,2,7,37.12
12.55338778,55.68488326,11.79244904,55.43881169,1,241,55.18
12.55338778,55.68488326,11.75351597,55.17756856,1,222,75.77
9.46495051,56.20785556,9.40914342,56.19449478,3,247,3.76
9.01688742,55.5661491,11.58779896,55.23357245,1,102,166.67
9.01688742,55.5661491,9.07018611,54.91668922,2,177,72.38
9.01688742,55.5661491,8.76125305,55.1559085,1,200,48.45
9.01688742,55.5661491,8.89396153,55.83813703,1,346,31.24
8.24156208,56.26451832,8.65055798,55.95891424,1,143,42.45
8.24156208,56.26451832,10.0272562,55.41308723,1,130,146.42
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21
8.24156208,56.26451832,8.89396153,55.83813703,2,139,62.43
8.24156208,56.26451832,9.40066468,55.65757088,1,133,98.9
8.24156208,56.26451832,9.41612043,55.75406825,1,127,92.58
8.24156208,56.26451832,8.14158228,56.47814353,1,345,24.57
8.24156208,56.26451832,8.50621919,56.0187194,1,149,31.91
8.24156208,56.26451832,9.12705174,55.9459115,2,122,65.42
8.24156208,56.26451832,8.80803228,56.60465638,1,42,51.47
8.24156208,56.26451832,9.44747622,55.70808741,1,129,97.34
8.24156208,56.26451832,8.73244274,55.36384026,1,163,104.86
9.88182547,56.11098135,9.73159609,56.11245692,1,271,9.33
9.88182547,56.11098135,9.94934902,56.51501056,1,5,45.17
8.7024578,56.20224399,8.810434,56.6441,2,8,49.63
8.7024578,56.20224399,8.73269709,56.59971085,1,2,44.28
8.7024578,56.20224399,9.05689351,55.36810054,1,166,95.47
8.7024578,56.20224399,9.14028051,56.62178612,1,30,53.93
8.7024578,56.20224399,8.69072917,56.70084584,1,359,55.51
8.7024578,56.20224399,8.86226781,56.65591926,1,11,51.45
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
8.80624546,55.11730256,9.36239271,55.19519696,2,76,36.42
8.80624546,55.11730256,8.8669604,54.94019039,1,169,20.09
