Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,9.38258003,55.40809558,2,263,202.03
12.55338778,55.68488326,10.03937754,56.27874967,1,294,169.94
12.55338778,55.68488326,9.85556339,56.25716427,1,292,179.72
12.55338778,55.68488326,9.5521637,55.71165991,1,272,188.29
12.55338778,55.68488326,11.50911616,54.77425467,1,214,121.12
12.55338778,55.68488326,12.03507793,55.08196045,1,206,74.69
12.55338778,55.68488326,10.35104153,57.24032431,1,323,219.81
12.55338778,55.68488326,10.72367324,56.47687714,1,308,143.84
12.55338778,55.68488326,11.99095308,55.10619822,1,209,73.58
9.94495944,57.49944519,10.09111504,57.54013728,1,63,9.84
9.94495944,57.49944519,10.02870892,57.55574435,1,39,8.02
8.24156208,56.26451832,8.54329883,56.02629287,1,145,32.46
9.07696481,54.9699841,9.19196978,55.87934678,1,4,101.49
8.80624546,55.11730256,8.80163831,54.94261759,1,181,19.45
8.80624546,55.11730256,9.10258616,54.94658235,1,135,26.81
8.80624546,55.11730256,8.90706651,56.13391485,1,3,113.35
8.80624546,55.11730256,9.38258003,55.40809558,1,48,48.83
9.29617367,57.09917817,8.81115202,57.03933168,1,257,30.1
9.29617367,57.09917817,8.97989659,57.03783744,1,251,20.32
9.68121288,56.96651518,9.61424246,56.94766364,2,243,4.57
9.99781555,57.24808351,10.15273583,57.21287001,1,113,10.12
9.99781555,57.24808351,9.96556941,57.17978982,1,194,7.85
9.99781555,57.24808351,9.83422482,57.36607902,1,323,16.41
9.99781555,57.24808351,10.32289645,57.34965454,1,60,22.58
9.99781555,57.24808351,9.80331066,57.29650619,1,295,12.89
9.99781555,57.24808351,10.01075277,56.88382407,1,179,40.56
9.99781555,57.24808351,10.35104153,57.24032431,2,92,21.29
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66
10.11913347,56.53164726,10.24204167,56.66137113,3,28,16.29
10.11913347,56.53164726,10.15333015,56.64244951,5,10,12.51
10.11913347,56.53164726,10.30030868,56.55153665,1,79,11.34
9.93800241,55.79863714,9.87513313,55.82054042,1,302,4.63
9.93800241,55.79863714,9.92856546,55.77075429,1,191,3.16
9.93800241,55.79863714,9.81387091,56.77518886,1,356,108.98
9.93800241,55.79863714,10.023887,55.746783,1,137,7.89
9.93800241,55.79863714,9.89391897,55.71048336,1,196,10.19
9.68866011,56.1539,9.5470055,56.16936133,4,281,8.95
9.68866011,56.1539,8.30700823,56.19509868,1,274,85.74
9.99999312,55.92744303,10.00194886,55.89344365,1,178,3.79
9.14255855,55.47592324,9.61130651,56.51098866,1,14,118.86
9.14255855,55.47592324,8.33953781,56.29960833,1,332,104.5
9.14255855,55.47592324,9.11742998,55.5219207,1,343,5.36
8.46526917,56.51842152,8.55094866,56.53928979,1,66,5.75
8.46526917,56.51842152,8.56931314,56.61326781,1,31,12.34
9.66542509,55.59473397,9.6598159,55.65100588,1,357,6.27
9.61833913,56.27388691,9.25779543,55.90628978,1,209,46.65
9.61833913,56.27388691,10.03578012,56.53842593,1,41,39.09
9.61833913,56.27388691,9.66364638,56.22223224,1,154,6.4
9.49149073,55.49190407,8.85868214,56.7945817,1,345,150.23
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76
9.97477036,56.76993809,9.98880571,56.50431637,1,178,29.58
9.97477036,56.76993809,10.0483414,56.4586074,1,173,34.95
9.97477036,56.76993809,9.46847879,56.98422923,1,308,38.95
9.97477036,56.76993809,9.96556941,57.17978982,1,359,45.63
9.97477036,56.76993809,9.97425461,56.82201514,2,360,5.8
9.97477036,56.76993809,10.11611215,56.82866129,1,53,10.81
9.97477036,56.76993809,9.50899595,57.09430845,1,322,45.87
9.97477036,56.76993809,9.61130651,56.51098866,1,218,36.41
12.08126874,55.64834763,10.35104153,57.24032431,1,330,206.72
12.08126874,55.64834763,9.38258003,55.40809558,1,262,172.11
9.82537421,56.2802359,11.4397201,55.80248958,2,117,113.6
10.53161141,55.23721546,10.49370528,55.35536226,2,350,13.37
10.53161141,55.23721546,10.07977929,55.52595187,1,318,43.01
8.9366792,55.45078486,9.66364638,56.22223224,1,28,97.16
8.9366792,55.45078486,8.79073935,55.41670096,1,248,9.97
8.9366792,55.45078486,9.57743689,56.37366129,1,21,110.24
9.5521637,55.71165991,8.71941953,55.436327,2,240,60.71
9.5521637,55.71165991,8.6991812,55.46858286,1,244,60.09
11.09581415,55.68344305,10.15333015,56.64244951,2,332,121.69
11.09581415,55.68344305,8.58942945,56.95694272,1,313,209.82
10.31667047,56.31261766,9.85556339,56.25716427,1,258,29.15
8.59144328,56.40590419,8.64201964,56.43840428,1,41,4.77
8.59144328,56.40590419,8.810434,56.6441,1,27,29.73
8.59144328,56.40590419,8.30700823,56.19509868,1,217,29.31
8.59144328,56.40590419,8.63457101,56.55206082,1,9,16.48
11.62189769,55.71362383,11.61945729,55.70048049,1,186,1.47
11.21334063,55.65521253,9.70370454,55.63840667,1,269,94.85
11.21334063,55.65521253,10.35104153,57.24032431,1,344,184.25
9.74794645,57.16692875,9.90701839,57.30294273,1,32,17.92
9.74794645,57.16692875,9.95603185,57.16277574,1,92,12.57
9.74794645,57.16692875,8.79464452,56.88904662,1,242,65.52
9.74794645,57.16692875,10.09111504,57.54013728,1,26,46.38
9.74794645,57.16692875,10.02870892,57.55574435,1,21,46.45
11.32404229,55.48889218,9.82346994,55.50641302,1,272,94.64
11.42615124,55.74366106,10.52468885,55.17876846,1,223,84.8
10.25423316,55.48575526,10.31436852,55.45333858,1,133,5.24
10.25423316,55.48575526,10.21582202,55.47335524,1,240,2.79
10.09226362,57.2849937,10.09554613,57.47845447,2,1,21.54
10.09226362,57.2849937,10.02870892,57.55574435,2,353,30.38
10.09226362,57.2849937,10.09111504,57.54013728,1,360,28.4
10.011324,56.82231318,10.35104153,57.24032431,1,24,50.88
12.23240203,55.28386322,12.19971411,55.30811363,1,322,3.4
8.85730379,55.5490305,9.66364638,56.22223224,4,34,90.28
12.08995675,55.1945324,12.11441045,55.25465813,1,13,6.87
12.08995675,55.1945324,8.21425645,56.19854236,1,296,267.56
11.96429115,55.26538826,10.37733781,55.28532052,1,272,100.65
9.66958207,57.21084237,9.74794645,57.16692875,2,136,6.8
9.74889991,56.8216214,9.81387091,56.77518886,1,142,6.51
9.28273477,56.72716896,9.21998851,56.79001184,1,331,7.97
9.28273477,56.72716896,9.33595226,56.77379815,1,32,6.12
8.25410165,56.08699748,8.50307568,56.11106335,1,80,15.69
8.25410165,56.08699748,8.86845772,56.45666669,2,43,55.99
8.89396153,55.83813703,9.5470055,56.16936133,1,48,54.88
9.88704892,56.98163851,9.8965714,56.95132156,1,170,3.42
9.88704892,56.98163851,10.20254944,57.06995981,1,63,21.5
9.88704892,56.98163851,9.85612331,56.85858438,1,188,13.83
11.95792563,54.7421868,11.73604851,54.69654826,1,251,15.14
11.95792563,54.7421868,11.94052891,54.60199482,1,184,15.65
10.39005511,55.39681993,10.14753869,56.73736302,1,354,149.99
10.60926315,55.39837118,10.66712905,55.38197543,1,116,4.09
10.6586365,55.51612464,10.64791633,55.49989519,1,201,1.93
10.6586365,55.51612464,9.50583515,55.46759288,1,266,72.9
10.6586365,55.51612464,11.98343325,55.66905184,1,78,85.05
10.6586365,55.51612464,9.94002992,56.07238255,1,324,76.53
9.4886069,55.5670455,9.6598159,55.65100588,1,49,14.26
9.40914342,56.19449478,9.61130651,56.51098866,1,19,37.37
9.40914342,56.19449478,11.90217116,55.00330223,1,129,205.33
9.40914342,56.19449478,8.810434,56.6441,1,324,62.16
9.40914342,56.19449478,10.16371716,55.10877067,1,158,129.82
10.21339439,56.3006803,10.21049352,56.26873003,1,183,3.56
10.31436852,55.45333858,10.35104153,57.24032431,1,1,198.94
10.27390217,55.51951195,10.36887143,55.57274748,1,45,8.42
10.27390217,55.51951195,10.25423316,55.48575526,1,198,3.96
10.27390217,55.51951195,10.17093158,55.55632354,2,302,7.67
10.27390217,55.51951195,10.07977929,55.52595187,1,273,12.25
10.27390217,55.51951195,10.3978702,55.51705368,2,92,7.82
10.27390217,55.51951195,10.60926315,55.39837118,2,122,25.1
10.27390217,55.51951195,10.6878531,55.21758178,1,142,42.61
10.27390217,55.51951195,10.27863133,55.19336286,2,180,36.31
10.27390217,55.51951195,9.66542509,55.59473397,1,283,39.21
10.27390217,55.51951195,10.68835643,55.04775457,1,153,58.72
10.27390217,55.51951195,9.93314947,56.18447132,1,344,77.02
10.27390217,55.51951195,9.85556339,56.25716427,1,342,86.17
9.37836463,56.45780394,9.66542509,55.59473397,1,169,97.72
9.37836463,56.45780394,9.50462116,56.49808114,1,60,8.96
9.37836463,56.45780394,8.86845772,56.45666669,1,270,31.36
10.21582202,55.47335524,10.42316297,55.07391189,1,163,46.37
10.21582202,55.47335524,10.15273583,57.21287001,1,359,193.68
9.90594911,55.480346,9.8643127,55.4901813,1,293,2.85
9.87184612,55.35964882,12.39979713,54.99535345,1,103,165.72
10.62175761,55.0641916,10.35104153,57.24032431,1,356,242.82
10.62175761,55.0641916,10.15273583,57.21287001,1,353,240.95
10.45547016,56.34646653,10.84759727,56.37121286,1,83,24.34
8.90740872,56.43289346,8.95267034,56.14219771,1,175,32.48
10.33760845,56.50255801,10.47929094,56.38581059,1,146,15.65
10.33760845,56.50255801,9.98880571,56.50431637,1,271,21.43
10.33760845,56.50255801,10.0483414,56.4586074,1,255,18.44
10.18655208,56.57922546,10.0483414,56.4586074,1,212,15.88
10.18655208,56.57922546,10.28306119,56.4446316,2,158,16.11
10.18655208,56.57922546,10.19824035,56.41384351,1,178,18.42
10.68098765,56.44202313,8.95987524,55.15214579,2,218,179.48
10.68098765,56.44202313,10.70248201,56.22370281,1,177,24.34
10.68098765,56.44202313,10.68640214,56.30044853,2,179,15.76
9.30973468,55.61507191,9.49149073,55.49190407,1,140,17.86
9.30973468,55.61507191,9.25779543,55.90628978,1,354,32.58
9.30973468,55.61507191,9.6598159,55.65100588,1,80,22.36
9.30973468,55.61507191,9.75157225,55.96646262,1,35,47.9
9.99749113,57.45913657,10.13688564,57.42516618,1,114,9.17
9.99749113,57.45913657,10.02870892,57.55574435,1,10,10.92
10.30975213,57.61903603,8.61016464,56.36097923,1,217,173.87
10.30975213,57.61903603,10.19597408,57.47425374,1,203,17.49
10.29659671,57.40928505,10.19922035,57.5422646,1,339,15.91
10.40685789,57.44038976,10.4799494,57.47709661,2,47,5.99
