Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.77046667,55.6131776,1,261,49.82
12.55338778,55.68488326,8.7024578,56.20224399,1,285,246.84
12.55338778,55.68488326,9.71411564,57.31273827,1,317,251.5
12.55338778,55.68488326,11.24787983,55.43713416,1,252,86.69
9.01688742,55.5661491,9.10258616,54.94658235,1,175,69.18
9.01688742,55.5661491,8.82771692,55.57328956,1,274,11.93
8.24156208,56.26451832,10.13091193,55.38709123,1,129,153.28
8.24156208,56.26451832,8.37239889,55.96320278,2,166,34.51
8.24156208,56.26451832,9.40066468,55.65757088,1,133,98.9
8.24156208,56.26451832,9.30973468,55.61507191,1,137,98.29
9.88182547,56.11098135,10.07181907,56.06807347,3,112,12.73
8.80624546,55.11730256,9.35986674,55.11536159,1,90,35.25
9.17733486,55.80010134,9.38319082,55.70244629,1,130,16.87
11.79638975,55.6060789,11.87311353,55.63569967,1,56,5.84
11.79638975,55.6060789,9.18041262,56.11327889,1,290,172.9
9.31819277,55.02032089,9.72628521,54.91338897,2,114,28.67
9.31819277,55.02032089,9.66825625,54.88991599,1,123,26.67
10.11913347,56.53164726,10.12903027,56.49923012,1,170,3.66
9.93800241,55.79863714,9.69706081,55.80268336,1,272,15.08
9.93800241,55.79863714,10.0036492,55.80811982,1,76,4.24
9.68866011,56.1539,8.89755494,55.97740889,1,249,52.94
9.68866011,56.1539,8.95267034,56.14219771,1,269,45.66
9.68866011,56.1539,10.07181907,56.06807347,1,112,25.63
10.15055444,55.97882035,10.18626422,55.95692501,1,138,3.3
8.46526917,56.51842152,9.86197942,55.85797729,1,130,113.53
9.66542509,55.59473397,9.65802838,55.60220511,1,331,0.95
11.52566098,55.50739674,11.55538777,55.45773482,1,161,5.84
11.52566098,55.50739674,11.56194704,55.44008678,1,163,7.83
9.49149073,55.49190407,9.14255855,55.47592324,1,266,22.08
10.52468885,55.17876846,10.70372579,55.36192302,1,29,23.34
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76
10.52468885,55.17876846,11.15435151,54.87755796,1,130,52.33
8.95267034,56.14219771,8.90706651,56.13391485,1,252,2.98
8.95267034,56.14219771,8.702898,56.08892904,1,249,16.6
9.97477036,56.76993809,9.3617377,56.71405477,1,261,37.94
9.97477036,56.76993809,9.42791528,56.83325034,1,282,34.07
9.97477036,56.76993809,9.4738233,56.90102008,1,296,33.82
11.98263212,55.63386696,12.12774087,55.57020005,1,128,11.55
10.53161141,55.23721546,10.60044103,55.21933629,1,114,4.8
12.23006556,55.56957498,12.12774087,55.57020005,1,271,6.44
12.11926659,55.52436802,12.11936865,55.54706625,1,0,2.53
11.09581415,55.68344305,8.48820299,56.97051219,1,313,215.45
10.31667047,56.31261766,10.16468114,56.36638954,1,303,11.13
10.31667047,56.31261766,10.02530132,56.41896103,1,303,21.51
9.74794645,57.16692875,9.99781555,57.24808351,1,59,17.57
9.74794645,57.16692875,10.11557169,57.38471485,1,42,32.82
9.74794645,57.16692875,9.97302162,57.31406506,1,40,21.26
9.74794645,57.16692875,10.01192636,57.15092785,1,96,16.04
9.74794645,57.16692875,10.39599158,55.3017613,1,169,211.46
10.25423316,55.48575526,10.16371716,55.10877067,1,188,42.36
10.25423316,55.48575526,10.09670998,55.5001816,1,279,10.06
11.56194704,55.44008678,11.79244904,55.43881169,1,90,14.56
11.29410906,55.25361074,9.42949692,55.80849147,1,298,132.72
10.09226362,57.2849937,9.42949692,55.80849147,1,194,169.32
11.56616378,55.40273872,9.74948506,55.57076895,1,280,116.1
8.38210526,56.52741547,8.5265426,56.49479876,1,112,9.59
8.38210526,56.52741547,8.17082473,56.54652613,1,279,13.14
11.4122837,55.26619431,11.58779896,55.23357245,1,108,11.71
12.23240203,55.28386322,11.55575759,55.22376832,1,261,43.45
8.94704952,56.7403163,8.98445405,56.73839505,1,95,2.29
9.66958207,57.21084237,9.71411564,57.31273827,1,13,11.66
9.74889991,56.8216214,9.81387091,56.77518886,1,142,6.51
8.25410165,56.08699748,8.31670931,56.75720487,1,3,74.71
14.97012857,55.20867683,15.01626112,55.14016747,1,159,8.17
11.50911616,54.77425467,11.85488538,55.34408737,1,19,67.15
10.39005511,55.39681993,10.36139511,55.33936662,1,196,6.65
10.39005511,55.39681993,10.31609175,55.31406226,1,207,10.33
10.60946083,55.46615784,10.64791633,55.49989519,1,33,4.47
9.40914342,56.19449478,8.70681512,55.39688553,1,207,99.07
10.21339439,56.3006803,10.30400662,56.26357453,1,126,6.96
10.21339439,56.3006803,10.31667047,56.31261766,1,78,6.51
10.21339439,56.3006803,10.37665808,56.33447364,1,70,10.76
10.28463828,55.57287797,10.09670998,55.5001816,1,236,14.34
10.27390217,55.51951195,10.52581584,55.05569058,1,163,54.05
10.27390217,55.51951195,10.35468148,55.15306125,1,173,41.11
10.27390217,55.51951195,10.37733781,55.28532052,1,166,26.88
9.08061225,56.64924931,9.01342881,56.66903046,3,298,4.66
9.92716488,55.43438465,9.99083084,55.36324414,1,153,8.88
9.92716488,55.43438465,9.8614429,55.97300374,1,356,60.1
9.17347087,56.31082534,8.91775704,56.58922585,1,333,34.76
10.62175761,55.0641916,9.99781555,57.24808351,1,351,246.16
10.50212412,55.0702215,10.24562115,56.43424007,1,354,152.69
10.45547016,56.34646653,10.47929094,56.38581059,1,19,4.62
9.41612043,55.75406825,9.49068388,55.66364171,1,155,11.1
9.41612043,55.75406825,9.44747622,55.70808741,2,159,5.48
10.45470065,55.07412309,10.50212411,55.0702215,1,98,3.05
8.90740872,56.43289346,8.94704952,56.7403163,1,4,34.31
10.33760845,56.50255801,10.17376224,56.5442071,1,295,11.08
10.68098765,56.44202313,9.92980991,56.30081683,2,252,48.9
9.30973468,55.61507191,9.49068388,55.66364171,1,65,12.59
10.30975213,57.61903603,9.05474062,56.1479359,1,206,180.67
10.30975213,57.61903603,8.89755494,55.97740889,1,206,201.99
10.19922035,57.5422646,10.13688564,57.42516618,1,196,13.56
10.29659671,57.40928505,10.11557169,57.38471485,1,256,11.2
10.29659671,57.40928505,10.05437085,56.00731137,1,186,156.77
10.40685789,57.44038976,10.19597408,57.47425374,1,287,13.18
10.40685789,57.44038976,10.27959321,57.50353709,2,313,10.37
10.13688564,57.42516618,10.11557169,57.38471485,2,196,4.68
