Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
9.90560469,56.08546193,10.1191493,55.26116322,1,172,92.73
12.55338778,55.68488326,12.01156305,55.74154006,1,281,34.56
12.55338778,55.68488326,12.43071196,55.84474055,2,337,19.38
12.55338778,55.68488326,8.65357844,56.84985354,1,300,273.69
12.55338778,55.68488326,12.41140548,55.96966209,1,344,32.92
12.55338778,55.68488326,11.59905949,55.91342466,1,293,64.91
12.55338778,55.68488326,11.61967591,55.38041327,2,240,67.89
12.55338778,55.68488326,11.15514541,55.6801489,3,270,87.75
12.55338778,55.68488326,8.75522903,56.83259379,1,300,267.3
12.55338778,55.68488326,11.5637071,54.76184575,2,212,120.44
12.55338778,55.68488326,12.63855722,55.63608257,1,135,7.62
12.55338778,55.68488326,11.62268931,55.37155702,1,240,68.23
12.55338778,55.68488326,11.52086553,54.79788693,1,214,118.5
12.55338778,55.68488326,11.21559751,55.61861785,2,266,84.35
12.55338778,55.68488326,10.94768309,55.73466966,1,274,100.85
12.55338778,55.68488326,10.71351398,55.10606529,1,242,132.96
12.55338778,55.68488326,11.85227639,54.85005988,1,206,103.02
12.55338778,55.68488326,11.30930063,55.50046107,1,256,80.9
12.55338778,55.68488326,10.81506089,56.36394809,1,306,131.94
12.55338778,55.68488326,10.74093245,56.40873851,1,306,138.52
12.55338778,55.68488326,10.43807204,57.31823044,1,325,223.47
12.55338778,55.68488326,11.06625641,55.69549401,5,271,93.32
12.55338778,55.68488326,11.79638975,55.6060789,1,260,48.36
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41
12.55338778,55.68488326,9.61684353,56.71861431,1,303,215.17
12.55338778,55.68488326,10.50131206,56.47736864,1,305,155.01
12.55338778,55.68488326,9.71390405,57.06848707,1,312,233.11
12.55338778,55.68488326,11.62415043,55.66339984,1,268,58.38
12.55338778,55.68488326,11.50169992,55.65009951,1,267,66.14
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02
12.55338778,55.68488326,11.42292399,55.42422104,1,248,76.86
12.55338778,55.68488326,11.4636582,55.42962554,1,248,74.26
12.55338778,55.68488326,12.01929904,55.7797722,2,288,35.1
12.55338778,55.68488326,9.97477036,56.76993809,1,308,200.11
12.55338778,55.68488326,12.03992675,55.57338978,1,249,34.57
12.55338778,55.68488326,11.7649764,55.57309263,2,256,51.09
12.55338778,55.68488326,9.94599342,55.25663444,1,255,171.28
9.01688742,55.5661491,10.46058464,57.36707857,1,23,219.24
9.01688742,55.5661491,8.37206538,55.85016623,1,308,51.33
8.24156208,56.26451832,8.65055798,55.95891424,2,143,42.45
8.24156208,56.26451832,10.07121933,56.94828516,1,55,135.49
8.24156208,56.26451832,8.31251275,56.05118957,1,169,24.15
8.24156208,56.26451832,11.419423,55.481001,1,112,216.76
8.24156208,56.26451832,8.92271094,56.71482529,1,40,65.31
8.24156208,56.26451832,8.90403439,56.69059165,1,40,62.52
8.24156208,56.26451832,9.82346994,55.50641302,1,130,129.9
8.24156208,56.26451832,8.42911614,56.36744735,1,45,16.29
9.07696481,54.9699841,9.75157225,55.96646262,1,21,118.81
9.88182547,56.11098135,12.01156305,55.74154006,1,106,139.04
9.88182547,56.11098135,9.928916,56.040284,1,160,8.4
9.88182547,56.11098135,9.8356371,56.07811135,4,218,4.65
9.88182547,56.11098135,9.95281764,56.11665377,3,82,4.45
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7
9.88182547,56.11098135,9.54806367,56.09436861,1,265,20.8
8.7024578,56.20224399,8.810434,56.6441,2,8,49.63
8.7024578,56.20224399,8.78632945,56.59122572,1,7,43.61
8.7024578,56.20224399,9.06787969,56.69700668,1,22,59.49
8.7024578,56.20224399,9.13191071,56.58161849,1,32,49.84
8.7024578,56.20224399,8.90403439,56.69059165,1,13,55.76
8.80624546,55.11730256,8.5223236,55.15004832,1,281,18.43
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91
8.80624546,55.11730256,8.17656268,56.27879324,1,343,135.19
8.80624546,55.11730256,9.73346415,56.33971874,1,23,147.97
8.80624546,55.11730256,11.42292399,55.42422104,1,77,169.41
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
8.80624546,55.11730256,9.36239271,55.19519696,1,76,36.42
8.80624546,55.11730256,8.80163831,54.94261759,1,181,19.45
8.80624546,55.11730256,8.21743464,55.73561262,1,332,78.24
8.80624546,55.11730256,8.86783095,54.97934547,1,166,15.85
8.80624546,55.11730256,8.76125305,55.1559085,1,326,5.16
9.17733486,55.80010134,9.7076326,56.07812985,6,47,45.29
9.17733486,55.80010134,10.27546082,56.41047644,1,45,96.25
9.17733486,55.80010134,9.81387091,56.77518886,1,20,115.45
9.17733486,55.80010134,9.24202741,55.77058218,1,129,5.21
9.17733486,55.80010134,10.50212411,55.0702215,1,134,116.62
11.79638975,55.6060789,14.80962319,55.16979401,2,103,196.6
11.79638975,55.6060789,14.70850073,55.18216171,1,103,190.04
11.79638975,55.6060789,10.16468114,56.36638954,1,310,132.23
11.79638975,55.6060789,11.77046667,55.6131776,3,296,1.81
11.79638975,55.6060789,11.70788416,55.55549406,1,225,7.92
9.29617367,57.09917817,9.4850338,57.07415465,2,104,11.76
9.29617367,57.09917817,9.25655365,56.99777043,2,192,11.54
9.29617367,57.09917817,9.35531249,57.13535335,2,42,5.38
9.31819277,55.02032089,10.81506089,56.36394809,1,32,176.6
9.31819277,55.02032089,9.72628521,54.91338897,2,114,28.67
9.31819277,55.02032089,9.8414759,54.96362819,2,100,34.01
9.31819277,55.02032089,10.70613926,55.15077443,1,80,89.61
9.68121288,56.96651518,8.52353886,56.89543114,1,264,70.76
9.68121288,56.96651518,9.44016686,56.95550351,1,265,14.68
9.68121288,56.96651518,9.61424246,56.94766364,5,243,4.57
9.32170212,55.51180511,9.14109107,55.56995085,2,300,13.09
9.32170212,55.51180511,9.30973468,55.61507191,1,356,11.52
9.32170212,55.51180511,9.08327118,55.6296138,1,311,19.93
9.99781555,57.24808351,10.38135001,57.32361016,1,70,24.56
9.99781555,57.24808351,10.09226362,57.2849937,1,54,7.01
9.99781555,57.24808351,10.28792117,57.15748006,3,120,20.19
10.11913347,56.53164726,10.17376224,56.5442071,3,67,3.63
10.11913347,56.53164726,10.14363148,56.67328465,2,5,15.84
10.11913347,56.53164726,10.12903027,56.49923012,2,170,3.66
