Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,10.1191493,55.26116322,1,254,160.66
12.55338778,55.68488326,10.94768309,55.73466966,1,274,100.85
12.55338778,55.68488326,10.35104153,57.24032431,1,323,219.81
12.55338778,55.68488326,11.06625641,55.69549401,2,271,93.32
12.55338778,55.68488326,10.23859857,55.10001559,1,247,160.17
12.55338778,55.68488326,12.23538072,55.39970485,2,212,37.54
12.55338778,55.68488326,9.49674939,54.93188828,1,248,211
12.55338778,55.68488326,9.40184802,54.93671437,1,249,216.31
12.55338778,55.68488326,9.30968473,55.02647158,1,252,217.94
9.01688742,55.5661491,8.67905298,54.9832984,1,198,68.33
8.24156208,56.26451832,9.82346994,55.50641302,2,130,129.9
8.24156208,56.26451832,8.59340696,55.98509217,3,145,38
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86
8.24156208,56.26451832,8.73672367,56.81203718,1,26,68.11
8.80624546,55.11730256,9.40756732,54.98983283,1,110,40.88
11.79638975,55.6060789,11.826782,55.616268,1,59,2.22
9.31819277,55.02032089,9.72628521,54.91338897,3,114,28.67
9.32170212,55.51180511,8.80146899,55.46951931,1,262,33.15
9.99781555,57.24808351,10.28792117,57.15748006,1,120,20.19
10.11913347,56.53164726,9.9843203,56.65025328,1,328,15.58
9.93800241,55.79863714,9.86197942,55.85797729,1,324,8.14
9.93800241,55.79863714,8.73672367,56.81203718,1,327,135.01
9.93800241,55.79863714,11.54457708,56.70505201,1,44,141.6
9.66542509,55.59473397,9.70370454,55.63840667,1,26,5.42
9.66542509,55.59473397,9.40066468,55.65757088,1,293,18.05
11.52566098,55.50739674,11.59056834,55.53920625,1,49,5.41
11.52566098,55.50739674,11.15514541,55.6801489,1,310,30.22
11.52566098,55.50739674,11.21079755,55.47116625,1,259,20.26
11.52566098,55.50739674,11.7649764,55.57309263,1,64,16.75
10.52468885,55.17876846,10.430304,55.23965024,1,318,9.05
9.97477036,56.76993809,9.9260865,56.73172154,1,215,5.19
9.97477036,56.76993809,10.14753869,56.73736302,2,109,11.15
9.97477036,56.76993809,9.58869625,57.06335248,1,324,40.21
12.49697944,55.87703196,12.30569237,55.93228835,1,297,13.43
12.62629466,55.62123328,11.30667568,55.54653956,1,265,83.44
12.62629466,55.62123328,11.98343325,55.66905184,1,278,40.73
10.53161141,55.23721546,9.90594911,55.480346,1,305,47.96
9.5521637,55.71165991,8.61786553,55.80774922,1,281,59.49
10.31667047,56.31261766,10.12774216,56.3615738,1,295,12.87
10.31667047,56.31261766,10.08609309,56.38771491,1,300,16.5
8.59144328,56.40590419,8.34991012,56.3910552,1,264,14.97
8.59144328,56.40590419,8.31181859,56.45083072,2,286,17.92
8.59144328,56.40590419,8.794384,56.265473,1,141,20.03
9.74794645,57.16692875,9.58869625,57.06335248,2,220,15.02
9.74794645,57.16692875,9.50899595,57.09430845,2,241,16.55
9.74794645,57.16692875,9.85763259,57.11839779,1,129,8.55
9.74794645,57.16692875,9.66958207,57.21084237,2,316,6.8
9.74794645,57.16692875,9.71390405,57.06848707,3,191,11.15
9.74794645,57.16692875,9.61684353,56.71861431,1,189,50.54
9.74794645,57.16692875,9.21079873,57.05402951,1,249,34.82
9.74794645,57.16692875,9.96556941,57.17978982,3,84,13.21
9.74794645,57.16692875,9.59358865,56.75149212,2,192,47.19
9.74794645,57.16692875,9.29617367,57.09917817,2,255,28.32
9.74794645,57.16692875,9.95603185,57.16277574,1,92,12.57
9.74794645,57.16692875,10.56422311,57.72685939,1,38,79.22
9.74794645,57.16692875,10.15273583,57.21287001,2,78,24.95
9.74794645,57.16692875,9.25849993,57.0671638,1,250,31.6
9.74794645,57.16692875,9.35531249,57.13535335,1,262,23.97
9.74794645,57.16692875,10.35104153,57.24032431,1,77,37.27
9.01276464,56.44164212,10.1191493,55.26116322,1,152,148.48
9.01276464,56.44164212,9.90560469,56.08546193,1,125,67.96
10.59139922,55.83257606,10.55570458,55.7971772,1,210,4.53
