Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,9.97718946,56.22214714,1,291,171.32
12.55338778,55.68488326,11.21559751,55.61861785,1,266,84.35
9.01688742,55.5661491,8.77858359,55.33618399,1,211,29.69
9.01688742,55.5661491,8.991709,55.547821,1,218,2.58
8.24156208,56.26451832,8.49550545,55.95083856,1,156,38.31
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
9.93800241,55.79863714,9.97344,55.76938,1,146,3.94
9.68866011,56.1539,9.6856841,56.24978537,1,359,10.68
9.68866011,56.1539,9.73159609,56.11245692,1,150,5.33
9.68866011,56.1539,9.77414217,56.10741748,2,134,7.41
9.68866011,56.1539,9.49686839,56.41942697,1,338,31.85
9.14255855,55.47592324,8.59913618,56.31683898,1,340,99.56
8.46526917,56.51842152,8.34991012,56.3910552,1,207,15.85
8.46526917,56.51842152,8.38210526,56.52741547,1,281,5.2
9.61833913,56.27388691,9.38999496,55.96506418,1,203,37.18
9.49149073,55.49190407,9.84559872,56.01132805,1,21,61.93
9.49149073,55.49190407,9.76768063,56.00244817,1,17,59.41
10.52468885,55.17876846,10.60044103,55.21933629,2,47,6.6
10.53161141,55.23721546,9.90594911,55.480346,1,305,47.96
8.59144328,56.40590419,8.41671166,56.73685182,1,344,38.37
11.21334063,55.65521253,9.11742998,55.5219207,1,264,132.68
9.74794645,57.16692875,10.2569948,57.07626219,1,108,32.38
9.52005422,56.21760026,12.05718997,55.04785158,2,128,205.83
11.42615124,55.74366106,12.2183729,54.94106039,1,150,102.46
10.57176876,55.84903122,10.59139922,55.83257606,1,146,2.2
10.25423316,55.48575526,9.74794645,57.16692875,2,351,189.74
8.38210526,56.52741547,9.77414217,56.10741748,2,118,97.83
12.25061662,55.34147767,8.5223236,55.15004832,1,266,237.52
9.66958207,57.21084237,9.85763259,57.11839779,1,132,15.32
9.74889991,56.8216214,9.81387091,56.77518886,1,142,6.51
9.74889991,56.8216214,9.64459583,56.98237689,1,340,18.99
9.74889991,56.8216214,9.68121288,56.96651518,1,346,16.65
9.74889991,56.8216214,10.2014359,56.61990065,1,129,35.61
9.28273477,56.72716896,9.26398226,56.70269291,1,203,2.96
9.28273477,56.72716896,9.67822618,56.56129543,1,127,30.45
10.13091193,55.38709123,10.00262436,57.36224501,1,358,220.01
9.40914342,56.19449478,9.46495051,56.20785556,1,67,3.76
9.40914342,56.19449478,9.47110478,56.1483529,1,143,6.41
9.40914342,56.19449478,9.35147784,56.16917342,1,232,4.55
9.40914342,56.19449478,9.57362711,56.53268589,1,15,38.99
9.40914342,56.19449478,10.0483414,56.4586074,1,53,49.2
9.40914342,56.19449478,9.463359,56.275297,1,20,9.6
10.21339439,56.3006803,8.73244274,55.36384026,1,222,139.45
9.37836463,56.45780394,9.523129,56.4897,1,68,9.58
9.37836463,56.45780394,9.49686839,56.41942697,1,120,8.45
9.37836463,56.45780394,9.75427647,56.4540764,1,91,23.13
9.01054031,56.4920081,10.00262436,57.36224501,1,32,114.09
9.01054031,56.4920081,8.80163831,54.94261759,1,184,172.97
9.4116545,55.04862654,9.35986674,55.11536159,2,336,8.13
10.18655208,56.57922546,10.0483414,56.4586074,1,212,15.88
10.68098765,56.44202313,10.76863181,56.28251394,1,163,18.56
10.68098765,56.44202313,10.56705931,56.37457766,1,223,10.28
10.68098765,56.44202313,10.07438221,56.10765887,1,226,52.83
9.30973468,55.61507191,9.47559,55.523086,1,134,14.62
9.99749113,57.45913657,9.982402,57.462549,1,293,0.98
9.99749113,57.45913657,10.03387302,57.51267197,1,20,6.34
10.4799494,57.47709661,9.46980378,56.30675858,2,206,144.03
10.4799494,57.47709661,10.50362009,57.45082532,1,154,3.25
10.40685789,57.44038976,10.03387302,57.51267197,1,290,23.73
10.35104153,57.24032431,11.19201772,55.21141201,1,167,231.77
10.11557169,57.38471485,9.985303,57.462684,1,318,11.67
10.11557169,57.38471485,10.46058464,57.36707857,1,95,20.8
10.11557169,57.38471485,10.02870892,57.55574435,1,345,19.74
10.00262436,57.36224501,8.61827084,56.64422515,1,227,115.89
9.90701839,57.30294273,9.83422482,57.36607902,1,328,8.28
9.90701839,57.30294273,9.80331066,57.29650619,1,264,6.28
9.86429637,57.32061766,9.7251651,57.38234045,1,309,10.82
9.94420384,57.27277164,10.11557169,57.38471485,1,40,16.17
9.62246601,57.24730572,9.58869625,57.06335248,2,186,20.58
9.62246601,57.24730572,9.71390405,57.06848707,1,164,20.66
9.21079873,57.05402951,9.28273477,56.72716896,1,173,36.65
9.21079873,57.05402951,9.29617367,57.09917817,1,46,7.21
9.21079873,57.05402951,8.41671166,56.73685182,1,234,59.81
9.84559872,56.01132805,9.8614429,55.97300374,3,167,4.38
9.84559872,56.01132805,9.928916,56.040284,1,58,6.1
9.84559872,56.01132805,9.73267011,56.02420768,1,282,7.17
9.84559872,56.01132805,8.49004729,56.94748554,1,322,133.43
8.33208508,56.81422905,9.43240349,56.25517925,1,132,91.84
8.71886485,56.78872115,8.24072529,56.77887529,1,268,29.18
8.91838142,55.51450068,9.14255855,55.47592324,1,107,14.77
9.96556941,57.17978982,9.16677663,57.09680291,1,260,49.13
10.01192636,57.15092785,8.92627143,55.75784153,1,204,168.84
10.12013506,57.06520776,10.20254944,57.06995981,1,84,5.02
10.30657345,56.99519175,10.12013506,57.06520776,1,305,13.72
10.08881217,56.99966645,9.37836463,56.45780394,1,216,74.3
10.21956972,56.97030321,10.271326,56.790397,1,171,20.27
8.56476803,55.66314101,8.53756484,55.79289029,1,353,14.54
8.56476803,55.66314101,8.4446389,55.90317791,1,344,27.76
8.56476803,55.66314101,8.41666096,55.5895359,1,229,12.4
9.6512351,56.81585346,9.74889991,56.8216214,1,84,5.98
9.6512351,56.81585346,10.14753869,56.73736302,1,106,31.51
9.6512351,56.81585346,8.48301381,55.6233681,1,209,151.16
9.6512351,56.81585346,9.63964619,56.89998491,1,356,9.39
9.6512351,56.81585346,9.97477036,56.76993809,1,104,20.38
9.89612654,56.18245407,9.96726663,56.19891774,2,67,4.77
9.6928785,56.18970837,9.68866011,56.1539,1,184,3.99
9.6928785,56.18970837,9.7076326,56.07812985,1,176,12.45
9.75047632,56.7553991,8.60325925,56.90880791,1,284,71.92
9.06787969,56.69700668,9.01342881,56.66903046,1,227,4.56
9.06787969,56.69700668,9.03680932,56.71756594,1,320,2.97
9.77414217,56.10741748,9.8356371,56.07811135,1,130,5.02
9.21998851,56.79001184,9.22969026,56.90156343,1,3,12.43
9.21998851,56.79001184,9.26398226,56.70269291,2,165,10.08
9.96726663,56.19891774,10.55290497,55.96474501,2,125,44.75
9.96726663,56.19891774,10.59139922,55.83257606,3,136,56.31
9.96726663,56.19891774,10.64140852,55.86326329,3,131,56.16
9.96726663,56.19891774,10.55570458,55.7971772,1,140,57.81
9.96726663,56.19891774,9.99651253,56.09972201,1,171,11.19
10.18870215,56.33456056,10.16468114,56.36638954,1,337,3.84
10.18870215,56.33456056,10.12774216,56.3615738,1,309,4.81
10.18870215,56.33456056,10.135746,56.333812,1,269,3.27
9.09668456,56.76087207,9.04102754,56.78036175,1,303,4.03
