Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,9.85556339,56.25716427,1,292,179.72
12.55338778,55.68488326,9.97718946,56.22214714,1,291,171.32
12.55338778,55.68488326,10.21049352,56.26873003,1,295,159.74
12.55338778,55.68488326,10.89117652,56.40594271,1,308,130.85
12.55338778,55.68488326,10.71731268,56.28550177,1,301,132.44
9.94495944,57.49944519,9.99749113,57.45913657,1,145,5.48
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21
8.24156208,56.26451832,9.30973468,55.61507191,1,137,98.29
8.24156208,56.26451832,9.373212,55.885195,1,120,82.01
9.07696481,54.9699841,9.31819277,55.02032089,1,70,16.39
9.88182547,56.11098135,9.8356371,56.07811135,2,218,4.65
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7
8.7024578,56.20224399,8.91775704,56.58922585,1,17,45.07
8.7024578,56.20224399,8.85177166,56.57478117,1,12,42.48
8.7024578,56.20224399,8.810434,56.6441,4,8,49.63
8.7024578,56.20224399,9.12831637,56.70268186,1,25,61.56
8.7024578,56.20224399,8.78632945,56.59122572,2,7,43.61
9.17733486,55.80010134,9.30436222,55.71874186,2,139,12.06
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24
9.17733486,55.80010134,9.42949692,55.80849147,1,87,15.8
11.79638975,55.6060789,12.05240733,55.11870202,1,163,56.62
11.79638975,55.6060789,12.11865563,55.08975669,1,160,60.99
9.29617367,57.09917817,9.58869625,57.06335248,1,103,18.14
9.29617367,57.09917817,9.16677663,57.09680291,1,268,7.83
9.32170212,55.51180511,9.75157225,55.96646262,1,28,57.33
9.32170212,55.51180511,9.73267011,56.02420768,1,24,62.58
9.32170212,55.51180511,9.76258507,55.85186739,1,36,46.89
9.32170212,55.51180511,8.9366792,55.45078486,1,255,25.22
9.32170212,55.51180511,9.420304,55.509753,1,92,6.22
9.99781555,57.24808351,10.52416574,57.43632047,1,56,37.93
9.93800241,55.79863714,9.8414759,54.96362819,1,184,93.15
9.68866011,56.1539,10.0483414,56.4586074,1,33,40.55
9.14255855,55.47592324,8.97932374,55.35278211,1,217,17.16
9.14255855,55.47592324,10.47929094,56.38581059,1,39,131.17
8.46526917,56.51842152,8.40990349,56.55878913,1,323,5.63
8.46526917,56.51842152,8.3083178,56.55861582,2,295,10.62
8.46526917,56.51842152,8.21046211,56.48868136,1,258,16
8.46526917,56.51842152,8.51066702,56.4322328,1,164,9.99
8.46526917,56.51842152,8.61016464,56.36097923,1,153,19.66
8.46526917,56.51842152,8.73269709,56.59971085,1,61,18.74
8.46526917,56.51842152,8.52851154,56.64886781,1,15,15.03
8.46526917,56.51842152,8.26198407,56.49910583,1,260,12.67
8.46526917,56.51842152,8.60583861,56.48055705,1,116,9.61
9.66542509,55.59473397,9.71521383,55.54197639,1,152,6.66
9.49149073,55.49190407,9.84559872,56.01132805,2,21,61.93
9.49149073,55.49190407,9.76768063,56.00244817,2,17,59.41
9.49149073,55.49190407,9.86197942,55.85797729,1,30,46.92
9.49149073,55.49190407,9.835092,56.024633,1,20,63.09
10.52468885,55.17876846,10.49370528,55.35536226,1,354,19.76
8.95267034,56.14219771,8.702898,56.08892904,1,249,16.6
8.95267034,56.14219771,8.30700823,56.19509868,2,279,40.45
8.95267034,56.14219771,8.3083178,56.55861582,1,320,61.06
8.95267034,56.14219771,8.25410165,56.08699748,2,262,43.79
8.95267034,56.14219771,8.61016464,56.36097923,2,319,32.28
8.95267034,56.14219771,8.20005733,56.23337586,1,283,47.71
8.95267034,56.14219771,8.17369803,56.62066705,1,318,71.71
8.95267034,56.14219771,8.95811773,56.09047433,1,177,5.77
8.95267034,56.14219771,9.27989612,56.14515128,1,89,20.3
8.95267034,56.14219771,9.17347087,56.31082534,1,36,23.22
8.95267034,56.14219771,9.86197942,55.85797729,1,119,64.84
8.95267034,56.14219771,9.619828,56.275047,1,70,43.87
8.95267034,56.14219771,9.5470055,56.16936133,1,85,36.97
8.95267034,56.14219771,9.61833913,56.27388691,1,70,43.74
8.95267034,56.14219771,9.43240349,56.25517925,1,67,32.26
8.95267034,56.14219771,9.01802188,56.20596981,1,30,8.17
9.97477036,56.76993809,10.13675969,56.8107845,1,65,10.87
9.97477036,56.76993809,9.67331937,56.67429951,1,240,21.27
9.82537421,56.2802359,9.87059793,56.34485987,1,21,7.72
9.82537421,56.2802359,9.872761,56.344184,1,22,7.7
9.82537421,56.2802359,8.61786553,55.80774922,2,236,91.67
9.82537421,56.2802359,8.60490123,55.71878903,1,231,98.38
9.82537421,56.2802359,9.6811441,56.35123926,1,312,11.91
9.82537421,56.2802359,9.36255941,55.44491769,1,197,97.38
10.53161141,55.23721546,9.85225898,55.43914396,1,298,48.53
10.53161141,55.23721546,10.57365382,55.28504925,1,27,5.96
10.53161141,55.23721546,8.48301381,55.6233681,1,289,136.34
12.11926659,55.52436802,8.77858359,55.33618399,1,266,212.02
12.11926659,55.52436802,8.55619511,55.50608602,1,271,224.56
12.11926659,55.52436802,9.01688742,55.5661491,1,273,195.42
12.11926659,55.52436802,8.79073935,55.41670096,1,268,210.35
12.11926659,55.52436802,8.80276239,55.40369148,1,268,209.71
12.11926659,55.52436802,12.16174076,55.4998807,1,135,3.82
9.5521637,55.71165991,9.15762141,56.13579896,2,333,53.24
10.31667047,56.31261766,10.16468114,56.36638954,3,303,11.13
10.31667047,56.31261766,10.12774216,56.3615738,6,295,12.87
10.31667047,56.31261766,10.13314571,56.31072258,1,269,11.33
10.31667047,56.31261766,10.127549,56.353351,1,291,12.52
10.31667047,56.31261766,9.851303,56.515374,1,308,36.48
10.31667047,56.31261766,10.087681,56.356834,1,289,14.96
10.31667047,56.31261766,8.73972427,56.17590402,1,262,98.72
10.31667047,56.31261766,9.50899595,57.09430845,2,331,100.04
11.21334063,55.65521253,11.15514541,55.6801489,1,307,4.59
9.74794645,57.16692875,9.71390405,57.06848707,1,191,11.15
9.74794645,57.16692875,10.20254944,57.06995981,1,111,29.52
9.74794645,57.16692875,9.92621509,57.07193063,1,134,15.1
9.74794645,57.16692875,8.24072529,56.77887529,1,245,101.13
10.55570458,55.7971772,10.59139922,55.83257606,1,30,4.53
10.25423316,55.48575526,9.62246601,57.24730572,1,349,199.92
10.64140852,55.86326329,10.55290497,55.96474501,1,334,12.57
11.34790612,55.41049695,12.55338778,55.68488326,1,68,81.83
10.09226362,57.2849937,10.309553,57.288205,1,88,13.08
10.09226362,57.2849937,10.31225829,57.2885669,2,88,13.24
8.38210526,56.52741547,8.3083178,56.55861582,1,307,5.71
8.38210526,56.52741547,8.17369803,56.62066705,1,309,16.46
10.011324,56.82231318,10.01075277,56.88382407,1,360,6.85
10.011324,56.82231318,10.03486015,56.61377013,1,176,23.26
8.94704952,56.7403163,9.03275937,56.56919621,1,165,19.76
8.94704952,56.7403163,9.01266703,56.63561907,1,161,12.33
8.85730379,55.5490305,8.99680232,55.69503806,1,28,18.47
8.85730379,55.5490305,8.61786553,55.80774922,1,332,32.49
8.85730379,55.5490305,9.80331066,57.29650619,1,16,203.05
8.85730379,55.5490305,9.054866,56.745348,1,5,133.73
8.85730379,55.5490305,9.37836463,56.45780394,1,18,106.23
8.85730379,55.5490305,9.09668456,56.76087207,2,6,135.71
8.85730379,55.5490305,9.85763259,57.11839779,1,19,185.28
8.85730379,55.5490305,10.33760845,56.50255801,1,40,140.52
8.85730379,55.5490305,12.55338778,55.68488326,1,85,232.82
8.85730379,55.5490305,8.64862908,55.69758148,1,322,21.11
10.02826169,56.21237946,10.08687388,56.2375669,1,52,4.58
9.66958207,57.21084237,9.99749113,57.45913657,1,35,33.94
9.66958207,57.21084237,9.80331066,57.29650619,1,40,12.48
9.66958207,57.21084237,9.62246601,57.24730572,1,325,4.95
9.66958207,57.21084237,9.85763259,57.11839779,1,132,15.32
9.66958207,57.21084237,10.11557169,57.38471485,1,54,33.08
9.74889991,56.8216214,9.81387091,56.77518886,1,142,6.51
9.74889991,56.8216214,9.81335026,56.84640941,1,55,4.8
9.74889991,56.8216214,9.93214951,57.04020941,1,25,26.76
9.74889991,56.8216214,9.7379295,56.99928983,1,358,19.79
9.28273477,56.72716896,9.33595226,56.77379815,1,32,6.12
9.28273477,56.72716896,9.2363639,56.69459991,1,218,4.6
9.28273477,56.72716896,9.41643927,56.75901943,1,67,8.9
9.28273477,56.72716896,9.51687125,56.76774438,1,72,14.99
9.28273477,56.72716896,10.0483414,56.4586074,1,122,55.64
9.28273477,56.72716896,9.28147579,56.45104467,1,180,30.74
12.44955107,54.99609429,8.60490123,55.71878903,1,290,256.2
12.44955107,54.99609429,9.40682962,56.55223769,1,313,257.45
12.44955107,54.99609429,8.90706651,56.13391485,1,301,256.41
