Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.29143588,55.48378264,2,255,82.49
12.55338778,55.68488326,12.37066524,55.8143921,1,322,18.41
8.24156208,56.26451832,9.38319082,55.70244629,1,131,94.7
8.24156208,56.26451832,8.28506315,56.23990719,2,135,3.84
8.24156208,56.26451832,8.89396153,55.83813703,1,139,62.43
9.07696481,54.9699841,9.31819277,55.02032089,1,70,16.39
9.07696481,54.9699841,9.56918805,55.01426547,1,81,31.82
9.88182547,56.11098135,9.7076326,56.07812985,1,251,11.42
9.88182547,56.11098135,9.77414217,56.10741748,2,267,6.7
9.88182547,56.11098135,9.63943757,56.02137479,1,237,18.07
8.7024578,56.20224399,9.05689351,55.36810054,1,166,95.47
8.80624546,55.11730256,9.36239271,55.19519696,2,76,36.42
8.80624546,55.11730256,8.86783095,54.97934547,1,166,15.85
8.80624546,55.11730256,8.76125305,55.1559085,1,326,5.16
8.80624546,55.11730256,8.65598855,55.02167051,1,222,14.32
8.80624546,55.11730256,8.75350579,55.11684784,1,269,3.36
9.17733486,55.80010134,9.24202741,55.77058218,1,129,5.21
9.17733486,55.80010134,9.23259893,55.8468133,2,34,6.24
11.79638975,55.6060789,14.89564635,55.21257553,1,101,200.68
11.79638975,55.6060789,11.68626398,55.48709615,1,208,14.95
11.79638975,55.6060789,11.93352103,55.164482,1,170,49.92
11.79638975,55.6060789,12.03285693,55.1049871,2,165,57.75
9.68121288,56.96651518,10.28792117,57.15748006,1,60,42.43
9.32170212,55.51180511,9.1999361,55.52522839,1,281,7.82
10.11913347,56.53164726,10.03578012,56.53842593,1,278,5.17
9.93800241,55.79863714,9.87513313,55.82054042,1,302,4.63
9.14255855,55.47592324,12.19855794,56.01937759,1,71,200.78
9.14255855,55.47592324,9.58826623,55.84747798,1,34,49.94
9.61833913,56.27388691,9.57743689,56.37366129,1,347,11.39
9.61833913,56.27388691,9.51321614,56.26336109,1,260,6.6
9.49149073,55.49190407,9.34203764,56.3516327,1,354,96.16
9.49149073,55.49190407,9.44221523,56.32779423,1,358,93.1
9.49149073,55.49190407,9.37801364,56.32596724,1,356,93.12
10.52468885,55.17876846,10.65777485,55.45303825,1,15,31.67
8.95267034,56.14219771,9.05474062,56.1479359,2,84,6.36
12.17453892,55.98000388,12.11319873,56.00942603,1,311,5.03
12.62629466,55.62123328,11.30667568,55.54653956,1,265,83.44
9.82537421,56.2802359,9.85556339,56.25716427,1,144,3.17
10.53161141,55.23721546,10.49370528,55.35536226,1,350,13.37
10.53161141,55.23721546,10.39005511,55.39681993,1,333,19.9
10.53161141,55.23721546,9.92716488,55.43438465,1,300,44.12
10.53161141,55.23721546,10.7024288,55.31368819,1,52,13.78
8.9366792,55.45078486,9.6856841,56.24978537,1,27,100.51
12.09461913,55.5717187,12.11021698,55.46453395,1,175,11.97
9.5521637,55.71165991,9.57397269,55.67828641,1,160,3.96
9.5521637,55.71165991,10.21049352,56.26873003,1,33,74.33
9.5521637,55.71165991,10.23962838,56.35171729,1,31,83.09
11.09581415,55.68344305,9.21324211,56.93087922,2,321,181.09
10.31667047,56.31261766,10.30400662,56.26357453,1,188,5.52
8.59144328,56.40590419,8.73269709,56.59971085,1,22,23.25
8.59144328,56.40590419,8.810434,56.6441,1,27,29.73
8.59144328,56.40590419,8.61016464,56.36097923,1,167,5.13
11.62189769,55.71362383,11.20607472,55.51604821,1,230,34.16
11.21334063,55.65521253,10.16992658,55.88999363,1,292,70.37
9.74794645,57.16692875,10.2569948,57.07626219,1,108,32.38
9.74794645,57.16692875,9.71390405,57.06848707,1,191,11.15
9.74794645,57.16692875,9.62246601,57.24730572,1,320,11.72
9.74794645,57.16692875,10.01192636,57.15092785,1,96,16.04
9.01276464,56.44164212,10.02795254,55.26334949,1,154,145.7
10.59139922,55.83257606,10.55570458,55.7971772,1,210,4.53
10.59139922,55.83257606,9.97718946,56.22214714,1,319,57.8
11.42615124,55.74366106,8.40174362,55.53024781,1,264,191.49
11.42615124,55.74366106,8.1431204,55.55530123,1,266,207.26
10.25423316,55.48575526,9.71411564,57.31273827,1,351,206.08
10.25423316,55.48575526,9.77578955,57.33870322,1,352,208.36
10.55290497,55.96474501,10.57176875,55.84903122,1,175,12.93
8.50307568,56.11106335,8.25410165,56.08699748,1,260,15.69
11.34302361,55.32077729,11.40586323,55.22430753,3,160,11.45
12.23538072,55.39970485,12.14493103,55.4144014,1,286,5.95
9.66958207,57.21084237,9.62246601,57.24730572,2,325,4.95
9.66958207,57.21084237,9.96556941,57.17978982,1,101,18.18
9.74889991,56.8216214,9.75047632,56.7553991,1,179,7.37
9.28273477,56.72716896,9.3387978,56.69549546,1,136,4.92
11.50911616,54.77425467,11.75234878,55.31337536,1,14,61.99
11.95792563,54.7421868,11.92352222,54.71117023,1,213,4.1
11.95792563,54.7421868,11.50911616,54.77425467,1,277,29.05
10.6586365,55.51612464,10.67239199,55.53421698,1,23,2.19
