Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.1239032,54.89912876,6,227,125.93
9.01688742,55.5661491,9.04227411,55.00316108,1,179,62.69
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86
8.24156208,56.26451832,9.38319082,55.70244629,2,131,94.7
8.24156208,56.26451832,8.33953781,56.29960833,1,57,7.21
8.24156208,56.26451832,9.44747622,55.70808741,1,129,97.34
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
9.17733486,55.80010134,9.08327118,55.6296138,1,197,19.87
11.79638975,55.6060789,11.87536564,55.67183875,1,34,8.84
9.29617367,57.09917817,8.85868214,56.7945817,1,218,43.07
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29
10.11913347,56.53164726,10.15333015,56.64244951,1,10,12.51
10.11913347,56.53164726,9.89308009,55.88771326,1,191,73.04
10.11913347,56.53164726,10.03486015,56.61377013,1,331,10.5
9.93800241,55.79863714,9.92856546,55.77075429,1,191,3.16
9.93800241,55.79863714,10.0789662,55.8261813,2,71,9.34
9.14255855,55.47592324,8.9892034,55.50158803,1,286,10.09
8.46526917,56.51842152,9.08327118,55.6296138,1,158,106.13
8.46526917,56.51842152,8.75039165,56.40578678,1,125,21.56
9.49149073,55.49190407,9.66467701,55.85329784,1,15,41.67
8.95267034,56.14219771,8.90706651,56.13391485,1,252,2.98
9.97477036,56.76993809,9.23779608,56.9188957,1,291,47.83
9.97477036,56.76993809,9.242163,56.762627,3,269,44.7
9.97477036,56.76993809,10.01132401,56.82231318,1,21,6.24
8.9366792,55.45078486,8.9892034,55.50158803,1,30,6.55
9.5521637,55.71165991,9.57397269,55.67828641,8,160,3.96
9.5521637,55.71165991,10.19538302,55.99397479,1,52,51.02
11.62189769,55.71362383,11.61945729,55.70048049,1,186,1.47
11.62189769,55.71362383,11.4397201,55.80248958,1,311,15.1
11.62189769,55.71362383,11.31006328,55.68657399,1,261,19.79
11.62189769,55.71362383,11.21334063,55.65521253,1,256,26.45
11.21334063,55.65521253,11.21559751,55.61861785,1,178,4.08
11.21334063,55.65521253,9.70370454,55.63840667,1,269,94.85
11.21334063,55.65521253,11.79244904,55.43881169,1,123,43.71
11.21334063,55.65521253,9.74948506,55.57076895,1,265,92.51
9.74794645,57.16692875,10.28792117,57.15748006,1,92,32.61
