Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.9653639,55.59925368,1,256,38.15
12.55338778,55.68488326,11.77046667,55.6131776,1,261,49.82
12.55338778,55.68488326,11.1239032,54.89912876,2,227,125.93
12.55338778,55.68488326,12.36413324,55.78331028,1,313,16.15
12.55338778,55.68488326,11.34790612,55.41049695,1,249,81.83
12.55338778,55.68488326,11.99387683,55.83905468,1,296,39.02
12.55338778,55.68488326,12.57343889,56.01610814,1,2,36.89
12.55338778,55.68488326,12.54015172,56.07469026,1,359,43.4
12.55338778,55.68488326,9.75157225,55.96646262,2,281,177.96
12.55338778,55.68488326,12.12336702,55.49732762,1,233,34.17
8.24156208,56.26451832,9.82346994,55.50641302,1,130,129.9
8.24156208,56.26451832,9.38319082,55.70244629,1,131,94.7
8.24156208,56.26451832,9.91719629,55.46591138,1,130,137.32
8.24156208,56.26451832,9.30436222,55.71874186,1,132,89.83
9.07696481,54.9699841,9.19196978,55.87934678,1,4,101.49
9.07696481,54.9699841,9.49674939,54.93188828,1,99,27.17
9.88182547,56.11098135,9.77414217,56.10741748,1,267,6.7
8.7024578,56.20224399,8.85177166,56.57478117,1,12,42.48
8.7024578,56.20224399,8.810434,56.6441,1,8,49.63
8.7024578,56.20224399,9.05689351,55.36810054,1,166,95.47
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07
8.80624546,55.11730256,8.30337426,56.3385926,1,347,139.56
8.80624546,55.11730256,9.86775161,55.92840987,1,36,112.37
9.17733486,55.80010134,9.7076326,56.07812985,1,47,45.29
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24
11.79638975,55.6060789,11.77046667,55.6131776,1,296,1.81
11.79638975,55.6060789,11.87311353,55.63569967,1,56,5.84
9.29617367,57.09917817,9.00383831,57.02701394,1,246,19.43
9.68121288,56.96651518,9.82021784,57.00134695,1,65,9.28
9.99781555,57.24808351,10.28792117,57.15748006,3,120,20.19
9.99781555,57.24808351,10.31225829,57.2885669,1,76,19.46
9.99781555,57.24808351,10.01192636,57.15092785,1,175,10.85
9.99781555,57.24808351,10.09241256,57.10673427,1,160,16.74
9.99781555,57.24808351,10.31384379,57.48321395,1,36,32.33
9.99781555,57.24808351,10.35104153,57.24032431,2,92,21.29
9.99781555,57.24808351,9.93214951,57.04020941,1,190,23.48
10.11913347,56.53164726,10.14363148,56.67328465,1,5,15.84
10.11913347,56.53164726,10.12903027,56.49923012,2,170,3.66
10.11913347,56.53164726,10.24204167,56.66137113,4,28,16.29
10.11913347,56.53164726,10.15333015,56.64244951,1,10,12.51
10.11913347,56.53164726,10.0483414,56.4586074,1,208,9.22
10.11913347,56.53164726,10.03578012,56.53842593,2,278,5.17
10.11913347,56.53164726,9.3617377,56.71405477,1,294,50.63
10.11913347,56.53164726,10.17381332,56.50485268,1,132,4.49
10.11913347,56.53164726,10.11196406,56.55608744,1,351,2.76
10.11913347,56.53164726,9.9973083,56.57504773,1,303,8.9
10.11913347,56.53164726,9.06787969,56.69700668,1,286,66.97
9.93800241,55.79863714,9.86197942,55.85797729,1,324,8.14
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34
9.93800241,55.79863714,9.89391897,55.71048336,1,196,10.19
9.68866011,56.1539,9.38999496,55.96506418,1,222,28.04
9.68866011,56.1539,9.25779543,55.90628978,1,224,38.44
9.68866011,56.1539,9.87059793,56.34485987,1,28,24.05
9.14255855,55.47592324,9.44747622,55.70808741,1,37,32.18
9.14255855,55.47592324,9.56585006,55.61130034,1,60,30.62
9.14255855,55.47592324,9.5521637,55.71165991,1,44,36.78
9.14255855,55.47592324,9.43858316,55.67283345,2,40,28.77
9.14255855,55.47592324,9.61130651,56.51098866,2,14,118.86
9.14255855,55.47592324,9.40682962,56.55223769,4,8,120.94
9.14255855,55.47592324,9.01213768,56.76395447,1,357,143.61
9.14255855,55.47592324,9.75365931,56.50156349,1,18,120.35
9.14255855,55.47592324,9.61140386,55.46166565,1,93,29.63
9.14255855,55.47592324,9.06844645,55.47082031,1,263,4.71
8.46526917,56.51842152,9.54806367,56.09436861,1,125,81.85
11.52566098,55.50739674,11.50942046,55.4901315,1,208,2.18
10.52468885,55.17876846,10.6878531,55.21758178,1,67,11.23
10.52468885,55.17876846,10.67288794,55.15462415,1,106,9.8
10.52468885,55.17876846,10.60044103,55.21933629,3,47,6.6
10.52468885,55.17876846,10.6106881,55.25116917,1,34,9.74
10.52468885,55.17876846,10.53161141,55.23721546,1,4,6.52
8.95267034,56.14219771,8.702898,56.08892904,2,249,16.6
9.97477036,56.76993809,10.11196406,56.55608744,1,160,25.24
9.97477036,56.76993809,9.9260865,56.73172154,1,215,5.19
9.97477036,56.76993809,9.46847879,56.98422923,1,308,38.95
9.97477036,56.76993809,9.63964619,56.89998491,1,305,25.02
9.97477036,56.76993809,9.66958207,57.21084237,2,339,52.45
9.97477036,56.76993809,9.97425461,56.82201514,2,360,5.8
9.97477036,56.76993809,9.46249934,57.13223706,1,323,50.93
9.97477036,56.76993809,9.26398226,56.70269291,1,261,44.04
12.49697944,55.87703196,11.76354234,55.22707239,1,213,85.83
12.57120585,55.76203412,9.59358865,56.75149212,1,302,214.52
12.24678687,55.68206385,12.40009611,55.67068148,1,97,9.71
10.53161141,55.23721546,10.49370528,55.35536226,2,350,13.37
10.53161141,55.23721546,10.56795957,55.32034324,1,14,9.54
10.53161141,55.23721546,10.6878531,55.21758178,4,102,10.16
10.53161141,55.23721546,10.25460703,55.39638034,1,315,24.94
10.53161141,55.23721546,11.1239032,54.89912876,1,135,53.31
12.11926659,55.52436802,9.3617377,56.71405477,1,309,216.36
