Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,11.5637071,54.76184575,1,212,120.44
12.55338778,55.68488326,11.52086553,54.79788693,1,214,118.5
12.55338778,55.68488326,11.50911616,54.77425467,2,214,121.12
12.55338778,55.68488326,9.25779543,55.90628978,1,278,207.68
12.55338778,55.68488326,11.54457708,56.70505201,1,332,129.61
12.55338778,55.68488326,11.06625641,55.69549401,1,271,93.32
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41
12.55338778,55.68488326,12.45177463,56.02090521,1,350,37.94
12.55338778,55.68488326,9.90012939,55.27057781,1,256,173.61
12.55338778,55.68488326,9.17162542,56.48666115,1,294,228.19
9.01688742,55.5661491,9.06844645,55.47082031,2,163,11.1
9.01688742,55.5661491,9.01459535,55.45706344,1,181,12.14
9.94495944,57.49944519,9.94435879,57.52981312,1,359,3.38
9.94495944,57.49944519,9.78457859,57.46253693,1,247,10.44
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86
8.24156208,56.26451832,8.26693924,56.09391203,1,175,19.06
8.24156208,56.26451832,10.39005511,55.39681993,1,125,165.44
8.24156208,56.26451832,10.13091193,55.38709123,1,129,153.28
8.24156208,56.26451832,11.31006328,55.68657399,1,107,201.65
9.88182547,56.11098135,9.68866011,56.1539,1,292,12.9
9.88182547,56.11098135,9.44221523,56.32779423,1,312,36.37
8.7024578,56.20224399,8.97932374,55.35278211,1,169,96.14
8.80624546,55.11730256,8.81679207,55.06013901,1,174,6.4
8.80624546,55.11730256,9.36239271,55.19519696,2,76,36.42
8.80624546,55.11730256,9.35986674,55.11536159,1,90,35.25
8.80624546,55.11730256,8.94781772,55.06049031,1,125,11.02
8.80624546,55.11730256,9.20524537,55.19953449,1,70,26.98
8.80624546,55.11730256,8.78636022,55.0094511,1,186,12.07
9.17733486,55.80010134,9.23259893,55.8468133,1,34,6.24
9.17733486,55.80010134,8.89396153,55.83813703,1,284,18.22
9.17733486,55.80010134,10.84759727,56.37121286,1,58,121.67
11.79638975,55.6060789,12.30569237,55.93228835,1,41,48.33
9.68121288,56.96651518,9.82021784,57.00134695,1,65,9.28
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19
9.99781555,57.24808351,9.96556941,57.17978982,1,194,7.85
10.11913347,56.53164726,8.3083178,56.55861582,1,272,111.16
9.93800241,55.79863714,10.0789662,55.8261813,1,71,9.34
9.68866011,56.1539,9.5470055,56.16936133,3,281,8.95
9.68866011,56.1539,9.7076326,56.07812985,1,172,8.52
9.68866011,56.1539,9.60315595,56.18537171,1,303,6.35
8.46526917,56.51842152,9.86197942,55.85797729,1,130,113.53
9.66542509,55.59473397,9.01054031,56.4920081,1,338,107.86
11.52566098,55.50739674,9.49149073,55.49190407,1,270,128.27
9.49149073,55.49190407,9.84559872,56.01132805,3,21,61.93
9.49149073,55.49190407,9.8614429,55.97300374,4,23,58.36
9.49149073,55.49190407,9.73267011,56.02420768,1,14,61.15
9.49149073,55.49190407,9.1999361,55.52522839,1,282,18.75
10.52468885,55.17876846,10.52600958,55.13564886,1,179,4.8
10.52468885,55.17876846,10.70372579,55.36192302,2,29,23.34
10.52468885,55.17876846,10.48172023,55.2383892,1,338,7.18
10.52468885,55.17876846,10.70613926,55.15077443,1,105,11.95
9.97477036,56.76993809,10.03168556,56.77982117,1,72,3.64
9.97477036,56.76993809,9.25829724,56.85728982,1,283,44.73
9.82537421,56.2802359,11.39288487,55.72992499,1,121,115.2
10.53161141,55.23721546,9.90594911,55.480346,2,305,47.96
10.53161141,55.23721546,9.91719629,55.46591138,1,303,46.48
10.53161141,55.23721546,9.82743558,55.4229237,1,295,49.15
10.53161141,55.23721546,9.8643127,55.4901813,1,304,50.75
10.53161141,55.23721546,9.82346994,55.50641302,1,304,53.89
10.53161141,55.23721546,10.0272562,55.41308723,1,302,37.46
10.53161141,55.23721546,9.99083084,55.36324414,1,292,37.03
10.53161141,55.23721546,12.23006557,55.56957498,1,70,113.55
8.9366792,55.45078486,9.06844645,55.47082031,2,75,8.61
12.23006556,55.56957498,12.26920402,55.6084158,1,30,4.98
12.03992674,55.57338978,9.10599432,55.40991494,1,266,185.91
9.5521637,55.71165991,8.71941953,55.436327,1,240,60.71
9.5521637,55.71165991,8.718767,55.392738,1,236,63.36
10.31667047,56.31261766,10.18870215,56.33456056,1,287,8.27
10.31667047,56.31261766,8.15001308,55.96646108,1,255,139.79
9.74794645,57.16692875,9.58869625,57.06335248,1,220,15.02
9.74794645,57.16692875,9.85763259,57.11839779,2,129,8.55
9.74794645,57.16692875,10.2569948,57.07626219,1,108,32.38
9.74794645,57.16692875,9.8071931,57.15011259,4,118,4.04
9.74794645,57.16692875,9.71390405,57.06848707,1,191,11.15
9.74794645,57.16692875,9.61684353,56.71861431,1,189,50.54
9.74794645,57.16692875,9.59358865,56.75149212,1,192,47.19
9.74794645,57.16692875,10.20254944,57.06995981,3,111,29.52
9.74794645,57.16692875,10.01192636,57.15092785,1,96,16.04
9.74794645,57.16692875,9.99749113,57.45913657,1,25,35.82
9.74794645,57.16692875,9.92621509,57.07193063,2,134,15.1
9.74794645,57.16692875,10.09241256,57.10673427,1,108,21.86
9.74794645,57.16692875,9.54034898,56.89300613,1,203,32.98
9.01276464,56.44164212,10.02795254,55.26334949,1,154,145.7
10.59139922,55.83257606,10.55570458,55.7971772,1,210,4.53
9.52005422,56.21760026,9.52098813,56.18420884,1,179,3.72
9.52005422,56.21760026,9.60315595,56.18537171,1,125,6.27
11.42615124,55.74366106,11.399946,55.739917,1,256,1.69
11.42615124,55.74366106,11.40951026,55.66108143,1,186,9.25
11.42615124,55.74366106,12.25061662,55.34147767,1,130,68.56
10.57176876,55.84903122,10.55290497,55.96474501,2,355,12.93
10.25423316,55.48575526,10.3769219,55.0897671,1,170,44.76
10.25423316,55.48575526,10.17093158,55.55632354,1,326,9.45
10.25423316,55.48575526,9.93344052,56.02373212,1,342,63.17
10.64140852,55.86326329,10.55290497,55.96474501,1,334,12.57
10.55290497,55.96474501,10.57176875,55.84903122,2,175,12.93
10.09226362,57.2849937,9.97302162,57.31406506,1,294,7.87
10.09226362,57.2849937,10.309553,57.288205,1,88,13.08
8.38210526,56.52741547,8.46526917,56.51842152,1,101,5.2
11.58779896,55.23357245,11.38081372,55.47713842,1,334,30.11
12.23538072,55.39970485,12.14493103,55.4144014,1,286,5.95
8.85730379,55.5490305,9.08327118,55.6296138,1,58,16.81
8.85730379,55.5490305,9.50267379,54.97894475,1,147,75.52
8.85730379,55.5490305,9.24934405,55.69568351,1,56,29.56
11.96429115,55.26538826,10.39599158,55.3017613,1,273,99.51
9.74889991,56.8216214,9.85612331,56.85858438,1,58,7.72
9.74889991,56.8216214,9.8965714,56.95132156,1,32,17
8.89396153,55.83813703,9.5470055,56.16936133,1,48,54.88
9.88704892,56.98163851,9.81387091,56.77518886,2,191,23.41
9.88704892,56.98163851,9.8486775,56.97366644,2,249,2.49
15.01626112,55.14016747,15.110854,55.109878,1,119,6.9
11.95792563,54.7421868,11.90379063,54.63389441,2,196,12.55
11.95792563,54.7421868,11.92352222,54.71117023,2,213,4.1
11.95792563,54.7421868,11.94052891,54.60199482,2,184,15.65
12.05599986,54.82358619,11.97672013,54.77021703,2,221,7.82
10.39005511,55.39681993,8.49162946,55.80164939,1,291,127.61
10.60946083,55.46615784,10.65777485,55.45303825,1,116,3.38
10.60946083,55.46615784,10.55902232,55.46073616,1,259,3.24
10.60926315,55.39837118,8.46526917,56.51842152,1,314,182.73
10.6586365,55.51612464,10.67239199,55.53421698,1,23,2.19
10.6586365,55.51612464,10.64791633,55.49989519,1,201,1.93
10.6586365,55.51612464,10.68597858,55.4965815,2,142,2.78
9.40914342,56.19449478,9.35147784,56.16917342,2,232,4.55
9.40914342,56.19449478,9.54881698,56.239884,1,60,10.01
9.40914342,56.19449478,9.66364638,56.22223224,1,79,16.06
10.21339439,56.3006803,8.73244274,55.36384026,1,222,139.45
10.21339439,56.3006803,8.77858359,55.33618399,1,221,139.92
10.27390217,55.51951195,10.25423316,55.48575526,2,198,3.96
9.17347087,56.31082534,8.98817125,56.76991976,1,348,52.36
9.17347087,56.31082534,10.33785405,55.22466686,1,148,141.19
9.17347087,56.31082534,8.810434,56.6441,1,329,43.3
9.01054031,56.4920081,8.86845772,56.45666669,1,246,9.58
9.4116545,55.04862654,9.35986674,55.11536159,1,336,8.13
10.33760845,56.50255801,9.89827224,54.91483641,2,189,178.88
10.53678096,55.28560022,10.53161141,55.23721546,1,183,5.4
9.30973468,55.61507191,9.44872588,55.60181971,1,100,8.86
9.30973468,55.61507191,9.01054031,56.4920081,2,349,99.38
9.30973468,55.61507191,9.47559,55.523086,1,134,14.62
9.99749113,57.45913657,9.94435879,57.52981312,1,338,8.49
10.2503403,57.4626313,9.61684353,56.71861431,1,205,91.26
10.29659671,57.40928505,11.53832782,54.9756953,1,164,281.6
10.29659671,57.40928505,10.46058464,57.36707857,2,115,10.9
10.40685789,57.44038976,10.2503403,57.4626313,1,285,9.7
10.13688564,57.42516618,10.2503403,57.4626313,1,58,7.97
10.03387302,57.51267197,8.7041957,56.84934584,1,228,109.03
8.73114513,56.8682726,8.7041957,56.84934584,1,218,2.67
10.43807204,57.31823044,10.46058464,57.36707857,1,14,5.6
10.31225829,57.2885669,10.09226362,57.2849937,1,268,13.24
10.31225829,57.2885669,9.9843203,56.65025328,1,196,73.79
10.16486773,57.26998552,10.15273583,57.21287001,1,187,6.4
9.27023832,56.73474316,9.77414217,56.10741748,2,156,76.41
9.90701839,57.30294273,9.80331066,57.29650619,1,264,6.28
9.27580365,56.53917503,9.17162542,56.48666115,1,228,8.67
9.69964954,57.27219689,9.66958207,57.21084237,1,195,7.07
8.33953781,56.29960833,8.18988814,56.30624905,1,275,9.27
8.33953781,56.29960833,8.794384,56.265473,1,97,28.36
9.42020192,57.12592682,9.35531249,57.13535335,1,285,4.06
9.42020192,57.12592682,9.12561066,57.10536712,1,263,17.95
9.21079873,57.05402951,9.25849993,57.0671638,1,63,3.24
9.21079873,57.05402951,9.29617367,57.09917817,1,46,7.21
9.16677663,57.09680291,9.06782757,57.11195156,1,286,6.22
9.16677663,57.09680291,8.7041957,56.84934584,1,226,39.33
9.84559872,56.01132805,9.8614429,55.97300374,6,167,4.38
9.84559872,56.01132805,9.93019729,56.03898678,1,60,6.1
9.84559872,56.01132805,9.928916,56.040284,1,58,6.1
9.84559872,56.01132805,9.76768063,56.00244817,4,259,4.95
9.84559872,56.01132805,9.73267011,56.02420768,3,282,7.17
