Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
8.24156208,56.26451832,8.18988814,56.30624905,1,325,5.64
9.74794645,57.16692875,9.94435879,57.52981312,1,16,42.08
10.64140852,55.86326329,10.57176875,55.84903122,1,250,4.63
10.55290497,55.96474501,11.03403286,57.27247189,1,11,148.53
9.37836463,56.45780394,8.48820299,56.97051219,2,317,78.83
9.99749113,57.45913657,9.9857954,57.55960816,1,356,11.21
10.30975213,57.61903603,10.56422311,57.72685939,1,52,19.33
10.1928376,57.58773669,10.02870892,57.55574435,1,250,10.42
10.19922035,57.5422646,10.1928376,57.58773669,4,356,5.08
10.4799494,57.47709661,10.56422311,57.72685939,1,10,28.25
10.29659671,57.40928505,10.19922035,57.5422646,1,339,15.91
10.29659671,57.40928505,10.1928376,57.58773669,1,343,20.81
10.40685789,57.44038976,10.1928376,57.58773669,1,322,20.8
10.40685789,57.44038976,10.4799494,57.47709661,2,47,5.99
10.40685789,57.44038976,10.56422311,57.72685939,1,16,33.24
9.77707939,57.41548443,9.78313657,57.40131627,1,167,1.62
9.77707939,57.41548443,9.78457859,57.46253693,1,5,5.26
9.62246601,57.24730572,9.46249934,57.13223706,1,217,16.04
9.62246601,57.24730572,9.4850338,57.07415465,1,203,20.98
8.33953781,56.29960833,9.46249934,57.13223706,1,36,115.31
8.33953781,56.29960833,9.4850338,57.07415465,1,39,111.08
8.33953781,56.29960833,8.18988814,56.30624905,2,275,9.27
8.33953781,56.29960833,8.17656268,56.27879324,1,257,10.33
8.73479715,57.01500974,9.00099051,57.10595107,1,58,19.03
8.73479715,57.01500974,8.81166219,57.05900617,1,44,6.76
8.73479715,57.01500974,10.4799494,57.47709661,1,63,117.01
8.54350526,56.86406245,8.60389504,57.11528803,1,7,28.2
8.44661772,56.82524672,8.24072529,56.77887529,1,248,13.57
8.44661772,56.82524672,8.17369803,56.62066705,1,216,28.22
8.31670931,56.75720487,8.24072529,56.77887529,1,297,5.23
9.21746784,56.59746309,8.14158228,56.47814353,1,259,67.36
8.60045399,55.87516419,8.28146,55.632333,1,217,33.62
10.86238959,56.47355037,10.82520646,56.50293044,1,325,3.99
10.56303177,56.41067005,10.58465749,56.5070087,1,7,10.81
9.81157347,55.74439207,10.64140852,55.86326329,1,75,53.58
8.2861537,56.1439275,8.21425645,56.19854236,1,324,7.54
8.2861537,56.1439275,8.20005733,56.23337586,1,332,11.3
8.33130981,55.6159675,8.1431204,55.55530123,2,240,13.63
