Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,9.79005515,56.40882276,1,296,189.75
12.55338778,55.68488326,9.5521637,55.71165991,1,272,188.29
12.55338778,55.68488326,11.48519812,54.73745949,1,213,125.4
12.55338778,55.68488326,10.77207094,56.30167713,1,302,130.43
12.55338778,55.68488326,12.03010001,55.9865672,1,316,46.88
12.55338778,55.68488326,9.14109107,55.56995085,1,268,214.81
8.24156208,56.26451832,8.53003402,56.17769268,1,118,20.3
8.80624546,55.11730256,8.81679207,55.06013901,2,174,6.4
9.17733486,55.80010134,9.7076326,56.07812985,2,47,45.29
9.17733486,55.80010134,10.63684485,56.34493833,2,56,109.09
9.32170212,55.51180511,9.14109107,55.56995085,2,300,13.09
9.32170212,55.51180511,9.08327118,55.6296138,1,311,19.93
9.32170212,55.51180511,9.24419327,55.55835913,1,317,7.12
9.32170212,55.51180511,9.1999361,55.52522839,1,281,7.82
9.99781555,57.24808351,10.4799494,57.47709661,1,48,38.57
9.99781555,57.24808351,10.10058993,57.24046025,1,98,6.25
9.99781555,57.24808351,10.31225829,57.2885669,1,76,19.46
9.99781555,57.24808351,10.10652524,57.56519257,1,10,35.9
9.68866011,56.1539,9.49149073,55.49190407,1,190,74.72
9.68866011,56.1539,9.5470055,56.16936133,1,281,8.95
9.14255855,55.47592324,8.98817125,56.76991976,1,356,144.36
9.14255855,55.47592324,8.49550545,55.95083856,1,323,66.64
9.14255855,55.47592324,9.1999361,55.52522839,1,33,6.57
9.14255855,55.47592324,10.03937754,56.27874967,1,32,105.46
9.14255855,55.47592324,9.11742998,55.5219207,1,343,5.36
8.46526917,56.51842152,8.56931314,56.61326781,1,31,12.34
8.46526917,56.51842152,8.17369803,56.62066705,2,303,21.2
11.52566098,55.50739674,11.1641187,55.64331162,1,304,27.32
10.52468885,55.17876846,10.45413182,55.20170346,1,300,5.16
10.52468885,55.17876846,10.68597858,55.4965815,1,16,36.82
10.52468885,55.17876846,9.00099051,57.10595107,1,337,234.41
9.97477036,56.76993809,9.9260865,56.73172154,1,215,5.19
9.97477036,56.76993809,8.9884204,56.70460706,1,264,60.66
9.97477036,56.76993809,9.2363639,56.69459991,1,260,45.86
12.62629466,55.62123328,11.30930063,55.50046107,1,261,83.99
10.53161141,55.23721546,9.85225898,55.43914396,1,298,48.53
8.9366792,55.45078486,8.9961129,56.38726949,1,2,104.31
12.11926659,55.52436802,11.98343325,55.66905184,1,332,18.23
9.5521637,55.71165991,9.43858316,55.67283345,1,239,8.33
9.5521637,55.71165991,9.54601738,55.7627968,2,356,5.71
9.5521637,55.71165991,9.41612043,55.75406825,1,299,9.75
9.5521637,55.71165991,8.4446389,55.90317791,1,288,72.49
8.59144328,56.40590419,8.52419918,56.38610527,1,242,4.69
8.59144328,56.40590419,8.61564687,56.38395169,1,149,2.86
11.62189769,55.71362383,11.53832782,54.9756953,1,184,82.32
9.74794645,57.16692875,9.71411564,57.31273827,1,353,16.36
9.74794645,57.16692875,9.66958207,57.21084237,1,316,6.8
9.74794645,57.16692875,9.59358865,56.75149212,1,192,47.19
9.74794645,57.16692875,9.80331066,57.29650619,1,13,14.81
9.74794645,57.16692875,9.97302162,57.31406506,1,40,21.26
9.74794645,57.16692875,9.55622921,56.69662805,1,193,53.63
9.74794645,57.16692875,9.16677663,57.09680291,1,258,35.97
9.90012939,55.27057781,10.40267651,54.97718574,1,135,45.72
11.22814319,55.53878322,12.25061662,55.34147767,1,108,68.2
9.01276464,56.44164212,9.96126412,55.24200192,1,156,146.11
10.59139922,55.83257606,10.57176875,55.84903122,3,326,2.2
10.59139922,55.83257606,10.64140852,55.86326329,1,42,4.63
10.57176876,55.84903122,10.55570458,55.7971772,1,190,5.86
10.57176876,55.84903122,10.64140852,55.86326329,1,70,4.63
10.55290497,55.96474501,10.55570458,55.7971772,1,179,18.65
10.09226362,57.2849937,10.309553,57.288205,1,88,13.08
10.09226362,57.2849937,10.32289645,57.34965454,1,63,15.62
10.09226362,57.2849937,9.80331066,57.29650619,1,274,17.43
10.09226362,57.2849937,9.99749113,57.45913657,1,344,20.2
10.09226362,57.2849937,10.30975213,57.61903603,1,19,39.4
8.38210526,56.52741547,8.17369803,56.62066705,2,309,16.46
11.25718547,55.36278196,11.29055466,55.34548624,1,132,2.86
8.94704952,56.7403163,8.9884204,56.70460706,1,147,4.71
8.94704952,56.7403163,8.93061343,56.56627032,1,183,19.4
11.96429115,55.26538826,10.39599158,55.3017613,1,273,99.51
11.96429115,55.26538826,10.43689839,55.33173429,1,275,97.08
9.66958207,57.21084237,9.74794645,57.16692875,1,136,6.8
12.16277647,55.00013266,12.01913174,55.04027329,1,296,10.2
8.89396153,55.83813703,9.41612043,55.75406825,1,106,33.99
11.50911616,54.77425467,11.57298336,55.29786289,1,4,58.43
12.05599986,54.82358619,11.97672013,54.77021703,1,221,7.82
10.39005511,55.39681993,8.49162946,55.80164939,1,291,127.61
10.39005511,55.39681993,8.54350526,56.86406245,1,326,199.49
10.71351398,55.10606529,9.47337079,55.45511559,1,297,87.7
10.6586365,55.51612464,8.54350526,56.86406245,1,320,199.18
9.40914342,56.19449478,9.47110478,56.1483529,4,143,6.41
9.40914342,56.19449478,9.15762141,56.13579896,1,247,16.9
10.21339439,56.3006803,10.48550918,56.29043477,1,94,16.85
10.28463828,55.57287797,10.60511284,55.34465585,1,141,32.47
9.08061225,56.64924931,9.01266703,56.63561907,1,250,4.43
10.16522189,56.22110231,10.70248201,56.22370281,1,89,33.25
9.85225898,55.43914396,9.6512351,56.81585346,1,355,153.76
9.17347087,56.31082534,8.91775704,56.58922585,1,333,34.76
10.45547016,56.34646653,10.18870215,56.33456056,1,266,16.51
9.4116545,55.04862654,9.35986674,55.11536159,1,336,8.13
9.4116545,55.04862654,9.12743054,55.13081541,1,297,20.29
8.90740872,56.43289346,9.03680932,56.71756594,1,14,32.67
8.90740872,56.43289346,8.9884204,56.70460706,1,9,30.65
10.68098765,56.44202313,8.80624546,55.11730256,1,219,188.46
9.30973468,55.61507191,9.49149073,55.49190407,1,140,17.86
9.30973468,55.61507191,9.47559,55.523086,2,134,14.62
9.30973468,55.61507191,9.4886069,55.5670455,1,115,12.46
10.30975213,57.61903603,8.851376,56.214532,1,210,179.71
10.2503403,57.4626313,10.19597408,57.47425374,1,292,3.5
10.2503403,57.4626313,10.28792117,57.15748006,1,176,34.04
