Lon1,Lat1,Lon2,Lat2,Frequency,Bearing,Distance
12.55338778,55.68488326,10.58237489,55.42378724,1,258,127.46
12.55338778,55.68488326,11.21559751,55.61861785,1,266,84.35
12.55338778,55.68488326,10.64962174,56.40887366,1,305,143.19
12.55338778,55.68488326,8.64674475,55.42798863,1,265,247.59
12.55338778,55.68488326,12.27361833,55.73497767,1,288,18.41
12.55338778,55.68488326,8.18454087,56.44940382,1,289,284.45
12.55338778,55.68488326,8.2237962,56.56018322,2,292,285.72
12.55338778,55.68488326,9.85612331,56.85858438,1,309,211.79
8.24156208,56.26451832,8.810434,56.6441,1,39,54.86
8.24156208,56.26451832,10.05643768,55.33038827,2,132,153.97
8.24156208,56.26451832,8.34991012,56.3910552,1,25,15.59
8.24156208,56.26451832,8.2237962,56.56018322,1,358,32.93
8.24156208,56.26451832,8.82771692,55.57328956,1,154,85.19
8.24156208,56.26451832,8.77858359,55.33618399,1,162,108.67
8.24156208,56.26451832,8.26198407,56.49910583,2,3,26.14
8.24156208,56.26451832,9.30436222,55.71874186,1,132,89.83
9.88182547,56.11098135,9.8356371,56.07811135,1,218,4.65
9.88182547,56.11098135,9.95281764,56.11665377,3,82,4.45
9.88182547,56.11098135,9.7076326,56.07812985,1,251,11.42
9.88182547,56.11098135,9.94012695,56.1357368,1,53,4.55
9.88182547,56.11098135,9.271131,55.769331,1,225,53.81
8.7024578,56.20224399,9.12831637,56.70268186,1,25,61.56
8.80624546,55.11730256,9.25058971,54.9343524,1,125,34.91
8.80624546,55.11730256,9.40756732,54.98983283,1,110,40.88
8.80624546,55.11730256,9.4116545,55.04862654,1,101,39.33
8.80624546,55.11730256,9.21313241,55.07592424,1,100,26.32
8.80624546,55.11730256,8.78636022,55.0094511,2,186,12.07
8.80624546,55.11730256,9.50267379,54.97894475,1,109,47.01
8.80624546,55.11730256,8.77858359,55.33618399,1,356,24.43
9.17733486,55.80010134,12.34315195,54.99164443,1,113,219.41
9.17733486,55.80010134,12.39979713,54.99535345,1,112,222.51
9.17733486,55.80010134,9.30436222,55.71874186,3,139,12.06
9.17733486,55.80010134,9.32137834,55.77096642,1,110,9.58
9.17733486,55.80010134,9.24202741,55.77058218,2,129,5.21
9.17733486,55.80010134,9.23259893,55.8468133,5,34,6.24
11.79638975,55.6060789,12.05240733,55.11870202,2,163,56.62
9.29617367,57.09917817,9.00383831,57.02701394,1,246,19.43
9.31819277,55.02032089,8.77858359,55.33618399,1,316,49.12
9.68121288,56.96651518,9.682732,57.027583,1,1,6.8
9.68121288,56.96651518,9.34811902,56.93022611,1,259,20.62
9.68121288,56.96651518,9.85202605,57.47912237,1,10,57.98
9.32170212,55.51180511,9.76768063,56.00244817,1,27,61.35
9.32170212,55.51180511,9.271131,55.769331,1,354,28.84
9.32170212,55.51180511,9.64459232,55.79600588,1,33,37.58
9.32170212,55.51180511,9.11742998,55.5219207,2,275,12.92
9.99781555,57.24808351,10.28792117,57.15748006,2,120,20.19
9.99781555,57.24808351,9.93214951,57.04020941,1,190,23.48
9.99781555,57.24808351,10.40375545,57.36109528,1,63,27.46
9.99781555,57.24808351,10.50362009,57.45082532,1,53,37.84
10.11913347,56.53164726,10.14363148,56.67328465,2,5,15.84
10.11913347,56.53164726,10.24204167,56.66137113,1,28,16.29
10.11913347,56.53164726,10.2014359,56.61990065,1,27,11.04
10.11913347,56.53164726,10.03486015,56.61377013,2,331,10.5
10.11913347,56.53164726,10.02530132,56.41896103,1,205,13.81
10.11913347,56.53164726,10.11196406,56.55608744,1,351,2.76
10.11913347,56.53164726,9.9973083,56.57504773,1,303,8.9
10.11913347,56.53164726,9.98880571,56.50431637,1,249,8.56
10.11913347,56.53164726,10.10813829,56.15817284,1,181,41.58
10.11913347,56.53164726,9.34811902,56.93022611,1,314,64.69
10.11913347,56.53164726,10.18655208,56.57922546,1,38,6.72
9.93800241,55.79863714,10.0789662,55.8261813,2,71,9.34
9.93800241,55.79863714,10.0036492,55.80811982,1,76,4.24
9.14255855,55.47592324,12.23006557,55.56957498,1,86,194.82
9.14255855,55.47592324,9.43858316,55.67283345,2,40,28.77
9.14255855,55.47592324,9.38319082,55.70244629,2,31,29.41
9.14255855,55.47592324,9.49068388,55.66364171,1,46,30.28
9.14255855,55.47592324,9.11742998,55.5219207,2,343,5.36
10.15055444,55.97882035,9.82190191,56.72635189,1,346,85.65
8.46526917,56.51842152,8.31181859,56.45083072,1,232,12.07
8.46526917,56.51842152,8.40990349,56.55878913,3,323,5.63
8.46526917,56.51842152,8.21046211,56.48868136,1,258,16
8.46526917,56.51842152,8.42207159,56.31947279,1,187,22.31
8.46526917,56.51842152,8.38210526,56.52741547,1,281,5.2
8.46526917,56.51842152,8.52851154,56.64886781,3,15,15.03
8.46526917,56.51842152,8.56931314,56.61326781,1,31,12.34
8.46526917,56.51842152,8.2237962,56.56018322,1,287,15.53
9.61833913,56.27388691,9.50899595,57.09430845,1,356,91.57
9.61833913,56.27388691,9.66364638,56.22223224,2,154,6.4
11.52566098,55.50739674,11.59056834,55.53920625,2,49,5.41
9.49149073,55.49190407,8.64674475,55.42798863,1,263,53.79
10.52468885,55.17876846,10.52600958,55.13564886,1,179,4.8
10.52468885,55.17876846,10.70372579,55.36192302,1,29,23.34
10.52468885,55.17876846,10.67288794,55.15462415,1,106,9.8
10.52468885,55.17876846,10.60044103,55.21933629,1,47,6.6
10.52468885,55.17876846,10.430304,55.23965024,1,318,9.05
10.52468885,55.17876846,10.49930672,55.13097468,2,197,5.56
10.52468885,55.17876846,10.31002587,55.18398859,1,273,13.66
8.95267034,56.14219771,9.15762141,56.13579896,1,93,12.73
8.95267034,56.14219771,12.03507793,55.08196045,1,120,226.88
8.95267034,56.14219771,12.01939282,54.86281625,1,125,240.1
9.97477036,56.76993809,9.21998851,56.79001184,1,273,46.09
9.97477036,56.76993809,9.95603185,57.16277574,2,359,43.75
9.97477036,56.76993809,10.103645,57.190227,1,9,47.43
9.97477036,56.76993809,10.10414087,57.19017333,1,9,47.43
9.97477036,56.76993809,9.88154132,56.76151304,1,261,5.76
9.97477036,56.76993809,9.97425461,56.82201514,3,360,5.8
9.97477036,56.76993809,9.50899595,57.09430845,1,322,45.87
9.97477036,56.76993809,9.33595226,56.77379815,1,271,38.97
9.97477036,56.76993809,9.41643927,56.75901943,2,268,34.09
12.62629466,55.62123328,11.39288487,55.72992499,1,279,78.36
9.82537421,56.2802359,11.39288487,55.72992499,1,121,115.2
12.57120585,55.76203412,10.13314571,56.31072258,1,293,163.45
11.98263212,55.63386696,12.12774087,55.57020005,1,128,11.55
11.98263212,55.63386696,12.40009611,55.67068148,1,81,26.54
11.98263212,55.63386696,12.36613624,55.63520837,1,89,24.1
10.53161141,55.23721546,10.67288794,55.15462415,2,136,12.85
10.53161141,55.23721546,10.48172023,55.2383892,1,272,3.17
10.53161141,55.23721546,10.39005511,55.39681993,1,333,19.9
10.53161141,55.23721546,10.74650728,55.17597852,2,116,15.26
10.53161141,55.23721546,10.56795957,55.32034324,3,14,9.54
10.53161141,55.23721546,10.62175761,55.0641916,1,163,20.1
10.53161141,55.23721546,9.91311874,55.36606914,1,290,41.74
10.53161141,55.23721546,10.58237489,55.42378724,1,9,21.02
10.53161141,55.23721546,10.68597858,55.4965815,1,19,30.48
10.53161141,55.23721546,10.72374307,55.38359802,1,37,20.34
10.53161141,55.23721546,10.66712905,55.38197543,1,28,18.26
10.53161141,55.23721546,10.36887143,55.57274748,1,345,38.74
12.11926659,55.52436802,12.12336702,55.49732762,1,175,3.02
9.5521637,55.71165991,9.57397269,55.67828641,1,160,3.96
9.5521637,55.71165991,12.03507793,55.08196045,1,113,171.89
9.5521637,55.71165991,9.05474062,56.1479359,1,328,57.63
10.31667047,56.31261766,10.12774216,56.3615738,2,295,12.87
10.31667047,56.31261766,9.08327118,55.6296138,1,226,108.09
11.62189769,55.71362383,11.61945729,55.70048049,1,186,1.47
11.62189769,55.71362383,11.53832782,54.9756953,1,184,82.32
11.62189769,55.71362383,10.717764,55.492592,1,247,61.95
11.62189769,55.71362383,9.737277,55.892376,1,280,119.58
11.62189769,55.71362383,10.94768309,55.73466966,1,273,42.33
11.21334063,55.65521253,11.76838014,55.49068151,1,117,39.44
11.21334063,55.65521253,11.21559751,55.61861785,2,178,4.08
11.21334063,55.65521253,9.70370454,55.63840667,3,269,94.85
11.21334063,55.65521253,10.19922035,57.5422646,2,344,219.06
11.21334063,55.65521253,11.31006328,55.68657399,1,60,7
11.21334063,55.65521253,11.06625641,55.69549401,1,296,10.26
11.21334063,55.65521253,11.32005579,55.23330818,1,172,47.45
11.21334063,55.65521253,11.40951026,55.66108143,1,87,12.34
11.21334063,55.65521253,11.11837167,54.8600169,1,184,88.73
11.21334063,55.65521253,11.14267379,55.34701482,1,187,34.6
9.74794645,57.16692875,9.85763259,57.11839779,1,129,8.55
9.74794645,57.16692875,10.09226362,57.2849937,1,58,24.56
9.74794645,57.16692875,9.8071931,57.15011259,4,118,4.04
9.74794645,57.16692875,9.64459232,55.79600588,1,182,152.74
9.74794645,57.16692875,9.53743676,56.96224749,1,209,26.11
9.74794645,57.16692875,9.69964954,57.27219689,2,346,12.07
9.74794645,57.16692875,9.99781555,57.24808351,1,59,17.57
9.74794645,57.16692875,9.59358865,56.75149212,1,192,47.19
9.74794645,57.16692875,9.8952489,57.07370994,1,139,13.67
9.74794645,57.16692875,9.12831637,56.70268186,1,216,63.93
9.74794645,57.16692875,9.93214951,57.04020941,2,142,17.97
9.74794645,57.16692875,10.07121933,56.94828516,1,141,31.23
9.74794645,57.16692875,10.25423316,55.48575526,1,170,189.74
9.90012939,55.27057781,10.22554698,55.12626378,1,128,26.18
11.32404229,55.48889218,9.45071866,56.04025959,1,298,132.4
11.22814319,55.53878322,12.16174076,55.4998807,1,94,58.99
9.52005422,56.21760026,12.05718997,55.04785158,1,128,205.83
11.29584204,55.61003819,11.38889372,55.5570049,1,135,8.31
11.29584204,55.61003819,11.28001532,55.54827105,1,188,6.95
11.42615124,55.74366106,10.71589465,55.24233713,2,219,71.56
11.42615124,55.74366106,12.41620744,55.65366083,1,99,62.91
11.42615124,55.74366106,12.02079679,55.97133423,1,56,44.97
11.42615124,55.74366106,8.98817125,56.76991976,1,308,189.13
11.42615124,55.74366106,12.2183729,54.94106039,1,150,102.46
11.45461858,55.75243304,11.4397201,55.80248958,1,350,5.65
10.57176876,55.84903122,10.55570458,55.7971772,1,190,5.86
10.25423316,55.48575526,10.15997114,55.47376268,1,257,6.09
10.64140852,55.86326329,10.57176875,55.84903122,1,250,4.63
10.55290497,55.96474501,10.43464686,55.95250277,1,260,7.49
10.55290497,55.96474501,10.57176875,55.84903122,1,175,12.93
11.34790612,55.41049695,10.14620854,55.53811757,1,281,77.14
11.34790612,55.41049695,10.17396194,55.51225264,1,279,74.95
10.09226362,57.2849937,9.97302162,57.31406506,2,294,7.87
8.38210526,56.52741547,8.48820299,56.97051219,1,7,49.75
8.38210526,56.52741547,8.40990349,56.55878913,1,26,3.89
8.38210526,56.52741547,8.5265426,56.49479876,1,112,9.59
8.38210526,56.52741547,8.31181859,56.45083072,1,207,9.56
11.25718547,55.36278196,11.29055466,55.34548624,1,132,2.86
11.25718547,55.36278196,11.27076891,55.30099507,1,173,6.93
