freq,longitude,latitude,story_ids,story_place
1,8.86783095,54.97934547,17071,"17071=>Abildgård (2)"
4,9.6512351,56.81585346,"17071 4496 17070 4513","17071=>Sønderup (1110)<br>4496=>Sønderup (1110)<br>17070=>Sønderup (1110)<br>4513=>Rodsted (2702)"
1,9.74794645,57.16692875,4190,"4190=>Åby (3)"
2,9.12743054,55.13081541,"4424 4628","4424=>Agerskov (12)<br>4628=>Galsted (4425)"
1,8.24072529,56.77887529,17319,"17319=>Agger (14)"
2,9.96556941,57.17978982,"4344 16964","4344=>Ajstrup (16)<br>16964=>Ajstrup (16)"
3,12.13567382,54.89973258,"16964 4934","16964=>Fanefjord (1772)<br>16964=>Grønsund (4554)<br>4934=>Fanefjord (1772)"
1,9.01054031,56.4920081,17145,"17145=>Åkjær (21)"
1,9.79005515,56.40882276,17145,"17145=>Ulstrup (1280)"
3,8.28146,55.632333,"4176 17272 4476","4176=>Ål (22)<br>17272=>Ål (22)<br>4476=>Tudel (4233)"
1,8.36724634,55.57513827,4176,"4176=>Hostrup (530)"
4,8.3699163,55.6223361,"4176 4177 4195","4176=>Jandrup (4208)<br>4177=>Jandrup (4208)<br>4177=>Jandrup å (4209)<br>4195=>Jandrup (4208)"
1,8.33130981,55.6159675,4176,"4176=>Billum (4211)"
1,9.93214951,57.04020941,4814,"4814=>Ålborg (27)"
1,9.92621509,57.07193063,4814,"4814=>Nørre-Sundby (2609)"
2,9.56111779,55.88758037,"4385 4386","4385=>Åle (29)<br>4386=>Åle (29)"
2,9.39525444,56.37789782,"4443 17250","4443=>Almind (36)<br>17250=>Almind (36)"
1,10.28886161,56.75487617,4185,"4185=>Als (38)"
3,8.97059326,56.52697157,"4185 4184 4186","4185=>Estvadgård (4036)<br>4184=>Estvad (4035)<br>4186=>Estvad (4035)"
4,10.84759727,56.37121286,"4750 4751 4752 4753","4750=>Ålsø (42)<br>4751=>Ålsø (42)<br>4752=>Ålsø (42)<br>4753=>Ålsø (42)"
1,9.23692909,55.48401691,4563,"4563=>Andst (53)"
2,10.19506313,56.16685115,"4887 17339","4887=>Århus (55)<br>17339=>Århus (55)"
1,9.50846948,56.80216045,4366,"4366=>Års (58)"
2,8.52353886,56.89543114,"4666 4275","4666=>Årup (63)<br>4275=>Snedsted (2493)"
1,8.49454284,56.87033328,4666,"4666=>Hørsted (2495)"
1,9.43281814,56.44333188,17334,"17334=>Asmild kloster (70)"
