freq,longitude,latitude,story_ids,story_place
4,9.74794645,57.16692875,"12001 11978 11979 11707","12001=>Åby (3)<br>11978=>Vildmosen (2614)<br>11979=>Vildmosen (2614)<br>11707=>Vedsted (1294)"
1,9.93214951,57.04020941,20939,"20939=>Ålborg (27)"
1,9.56111779,55.88758037,11962,"11962=>Åle (29)"
1,9.65366138,55.88982838,11962,"11962=>Rask (3746)"
5,12.03507793,55.08196045,"20901 20902 11665","20901=>Allerslev (31)<br>20901=>Tjørnehoved (1745)<br>20902=>Allerslev (31)<br>20902=>Tjørnehoved (1745)<br>11665=>Tjørnehoved (1745)"
1,8.63217387,55.46388899,11796,"11796=>Allerup (33)"
1,9.4886069,55.5670455,20944,"20944=>Almind (37)"
1,9.8414759,54.96362819,12078,"12078=>Als (39)"
2,9.75347036,57.27583849,"11549 11672","11549=>Alstrup (44)<br>11672=>Alstrup bakker (2356)"
15,10.19922035,57.5422646,"11549 11550 11551 11552 11553 11554 11555 11556 11557 11558 11652 20833 20834 11671 20914","11549=>Bindslev (127)<br>11550=>Bindslev (127)<br>11551=>Bindslev (127)<br>11552=>Bindslev (127)<br>11553=>Bindslev (127)<br>11554=>Bindslev (127)<br>11555=>Bindslev (127)<br>11556=>Bindslev (127)<br>11557=>Bindslev (127)<br>11558=>Bindslev (127)<br>11652=>Bindslev (127)<br>20833=>Bindslev (127)<br>20834=>Bindslev (127)<br>11671=>Bragholt (2202)<br>20914=>Bragholt (2202)"
1,9.74889991,56.8216214,21025,"21025=>Årestrup (54)"
1,10.19506313,56.16685115,11948,"11948=>Århus (55)"
1,10.02216133,55.75891388,11867,"11867=>As (65)"
1,10.37605989,56.43195376,20887,"20887=>Avning (108)"
3,9.38319082,55.70244629,"11787 11630 11626","11787=>Balle (113)<br>11630=>Balle mark (3851)<br>11626=>Bræsten (3852)"
2,9.52098813,56.18420884,"20890 11635","20890=>Balle (111)<br>11635=>Hvinningdal (4630)"
3,8.40385203,56.80774672,"20965 21024 21035","20965=>Bedsted (120)<br>21024=>Bedsted (120)<br>21035=>Bedsted (120)"
5,10.1928376,57.58773669,"11550 11552 11553 11554 11555","11550=>Nørre-Elkjær (2194)<br>11552=>Nørre-Elkjær (2194)<br>11553=>Nørre-Elkjær (2194)<br>11554=>Nørre-Elkjær (2194)<br>11555=>Nørre-Elkjær (2194)"
2,10.31225829,57.2885669,"11550 12074","11550=>Knudseje (2278)<br>12074=>Dybvad (248)"
1,10.35104153,57.24032431,11550,"11550=>Idskov (2283)"
4,10.32289645,57.34965454,"11551 12074 11835 12088","11551=>Hejselt (432)<br>12074=>Torslev (1222)<br>11835=>Torslev (1222)<br>12088=>Torslev (1222)"
1,9.85202605,57.47912237,11552,"11552=>Skallerup (1033)"
2,9.985303,57.462684,"11552 11850","11552=>Vellingshøj (2237)<br>11850=>Skibsby (2235)"
1,9.83422482,57.36607902,11556,"11556=>Skøtrup (2321)"
