freq,longitude,latitude,story_ids,story_place
3,9.4116545,55.04862654,"15887 15892 16253","15887=>Åbenrå (1)<br>15892=>Åbenrå (1)<br>16253=>Åbenrå (1)"
3,9.78978849,56.3168746,"15958 2992","15958=>Ajt (19)<br>15958=>Mondrup (3234)<br>2992=>Mondrup (3234)"
2,9.93214951,57.04020941,"16048 16174","16048=>Ålborg (27)<br>16174=>Ålborg (27)"
1,9.56111779,55.88758037,16151,"16151=>Åle (29)"
1,9.39525444,56.37789782,3218,"3218=>Almind (36)"
2,9.4886069,55.5670455,16275,"16275=>Almind (37)<br>16275=>Dons (3943)"
1,9.8414759,54.96362819,16147,"16147=>Als (39)"
1,10.19506313,56.16685115,3165,"3165=>Århus (55)"
1,10.02216133,55.75891388,16248,"16248=>As (65)"
1,10.00194886,55.89344365,3095,"3095=>Ås (66)"
1,9.92891517,56.54533545,3130,"3130=>Asferg (69)"
1,11.4970398,55.81491731,2911,"2911=>Asnæs (71)"
1,9.90594911,55.480346,2899,"2899=>Asperup (74)"
1,9.87184612,55.35964882,2899,"2899=>Brænderup (180)"
2,10.09670998,55.5001816,"2899 3350","2899=>Hårslev (408)<br>3350=>Hårslev (408)"
1,9.91719629,55.46591138,2899,"2899=>Indslev (575)"
1,9.80011611,55.46035275,2899,"2899=>Gamborg (1994)"
2,9.90012939,55.27057781,"2867 15899","2867=>Assens (77)<br>15899=>Assens (77)"
4,8.98817125,56.76991976,"3194 3229 3259 3168","3194=>Åsted (82)<br>3229=>Åsted (82)<br>3259=>Åsted (82)<br>3168=>Østergård (885)"
2,9.97477036,56.76993809,16230,"16230=>Astrup (84)<br>16230=>Møltrup (793)"
1,9.74794645,57.16692875,3101,"3101=>Åstrup (93)"
3,9.63964619,56.89998491,"3039 3000 16137","3039=>Åstrup (94)<br>3000=>Byrsted (2705)<br>16137=>Veggerby (2707)"
1,8.82771692,55.57328956,3031,"3031=>Åstrup (102)"
3,8.58734506,56.4491865,"2999 15919 3090","2999=>Avsumgård (110)<br>15919=>Avsumgård (110)<br>3090=>Vejrum (1302)"
4,8.64201964,56.43840428,"15919 16176 16260","15919=>Hjerm (4018)<br>16176=>Volstrup (1335)<br>16176=>Hjerm (4018)<br>16260=>Hjerm (4018)"
4,9.38319082,55.70244629,"3179 3261 3340 15990","3179=>Balle (113)<br>3261=>Balle (113)<br>3340=>Bræsten (3852)<br>15990=>Tyrskind (3855)"
5,10.57176875,55.84903122,"3028 3329 16182 15810","3028=>Bisgård (129)<br>3329=>Tanderup (1156)<br>16182=>Tanderup (1156)<br>16182=>Onsbjærg (1576)<br>15810=>Onsbjærg (1576)"
3,10.24204167,56.66137113,"3133 3231 16117","3133=>Bjærge (136)<br>3231=>Bjærge (136)<br>16117=>Udbyneder (3261)"
1,9.8548158,55.78780502,15947,"15947=>Bjærge egn (138)"
2,9.27989612,56.14515128,"2935 3314","2935=>Bording (161)<br>3314=>Bording (161)"
1,9.98880571,56.50431637,15985,"15985=>Borup (174)"
1,11.48837319,55.51135315,2944,"2944=>Brænderup (179)"
1,9.07150442,55.1232587,15989,"15989=>Branderup (184)"
6,9.57743689,56.37366129,"15780 15795 15749 16019","15780=>Brandstrup (185)<br>15780=>Vindum (3143)<br>15795=>Brandstrup (185)<br>15795=>Vindum (3143)<br>15749=>Vindum (3143)<br>16019=>Vindum (3143)"
2,9.66542509,55.59473397,"3222 3290","3222=>Bredstrup (192)<br>3290=>Bredstrup (192)"
1,8.91775704,56.58922585,2990,"2990=>Brøndum (202)"
3,8.9892034,55.50158803,"15979 16140 3158","15979=>Brørup (203)<br>16140=>Brørup (203)<br>3158=>Hulvad (545)"
1,14.76219446,55.13768269,16140,"16140=>Nykirke (843)"
1,9.43281814,56.44333188,3068,"3068=>Brunshåb (208)"
5,10.6586365,55.51612464,"2886 2888 3043 3243 16158","2886=>Dalby (214)<br>2888=>Dalby (214)<br>3043=>Dalby (214)<br>3243=>Dalby (214)<br>16158=>Skelenborg (1943)"
4,10.60946083,55.46615784,"2886 3043 2859 16158","2886=>Drigstrup (1922)<br>3043=>Drigstrup (1922)<br>2859=>Drigstrup (1922)<br>16158=>Drigstrup (1922)"
3,10.67239199,55.53421698,"3043 15754 2996","3043=>Stubberup (1141)<br>15754=>Stubberup (1141)<br>2996=>Bogensø (1944)"
4,10.68597858,55.4965815,"3043 2848 15782 15900","3043=>Viby (1307)<br>2848=>Viby (1307)<br>15782=>Viby (1307)<br>15900=>Viby (1307)"
2,10.64791633,55.49989519,"3043 2994","3043=>Mesinge (1938)<br>2994=>Salby (1941)"
1,9.50583515,55.46759288,15755,"15755=>Dalby (215)"
2,9.78611904,56.16882659,"3030 3197","3030=>Dallerup (216)<br>3197=>Tovstrup (1236)"
1,10.22994745,56.60811234,3011,"3011=>Demstrup (226)"
1,9.74345719,56.68568787,3109,"3109=>Døstrup (230)"
1,8.80624546,55.11730256,16192,"16192=>Døstrup (231)"
1,10.28306119,56.4446316,2861,"2861=>Drammelstrup (235)"
1,10.0373779,55.22283913,16026,"16026=>Dreslette (237)"
3,10.28792117,57.15748006,"16169 16183 16217","16169=>Dronninglund (242)<br>16183=>Dronninglund (242)<br>16217=>Dronninglund (242)"
6,9.11742998,55.5219207,"16115 2967 16288 3276","16115=>Drostrup (243)<br>16115=>Læborg (4339)<br>2967=>Gammelby (335)<br>16288=>Gammelby (335)<br>16288=>Læborg (4339)<br>3276=>Læborg (4339)"
1,10.20345653,56.2106994,15955,"15955=>Egå (251)"
2,9.84686328,55.89456335,"3157 3337","3157=>Egebjærg (252)<br>3337=>Hansted (398)"
10,10.52468885,55.17876846,"3034 2858 2856 2857 2868 2871 15777 2933 3006 3023","3034=>Egeskov (264)<br>2858=>Kværndrup (2047)<br>2856=>Kværndrup (2047)<br>2857=>Kværndrup (2047)<br>2868=>Kværndrup (2047)<br>2871=>Kværndrup (2047)<br>15777=>Kværndrup (2047)<br>2933=>Trunderup (2049)<br>3006=>Trunderup (2049)<br>3023=>Trunderup (2049)"
1,9.3360757,56.86446245,3234,"3234=>Ejstrup (269)"
4,9.292717,55.984939,"15895 16061 16207 16225","15895=>Ejstrup (272)<br>16061=>Ejstrup (272)<br>16207=>Ejstrup (272)<br>16225=>Ejstrup (272)"
2,10.0036492,55.80811982,"16207 3066","16207=>Gludsted (3785)<br>3066=>Østerby (882)"
1,8.52353886,56.89543114,3324,"3324=>Elsted (274)"
1,10.81578283,56.41520333,2837,"2837=>Enslev (278)"
1,10.68098765,56.44202313,2837,"2837=>Ramten (3413)"
2,10.60044103,55.21933629,"2916 2858","2916=>Eskelund (280)<br>2858=>Gislev (2106)"
3,9.58719864,56.45039719,"3241 2926 3204","3241=>Fårdal (287)<br>2926=>Ø (3104)<br>3204=>Ø (3104)"
2,10.71589465,55.24233713,"2852 2913","2852=>Frørup (322)<br>2913=>Frørup (322)"
1,10.08609309,56.38771491,3104,"3104=>Ginderup (345)"
3,9.05474062,56.1479359,"15888 15907 16032","15888=>Gjellerup (348)<br>15907=>Gjellerup (348)<br>16032=>Gjellerup (348)"
1,10.43087602,56.45704946,15910,"15910=>Gjesing (351)"
1,8.30337426,56.3385926,3310,"3310=>Gjørding (356)"
2,8.80146899,55.46951931,"15858 16011","15858=>Gjørding (357)<br>16011=>Gjørding (357)"
1,9.81335026,56.84640941,16251,"16251=>Gravlund (363)"
2,10.89117652,56.40594271,"2840 3367","2840=>Grenå (364)<br>3367=>Grenå (364)"
4,9.86197942,55.85797729,"3367 16077 16097 16190","3367=>Horsens (525)<br>16077=>Horsens (525)<br>16097=>Horsens (525)<br>16190=>Horsens (525)"
1,8.92627143,55.75784153,15771,"15771=>Grindsted (366)"
2,9.48630959,55.25084875,"15814 16250","15814=>Haderslev herred (379)<br>16250=>Haderslev (380)"
1,8.9961129,56.38726949,16038,"16038=>Haderup (382)"
1,10.58634969,56.28539975,16038,"16038=>Feldborg (3438)"
1,10.18870215,56.33456056,3313,"3313=>Halling (392)"
2,10.01192636,57.15092785,15838,"15838=>Hammer (395)<br>15838=>Vodskov bro (1325)"
3,9.88182547,56.11098135,"3082 3091 3056","3082=>Hårby (401)<br>3091=>Veng (3599)<br>3056=>Nørre-Vissing (3597)"
5,9.68866011,56.1539,"3126 2952 2966 3127 3128","3126=>Hårup (410)<br>2952=>Linå (702)<br>2966=>Linå (702)<br>3127=>Linå (702)<br>3128=>Linå (702)"
1,14.70850073,55.18216171,15896,"15896=>Hasle (412)"
1,9.37756002,57.05184125,3065,"3065=>Haverslev (423)"
1,8.85006688,56.01241063,3019,"3019=>Hedegård (431)"
5,8.95267034,56.14219771,"15817 15870 16085 16129 16257","15817=>Herning (446)<br>15870=>Herning (446)<br>16085=>Herning (446)<br>16129=>Herning (446)<br>16257=>Herning (446)"
1,9.5906896,55.58348926,16235,"16235=>Herslev (450)"
4,9.26398226,56.70269291,"3184 3201 3246 3094","3184=>Hestbæk (456)<br>3201=>Hestbæk (456)<br>3246=>Illeris (2828)<br>3094=>Illeris (2828)"
1,10.34955355,55.20661791,3051,"3051=>Hillerslev (458)"
1,8.73479715,57.01500974,3343,"3343=>Hillerslev (459)"
1,9.99749113,57.45913657,16258,"16258=>Hjørring (469)"
1,9.985303,57.462684,16199,"16199=>Hjørring (470)"
1,9.78428526,56.63226828,15949,"15949=>Hobro (475)"
1,10.43689839,55.33173429,2851,"2851=>Højby (481)"
7,9.54601738,55.7627968,"15939 3059 3249 3250 3278 16196","15939=>Højgård (485)<br>15939=>Grejs (3803)<br>3059=>Grejs (3803)<br>3249=>Grejs (3803)<br>3250=>Grejs (3803)<br>3278=>Grejs (3803)<br>16196=>Grejs (3803)"
3,9.34814612,55.81619745,"15939 16040 16084","15939=>Givskud (3815)<br>16040=>Givskud (3815)<br>16084=>Givskud (3815)"
1,8.99217015,55.22956772,16180,"16180=>Højrup (491)"
1,10.134373,56.311895,16165,"16165=>Højstrup (494)"
2,10.13314571,56.31072258,"16165 3308","16165=>Ødum (3332)<br>3308=>Ødum (3332)"
1,10.38135001,57.32361016,16138,"16138=>Hørby (506)"
1,9.74560465,56.6547422,2907,"2907=>Hørby (508)"
2,9.66467701,55.85329784,"16095 3186","16095=>Hornborg (512)<br>3186=>Flemming (3751)"
3,10.03609583,56.08668184,"2830 2877 15875","2830=>Hørning (518)<br>2877=>Hørning (518)<br>15875=>Hørning (518)"
1,10.48550918,56.29043477,2830,"2830=>Bregnet (3461)"
1,9.55584445,55.75117948,16189,"16189=>Hornstrup (519)"
4,9.65366138,55.88982838,"3211 16300 3022 3263","3211=>Hornum (522)<br>16300=>Rask (3746)<br>3022=>Rask mølle (3747)<br>3263=>Rask mølle (3747)"
1,8.23044453,55.55012082,3149,"3149=>Hoved (537)"
4,9.62310297,56.48222481,"2865 3084 3200 3326","2865=>Hulbæk (543)<br>3084=>Ørum (875)<br>3200=>Ørum (875)<br>3326=>Ørum (875)"
1,8.50628858,56.92882865,3007,"3007=>Hundborg (546)"
1,8.71941953,55.436327,16152,"16152=>Hunderup (547)"
2,8.81115202,57.03933168,16079,"16079=>Hundstrup (551)<br>16079=>Kjølbygård (635)"
1,8.17656268,56.27879324,15882,"15882=>Husby (554)"
1,8.362999,56.86183,3185,"3185=>Hvidbjærg (559)"
1,8.223473,56.59343256,3300,"3300=>Hygum (568)"
1,8.97932374,55.35278211,3300,"3300=>Fædsted (4410)"
1,10.76863181,56.28251394,15898,"15898=>Hyllested (569)"
1,11.44827796,55.27962439,15898,"15898=>Hyllested Bjærge (1668)"
2,9.01342881,56.66903046,"2937 16267","2937=>Jebjærg (581)<br>16267=>Jebjærg (581)"
1,8.79464452,56.88904662,16267,"16267=>Nandrup (4658)"
2,8.718767,55.392738,"2953 16089","2953=>Jedsted (583)<br>16089=>Jedsted (583)"
2,8.70681512,55.39688553,"16089 16055","16089=>Vilslev (4346)<br>16055=>Vilslev (4346)"
1,9.970865,56.094473,16057,"16057=>Jegsen (584)"
1,9.99651253,56.09972201,16057,"16057=>Adslev (3581)"
2,10.15333015,56.64244951,"2909 3113","2909=>Kastbjærg (605)<br>3113=>Kastbjærg (605)"
2,10.53100515,55.11410639,"2890 3002","2890=>Kirkeby (613)<br>3002=>Kirkeby (613)"
1,9.682732,57.027583,16244,"16244=>Klitgård (645)"
1,9.73562834,57.03783474,16244,"16244=>Nørholm (829)"
9,10.55570458,55.7971772,"2940 3298 3303 15860 16160 16161 16171 16203 2939","2940=>Kolby (655)<br>3298=>Kolby (655)<br>3303=>Kolby (655)<br>15860=>Kolby (655)<br>16160=>Kolby (655)<br>16161=>Kolby (655)<br>16171=>Kolby (655)<br>16203=>Kolby (655)<br>2939=>Vestborg banke (1573)"
4,10.59139922,55.83257606,"2940 16203 15807 15770","2940=>Pilemark (4613)<br>16203=>Pilemark (4613)<br>15807=>Brundby (4610)<br>15770=>Ørby (4612)"
2,10.36887143,55.57274748,"15860 16157","15860=>Krogsgård, Søndre- (1955)<br>16157=>Einsiedelsborg (4596)"
1,9.49149073,55.49190407,15980,"15980=>Kolding (656)"
10,9.40914342,56.19449478,"2946 2972 3037 3258 3260 3317 15839 16107","2946=>Kragelund (666)<br>2972=>Kragelund (666)<br>3037=>Kragelund (666)<br>3258=>Kragelund (666)<br>3260=>Kragelund (666)<br>3317=>Kragelund (666)<br>15839=>Kragelund (666)<br>15839=>Refshale (4631)<br>16107=>Kragelund (666)<br>16107=>Refshale (4631)"
1,9.35147784,56.16917342,15839,"15839=>Engesvang (3224)"
5,9.64459232,55.79600588,"15959 15981 16081","15959=>Kragelund (667)<br>15959=>Øster-Snede (880)<br>15981=>Kragelund (667)<br>15981=>Øster-Snede (880)<br>16081=>Øster-Snede (880)"
1,10.103645,57.190227,16128,"16128=>Kraghede (672)"
2,9.99781555,57.24808351,"16128 15897","16128=>Øster-Brønderslev (2348)<br>15897=>Øster-Brønderslev (2348)"
1,10.06216873,56.50341403,3009,"3009=>Lem (693)"
1,10.12903027,56.49923012,2988,"2988=>Lindbjærg (703)"
2,10.52600958,55.13564886,"2931 3215","2931=>Lunde (727)<br>3215=>Høje (2043)"
1,9.97972502,56.31578728,3021,"3021=>Lyngå (745)"
2,9.78313657,57.40131627,"15849 16303","15849=>Lyngby (747)<br>16303=>Lyngby (747)"
1,10.7171354,54.77276149,15889,"15889=>Magleby (761)"
2,9.9843203,56.65025328,"2959 2942","2959=>Mariager (768)<br>2942=>Fjeldsted (3244)"
6,10.55290497,55.96474501,"15796 3295 15791 15848 16256","15796=>Mårup (776)<br>15796=>Nordby (825)<br>3295=>Nordby (825)<br>15791=>Nordby (825)<br>15848=>Nordby (825)<br>16256=>Lille-Øre (4620)"
2,10.37665808,56.33447364,"2831 15924","2831=>Mørke (796)<br>15924=>Mørke (796)"
1,10.45547016,56.34646653,2831,"2831=>Torsager (1220)"
3,9.89308009,55.88771326,"3052 2882 3214","3052=>Nebel (811)<br>2882=>Serritslev (1009)<br>3214=>Serritslev (1009)"
1,9.979277,56.220641,15764,"15764=>Nedergård (815)"
1,9.97718946,56.22214714,15764,"15764=>Lading (3513)"
3,10.12774216,56.3615738,"2925 2969 3264","2925=>Nielstrup (817)<br>2969=>Nielstrup (817)<br>3264=>Nielstrup (817)"
1,8.329496,56.55614435,15865,"15865=>Nørre-Lem (835)"
1,8.85868214,56.7945817,3309,"3309=>Nykjøbing (844)"
10,10.39005511,55.39681993,"2958 2960 3154 3210 3266 3305 15922 15926 15960 3328","2958=>Odense (850)<br>2960=>Odense (850)<br>3154=>Odense (850)<br>3210=>Odense (850)<br>3266=>Odense (850)<br>3305=>Odense (850)<br>15922=>Odense (850)<br>15926=>Odense (850)<br>15960=>Odense (850)<br>3328=>Ålykkegården (1872)"
1,9.58869625,57.06335248,2985,"2985=>Øland (851)"
1,8.55103757,56.47127886,16017,"16017=>Ølby (853)"
5,9.18041262,56.11327889,"3192 16286 15801 15857 15894","3192=>Ordrup (859)<br>16286=>Toftlund (4418)<br>15801=>Toftlund (4418)<br>15857=>Toftlund (4418)<br>15894=>Toftlund (4418)"
2,10.25423316,55.48575526,"2887 2908","2887=>Ørritslev (866)<br>2908=>Søndersø (1976)"
1,12.07653027,55.5412944,3025,"3025=>Ørsted (869)"
1,10.05643768,55.33038827,2836,"2836=>Ørsted (870)"
1,10.64140852,55.86326329,3014,"3014=>Østerby (881)"
2,10.63392429,55.32203026,15901,"15901=>Pårup (907)<br>15901=>Villestofte (1880)"
1,10.46469335,55.28219118,2901,"2901=>Pederstrup (909)"
1,11.267467,54.896848,16008,"16008=>Pederstrup (910)"
3,9.43240349,56.25517925,"2905 16110","2905=>Pederstrup (911)<br>16110=>Pederstrup (911)<br>16110=>Vinderslev (3184)"
1,10.30975213,57.61903603,16159,"16159=>Råbjærg (916)"
3,9.06787969,56.69700668,"3199 3277 3307","3199=>Rærup (918)<br>3277=>Grinderslev kloster (2917)<br>3307=>Grinderslev kloster (2917)"
3,10.0483414,56.4586074,"2879 2917 2954","2879=>Randers (923)<br>2917=>Randers (923)<br>2954=>Randers (923)"
3,8.5265426,56.49479876,"15988 16262","15988=>Resen (940)<br>16262=>Resen (940)<br>16262=>Resenborg (4644)"
3,8.77858359,55.33618399,"3208 16050 16305","3208=>Ribe (945)<br>16050=>Ribe (945)<br>16305=>Ribe (945)"
1,9.47103573,56.39369739,15751,"15751=>Rind (947)"
1,11.79244904,55.43881169,15972,"15972=>Ringsted (950)"
1,10.39646714,54.84003669,15975,"15975=>Rise (955)"
1,8.810434,56.6441,3054,"3054=>Rødding (958)"
1,9.05689351,55.36810054,16193,"16193=>Rødding (960)"
4,9.32137834,55.77096642,"3190 2844 3220 3331","3190=>Rostrup (974)<br>2844=>Gadbjærg (3858)<br>3220=>Gadbjærg (3858)<br>3331=>Tødsby hede (3861)"
