freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,20710,"20710=>Åbenrå (1)"
8,9.74794645,57.16692875,"10966 11090 11515 20722 11514 11463 10836 10894","10966=>Åby (3)<br>11090=>Åby (3)<br>11515=>Åby (3)<br>20722=>Åby (3)<br>11514=>Vedsted (1294)<br>11463=>Munkgård (2629)<br>10836=>Birkelse (4667)<br>10894=>Birkelse (4667)"
1,9.71390405,57.06848707,11090,"11090=>Gjøl (2384)"
1,9.736462,57.159892,20722,"20722=>Åbybro (4666)"
1,9.12743054,55.13081541,10786,"10786=>Agerskov (12)"
3,9.93214951,57.04020941,"10833 10858 11403","10833=>Ålborg (27)<br>10858=>Ålborg (27)<br>11403=>Ålborg (27)"
1,9.8414759,54.96362819,11015,"11015=>Als (39)"
11,10.84759727,56.37121286,"20778 20779 20780 10931 10932 10933 10934 10935","20778=>Ålsø (42)<br>20778=>Katholm (3424)<br>20779=>Ålsø (42)<br>20779=>Katholm (3424)<br>20780=>Ålsø (42)<br>20780=>Katholm (3424)<br>10931=>Katholm (3424)<br>10932=>Katholm (3424)<br>10933=>Katholm (3424)<br>10934=>Katholm (3424)<br>10935=>Katholm (3424)"
1,9.26398226,56.70269291,11419,"11419=>Alstrup (45)"
2,12.62629466,55.62123328,"11065 20757","11065=>Amager (47)<br>20757=>Amager Fiskerleje (1395)"
1,10.19506313,56.16685115,20661,"20661=>Århus (55)"
1,8.98848366,56.01340869,11277,"11277=>Arnborg (56)"
1,9.50846948,56.80216045,11363,"11363=>Års (58)"
13,10.00194886,55.89344365,"10961 11298 11295 10911 10912 11296 11297 11299 20750","10961=>Ås (66)<br>11298=>Ås (66)<br>11298=>Tyrrestrup (1265)<br>11298=>Torupvolde (3731)<br>11295=>Toftum (1196)<br>11295=>Tyrrestrup (1265)<br>10911=>Tyrrestrup (1265)<br>10912=>Tyrrestrup (1265)<br>11296=>Tyrrestrup (1265)<br>11297=>Tyrrestrup (1265)<br>11297=>Torupvolde (3731)<br>11299=>Tyrrestrup (1265)<br>20750=>Søvind (3730)"
2,10.31198874,56.62719342,"11298 11057","11298=>Sødring (3269)<br>11057=>Sødring (3269)"
6,10.28792117,57.15748006,"10783 11037 11382 11383 11300","10783=>Aså (68)<br>11037=>Dronningborg (238)<br>11382=>Dronninglund (242)<br>11383=>Dronninglund (242)<br>11300=>Skovgård (1072)<br>11300=>Bolle (2287)"
1,9.90012939,55.27057781,20653,"20653=>Assens (77)"
2,10.31384379,57.48321395,"11098 11054","11098=>Åsted (80)<br>11054=>Tolne (2217)"
1,10.40685789,57.44038976,20574,"20574=>Åsted (81)"
7,9.97477036,56.76993809,"11364 20644 20670 20812 20830 11068 11379","11364=>Astrup (84)<br>20644=>Astrup (84)<br>20670=>Astrup (84)<br>20812=>Astrup (84)<br>20830=>Astrup (84)<br>11068=>Møltrup (793)<br>11379=>Villestrup mølle (2772)"
15,9.06787969,56.69700668,"11034 11428 11397 20671 11352 11289 11291 11290 20749 10800 11293 11294 11529 11325","11034=>Astrup (85)<br>11428=>Astrup (85)<br>11397=>Eskjær (285)<br>20671=>Mogenstrup (786)<br>20671=>Grinderslev (2916)<br>11352=>Nørgård (828)<br>11289=>Grinderslev kloster (2917)<br>11291=>Grinderslev kloster (2917)<br>11290=>Grinderslev kloster (2917)<br>20749=>Grinderslev (2916)<br>10800=>Grinderslev kloster (2917)<br>11293=>Grinderslev kloster (2917)<br>11294=>Grinderslev kloster (2917)<br>11529=>Grinderslev kloster (2917)<br>11325=>Eskjær skov (4649)"
1,11.87311353,55.63569967,10780,"10780=>Åstrup (90)"
1,11.76354234,55.22707239,10780,"10780=>Næstved (1685)"
2,9.67463947,56.78461746,"11004 11337","11004=>Åstrup (95)<br>11337=>Åstrup (95)"
2,8.794384,56.265473,"11442 20730","11442=>Avlum (107)<br>20730=>Avlum (107)"
6,9.38319082,55.70244629,"11509 11418 11116 11117 11118 11119","11509=>Balle (113)<br>11418=>Bræsten (3852)<br>11116=>Kjærbølling (3853)<br>11117=>Kjærbølling (3853)<br>11118=>Kjærbølling (3853)<br>11119=>Kjærbølling (3853)"
2,8.40385203,56.80774672,"20679 20763","20679=>Bedsted (120)<br>20763=>Bedsted (120)"
6,10.19922035,57.5422646,"10843 11044 11052 11053 20593 10941","10843=>Bindslev (127)<br>11044=>Bindslev (127)<br>11052=>Bindslev (127)<br>11053=>Bindslev (127)<br>20593=>Bindslev (127)<br>10941=>Bragholt (2202)"
1,9.98880571,56.50431637,11329,"11329=>Bjærgby (133)"
1,9.8548158,55.78780502,20638,"20638=>Bjærge egn (138)"
2,9.8071931,57.15011259,"11260 11261","11260=>Bjærgsted (145)<br>11261=>Bjærgsted (145)"
3,10.11557169,57.38471485,"10842 20642","10842=>Boller (156)<br>10842=>Tårs (1166)<br>20642=>Tårs (1166)"
1,8.65055798,55.95891424,20600,"20600=>Borris (170)"
1,9.66542509,55.59473397,20610,"20610=>Bredstrup (192)"
1,8.91775704,56.58922585,20645,"20645=>Brøndum (202)"
2,9.88704892,56.98163851,"10834 11356","10834=>Dal (212)<br>11356=>Skudshale (1080)"
2,9.50583515,55.46759288,"20829 11452","20829=>Dalby (215)<br>11452=>Strårup (3953)"
1,9.27580365,56.53917503,11266,"11266=>Dalsgård (219)"
1,10.36660623,55.36615198,11211,"11211=>Dalum (222)"
2,8.80624546,55.11730256,"20708 20709","20708=>Døstrup (231)<br>20709=>Døstrup (231)"
1,11.99387683,55.83905468,11025,"11025=>Dråby (233)"
4,10.52468885,55.17876846,"11395 11405 11335 10777","11395=>Egeskov (264)<br>11405=>Egeskov (264)<br>11335=>Babenshus (2045)<br>10777=>Trunderup (2049)"
1,9.54034898,56.89300613,11104,"11104=>Ejdrup (268)"
3,9.292717,55.984939,"20713 20795 20796","20713=>Ejstrup (272)<br>20795=>Ejstrup (272)<br>20796=>Ejstrup (272)"
9,9.34814612,55.81619745,"20795 20796 11416 20607 20693 20794 10860 10861 10862","20795=>Givskud (3815)<br>20796=>Givskud (3815)<br>11416=>Givskud (3815)<br>20607=>Givskud (3815)<br>20693=>Givskud (3815)<br>20794=>Givskud (3815)<br>10860=>Birkebæk (4609)<br>10861=>Birkebæk (4609)<br>10862=>Birkebæk (4609)"
1,10.22297261,56.24079763,10837,"10837=>Elsted (275)"
2,10.53678096,55.28560022,"11009 10808","11009=>Eskildstrup (284)<br>10808=>Søllinge (2147)"
1,10.23859857,55.10001559,11392,"11392=>Fåborg (286)"
28,9.30436222,55.71874186,"11392 11388 20639 20786 20787 20788 20789 20790 20791 11347 11366 20648 20727 20770 20771 11231 11257 11320","11392=>Engelsholm (3868)<br>11388=>Engelsholm (3868)<br>20639=>Engelsholm (3868)<br>20639=>Nørup (3871)<br>20786=>Engelsholm (3868)<br>20786=>Nørup (3871)<br>20787=>Engelsholm (3868)<br>20787=>Nørup (3871)<br>20788=>Engelsholm (3868)<br>20788=>Nørup (3871)<br>20789=>Engelsholm (3868)<br>20789=>Nørup (3871)<br>20790=>Engelsholm (3868)<br>20790=>Nørup (3871)<br>20791=>Engelsholm (3868)<br>20791=>Nørup (3871)<br>11347=>Lille-Lime (3870)<br>11366=>Nørup (3871)<br>20648=>Nørup (3871)<br>20727=>Nørup (3871)<br>20727=>Limskov (4603)<br>20770=>Nørup (3871)<br>20770=>Limskov (4603)<br>20771=>Nørup (3871)<br>20771=>Limskov (4603)<br>11231=>Store-Lime (3875)<br>11257=>Store-Lime (3875)<br>11320=>Limskov (4603)"
2,11.87018356,55.14565068,"11047 11062","11047=>Fårup (292)<br>11062=>Fårup (292)"
7,11.75351597,55.17756856,"11047 11062 11059 11060 11061 11096 11102","11047=>Rettestrup. Vejlø (1729)<br>11062=>Rettestrup. Vejlø (1729)<br>11059=>Rettestrup. Vejlø (1729)<br>11060=>Rettestrup. Vejlø (1729)<br>11061=>Rettestrup. Vejlø (1729)<br>11096=>Vejløgård (1731)<br>11102=>Gavnø (4563)"
3,10.28306119,56.4446316,"11232 10895 10936","11232=>Favsing (298)<br>10895=>Gl.-Estrup mølle (3363)<br>10936=>Gl.-Estrup (3362)"
1,8.79464452,56.88904662,10810,"10810=>Flade (311)"
1,9.62628252,55.93511271,11064,"11064=>Fovling (314)"
2,8.78193285,55.93835342,11308,"11308=>Fruergård (326)<br>11308=>Felding lukker (4089)"
1,9.96556941,57.17978982,11493,"11493=>Gammel-Vrå (331)"
2,9.05474062,56.1479359,"20744 20773","20744=>Gjellerup (348)<br>20773=>Gjellerup (348)"
1,9.73981585,56.22900602,11110,"11110=>Gjern (350)"
1,11.22814319,55.53878322,11345,"11345=>Gjørslev (358)"
1,11.32404229,55.48889218,11345,"11345=>Gjerslev (1510)"
1,10.01192636,57.15092785,11358,"11358=>Grindsted (365)"
1,8.46526917,56.51842152,11030,"11030=>Gudum (371)"
2,9.48630959,55.25084875,"11151 11512","11151=>Haderslev (380)<br>11512=>Haderslev (380)"
1,8.9961129,56.38726949,11153,"11153=>Haderup (382)"
1,9.31879937,56.37078665,10958,"10958=>Hald (385)"
1,10.11196406,56.55608744,10891,"10891=>Hald (386)"
1,10.18870215,56.33456056,10794,"10794=>Halling (392)"
2,9.84686328,55.89456335,"20705 11306","20705=>Hansted (398)<br>11306=>Hanstedgård (400)"
1,9.41753563,55.50882021,20664,"20664=>Harte (405)"
1,10.12903027,56.49923012,11322,"11322=>Harridslev (407)"
1,10.09670998,55.5001816,20657,"20657=>Hårslev (408)"
2,9.4181296,56.80367274,"11008 11519","11008=>Havbro (421)<br>11519=>Havbro (421)"
1,9.86449283,56.30454262,10793,"10793=>Havrum (426)"
3,10.15273583,57.21287001,"11485 20740","11485=>Hellevad (434)<br>20740=>Hellevad (434)<br>20740=>Korslund (4669)"
3,10.2503403,57.4626313,"11485 11035 11036","11485=>Høgholt (2219)<br>11035=>Hørmested (2221)<br>11036=>Hørmested (2221)"
9,9.21313241,55.07592424,"11149 11246 20733 20734 20735 20736 20737 20738 20739","11149=>Hellevad (435)<br>11246=>Hellevad (435)<br>20733=>Hellevad (435)<br>20734=>Hellevad (435)<br>20735=>Hellevad (435)<br>20736=>Hellevad (435)<br>20737=>Hellevad (435)<br>20738=>Hellevad (435)<br>20739=>Hellevad (435)"
1,9.5906896,55.58348926,10899,"10899=>Herslev (450)"
2,9.58826623,55.84747798,"11114 11330","11114=>Hesselballe (454)<br>11330=>Uldum (3808)"
1,8.73479715,57.01500974,10863,"10863=>Hillerslev (459)"
2,9.99749113,57.45913657,"20592 20689","20592=>Hjørring (469)<br>20689=>Hjørring (469)"
1,9.985303,57.462684,20761,"20761=>Hjørring (470)"
1,11.52050387,54.70680185,20761,"20761=>Fuglsig (1819)"
2,9.982402,57.462549,"20760 11332","20760=>Hjørring (471)<br>11332=>Bagterp (2233)"
1,9.54388431,56.3380454,20702,"20702=>Højbjærg (478)"
4,9.55584445,55.75117948,"11504 20651 20819","11504=>Hornstrup (519)<br>20651=>Hornstrup (519)<br>20651=>Bredballe (4605)<br>20819=>Hornstrup (519)"
1,9.50462501,55.74144462,20819,"20819=>Hover (540)"
1,9.34203764,56.3516327,20819,"20819=>Lysholt (3170)"
1,9.86197942,55.85797729,10870,"10870=>Horsens (525)"
1,8.75963174,55.85061708,20825,"20825=>Hoven (539)"
4,8.81115202,57.03933168,"20635 10927 11427","20635=>Hundstrup (551)<br>20635=>Kjølbygård (635)<br>10927=>Kjølbygård (635)<br>11427=>Kjølbygård (635)"
7,9.93019729,56.03898678,"20635 10838 10871 10872 10873 11435 20816","20635=>Skanderborg (1035)<br>10838=>Skanderborg (1035)<br>10871=>Skanderborg (1035)<br>10872=>Skanderborg (1035)<br>10873=>Skanderborg (1035)<br>11435=>Skanderborg (1035)<br>20816=>Skanderborg (1035)"
5,9.42949692,55.80849147,"20820 11517 20581 11510 11323","20820=>Hvejselgård (556)<br>11517=>Hvejsel (3812)<br>20581=>Hvejsel (3812)<br>11510=>Ildved (3813)<br>11323=>Mindstrup (3814)"
6,10.13688564,57.42516618,"11451 10900 10901 11486 10841 20699","11451=>Ilbjærge (572)<br>10900=>Linderumsgård (2241)<br>10901=>Linderumsgård (2241)<br>11486=>Linderumsgård (2241)<br>10841=>Ugilt (2242)<br>20699=>Ugilt (2242)"
2,9.71411564,57.31273827,"11458 10822","11458=>Ingstrup (576)<br>10822=>Trudslev (2354)"
4,8.86132089,56.92233293,"11349 20721 11265","11349=>Kalvhave (592)<br>20721=>Kalvhave (592)<br>20721=>Sejerslev (1004)<br>11265=>Sejerslev (1004)"
2,10.86238959,56.47355037,"10821 11229","10821=>Karlby (597)<br>11229=>Karlby (597)"
1,8.73269709,56.59971085,11539,"11539=>Kås skov (604)"
1,10.53100515,55.11410639,11511,"11511=>Kirkeby (613)"
3,8.71941953,55.436327,"10904 10906 11528","10904=>Kjærgård (625)<br>10906=>Kjærgård (625)<br>11528=>Kjærgård (625)"
1,8.56476803,55.66314101,10904,"10904=>Armvanggård (4239)"
5,8.55103757,56.47127886,"11262 20728 20729","11262=>Kjærgårds mølle (626)<br>20728=>Kjærgårds mølle (626)<br>20728=>Ølby (853)<br>20729=>Kjærgårds mølle (626)<br>20729=>Ølby (853)"
1,8.85177166,56.57478117,10802,"10802=>Kjærgårdsholm (627)"
2,9.04102754,56.78036175,"11268 20724","11268=>Kjeldgård (630)<br>20724=>Selde (2942)"
1,11.82667055,55.10766356,11063,"11063=>Kjøng (636)"
1,9.80011611,55.46035275,11063,"11063=>Svinø (1997)"
3,9.46980378,56.30675858,"11376 20767","11376=>Klavsholm (640)<br>20767=>Døssing (3179)<br>20767=>Levring (3180)"
6,8.86845772,56.45666669,"11376 11217 20676 11071 11072 11073","11376=>Sevel (4046)<br>11217=>Sevel (4046)<br>20676=>Sevel (4046)<br>11071=>Sønder mølle (4047)<br>11072=>Sønder mølle (4047)<br>11073=>Sønder mølle (4047)"
3,9.4850338,57.07415465,"10928 10929 10930","10928=>Kokkedal (654)<br>10929=>Kokkedal (654)<br>10930=>Kokkedal (654)"
2,9.49149073,55.49190407,"11401 20832","11401=>Kolding (656)<br>20832=>Kolding (656)"
1,9.45756956,55.78054463,11505,"11505=>Kollerup (658)"
4,9.40914342,56.19449478,"10854 11100 20660 20680","10854=>Kragelund (666)<br>11100=>Kragelund (666)<br>20660=>Kragelund (666)<br>20680=>Kragelund (666)"
2,9.35147784,56.16917342,"20660 10962","20660=>Engesvang (3224)<br>10962=>Engesvang (3224)"
1,9.14109107,55.56995085,10781,"10781=>Kragelund (669)"
1,8.86226781,56.65591926,10880,"10880=>Krejbjærg (673)"
2,9.81101498,56.1519176,"20579 11303","20579=>Låsby (691)<br>11303=>Flensted (3633)"
1,8.406612,56.05291,11317,"11317=>Lem (694)"
1,10.73776662,55.33799518,11244,"11244=>Lindenborg (707)"
3,9.90701839,57.30294273,"11040 11235 11357","11040=>Linderup (709)<br>11235=>Tømmerby (1205)<br>11357=>Hjermitslevgård (2332)"
1,10.68390125,55.28366694,10789,"10789=>Liselund (717)"
1,10.16351111,56.06922865,20805,"20805=>Mårslet (770)"
1,9.24419327,55.55835913,11494,"11494=>Mørk sø (794)"
1,10.37665808,56.33447364,10852,"10852=>Mørke (796)"
2,9.47110478,56.1483529,"10980 10981","10980=>Moselund (800)<br>10981=>Moselund (800)"
1,10.12774216,56.3615738,10776,"10776=>Nielstrup (817)"
1,12.34120301,55.97859883,11352,"11352=>Grib skov (1360)"
