freq,longitude,latitude,story_ids,story_place
2,9.78978849,56.3168746,"14929 14934","14929=>Ajt (19)<br>14934=>Ajt (19)"
1,9.73159609,56.11245692,1529,"1529=>Alling (35)"
4,9.26398226,56.70269291,"1558 14952 14966","1558=>Alstrup (45)<br>14952=>Alstrup (45)<br>14966=>Alstrup (45)<br>14966=>Kaldal (4650)"
1,10.21049352,56.26873003,1534,"1534=>Balle (112)"
3,8.40385203,56.80774672,"14901 14904 14911","14901=>Bedsted (120)<br>14904=>Bedsted (120)<br>14911=>Bedsted (120)"
7,10.12774216,56.3615738,"1537 1480 1533 14945 14953","1537=>Bramstrup (182)<br>1480=>Nielstrup (817)<br>1533=>Nielstrup (817)<br>14945=>Nielstrup (817)<br>14945=>Rude (975)<br>14953=>Nielstrup (817)<br>14953=>Rude (975)"
2,9.57743689,56.37366129,14968,"14968=>Brandstrup (185)<br>14968=>Vindum (3143)"
1,10.6586365,55.51612464,1515,"1515=>Dalby (214)"
1,9.74345719,56.68568787,1548,"1548=>Døstrup (230)"
1,10.28792117,57.15748006,14878,"14878=>Dronninglund (242)"
1,10.625367,56.392458,14923,"14923=>Ellehøj (273)"
1,10.64962174,56.40887366,14923,"14923=>Tøstrup (3421)"
1,9.91113631,57.34394957,14955,"14955=>Em (276)"
1,10.50362009,57.45082532,14951,"14951=>Flade (310)"
1,8.79464452,56.88904662,1437,"1437=>Flade (311)"
1,8.75837319,56.71836133,1437,"1437=>Ørding (2577)"
1,8.86226781,56.65591926,1567,"1567=>Ginderup (344)"
1,9.73981585,56.22900602,14976,"14976=>Gjern (350)"
1,9.61833913,56.27388691,14892,"14892=>Grønbæk (367)"
1,10.11196406,56.55608744,14913,"14913=>Hald (386)"
2,10.09929141,56.2666501,"1495 1526","1495=>Hinnerup (461)<br>1526=>Haraldslund (3497)"
2,12.4383224,55.28009782,"1473 14883","1473=>Højrup (488)<br>14883=>Højrup (488)"
1,10.19824035,56.41384351,14962,"14962=>Hørning (517)"
