freq,longitude,latitude,story_ids,story_place
3,9.74794645,57.16692875,"5498 5216 5159","5498=>Åby (3)<br>5216=>Åstrup (93)<br>5159=>Birkelse (4667)"
1,9.29617367,57.09917817,5194,"5194=>Ågård (7)"
3,9.05474062,56.1479359,"5213 17560 17713","5213=>Agerskov (11)<br>17560=>Gjellerup (348)<br>17713=>Gjellerup (348)"
1,9.12743054,55.13081541,17560,"17560=>Agerskov (12)"
6,9.96556941,57.17978982,"4999 5499 5500 17586 4990","4999=>Ajstrup (16)<br>5499=>Ajstrup (16)<br>5500=>Ajstrup (16)<br>17586=>Ajstrup (16)<br>17586=>Gammel-Vrå (331)<br>4990=>Gåselunerne (2638)"
3,8.28146,55.632333,"17537 17737","17537=>Ål (22)<br>17537=>Hesselmed (4231)<br>17737=>Ål (22)"
3,8.69072917,56.70084584,"5284 17524 17585","5284=>Albæk (23)<br>17524=>Øster-Assels (2579)<br>17585=>Øster-Assels (2579)"
3,9.56111779,55.88758037,"17705 5164","17705=>Åle (29)<br>5164=>Bjærggård (140)<br>5164=>Brejnholm (3681)"
4,9.33984522,57.07189252,"5198 5001 5464 17441","5198=>Ålegård (30)<br>5001=>Hendrik sø. Skræm (2413)<br>5464=>Skræm (2414)<br>17441=>Skræm (2414)"
2,9.4886069,55.5670455,"5191 17483","5191=>Almind (37)<br>17483=>Almind (37)"
3,10.84759727,56.37121286,"17529 5169","17529=>Ålsø (42)<br>17529=>Katholm (3424)<br>5169=>Katholm (3424)"
2,9.74889991,56.8216214,"5388 5093","5388=>Årestrup (54)<br>5093=>Stubberup (1142)"
2,9.41643927,56.75901943,"5369 5277","5369=>Årup (64)<br>5277=>Fruergård (325)"
3,10.02216133,55.75891388,"17530 17570 17635","17530=>As (65)<br>17570=>As (65)<br>17635=>As (65)"
2,10.023887,55.746783,"17530 17570","17530=>Palsgård (904)<br>17570=>Palsgård (904)"
1,9.89391897,55.71048336,17570,"17570=>Barritskov (3768)"
1,9.90012939,55.27057781,17752,"17752=>Assens (77)"
4,8.98817125,56.76991976,"5321 5108 5221 5222","5321=>Åsted (82)<br>5108=>Sallingborg (2946)<br>5221=>Sallingborg (2946)<br>5222=>Sallingborg (2946)"
11,9.97477036,56.76993809,"17576 17577 17755 17499 5014 5033 5034 5035 5244","17576=>Astrup (84)<br>17576=>Villestrup (2771)<br>17577=>Astrup (84)<br>17577=>Villestrup (2771)<br>17755=>Astrup (84)<br>17499=>Madum Sø (2770)<br>5014=>Madum Sø (2770)<br>5033=>Madum Sø (2770)<br>5034=>Madum Sø (2770)<br>5035=>Madum Sø (2770)<br>5244=>Villestrup (2771)"
2,9.52098813,56.18420884,"5463 5144","5463=>Balle (111)<br>5144=>Dronningsholm (3204)"
2,9.50462116,56.49808114,"5330 5470","5330=>Batum (119)<br>5470=>Sødal skov (3090)"
1,8.69180155,56.95889879,5069,"5069=>Bisgård (128)"
3,10.57176875,55.84903122,"5260 5402 5494","5260=>Bisgård (129)<br>5402=>Bisgård (129)<br>5494=>Tanderup (1156)"
1,9.25829724,56.85728982,5186,"5186=>Bjørnsholm (146)"
2,9.4850338,57.07415465,"5186 4992","5186=>Kokkedal (654)<br>4992=>Alsbjærg (2405)"
2,9.46847879,56.98422923,"5186 5016","5186=>Vår (1292)<br>5016=>Lundegård (2875)"
1,10.68640214,56.30044853,5123,"5123=>Bjørnsholm (147)"
3,10.74455972,56.36650725,"5123 5421 5124","5123=>Obdrupgården (3432)<br>5421=>Lyngby (751)<br>5124=>Obdrupgården (3432)"
1,9.30317806,56.47897071,5202,"5202=>Boller (154)"
5,9.30973468,55.61507191,"5074 5075 5483 17482 5471","5074=>Bølling (157)<br>5075=>Bølling (157)<br>5483=>Amhede (3895)<br>17482=>Egtved (3899)<br>5471=>Egtved skov (3900)"
7,9.65366138,55.88982838,"5133 5134 5136 5466 5349 5433 5295","5133=>Boring (165)<br>5134=>Boring (165)<br>5136=>Boring (165)<br>5466=>Hvirring (3744)<br>5349=>Rask (3746)<br>5433=>Rask mølle (3747)<br>5295=>Trebjærg (3750)"
4,9.66467701,55.85329784,"5133 5136 5135 5137","5133=>Hornborg (512)<br>5136=>Hornborg (512)<br>5135=>Havrum (427)<br>5137=>Havrum (427)"
2,12.00178113,54.83389963,"5076 5077","5076=>Borre (167)<br>5077=>Borre (167)"
1,8.65055798,55.95891424,4996,"4996=>Borris (170)"
1,9.07150442,55.1232587,17467,"17467=>Branderup (184)"
8,9.57743689,56.37366129,"17694 17695 17671 17672 17744 17758","17694=>Brandstrup (185)<br>17694=>Vindum (3143)<br>17695=>Brandstrup (185)<br>17695=>Vindum (3143)<br>17671=>Vindum (3143)<br>17672=>Vindum (3143)<br>17744=>Vindum (3143)<br>17758=>Vindum (3143)"
2,10.19824035,56.41384351,"5078 5313","5078=>Brattingsborg (188)<br>5313=>Hørning (517)"
