freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,20006,"20006=>Åbenrå (1)"
1,10.21582202,55.47335524,9936,"9936=>Ågård (6)"
1,10.07977929,55.52595187,9936,"9936=>Harridslevgård (1963)"
1,10.28886161,56.75487617,9719,"9719=>Als (38)"
1,8.41666096,55.5895359,9824,"9824=>Alslev (41)"
2,9.26398226,56.70269291,"9755 9771","9755=>Alstrup (45)<br>9771=>Alstrup (45)"
3,9.74889991,56.8216214,"20008 9633","20008=>Årestrup (54)<br>20008=>Torstedlund (2700)<br>9633=>Ersted (2697)"
1,10.12307693,56.44894159,20027,"20027=>Assentoft (79)"
1,10.40685789,57.44038976,20074,"20074=>Åsted (81)"
6,9.97477036,56.76993809,"20009 20016 20018 9969 9876","20009=>Astrup (84)<br>20009=>Madum Sø (2770)<br>20016=>Astrup (84)<br>20018=>Astrup (84)<br>9969=>Freggelund bakker (2768)<br>9876=>Villestrup (2771)"
13,9.06787969,56.69700668,"9788 9789 9790 9791 9792 9793 20040 20041 9991 9660","9788=>Astrup (85)<br>9788=>Grinderslev (2916)<br>9789=>Astrup (85)<br>9789=>Grinderslev (2916)<br>9790=>Astrup (85)<br>9790=>Grinderslev (2916)<br>9791=>Astrup (85)<br>9792=>Astrup (85)<br>9793=>Astrup (85)<br>20040=>Grinderslev (2916)<br>20041=>Grinderslev (2916)<br>9991=>Grinderslev kloster (2917)<br>9660=>Vejsmark (2921)"
1,8.794384,56.265473,10011,"10011=>Avlum (107)"
1,9.389126,56.320297,20094,"20094=>Avnsbjærg (109)"
2,8.58734506,56.4491865,"9839 9958","9839=>Avsumgård (110)<br>9958=>Avsumgård (110)"
4,9.52098813,56.18420884,"20077 20114 9913 9914","20077=>Balle (111)<br>20114=>Balle (111)<br>9913=>Vester-Kejlstrup (3206)<br>9914=>Vester-Kejlstrup (3206)"
6,8.40385203,56.80774672,"20065 20066 20067","20065=>Bedsted (120)<br>20065=>Tanderup (1157)<br>20066=>Bedsted (120)<br>20066=>Tanderup (1157)<br>20067=>Bedsted (120)<br>20067=>Tanderup (1157)"
3,10.19922035,57.5422646,"19973 9867","19973=>Bindslev (127)<br>19973=>Stensbæk (1128)<br>9867=>Stensbæk (1128)"
1,8.69180155,56.95889879,9835,"9835=>Bisgård (128)"
2,10.03387302,57.51267197,"9915 20025","9915=>Bjærgby (131)<br>20025=>Bjærgby (131)"
1,9.25829724,56.85728982,9878,"9878=>Bjørnsholm (146)"
1,12.44955107,54.99609429,9776,"9776=>Borre (166)"
1,8.65055798,55.95891424,20020,"20020=>Borris (170)"
2,9.07150442,55.1232587,"20011 20058","20011=>Branderup (184)<br>20058=>Branderup (184)"
1,8.91775704,56.58922585,9834,"9834=>Brøndum (202)"
3,8.85177166,56.57478117,"9834 20112","9834=>Kjærgårdsholm (627)<br>20112=>Håsum (416)<br>20112=>Kjærgårdsholm (627)"
1,8.9892034,55.50158803,9953,"9953=>Brørup (203)"
1,8.66720039,56.77254886,9785,"9785=>Damsgård (224)"
1,10.0373779,55.22283913,20145,"20145=>Dreslette (237)"
2,10.28792117,57.15748006,"9679 9775","9679=>Dronninglund (242)<br>9775=>Kjællingbro (2292)"
1,8.78630415,56.52065512,9957,"9957=>Egebjærg (253)"
1,9.84767266,56.54380481,20131,"20131=>Fårup (297)"
1,10.28306119,56.4446316,9806,"9806=>Favsing (298)"
2,8.79464452,56.88904662,"9866 9928","9866=>Flade (311)<br>9928=>Nandrup (4658)"
1,11.25718547,55.36278196,9706,"9706=>Foerlev (312)"
1,10.71589465,55.24233713,9722,"9722=>Frørup (322)"
2,9.05474062,56.1479359,"20019 20055","20019=>Gjellerup (348)<br>20055=>Gjellerup (348)"
1,9.61833913,56.27388691,9913,"9913=>Grønbæk (367)"
1,9.6856841,56.24978537,9913,"9913=>Tvilum kloster (3620)"
2,8.46526917,56.51842152,"9725 9750","9725=>Gudum (371)<br>9750=>Gudum kloster (3977)"
1,10.01192636,57.15092785,9794,"9794=>Hammer (395)"
2,9.84686328,55.89456335,20003,"20003=>Hansted (398)<br>20003=>Hanstedgård (400)"
1,12.22929822,55.34819543,9810,"9810=>Hårlev (402)"
1,12.14493103,55.4144014,9810,"9810=>Herfølge (1691)"
1,9.41753563,55.50882021,9674,"9674=>Harte (405)"
1,9.73267011,56.02420768,9708,"9708=>Hem (445)"
2,9.5906896,55.58348926,"9861 20171","9861=>Herslev (450)<br>20171=>Herslev (450)"
2,10.34955355,55.20661791,"9732 9675","9732=>Hillerslev (458)<br>9675=>Sallinge (2080)"
1,9.985303,57.462684,20049,"20049=>Hjørring (470)"
1,9.54388431,56.3380454,9910,"9910=>Højbjærg (478)"
1,11.83510257,55.52285147,9684,"9684=>Højbjærggården (479)"
1,8.99217015,55.22956772,20127,"20127=>Højrup (491)"
1,10.49370528,55.35536226,9933,"9933=>Hollufgård (497)"
1,9.40682962,56.55223769,9883,"9883=>Holmgård (503)"
1,10.03609583,56.08668184,9635,"9635=>Hørning (518)"
2,9.66189836,56.59530828,"9995 9848","9995=>Hornum (521)<br>9848=>Trinderup krat (3256)"
4,8.78632945,56.59122572,"9798 9981 9903 9968","9798=>Hostrup (531)<br>9981=>Hostrup (531)<br>9903=>Lem i Salling (2979)<br>9968=>Lem i Salling (2979)"
2,11.27826,54.854138,"20022 20023","20022=>Hulbæk (544)<br>20023=>Hulbæk (544)"
6,8.71941953,55.436327,"20078 9857 9858 9859 9895","20078=>Hunderup (547)<br>20078=>Kjærgård (625)<br>9857=>Kjærgård (625)<br>9858=>Kjærgård (625)<br>9859=>Kjærgård (625)<br>9895=>Kjærgård (625)"
2,10.0522261,55.91537141,"19955 19974","19955=>Hundslund (548)<br>19974=>Hundslund (548)"
2,8.9961129,56.38726949,"19955 19974","19955=>Haderup (382)<br>19974=>Haderup (382)"
2,8.81115202,57.03933168,19996,"19996=>Hundstrup (551)<br>19996=>Kjølbygård (635)"
1,8.362999,56.86183,20050,"20050=>Hvidbjærg (559)"
1,8.3638188,56.85163333,20050,"20050=>Lyngholm (754)"
3,11.09581415,55.68344305,"9941 9942 9899","9941=>Kalundborg (590)<br>9942=>Kalundborg (590)<br>9899=>Petersminde (1466)"
4,8.73269709,56.59971085,"9820 19953 20093 20113","9820=>Kås (603)<br>19953=>Lime (699)<br>20093=>Lime (699)<br>20113=>Lime (699)"
2,10.15333015,56.64244951,20130,"20130=>Kastbjærg (605)<br>20130=>Trudsholm (3263)"
3,8.21743464,55.73561262,"9924 9802 9893","9924=>Kjærgård (624)<br>9802=>Hennegård (4227)<br>9893=>Hennegård (4227)"
6,9.04102754,56.78036175,"9832 9970 20052 20076 20111 20133","9832=>Kjeldgård (630)<br>9970=>Kjeldgård (630)<br>20052=>Selde (2942)<br>20076=>Selde (2942)<br>20111=>Selde (2942)<br>20133=>Selde (2942)"
4,10.55570458,55.7971772,"9851 9853 9854 9954","9851=>Kolby (655)<br>9853=>Permelille (1571)<br>9854=>Permelille (1571)<br>9954=>Permelille (1571)"
3,9.49149073,55.49190407,"9698 9699 20010","9698=>Kolding (656)<br>9699=>Kolding (656)<br>20010=>Kolding (656)"
4,9.40914342,56.19449478,"19954 20042 20069 9782","19954=>Kragelund (666)<br>20042=>Kragelund (666)<br>20069=>Kragelund (666)<br>9782=>Charlottenlund (3212)"
1,8.86226781,56.65591926,9978,"9978=>Krejbjærg (673)"
1,10.72463304,55.19528098,20107,"20107=>Langå (680)"
1,8.406612,56.05291,9960,"9960=>Lem (694)"
1,10.12903027,56.49923012,9960,"9960=>Mejlby (779)"
3,9.68866011,56.1539,"9889 10009 9979","9889=>Linå (702)<br>10009=>Mollerup (791)<br>9979=>Svejbæk (3610)"
2,10.01075277,56.88382407,"9996 19998","9996=>Lindenborg (708)<br>19998=>Lindenborg (708)"
1,12.48500029,54.98462945,20103,"20103=>Liselund (716)"
5,8.4446389,55.90317791,"9849 20072 20098","9849=>Lønborggård (719)<br>20072=>Lønborggård (719)<br>20072=>Lønborg (4188)<br>20098=>Lønborggård (719)<br>20098=>Lønborg (4188)"
1,9.97972502,56.31578728,20002,"20002=>Lyngå (745)"
1,9.98866255,56.35071271,20002,"20002=>Favrskov (3320)"
1,11.34728641,55.28568455,9662,"9662=>Lyngbygård (752)"
1,9.9843203,56.65025328,9695,"9695=>Mariager (768)"
4,10.14753869,56.73736302,"9695 9692 19999 9896","9695=>Visborggård (1321)<br>9692=>Visborggård (1321)<br>19999=>Visborggård (1321)<br>9896=>Havnø skov (2756)"
2,10.16351111,56.06922865,"20134 9809","20134=>Mårslet (770)<br>9809=>Vilhelmsborg (3547)"
1,8.21425645,56.19854236,9847,"9847=>Mejlby (781)"
3,8.73972427,56.17590402,"9840 9850 20172","9840=>Møltrup (792)<br>9850=>Timring (4125)<br>20172=>Timring (4125)"
1,11.825752,55.803826,20013,"20013=>Næsby (806)"
1,9.61684353,56.71861431,9921,"9921=>Nørager (819)"
4,10.39005511,55.39681993,"20147 9712 9743","20147=>Odense (850)<br>20147=>Odense (850)<br>9712=>Odense (850)<br>9743=>Odense (850)"
1,12.12336702,55.49732762,9726,"9726=>Ølby (852)"
2,10.33760845,56.50255801,"9778 9860","9778=>Ørsted (871)<br>9860=>Stenalt (3348)"
1,9.62310297,56.48222481,9642,"9642=>Ørum (875)"
2,9.64459232,55.79600588,20115,"20115=>Øster-Snede (880)<br>20115=>Aggersbøl (4607)"
1,10.33576291,55.36858706,9926,"9926=>Østergård (884)"
1,8.98817125,56.76991976,9961,"9961=>Østergård (885)"
1,10.63392429,55.32203026,9723,"9723=>Pårup (907)"
1,10.30975213,57.61903603,20024,"20024=>Råbjærg (916)"
2,9.49686839,56.41942697,"9864 9934","9864=>Randrup (926)<br>9934=>Randrup (926)"
2,8.42207159,56.31947279,"19956 19977","19956=>Råsted (929)<br>19977=>Råsted (929)"
1,8.77858359,55.33618399,20033,"20033=>Ribe (945)"
7,9.8614429,55.97300374,"9648 9649 9650 9655 9647","9648=>Ris (951)<br>9648=>Ovsted. Voer (3692)<br>9649=>Ris (951)<br>9650=>Ris (951)<br>9655=>Elling (3690)<br>9647=>Ovsted. Voer (3692)<br>9647=>Tebstrup sø (3696)"
5,8.810434,56.6441,"9634 20053 9964 9897 9967","9634=>Rødding (958)<br>20053=>Rødding (958)<br>9964=>Hesthave (2966)<br>9897=>Spøtrup (2968)<br>9967=>Spøtrup (2968)"
