freq,longitude,latitude,story_ids,story_place
2,9.4116545,55.04862654,"24213 30996","24213=>Åbenrå (1)<br>30996=>Åbenrå (1)"
2,9.21313241,55.07592424,"30996 24581","30996=>Hellevad (435)<br>24581=>Hellevad (435)"
6,9.74794645,57.16692875,"24324 24607 30014 30156 30307 24635","24324=>Åby (3)<br>24607=>Åby (3)<br>30014=>Åby (3)<br>30156=>Åby (3)<br>30307=>Åby (3)<br>24635=>Birkelse (4667)"
2,9.62246601,57.24730572,"24607 24172","24607=>Rødhus (2373)<br>24172=>Blokhus (2366)"
3,9.89738756,56.51409406,"30314 30421","30314=>Ågård (8)<br>30314=>Kovsted (3285)<br>30421=>Kovsted (3285)"
4,9.12743054,55.13081541,"24348 29863 30073 30301","24348=>Agerskov (12)<br>29863=>Agerskov (12)<br>30073=>Agerskov (12)<br>30301=>Agerskov (12)"
2,8.94781772,55.06049031,"29863 30912","29863=>Løgumkloster (4478)<br>30912=>Løgumkloster (4478)"
4,9.07150442,55.1232587,"30301 30234 30787 30974","30301=>Branderup (184)<br>30234=>Branderup (184)<br>30787=>Branderup (184)<br>30974=>Branderup (184)"
9,8.24072529,56.77887529,"24022 24465 24510 24659 29792 29818 29895 30742 31067","24022=>Agger (14)<br>24465=>Agger (14)<br>24510=>Agger (14)<br>24659=>Agger (14)<br>29792=>Agger (14)<br>29818=>Agger (14)<br>29895=>Agger (14)<br>30742=>Agger (14)<br>31067=>Tyborøn (1262)"
2,9.52098813,56.18420884,"24465 24894","24465=>Balle (111)<br>24894=>Vester-Kejlstrup (3206)"
5,9.8614429,55.97300374,"24465 30553 30530 30555","24465=>Ris (951)<br>30553=>Ejer (3689)<br>30553=>Tebstrup (3694)<br>30530=>Ris (951)<br>30555=>Ejer (3689)"
1,9.60315595,56.18537171,24465,"24465=>Gjødvad (3202)"
1,10.10414087,57.19017333,24659,"24659=>Ørum (872)"
2,9.77578955,57.33870322,"24659 30675","24659=>Vrensted (2326)<br>30675=>Vrensted (2326)"
1,9.984083,57.177319,30433,"30433=>Ajstrup (17)"
1,9.78978849,56.3168746,30644,"30644=>Ajt (19)"
3,9.507208,56.363111,"30644 29896 30645","30644=>Brandstrup (187)<br>29896=>Brandstrup (187)<br>30645=>Brandstrup (187)"
4,9.76257845,56.36791677,"30644 24484 24043 30349","30644=>Hvorslev (3227)<br>24484=>Aldrup (3226)<br>24043=>Hvorslev (3227)<br>30349=>Hvorslev (3227)"
3,10.02530132,56.41896103,"30644 24352 30822","30644=>Haslum (3308)<br>24352=>Haslum (3308)<br>30822=>Haslum (3308)"
2,9.98866255,56.35071271,"30644 30645","30644=>Lerbjærg (3321)<br>30645=>Lerbjærg (3321)"
3,10.01154841,56.36434685,"30644 30645 24078","30644=>Vissing (3324)<br>30645=>Vissing (3324)<br>24078=>Vissing (3324)"
1,10.13208504,55.9094243,30132,"30132=>Åkjær (20)"
11,10.30975213,57.61903603,"30258 30214 30230 30312 30360 30480 30481 29976 30446","30258=>Ålbæk (25)<br>30258=>Klitlund (2191)<br>30214=>Råbjærg (916)<br>30214=>Klitlund (2191)<br>30230=>Råbjærg (916)<br>30312=>Råbjærg (916)<br>30360=>Råbjærg (916)<br>30480=>Råbjærg (916)<br>30481=>Råbjærg (916)<br>29976=>Klitlund (2191)<br>30446=>Klitlund (2191)"
5,9.93214951,57.04020941,"24650 24947 24949 29900 30485","24650=>Ålborg (27)<br>24947=>Ålborg (27)<br>24949=>Ålborg (27)<br>29900=>Ålborg (27)<br>30485=>Ålborg (27)"
3,10.46058464,57.36707857,"24650 24311 24686","24650=>Understed (2269)<br>24311=>Understed (2269)<br>24686=>Understed (2269)"
3,9.94420384,57.27277164,"24947 30371 30675","24947=>Vester-Brønderslev (2339)<br>30371=>Vester-Brønderslev (2339)<br>30675=>Vester-Brønderslev (2339)"
5,9.92621509,57.07193063,"24947 24880 24966 30139 30977","24947=>Nørre-Sundby (2609)<br>24880=>Nørre-Sundby (2609)<br>24966=>Nørre-Sundby (2609)<br>30139=>Nørre-Sundby (2609)<br>30977=>Nørre-Sundby (2609)"
2,9.7251651,57.38234045,"24947 30172","24947=>Løkken (4674)<br>30172=>Furreby (2323)"
1,9.65004051,56.76576478,24949,"24949=>Mejlby (778)"
7,9.75047632,56.7553991,"24949 30557 30558 24033 24171 24741 30687","24949=>Ravnkilde (2786)<br>30557=>Ravnkilde (2786)<br>30558=>Ravnkilde (2786)<br>24033=>Ravnkilde (2786)<br>24171=>Ravnkilde (2786)<br>24741=>Ravnkilde (2786)<br>30687=>Ravnkilde (2786)"
2,9.59358865,56.75149212,"24949 30577","24949=>Kongens-Tisted (2811)<br>30577=>Kongens-Tisted (2811)"
