freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,9420,"9420=>Åbenrå (1)"
4,9.33949841,55.05584055,"9420 9608 9181 9358","9420=>Ris (952)<br>9608=>Mjels (783)<br>9181=>Ris (952)<br>9358=>Ris (952)"
7,9.74794645,57.16692875,"8745 9069 9504 9615 9198","8745=>Åby (3)<br>8745=>Mælport (2628)<br>9069=>Åby (3)<br>9504=>Åby (3)<br>9615=>Åby (3)<br>9198=>Åbybro kro (2624)<br>9198=>Birkelse (4667)"
1,9.6217602,54.93914052,19460,"19460=>Adsbøl (5)"
1,8.53756484,55.79289029,19460,"19460=>Strellev (4197)"
1,9.25655365,56.99777043,9307,"9307=>Aggersborg (15)"
1,9.78978849,56.3168746,8757,"8757=>Ajt (19)"
1,9.93214951,57.04020941,9518,"9518=>Ålborg (27)"
5,9.56111779,55.88758037,"19650 9110 9111 9112 9113","19650=>Åle (29)<br>9110=>Brejnholms mølle (3682)<br>9111=>Brejnholms mølle (3682)<br>9112=>Brejnholms mølle (3682)<br>9113=>Brejnholms mølle (3682)"
2,9.33984522,57.07189252,19557,"19557=>Ålegård (30)<br>19557=>Skræm (2414)"
2,9.73159609,56.11245692,"9428 9429","9428=>Alling (35)<br>9429=>Alling (35)"
2,9.4886069,55.5670455,"19540 8801","19540=>Almind (37)<br>8801=>Almind hule (3942)"
3,10.28886161,56.75487617,"8975 8829 8949","8975=>Als (38)<br>8829=>Hurup (552)<br>8949=>Kragelund (664)"
1,9.8414759,54.96362819,9399,"9399=>Als (39)"
2,9.04227411,55.00316108,"9599 19431","9599=>Alslev (40)<br>19431=>Højst (4484)"
4,8.41666096,55.5895359,"19639 19737 9163 9398","19639=>Alslev (41)<br>19737=>Alslev (41)<br>9163=>Hvisselbjærg (564)<br>9398=>Hvisselbjærg (564)"
8,10.64140852,55.86326329,"8742 8628 9379 9562 9361 9062 9473 8828","8742=>Alstrup (43)<br>8628=>Østerby (881)<br>9379=>Torup (1230)<br>9562=>Torup (1230)<br>9361=>Besser (1583)<br>9062=>Besser (1583)<br>9473=>Besser (1583)<br>8828=>Langemark (4615)"
4,9.26398226,56.70269291,"19904 9042 9628","19904=>Alstrup (45)<br>19904=>Hestbæk (456)<br>9042=>Lundgård (731)<br>9628=>Hestbæk mølle (2827)"
7,9.74889991,56.8216214,"19506 19660 19708 19766 19849 9309","19506=>Årestrup (54)<br>19660=>Årestrup (54)<br>19708=>Årestrup (54)<br>19766=>Årestrup (54)<br>19766=>Torstedlund (2700)<br>19849=>Årestrup (54)<br>9309=>Torstedlund (2700)"
