freq,longitude,latitude,story_ids,story_place
2,9.12743054,55.13081541,"3854 3914","3854=>Agerskov (12)<br>3914=>Agerskov (12)"
1,9.07150442,55.1232587,3914,"3914=>Branderup (184)"
1,9.96556941,57.17978982,16848,"16848=>Ajstrup (16)"
2,10.6586365,55.51612464,"16848 3886","16848=>Dalby, Lille- (1942)<br>3886=>Dalby (214)"
1,9.70233133,55.77376497,16848,"16848=>Hedensted (3794)"
4,10.14363148,56.67328465,"4006 3992 3952 16845","4006=>Ajstrup (18)<br>3992=>Vindblæs (1313)<br>3952=>Vindblæs (1313)<br>16845=>Vindblæs (1313)"
1,10.22120378,56.63603356,4006,"4006=>Dalbynedre (3264)"
1,8.28146,55.632333,16811,"16811=>Ål (22)"
2,10.09929141,56.2666501,"16811 3900","16811=>Grundsø (3496)<br>3900=>Haraldslund (3497)"
1,8.33130981,55.6159675,16811,"16811=>Billum (4211)"
1,9.4886069,55.5670455,4026,"4026=>Almind (37)"
4,9.32170212,55.51180511,"4026 4120 3884 4119","4026=>Lejrskov (4298)<br>4120=>Egholt (4295)<br>3884=>Ferup (4296)<br>4119=>Lejrskov (4298)"
2,9.26398226,56.70269291,"3883 16786","3883=>Alstrup (45)<br>16786=>Alstrup (45)"
1,9.34359,56.62822779,3883,"3883=>Uldbjærg (3067)"
1,9.29617367,57.09917817,3853,"3853=>Andrup (49)"
4,8.86226781,56.65591926,"3980 4008 4033 4035","3980=>Andrup (51)<br>4008=>Andrup (51)<br>4033=>Krejbjærg (673)<br>4035=>Krejbjærg (673)"
12,8.810434,56.6441,"3980 4008 4132 16945 3918 3921 3923 3906 3917 16842","3980=>Rødding (958)<br>4008=>Rødding (958)<br>4132=>Ejstrup (270)<br>4132=>Rødding (958)<br>4132=>Knude (2967)<br>16945=>Rødding (958)<br>3918=>Rødding (958)<br>3921=>Rødding (958)<br>3923=>Spøtrup (2968)<br>3906=>Rødding (958)<br>3917=>Rødding (958)<br>16842=>Rødding (958)"
2,9.3590821,55.35439508,3927,"3927=>Andrup (52)<br>3927=>Stepping (4389)"
2,9.42033033,55.33253457,"3927 16890","3927=>Hjerndrup (4387)<br>16890=>Hjerndrup (4387)"
1,9.23692909,55.48401691,4120,"4120=>Andst (53)"
1,9.44872588,55.60181971,4120,"4120=>Starup (1118)"
1,9.30966436,55.5577799,4120,"4120=>Jordrup (4301)"
1,9.1999361,55.52522839,4120,"4120=>Gjesten (4304)"
3,9.74889991,56.8216214,"3926 4102 16919","3926=>Årestrup (54)<br>4102=>Årestrup (54)<br>16919=>Årestrup (54)"
2,9.88838246,56.83713849,"3926 4075","3926=>Ræbild kold (2747)<br>4075=>Egholm slot (2743)"
6,9.50846948,56.80216045,"3877 3919 4009 4010 16804 16840","3877=>Års (58)<br>3919=>Års (58)<br>4009=>Års (58)<br>4010=>Års (58)<br>16804=>Års (58)<br>16840=>Års (58)"
1,9.8486775,56.97366644,3877,"3877=>Svendstrup (1153)"
3,9.51169578,56.86708269,"3877 16804 16840","3877=>Blære (2791)<br>16804=>Blære (2791)<br>16840=>Blære (2791)"
1,9.67331937,56.67429951,3919,"3919=>St.-Stenild bro (2807)"
4,9.33453634,56.97674443,"4009 4010 3991 4030","4009=>Næsborg (802)<br>4010=>Næsborg (802)<br>3991=>Næsborg (802)<br>4030=>Tolstrup (1201)"
2,9.3847749,56.92849264,"4009 4010","4009=>Ovtrup (902)<br>4010=>Ovtrup (902)"
2,9.35760145,56.94930757,"4009 4010","4009=>Skarpsalling (2866)<br>4010=>Skarpsalling (2866)"
1,9.84767266,56.54380481,16804,"16804=>Fårup (297)"
1,9.89738756,56.51409406,16804,"16804=>Kovsted (3285)"
3,10.02216133,55.75891388,"16798 3928 4147","16798=>As (65)<br>3928=>Palsgård skov (3773)<br>4147=>Ringstholm (3774)"
