freq,longitude,latitude,story_ids,story_place
10,9.74794645,57.16692875,"22254 22538 22549 22550 22551 22464 22329 22388 22450","22254=>Åby (3)<br>22538=>Åby (3)<br>22549=>Åby (3)<br>22550=>Åby (3)<br>22551=>Åby (3)<br>22464=>Fristrup (320)<br>22464=>Vedsted (1294)<br>22329=>Vedsted (1294)<br>22388=>Vedsted (1294)<br>22450=>Vedsted (1294)"
1,9.78313657,57.40131627,22254,"22254=>Lyngby (747)"
1,9.05474062,56.1479359,22443,"22443=>Agerskov (11)"
1,9.93214951,57.04020941,28518,"28518=>Ålborg (27)"
1,9.56111779,55.88758037,22462,"22462=>Åle (29)"
3,9.8414759,54.96362819,"27758 28489 28752","27758=>Als (39)<br>28489=>Als (39)<br>28752=>Als (39)"
1,9.26398226,56.70269291,27535,"27535=>Alstrup (45)"
1,8.98848366,56.01340869,28787,"28787=>Arnborg (56)"
1,10.070086,56.152745,27327,"27327=>Årslev (61)"
1,10.10813829,56.15817284,27327,"27327=>True (1250)"
1,9.496307,56.417557,22256,"22256=>Ås (67)"
1,10.5231,56.346871,22451,"22451=>Astrup (89)"
1,8.82771692,55.57328956,22322,"22322=>Åstrup (102)"
1,9.35760145,56.94930757,22322,"22322=>Skarpsalling (2866)"
1,10.48550918,56.29043477,22322,"22322=>Følle (3462)"
1,11.41222,55.265376,22353,"22353=>Bøgelund (153)"
2,9.97477036,56.76993809,"28714 28777","28714=>Borup (171)<br>28777=>Madum Sø (2770)"
1,9.507208,56.363111,22252,"22252=>Brandstrup (187)"
1,9.659257,56.371311,22352,"22352=>Bro mølle (199)"
2,9.54037982,56.45510207,"22352 22251","22352=>Hesselholt (455)<br>22251=>Vejrum (1301)"
1,8.91775704,56.58922585,27956,"27956=>Brøndum (202)"
1,9.43281814,56.44333188,22621,"22621=>Brunshåb (208)"
1,9.288769,55.473308,27093,"27093=>Dollerup (229)"
3,10.28792117,57.15748006,"27226 27278 27122","27226=>Dronninglund (242)<br>27278=>Dronninglund (242)<br>27122=>Sørå (2294)"
