freq,longitude,latitude,story_ids,story_place
1,9.74794645,57.16692875,13631,"13631=>Åby (3)"
1,9.8071931,57.15011259,13631,"13631=>Nørr-Halne (2636)"
1,8.28146,55.632333,13734,"13734=>Ål (22)"
2,8.33130981,55.6159675,"13734 13773","13734=>Billum (4211)<br>13773=>Kjelst (4212)"
2,9.4886069,55.5670455,"13786 13628","13786=>Almind (37)<br>13628=>Dons (3943)"
2,8.41666096,55.5895359,21368,"21368=>Alslev (41)<br>21368=>Hvisselbjærg (564)"
1,9.74889991,56.8216214,13892,"13892=>Årestrup (54)"
1,8.66601797,55.57442035,21366,"21366=>Årre (57)"
2,9.97477036,56.76993809,"21399 21400","21399=>Astrup (84)<br>21400=>Astrup (84)"
3,9.52098813,56.18420884,"13627 13895 13722","13627=>Balle (111)<br>13895=>Hvinningdal (4630)<br>13722=>Hvinningdal (4630)"
3,8.40385203,56.80774672,"21342 21388 21398","21342=>Bedsted (120)<br>21388=>Bedsted (120)<br>21398=>Bedsted (120)"
1,10.19922035,57.5422646,21340,"21340=>Bindslev (127)"
1,8.73114513,56.8682726,13759,"13759=>Bjærgby (132)"
2,8.7041957,56.84934584,13759,"13759=>Jølbygård (2593)<br>13759=>Mellem-Jolby (2594)"
1,9.27989612,56.14515128,13843,"13843=>Bording (161)"
1,9.98880571,56.50431637,13706,"13706=>Borup (174)"
2,10.12774216,56.3615738,13706,"13706=>Rude (975)<br>13706=>Stubdrup (1143)"
2,9.57743689,56.37366129,21347,"21347=>Brandstrup (185)<br>21347=>Vindum (3143)"
1,8.9892034,55.50158803,21369,"21369=>Brørup (203)"
2,9.88704892,56.98163851,"13817 13690","13817=>Dal (212)<br>13690=>Povlstrup hede (2664)"
2,10.09670998,55.5001816,"13586 21385","13586=>Egelund (256)<br>21385=>Hårslev (408)"
2,9.292717,55.984939,"21353 21354","21353=>Ejstrup (272)<br>21354=>Ejstrup (272)"
1,9.05474062,56.1479359,21389,"21389=>Gjellerup (348)"
1,8.80146899,55.46951931,21370,"21370=>Gjørding (357)"
2,11.87018356,55.14565068,"21390 13789","21390=>Hammer (394)<br>13789=>Tårup (1167)"
1,11.896906,55.145796,21390,"21390=>Torup (1232)"
1,9.54388431,56.3380454,21348,"21348=>Højbjærg (478)"
2,9.49068388,55.66364171,"13834 21327","13834=>Højen (483)<br>21327=>Højen (483)"
1,9.43858316,55.67283345,21327,"21327=>Jerlev (3887)"
2,9.86197942,55.85797729,"21350 21351","21350=>Horsens (525)<br>21351=>Horsens (525)"
1,8.75963174,55.85061708,21404,"21404=>Hoven (539)"
1,8.50628858,56.92882865,21393,"21393=>Hundborg (546)"
2,10.15333015,56.64244951,"13589 13737","13589=>Kastbjærg (605)<br>13737=>Kastbjærg (605)"
1,9.25849993,57.0671638,13894,"13894=>Kjetrup (633)"
2,9.45756956,55.78054463,"21326 21361","21326=>Kollerup (658)<br>21361=>Kollerup (658)"
3,9.40914342,56.19449478,"13872 21349 13820","13872=>Kragelund (666)<br>21349=>Kragelund (666)<br>13820=>Stenholt (3218)"
1,10.103645,57.190227,21387,"21387=>Kraghede (672)"
2,10.10414087,57.19017333,"21387 21397","21387=>Ørum (872)<br>21397=>Ørum (872)"
1,9.39024935,56.57867744,13630,"13630=>Låstrup (692)"
1,8.3083178,56.55861582,13758,"13758=>Lemvig (695)"
1,10.12903027,56.49923012,13828,"13828=>Lindbjærg (703)"
1,9.9843203,56.65025328,13650,"13650=>Mariager (768)"
7,9.34811902,56.93022611,"13650 13709 13651 13656 13683 13741 13829","13650=>Vindblæs (1312)<br>13709=>Vindblæs (1312)<br>13651=>Vindblæs (1312)<br>13656=>Vindblæs (1312)<br>13683=>Vindblæs (1312)<br>13741=>Vindblæs (1312)<br>13829=>Bjørum slette (2863)"
1,9.65004051,56.76576478,13658,"13658=>Mejlby (778)"
1,10.11611215,56.82866129,13658,"13658=>Bælum (2727)"
1,10.55290497,55.96474501,13867,"13867=>Nordby (825)"
1,9.64459232,55.79600588,21407,"21407=>Øster-Snede (880)"
7,9.23259893,55.8468133,"21407 21325 21408 21409 13739 13771","21407=>Give (3829)<br>21407=>Sillesthoved (3831)<br>21325=>Give (3829)<br>21408=>Give (3829)<br>21409=>Give (3829)<br>13739=>Sillesthoved (3831)<br>13771=>Sillesthoved (3831)"
1,9.41643927,56.75901943,13898,"13898=>Østrup (892)"
1,9.69964954,57.27219689,13898,"13898=>Saltum (2361)"
3,8.79073935,55.41670096,"13660 13615 13626","13660=>Plovstrup (914)<br>13615=>Gredstedbro (4350)<br>13626=>Gredsted (4580)"
3,9.05689351,55.36810054,"21375 21376 21377","21375=>Rødding (960)<br>21376=>Rødding (960)<br>21377=>Rødding (960)"
1,9.64459583,56.98237689,21375,"21375=>Nielsby (2611)"
1,9.9260865,56.73172154,21345,"21345=>Rostrup (973)"
1,8.49004729,56.94748554,13895,"13895=>Såby (987)"
1,9.89308009,55.88771326,13652,"13652=>Serritslev (1009)"
1,8.58942945,56.95694272,13709,"13709=>Sjørring (1024)"
1,8.31670931,56.75720487,13709,"13709=>Skårup (1039)"
1,9.93019729,56.03898678,13640,"13640=>Skanderborg (1035)"
1,9.271131,55.769331,13788,"13788=>Smidstrup (1087)"
1,9.44872588,55.60181971,13740,"13740=>Starup (1118)"
2,9.30973468,55.61507191,"13740 13739","13740=>Amhede (3895)<br>13739=>Vork (3912)"
1,9.21998851,56.79001184,13784,"13784=>Strandby (1139)"
3,9.33595226,56.77379815,"13784 13885 13896","13784=>Farsø (2842)<br>13885=>Farsø (2842)<br>13896=>Farsø (2842)"
2,12.03507793,55.08196045,"13789 13769","13789=>Tjørnehoved (1745)<br>13769=>Tjørnehoved (1745)"
1,10.03168556,56.77982117,13763,"13763=>Tisted (1192)"
1,8.46526917,56.51842152,13787,"13787=>Trabjærg (1238)"
1,10.20840085,56.19924869,21352,"21352=>Vejlby (1299)"
4,9.5521637,55.71165991,"13718 21355 21356 13836","13718=>Vejle (1300)<br>21355=>Vejle (1300)<br>21356=>Vejle (1300)<br>13836=>Vejle å (3756)"
1,10.3769219,55.0897671,21334,"21334=>Vester-Åby (1306)"
2,10.14363148,56.67328465,"13899 13592","13899=>Vindblæs (1313)<br>13592=>Nebstrup (3258)"
2,9.57397269,55.67828641,"21328 21362","21328=>Vinding (1317)<br>21362=>Vinding (1317)"
1,9.49686839,56.41942697,21323,"21323=>Vinkel (1320)"
1,11.61315135,55.74644003,13767,"13767=>Mårsø (1490)"
1,11.74732363,55.24435851,21331,"21331=>Herlufsholm (1682)"
1,11.75351597,55.17756856,13635,"13635=>Vejlø (1730)"
1,11.95079225,55.1255399,13570,"13570=>Risby (1737)"
1,11.95792563,54.7421868,13693,"13693=>Idestrup (1850)"
1,10.3089525,55.53375421,13648,"13648=>Slævstrup (1957)"
1,10.27390217,55.51951195,13633,"13633=>Skamby (1959)"
1,10.0367129,55.50873808,21364,"21364=>Øred (1964)"
3,10.00026428,55.15714245,"21333 21391 21392","21333=>Helnæs (2022)<br>21391=>Helnæs (2022)<br>21392=>Helnæs (2022)"
3,10.28886161,56.75487617,"21333 21392 21380","21333=>Als, Sønderborg amt (2751)<br>21392=>Als, Sønderborg amt (2751)<br>21380=>Als, Sønderborg amt (2751)"
1,10.35468148,55.15306125,21386,"21386=>Brahetrolleborg (2063)"
2,10.41244257,55.20076479,21335,"21335=>Espe (2073)<br>21335=>Findinge (4565)"
1,10.39579745,55.23250102,13777,"13777=>Vantinge (2075)"
4,10.76532553,54.93131969,"21336 21337 21338 21339","21336=>Langeland (2152)<br>21337=>Langeland (2152)<br>21338=>Langeland (2152)<br>21339=>Langeland (2152)"
1,10.52416574,57.43632047,13577,"13577=>Frederikshavn (2179)"
2,10.30975213,57.61903603,13830,"13830=>Hvidmose (2190)<br>13830=>Lodskovad (2192)"
1,10.27959321,57.50353709,13621,"13621=>Måstrup (2199)"
2,10.13688564,57.42516618,"13621 13776","13621=>Linderum (2239)<br>13776=>Ugilt (2242)"
1,10.31384379,57.48321395,13831,"13831=>Skjørbæks hede (2214)"
1,10.2503403,57.4626313,13624,"13624=>Vestermark (2226)"
4,10.29659671,57.40928505,"13625 13760 13761 13818","13625=>Lendum (2227)<br>13760=>Lendum (2227)<br>13761=>Lendum (2227)<br>13818=>Lendum (2227)"
2,10.11557169,57.38471485,"13625 13842","13625=>Tidemandsholm (2311)<br>13842=>Klarup hede (2305)"
1,10.09226362,57.2849937,13776,"13776=>Jerslev (2342)"
1,10.19597408,57.47425374,13622,"13622=>Teklaborg (2247)"
2,11.03403286,57.27247189,"21322 21341","21322=>Læsø (2421)<br>21341=>Læsø (2421)"
1,8.73672367,56.81203718,13610,"13610=>Mors (2550)"
1,8.75522903,56.83259379,13686,"13686=>Erslev (2583)"
1,10.2569948,57.07626219,13900,"13900=>Ulsted (2653)"
2,9.81387091,56.77518886,"13690 13887","13690=>Rold (2776)<br>13887=>Rold (2776)"
1,10.010862,56.940995,13819,"13819=>Vårst (2668)"
1,10.21956972,56.97030321,13901,"13901=>Dokkedal (2673)"
1,9.81335026,56.84640941,13756,"13756=>Gravlev (2695)"
1,9.61424246,56.94766364,21343,"21343=>Bislev (2714)"
1,9.88838246,56.83713849,21344,"21344=>Skjørping (2748)"
2,9.86216004,55.75424622,"13887 21406","13887=>Nebsager (3763)<br>21406=>Nebsager (3763)"
2,9.51169578,56.86708269,"13585 13588","13585=>Blære (2791)<br>13588=>Blære (2791)"
1,9.01213768,56.76395447,21358,"21358=>Rørbæk (2804)"
1,9.348564,55.931241,21358,"21358=>Vester (3836)"
1,9.51687125,56.76774438,13632,"13632=>Gislum (2814)"
2,9.3617377,56.71405477,"13632 13890","13632=>Vester-Bølle (3029)<br>13890=>Vester-Bølle (3029)"
1,9.242163,56.762627,13885,"13885=>Grynderup (2833)"
3,9.02754383,56.82667681,"13738 13764 13886","13738=>Fur (2963)<br>13764=>Fur (2963)<br>13886=>Fur (2963)"
1,9.67822618,56.56129543,21401,"21401=>Lindum (3097)"
2,9.82062771,56.53635848,"13578 13775","13578=>Nørre-Beg (3121)<br>13775=>Nørre-Beg (3121)"
1,9.46980378,56.30675858,13710,"13710=>Levring (3180)"
1,10.03578012,56.53842593,13854,"13854=>Hastrup (3286)"
1,10.02530132,56.41896103,13785,"13785=>Haslum (3308)"
1,10.43087602,56.45704946,13696,"13696=>Løvenholm (3367)"
1,11.54457708,56.70505201,13581,"13581=>Anholt (3422)"
1,9.96726663,56.19891774,21394,"21394=>Skivholme (3523)"
1,9.95281764,56.11665377,13688,"13688=>Stjære (3536)"
1,9.17733486,55.80010134,13688,"13688=>Ringive (3823)"
1,10.07438221,56.10765887,13707,"13707=>Koldt (3541)"
1,9.6928785,56.18970837,13717,"13717=>Vole (3613)"
1,9.78611904,56.16882659,21324,"21324=>Dallerup (216)"
2,10.00194886,55.89344365,"13704 13774","13704=>Søvind (3730)<br>13774=>Søvind (3730)"
1,9.737277,55.892376,13731,"13731=>Vrønding (3741)"
1,9.74948506,55.57076895,13576,"13576=>Fredericia (3757)"
1,9.93800241,55.79863714,13687,"13687=>Skjolde (3781)"
1,9.24202741,55.77058218,21359,"21359=>Lindeballe (3865)"
4,9.30436222,55.71874186,"13623 21360 21402","13623=>Nørup (3871)<br>21360=>Nørup (3871)<br>21402=>Nørup (3871)<br>21402=>Limskov (4603)"
2,9.40066468,55.65757088,"13634 13832","13634=>Ødsted (3889)<br>13832=>Ødsted (3889)"
2,9.20718377,55.35790098,"13634 13719","13634=>Jels (4405)<br>13719=>Jels (4405)"
1,9.72271975,55.60815789,13695,"13695=>Igeskov (3914)"
1,9.71521383,55.54197639,13637,"13637=>Erritsø (3916)"
