freq,longitude,latitude,story_ids,story_place
6,9.4116545,55.04862654,"3725 16461 16479 16489 16491 16706","3725=>Åbenrå (1)<br>16461=>Åbenrå (1)<br>16479=>Åbenrå (1)<br>16489=>Åbenrå (1)<br>16491=>Åbenrå (1)<br>16706=>Åbenrå (1)"
1,9.48630959,55.25084875,16479,"16479=>Haderslev (380)"
6,9.74794645,57.16692875,"3441 3470 16335 16339 3393","3441=>Åby (3)<br>3470=>Åby (3)<br>16335=>Åby (3)<br>16339=>Åby (3)<br>3393=>Åstrup (93)<br>3393=>Græsrimmen (2626)"
2,9.56111779,55.88758037,"3639 3718","3639=>Åle (29)<br>3718=>Åle (29)"
1,8.41666096,55.5895359,16677,"16677=>Alslev (41)"
1,9.74889991,56.8216214,16445,"16445=>Årestrup (54)"
1,10.00194886,55.89344365,3744,"3744=>Ås (66)"
4,8.98817125,56.76991976,"3498 3505 3512 3624","3498=>Åsted (82)<br>3505=>Åsted (82)<br>3512=>Åsted (82)<br>3624=>Østergård (885)"
14,9.97477036,56.76993809,"16334 16348 16353 16354 16355 16371 16372 16700 3444","16334=>Astrup (84)<br>16348=>Astrup (84)<br>16353=>Astrup (84)<br>16353=>Møltrup (793)<br>16354=>Astrup (84)<br>16354=>Møltrup (793)<br>16355=>Astrup (84)<br>16355=>Møltrup (793)<br>16371=>Astrup (84)<br>16371=>Madum Sø (2770)<br>16372=>Astrup (84)<br>16372=>Akselterp (4652)<br>16700=>Astrup (84)<br>3444=>Madum Sø (2770)"
1,9.38319082,55.70244629,3661,"3661=>Balle (113)"
2,8.40385203,56.80774672,"16349 16504","16349=>Bedsted (120)<br>16504=>Bedsted (120)"
1,9.68121288,56.96651518,3585,"3585=>Binderup (124)"
1,9.66542509,55.59473397,3585,"3585=>Bredstrup (192)"
1,9.8548158,55.78780502,3417,"3417=>Bjærge (137)"
7,8.18988814,56.30624905,"3796 16727 3524 3709 16682","3796=>Bjærggård (141)<br>16727=>Sønder-Nissum (4103)<br>3524=>Fjandø (4100)<br>3524=>Nissum fjord (4102)<br>3524=>Torsminde (4104)<br>3709=>Sønder-Nissum (4103)<br>16682=>Sønder-Nissum (4103)"
1,8.15001308,55.96646108,3599,"3599=>Bjærggård (142)"
3,8.75039165,56.40578678,"3583 3507 3593","3583=>Borbjærg (160)<br>3507=>Skave (1043)<br>3593=>Trabjærg (1239)"
1,9.91715196,55.95249235,3614,"3614=>Borupgård (178)"
6,9.07150442,55.1232587,"16434 16464 16593 3754 3712 3743","16434=>Branderup (184)<br>16464=>Branderup (184)<br>16593=>Branderup (184)<br>3754=>Bovlund (4430)<br>3712=>Rump (4431)<br>3743=>Rump (4431)"
8,8.50307568,56.11106335,"3483 3484 3485 3486","3483=>Brejning (196)<br>3483=>Brejninggård (4158)<br>3484=>Brejning (196)<br>3484=>Brejninggård (4158)<br>3485=>Brejning (196)<br>3485=>Brejninggård (4158)<br>3486=>Brejning (196)<br>3486=>Brejninggård (4158)"
1,9.23898132,56.9372919,3604,"3604=>Brøndum (201)"
1,8.91775704,56.58922585,3472,"3472=>Brøndum (202)"
2,8.93061343,56.56627032,"3472 3557","3472=>Hvidbjærg (558)<br>3557=>Hvidbjærg (558)"
2,8.87939153,56.60067623,"3472 3557","3472=>Volling (2906)<br>3557=>Volling (2906)"
2,8.9892034,55.50158803,"3510 16595","3510=>Brørup (203)<br>16595=>Brørup (203)"
2,8.80624546,55.11730256,"16540 16552","16540=>Døstrup (231)<br>16552=>Døstrup (231)"
5,8.76125305,55.1559085,"16540 16564 16569 16570 16571","16540=>Skjærbæk (1053)<br>16564=>Skjærbæk (1053)<br>16569=>Skjærbæk (1053)<br>16570=>Skjærbæk (1053)<br>16571=>Skjærbæk (1053)"
2,10.28792117,57.15748006,"16343 16373","16343=>Dronninglund (242)<br>16373=>Dronninglund (242)"
2,8.94704952,56.7403163,"3748 3433","3748=>Durup (247)<br>3433=>Tovstrup (1235)"
1,9.079685,56.347394,16452,"16452=>Egelund (259)"
2,8.9961129,56.38726949,"16452 16620","16452=>Haderup (382)<br>16620=>Haderup (382)"
3,9.292717,55.984939,"16398 16465 16498","16398=>Ejstrup (272)<br>16465=>Ejstrup (272)<br>16498=>Ejstrup (272)"
1,8.52353886,56.89543114,3575,"3575=>Elsted (274)"
2,9.58719864,56.45039719,"3580 3405","3580=>Fårdal (287)<br>3405=>Ø (3104)"
1,10.75145954,54.92544469,3596,"3596=>Fårevejle (288)"
1,10.28306119,56.4446316,3451,"3451=>Favsing (298)"
1,9.27023832,56.73474316,3679,"3679=>Fovlum (316)"
1,9.70370454,55.63840667,3651,"3651=>Gårslev (339)"
1,10.34401837,56.46651203,3651,"3651=>Vejlby (1298)"
5,9.05474062,56.1479359,"16521 16527 16618 16651 16686","16521=>Gjellerup (348)<br>16527=>Gjellerup (348)<br>16618=>Gjellerup (348)<br>16651=>Gjellerup (348)<br>16686=>Gjellerup (348)"
3,9.5521637,55.71165991,"16651 3690 16717","16651=>Vejle (1300)<br>3690=>Vejle (1300)<br>16717=>Vejle (1300)"
3,9.74948506,55.57076895,"16651 16645 3407","16651=>Fredericia (3757)<br>16645=>Fredericia (3757)<br>3407=>Fredericia (3757)"
2,10.43087602,56.45704946,"16648 3447","16648=>Gjesing (351)<br>3447=>Løvenholms skov (3368)"
4,8.92627143,55.75784153,"16369 16381 16366","16369=>Grindsted (366)<br>16369=>Grindsted (366)<br>16381=>Grindsted (366)<br>16366=>Grindsted (366)"
3,10.01192636,57.15092785,"16369 16366 16576","16369=>Hammer (395)<br>16366=>Hammer (395)<br>16576=>Hammer (395)"
7,8.46526917,56.51842152,"3496 3586 3597 3681 3771 3777 3778","3496=>Gudum (371)<br>3586=>Gudum (371)<br>3597=>Gudum (371)<br>3681=>Gudum (371)<br>3771=>Gudum (371)<br>3777=>Gudum kloster (3977)<br>3778=>Gudum kloster (3977)"
1,10.58634969,56.28539975,16620,"16620=>Feldborg (3438)"
1,9.88182547,56.11098135,3610,"3610=>Hårby (401)"
1,14.70850073,55.18216171,3550,"3550=>Hasle (412)"
1,9.12831637,56.70268186,3699,"3699=>Havbjærg (419)"
1,9.4181296,56.80367274,3629,"3629=>Havbro (421)"
2,8.95267034,56.14219771,"16402 16422","16402=>Herning (446)<br>16422=>Herning (446)"
1,9.54037982,56.45510207,3714,"3714=>Hesselholt (455)"
2,10.618973,55.874733,"3468 16341","3468=>Hjortholm (473)<br>16341=>Hjortholm (473)"
3,10.64140852,55.86326329,"16341 16367 16510","16341=>Besser (1583)<br>16367=>Besser (1583)<br>16510=>Besser (1583)"
2,9.78428526,56.63226828,"3601 3657","3601=>Hobro (475)<br>3657=>Heggedal (3242)"
1,9.54388431,56.3380454,3473,"3473=>Højbjærg (478)"
2,8.99217015,55.22956772,"3560 16657","3560=>Højrup (491)<br>16657=>Højrup (491)"
2,8.89942565,55.25952201,"16657 3625","16657=>Spandetgård (4441)<br>3625=>Mølby (4440)"
2,9.33595226,56.77379815,"3713 3406","3713=>Holme (499)<br>3406=>Fredbjærg (4653)"
2,10.38135001,57.32361016,"16324 16359","16324=>Hørby (506)<br>16359=>Hørby (506)"
2,8.53207921,55.72494883,"3623 3663","3623=>Horne (516)<br>3663=>Hornelund (4245)"
2,8.36724634,55.57513827,"3528 3747","3528=>Hostrup (530)<br>3747=>Hostrup (530)"
2,9.9843203,56.65025328,"3437 3436","3437=>Hov (534)<br>3436=>Frandsbjærg (3245)"
1,9.87059793,56.34485987,16541,"16541=>Hovlbjærg (541)"
1,8.71941953,55.436327,16617,"16617=>Hunderup (547)"
5,8.17656268,56.27879324,"3520 3521 3711 16421 16484","3520=>Husby (554)<br>3521=>Husby (554)<br>3711=>Husby (554)<br>16421=>Husby (554)<br>16484=>Husby (554)"
1,9.29280551,55.42672846,3520,"3520=>Sønder-Bork (4311)"
1,9.72872587,56.52799187,3730,"3730=>Hvidding (561)"
6,8.97932374,55.35278211,"3617 16352 16546 16561 16695 16714","3617=>Hygum (565)<br>16352=>Hygum (565)<br>16546=>Hygum (565)<br>16561=>Hygum (565)<br>16695=>Hygum (565)<br>16714=>Hygum (565)"
1,8.223473,56.59343256,3798,"3798=>Hygum (568)"
11,8.17369803,56.62066705,"3798 3525 3671 3686 3698 16728 16729 16732 3797 3793 3791","3798=>Langerhuse (3993)<br>3525=>Harboøre (3991)<br>3671=>Harboøre (3991)<br>3686=>Harboøre (3991)<br>3698=>Harboøre (3991)<br>16728=>Harboøre (3991)<br>16729=>Harboøre (3991)<br>16732=>Harboøre (3991)<br>3797=>Knopper (3992)<br>3793=>Langerhuse (3993)<br>3791=>Sønder-Langer (3996)"
2,9.01342881,56.66903046,"16477 3434","16477=>Jebjærg (581)<br>3434=>Ilbjærg (2909)"
4,8.718767,55.392738,"16377 16378 16493 16560","16377=>Jedsted (583)<br>16378=>Jedsted (583)<br>16493=>Jedsted (583)<br>16560=>Jedsted (583)"
7,8.70681512,55.39688553,"16377 16378 16493 16560 16440 16572 16584","16377=>Vilslev (4346)<br>16378=>Vilslev (4346)<br>16493=>Vilslev (4346)<br>16560=>Vilslev (4346)<br>16440=>Vilslev (4346)<br>16572=>Vilslev (4346)<br>16584=>Vilslev (4346)"
2,9.85316849,56.58423344,"3425 3467","3425=>Karlby (595)<br>3467=>Glenstrup (3273)"
1,8.85177166,56.57478117,3457,"3457=>Kjærgårdsholm (627)"
3,10.55570458,55.7971772,"16345 16368 3469","16345=>Kolby (655)<br>16368=>Kolby (655)<br>3469=>Vejlen (1572)"
3,9.40914342,56.19449478,"3501 3772 3581","3501=>Kragelund (666)<br>3772=>Kragelund (666)<br>3581=>Mellem-Frederiksdal (3217)"
2,9.64459232,55.79600588,16583,"16583=>Kragelund (667)<br>16583=>Øster-Snede (880)"
1,9.81101498,56.1519176,16577,"16577=>Låsby (691)"
1,9.490342,55.739772,16664,"16664=>Lerbæk banke (698)"
4,9.41612043,55.75406825,"16664 3765 16524 16679","16664=>Jelling (3882)<br>3765=>Jelling (3882)<br>16524=>Jelling (3882)<br>16679=>Jelling (3882)"
3,8.73269709,56.59971085,"16460 16485 3526","16460=>Lime (699)<br>16485=>Lime (699)<br>3526=>Kås sø (2984)"
12,8.61786553,55.80774922,"3650 3487 3488 3489 3490 3491 16689","3650=>Lindbjærggård (706)<br>3487=>Hejbølgård (4253)<br>3487=>Ølgod (4255)<br>3488=>Hejbølgård (4253)<br>3488=>Ølgod (4255)<br>3489=>Hejbølgård (4253)<br>3489=>Ølgod (4255)<br>3490=>Hejbølgård (4253)<br>3490=>Ølgod (4255)<br>3491=>Hejbølgård (4253)<br>3491=>Ølgod (4255)<br>16689=>Ølgod (4255)"
1,12.50391673,55.77013224,16646,"16646=>Lyngby (746)"
6,9.06787969,56.69700668,"3684 3624 16480 16481 16482 16613","3684=>Mogenstrup (786)<br>3624=>Breum præstegård (2915)<br>16480=>Grinderslev (2916)<br>16481=>Grinderslev (2916)<br>16482=>Grinderslev (2916)<br>16613=>Grinderslev (2916)"
1,9.2363639,56.69459991,3684,"3684=>Hvalpsund (2822)"
1,10.12774216,56.3615738,3740,"3740=>Nielstrup (817)"
2,10.16468114,56.36638954,"3740 3558","3740=>Hvalløs vie (3327)<br>3558=>Hvalløs vie (3327)"
1,10.50131206,56.47736864,3447,"3447=>Nørager (820)"
3,10.55290497,55.96474501,"16336 16649 16720","16336=>Nordby (825)<br>16649=>Nordby (825)<br>16720=>Nordby (825)"
4,8.78632945,56.59122572,"3587 3533 3571 3693","3587=>Nørre-Lem (834)<br>3533=>Sønder-Lem (1099)<br>3571=>Lem i Salling (2979)<br>3693=>Lem i Salling (2979)"
1,10.39005511,55.39681993,3724,"3724=>Odense (850)"
1,10.33760845,56.50255801,3545,"3545=>Ørsted (871)"
2,8.33208508,56.81422905,"3792 3516","3792=>Ørum (873)<br>3516=>Blændingen (2511)"
3,9.62310297,56.48222481,"3426 3637 3675","3426=>Ørum (875)<br>3637=>Ørum (875)<br>3675=>Ørum (875)"
1,10.30975213,57.61903603,16730,"16730=>Råbjærg (916)"
1,8.5265426,56.49479876,3591,"3591=>Resen (940)"
2,8.77858359,55.33618399,"16419 16494","16419=>Ribe (945)<br>16494=>Ribe (945)"
