freq,longitude,latitude,story_ids,story_place
4,9.96556941,57.17978982,"18341 6765 6766 6767","18341=>Ajstrup (16)<br>6765=>Gammel-Vrå (331)<br>6766=>Gammel-Vrå (331)<br>6767=>Gammel-Vrå (331)"
3,8.28146,55.632333,"18386 18387 18452","18386=>Ål (22)<br>18387=>Ål (22)<br>18452=>Ål (22)"
3,9.56111779,55.88758037,"18514 18515 6843","18514=>Åle (29)<br>18515=>Åle (29)<br>6843=>Bjærggård (140)"
5,8.41666096,55.5895359,"18406 18453 18493","18406=>Alslev (41)<br>18406=>Hvisselbjærg (564)<br>18453=>Alslev (41)<br>18493=>Alslev (41)<br>18493=>Hvisselbjærg (564)"
4,10.84759727,56.37121286,"7027 18360 7026","7027=>Ålsø (42)<br>7027=>Katholm (3424)<br>18360=>Ålsø (42)<br>7026=>Katholm (3424)"
1,9.86580873,56.93137827,7086,"7086=>Andrup (50)"
8,9.74889991,56.8216214,"6844 7097 7030 7031 7032 6774 7091","6844=>Årestrup (54)<br>6844=>Torstedlund (2700)<br>7097=>Torstedlund (2700)<br>7030=>Torstedlund (2700)<br>7031=>Torstedlund (2700)<br>7032=>Torstedlund (2700)<br>6774=>Torstedlund (2700)<br>7091=>Torstedlund (2700)"
1,10.02216133,55.75891388,18402,"18402=>As (65)"
2,10.023887,55.746783,"18402 7083","18402=>Palsgård (904)<br>7083=>Palsgård (904)"
1,9.43281814,56.44333188,6845,"6845=>Asmild kloster (70)"
3,9.9843203,56.65025328,"6845 6846 6847","6845=>Mariager (768)<br>6846=>Mariager (768)<br>6847=>Mariager (768)"
6,9.83422482,57.36607902,"6845 6766 6839 6840 6841 6842","6845=>Børglum kloster (2320)<br>6766=>Børglum kloster (2320)<br>6839=>Børglum kloster (2320)<br>6840=>Børglum kloster (2320)<br>6841=>Børglum kloster (2320)<br>6842=>Børglum kloster (2320)"
3,10.09554613,57.47845447,"18506 7151","18506=>Astrup (83)<br>18506=>Bøgsted (4680)<br>7151=>Bøgsted (4680)"
4,10.09111504,57.54013728,"18506 7142 7143 7144","18506=>Odden (2251)<br>7142=>Odden (2251)<br>7143=>Odden (2251)<br>7144=>Odden (2251)"
8,10.02870892,57.55574435,"18506 7142 7143 7144 7145 18305 18427 18456","18506=>Asdal (2254)<br>7142=>Asdal (2254)<br>7143=>Asdal (2254)<br>7144=>Asdal (2254)<br>7145=>Asdal (2254)<br>18305=>Asdal (2254)<br>18427=>Asdal (2254)<br>18456=>Asdal (2254)"
3,9.06787969,56.69700668,"7111 6848 6849","7111=>Astrup (85)<br>6848=>Eskjær (285)<br>6849=>Eskjær (285)"
8,9.74794645,57.16692875,"6962 6965 6966 7147 6909 7038","6962=>Åstrup (93)<br>6965=>Ry å (980)<br>6965=>Rævkjærgård (2632)<br>6966=>Ry å (980)<br>6966=>Rævkjærgård (2632)<br>7147=>Birkelse (4667)<br>6909=>Birkelse (4667)<br>7038=>Birkelse (4667)"
1,8.58734506,56.4491865,18405,"18405=>Avsumgård (110)"
1,9.90594911,55.480346,6730,"6730=>Båring (115)"
7,10.19922035,57.5422646,"18502 18503 18504 18505","18502=>Bindslev (127)<br>18502=>Stensbæk (1128)<br>18503=>Bindslev (127)<br>18503=>Stensbæk (1128)<br>18504=>Bindslev (127)<br>18504=>Stensbæk (1128)<br>18505=>Bindslev (127)"
2,9.25829724,56.85728982,"6737 6940","6737=>Bjørnsholm (146)<br>6940=>Bjørnsholm (146)"
2,9.30317806,56.47897071,"6937 7005","6937=>Boller (154)<br>7005=>Boller (154)"
2,9.19668307,56.44299631,"6937 6901","6937=>Rosborggård (3011)<br>6901=>Rosborggård (3011)"
5,9.27580365,56.53917503,"7005 18450 7004 7006","7005=>Tårupgård (1175)<br>18450=>Tårup (1174)<br>18450=>Tårupgård (1175)<br>7004=>Tårupgård (1175)<br>7006=>Tårupgård (1175)"
3,10.11557169,57.38471485,"6943 18395","6943=>Boller (156)<br>18395=>Boller (156)<br>18395=>Tårs (1166)"
1,8.75039165,56.40578678,18423,"18423=>Borbjærg (160)"
1,8.29581513,56.81791974,6941,"6941=>Borg (162)"
2,9.98880571,56.50431637,"6917 6919","6917=>Borup (174)<br>6919=>Borup (174)"
5,10.0483414,56.4586074,"6917 6919 6918 6920 6921","6917=>Dronningborg (239)<br>6919=>Dronningborg (239)<br>6918=>Dronningborg (239)<br>6920=>Dronningborg (239)<br>6921=>Dronningborg (239)"
2,8.50307568,56.11106335,"6731 7128","6731=>Brejning (196)<br>7128=>Brejninggård (4158)"
1,9.88704892,56.98163851,18457,"18457=>Dal (212)"
1,9.8965714,56.95132156,18457,"18457=>Ferslev (302)"
1,10.20254944,57.06995981,18457,"18457=>Povlstrup (2650)"
1,9.50583515,55.46759288,18496,"18496=>Dalby (215)"
1,11.98343325,55.66905184,18496,"18496=>Hersnab (1424)"
2,10.64791633,55.49989519,"18496 18455","18496=>Mesinge (1938)<br>18455=>Mesinge (1938)"
1,9.94002992,56.07238255,18496,"18496=>Mesingborg (3583)"
2,10.70248201,56.22370281,"6735 6953","6735=>Dråby (234)<br>6953=>Lyngsbækgård (3447)"
2,10.68640214,56.30044853,"6735 6769","6735=>Høgholm (3434)<br>6769=>Nøruplund (3435)"
