freq,longitude,latitude,story_ids,story_place
1,9.74794645,57.16692875,7196,"7196=>Åby (3)"
1,9.25655365,56.99777043,7382,"7382=>Aggersborg (15)"
1,8.63217387,55.46388899,7422,"7422=>Allerup (33)"
1,8.41666096,55.5895359,18613,"18613=>Alslev (41)"
1,10.84759727,56.37121286,7176,"7176=>Ålsø (42)"
2,9.74889991,56.8216214,18691,"18691=>Årestrup (54)<br>18691=>Torstedlund (2700)"
2,10.02216133,55.75891388,"7214 7215","7214=>As (65)<br>7215=>As (65)"
1,9.97477036,56.76993809,18693,"18693=>Astrup (84)"
1,10.102057,56.034027,7266,"7266=>Astrup (87)"
2,9.98648017,56.03428143,"7266 18583","7266=>Fruering (3574)<br>18583=>Fruering (3574)"
6,8.82771692,55.57328956,"7259 7260 7261 18654 18655 18703","7259=>Åstrup (102)<br>7260=>Åstrup (102)<br>7261=>Åstrup (102)<br>18654=>Åstrup (102)<br>18655=>Åstrup (102)<br>18703=>Åstrup (102)"
4,8.40385203,56.80774672,"7389 18685 18686 18687","7389=>Bedsted (120)<br>18685=>Bedsted (120)<br>18686=>Bedsted (120)<br>18687=>Bedsted (120)"
3,10.37665808,56.33447364,"7155 7157 7349","7155=>Borup (175)<br>7157=>Borup (175)<br>7349=>Mørke (796)"
2,10.31667047,56.31261766,"7155 7157","7155=>Krejbjærg (674)<br>7157=>Krejbjærg (674)"
2,9.07150442,55.1232587,"18669 18670","18669=>Branderup (184)<br>18670=>Branderup (184)"
2,8.91775704,56.58922585,"7370 18562","7370=>Brøndum (202)<br>18562=>Brøndum (202)"
2,8.9892034,55.50158803,"18616 18617","18616=>Brørup (203)<br>18617=>Brørup (203)"
1,8.94704952,56.7403163,18564,"18564=>Durup (247)"
1,9.8965714,56.95132156,18556,"18556=>Ferslev (302)"
2,9.05474062,56.1479359,"7224 18607","7224=>Gjellerup (348)<br>18607=>Gjellerup (348)"
2,8.89755494,55.97740889,"7224 7225","7224=>Skarrild (4092)<br>7225=>Skarrild (4092)"
