freq,longitude,latitude,story_ids,story_place
1,9.4116545,55.04862654,14054,"14054=>Åbenrå (1)"
12,9.74794645,57.16692875,"356 439 1181 1229 14197 14376 14828 14849 37 206 14261 364","356=>Åby (3)<br>439=>Åby (3)<br>1181=>Åby (3)<br>1229=>Åby (3)<br>14197=>Åby (3)<br>14376=>Åby (3)<br>14828=>Åby (3)<br>14849=>Åby (3)<br>37=>Hoven (538)<br>206=>Tornegård (1209)<br>14261=>Tornegård (1209)<br>364=>Kjølvring (2627)"
2,9.94420384,57.27277164,"247 557","247=>Agedrup (9)<br>557=>Holte (2337)"
1,10.490978,55.43045,13954,"13954=>Agedrup (10)"
1,9.12743054,55.13081541,14183,"14183=>Agerskov (12)"
11,9.05474062,56.1479359,"14183 325 954 13993 14002 14175 14378 14381 14793 14853 352","14183=>Gjellerup (348)<br>325=>Gjellerup (348)<br>954=>Gjellerup (348)<br>13993=>Gjellerup (348)<br>14002=>Gjellerup (348)<br>14175=>Gjellerup (348)<br>14378=>Gjellerup (348)<br>14381=>Gjellerup (348)<br>14793=>Gjellerup (348)<br>14853=>Gjellerup (348)<br>352=>Bisse (4074)"
7,8.95811773,56.09047433,"14183 14761 14175 352 615 13949 14365","14183=>Kollund (4082)<br>14761=>Rind (948)<br>14175=>Kollund (4082)<br>352=>Gunderup (377)<br>615=>Rind (948)<br>13949=>Rind (948)<br>14365=>Rind (948)"
2,8.24072529,56.77887529,"13960 14079","13960=>Agger (14)<br>14079=>Agger Bakker, Mors (2522)"
1,8.6616859,55.07133637,13960,"13960=>Ballum (4461)"
5,9.25655365,56.99777043,"632 633 215 1003 1004","632=>Aggersborg (15)<br>633=>Aggersborg (15)<br>215=>Ullerup (1272)<br>1003=>Ullerup (1272)<br>1004=>Ullerup (1272)"
1,9.96556941,57.17978982,620,"620=>Ajstrup (16)"
3,10.14363148,56.67328465,"201 1180 14168","201=>Ajstrup (18)<br>1180=>Vindblæs (1313)<br>14168=>Vindblæs (1313)"
9,10.13208504,55.9094243,"959 960 961 962 963 964 966 969 14846","959=>Åkjær (20)<br>960=>Åkjær (20)<br>961=>Åkjær (20)<br>962=>Åkjær (20)<br>963=>Åkjær (20)<br>964=>Åkjær (20)<br>966=>Åkjær (20)<br>969=>Åkjær (20)<br>14846=>Åkjær (20)"
2,9.93314947,56.18447132,"960 898","960=>Sjelle skovgård (3519)<br>898=>Sjelle (3518)"
1,10.00654332,55.96649473,966,"966=>Vedslet bro (3713)"
2,10.31225829,57.2885669,"969 14643","969=>Dybvad (248)<br>14643=>Ovnstrup (4670)"
1,9.96726663,56.19891774,14846,"14846=>Skivholme (3523)"
8,8.73269709,56.59971085,"582 116 14109 14429 14649 14686 725 197","582=>Ålbæk (26)<br>116=>Lime (699)<br>14109=>Lime (699)<br>14429=>Lime (699)<br>14649=>Lime (699)<br>14686=>Lime (699)<br>725=>Øster-Hærup (2985)<br>197=>Vester-Hærup (2986)"
6,12.03507793,55.08196045,"157 493 198 669 757 1112","157=>Allerslev (31)<br>493=>Rækkende (1744)<br>198=>Tjørnehoved (1745)<br>669=>Tjørnehoved (1745)<br>757=>Tjørnehoved (1745)<br>1112=>Tjørnehoved (1745)"
6,9.73159609,56.11245692,"696 14664 1120 1135 1136","696=>Alling (35)<br>14664=>Alling (35)<br>14664=>Bomholt (3637)<br>1120=>Bomholt (3637)<br>1135=>Bomholt (3637)<br>1136=>Bomholt (3637)"
1,9.4886069,55.5670455,14053,"14053=>Almind (37)"
2,9.8414759,54.96362819,"491 772","491=>Als (39)<br>772=>Als (39)"
1,10.84759727,56.37121286,357,"357=>Ålsø (42)"
14,9.26398226,56.70269291,"53 221 695 1005 1037 1225 14641 1262 329 426 1012 336 435 436","53=>Alstrup (45)<br>221=>Alstrup (45)<br>695=>Alstrup (45)<br>1005=>Alstrup (45)<br>1037=>Alstrup (45)<br>1225=>Alstrup (45)<br>14641=>Alstrup (45)<br>1262=>Lodhøj (718)<br>329=>Alstrup lide (2825)<br>426=>Alstrup lide (2825)<br>1012=>Illeris (2828)<br>336=>Kaldal (4650)<br>435=>Kaldal (4650)<br>436=>Kaldal (4650)"
3,9.28273477,56.72716896,"1225 54 1154","1225=>Ullits (2818)<br>54=>Ullits (2818)<br>1154=>Ullits (2818)"
2,9.29617367,57.09917817,"1109 427","1109=>Andrup (49)<br>427=>Kollerup (657)"
4,8.86226781,56.65591926,"27 102 931 1113","27=>Andrup (51)<br>102=>Andrup (51)<br>931=>Andrup (51)<br>1113=>Andrup (51)"
