freq,longitude,latitude,story_ids,story_place
4,9.74794645,57.16692875,"15080 1780 1592 1621","15080=>Åby (3)<br>1780=>Hoven (538)<br>1592=>Nørre-Skovby (2630)<br>1621=>Rævhede (2631)"
1,9.8414759,54.96362819,1797,"1797=>Als (39)"
1,8.41666096,55.5895359,14992,"14992=>Alslev (41)"
1,10.02216133,55.75891388,15022,"15022=>As (65)"
2,10.0036492,55.80811982,"15022 15128","15022=>Jensgård (585)<br>15128=>Glud (3784)"
1,10.023887,55.746783,15022,"15022=>Palsgård (904)"
1,10.40685789,57.44038976,14995,"14995=>Åsted (81)"
7,9.97477036,56.76993809,"15027 15067 15073 15103","15027=>Astrup (84)<br>15067=>Astrup (84)<br>15067=>Madum Sø (2770)<br>15073=>Astrup (84)<br>15073=>Madum Sø (2770)<br>15103=>Astrup (84)<br>15103=>Villestrup (2771)"
1,9.9260865,56.73172154,15027,"15027=>Rostrup (973)"
1,11.826782,55.616268,15102,"15102=>Åstrup (104)"
1,10.46305793,55.39988592,16754,"16754=>Åsum (106)"
2,8.794384,56.265473,"1794 15039","1794=>Avlum (107)<br>15039=>Avlum (107)"
1,9.90594911,55.480346,1619,"1619=>Båring (115)"
1,8.40385203,56.80774672,15066,"15066=>Bedsted (120)"
1,8.74156409,54.9701922,15066,"15066=>Dalgårde (4451)"
2,10.19922035,57.5422646,14983,"14983=>Bindslev (127)<br>14983=>Stensbæk (1128)"
2,9.737277,55.892376,1667,"1667=>Bisgård (130)<br>1667=>Frodesdal (3736)"
1,10.68640214,56.30044853,1724,"1724=>Bjørnsholm (147)"
1,10.36660623,55.36615198,1670,"1670=>Dalum (222)"
1,10.28792117,57.15748006,15009,"15009=>Dronninglund (242)"
4,10.20345653,56.2106994,"1736 15007 15063","1736=>Egå (251)<br>15007=>Egå (251)<br>15063=>Egå (251)<br>15063=>Lystrup (758)"
2,8.9961129,56.38726949,1652,"1652=>Egelund (258)<br>1652=>Fårbæk (4052)"
1,10.52581584,55.05569058,15059,"15059=>Egense (262)"
3,9.91113631,57.34394957,"15089 15123","15089=>Em (276)<br>15089=>Vollerup (1330)<br>15123=>Em (276)"
3,9.96556941,57.17978982,"1648 1717","1648=>Gammel-Vrå (331)<br>1648=>Tylstrup (2639)<br>1717=>Tylstrup (2639)"
1,10.08609309,56.38771491,1679,"1679=>Ginderup (345)"
2,10.12774216,56.3615738,"1679 15024","1679=>Hallendrup (391)<br>15024=>Rude (975)"
1,10.106821,56.370765,15024,"15024=>Ginderup (346)"
1,9.05474062,56.1479359,1664,"1664=>Gjellerup (348)"
1,8.95267034,56.14219771,1664,"1664=>Herningsholm (4628)"
1,8.80146899,55.46951931,1734,"1734=>Gjørding (357)"
2,9.21079873,57.05402951,"1719 1768","1719=>Gjøtrup (360)<br>1768=>Gjøtrup (360)"
1,8.46526917,56.51842152,16757,"16757=>Gudum (371)"
2,12.14493103,55.4144014,1738,"1738=>Gunderup (374)<br>1738=>Herfølge (1691)"
3,10.11196406,56.55608744,"1788 1789 1791","1788=>Hald (386)<br>1789=>Hald (386)<br>1791=>Hald (386)"
5,10.20747169,56.52201467,"1788 1789 1791 1790","1788=>Mellerup (3304)<br>1789=>Mellerup (3304)<br>1789=>Sædov (3306)<br>1791=>Sædov (3306)<br>1790=>Sædov (3306)"
2,10.17376224,56.5442071,"1789 1790","1789=>Tvede (3294)<br>1790=>Skalmstrup (3293)"
4,10.01192636,57.15092785,"14980 15071 15075","14980=>Hammer (395)<br>15071=>Hammer (395)<br>15075=>Hammer (395)<br>15075=>Hammer bakker (396)"
2,8.92627143,55.75784153,"15071 1762","15071=>Grindsted (366)<br>1762=>Lundenæs (4281)"
1,10.09670998,55.5001816,14999,"14999=>Hårslev (408)"
3,8.34457455,56.7011139,"15026 15033 15088","15026=>Helligsø (437)<br>15033=>Helligsø (437)<br>15088=>Helligsø (437)"
1,11.48122466,55.27209893,15088,"15088=>Harsyssel (1666)"
2,10.16486773,57.26998552,"15019 15062","15019=>Hellum (439)<br>15062=>Hellum (439)"
1,11.98343325,55.66905184,1740,"1740=>Herslev (449)"
1,9.2363639,56.69459991,1765,"1765=>Hessel (452)"
1,8.34991012,56.3910552,1654,"1654=>Holmgård (502)"
2,8.31181859,56.45083072,1654,"1654=>Flyndergård (3972)<br>1654=>Bækmark (4639)"
1,10.03609583,56.08668184,15127,"15127=>Hørning (518)"
1,9.86197942,55.85797729,1608,"1608=>Horsens (525)"
1,10.0522261,55.91537141,15057,"15057=>Hundslund (548)"
1,8.93061343,56.56627032,1700,"1700=>Hvidbjærg (558)"
1,9.03275937,56.56919621,1700,"1700=>Skive hus (2891)"
1,9.96726663,56.19891774,1700,"1700=>Skivholme (3523)"
2,9.91719629,55.46591138,"15032 15079","15032=>Indslev (575)<br>15079=>Indslev (575)"
2,9.54601738,55.7627968,"15079 15114","15079=>Gremerlykkegård (3804)<br>15114=>Grejs (3803)"
1,9.71411564,57.31273827,15119,"15119=>Ingstrup (576)"
2,11.06625641,55.69549401,1639,"1639=>Kallerup (589)<br>1639=>Vollerup (1328)"
1,10.40375545,57.36109528,15112,"15112=>Karup (600)"
2,8.73269709,56.59971085,15113,"15113=>Kås (603)<br>15113=>Lime (699)"
2,9.21998851,56.79001184,1769,"1769=>Kjærsgård (628)<br>1769=>Strandbygårde (2839)"
1,9.25849993,57.0671638,1683,"1683=>Kjeldgård (629)"
1,9.35531249,57.13535335,1683,"1683=>Kjøldrup (2430)"
2,10.1191493,55.26116322,"1631 1695","1631=>Kjøng (637)<br>1695=>Kjøng (637)"
1,9.90560469,56.08546193,1631,"1631=>Fistrup (2017)"
1,9.4850338,57.07415465,1767,"1767=>Kokkedal (654)"
12,10.55570458,55.7971772,"1625 1735 1741 1745 1756 14981 15065 15068 15104 15131 1630 1754","1625=>Kolby (655)<br>1735=>Kolby (655)<br>1741=>Kolby (655)<br>1745=>Kolby (655)<br>1756=>Kolby (655)<br>14981=>Kolby (655)<br>15065=>Kolby (655)<br>15068=>Kolby (655)<br>15104=>Kolby (655)<br>15131=>Kolby (655)<br>1630=>Hårmark (1567)<br>1754=>Krogsgården (1569)"
3,10.59139922,55.83257606,"1741 1710 15092","1741=>Tranbjærg (1242)<br>1710=>Ørby (4612)<br>15092=>Ørby (4612)"
11,10.57176875,55.84903122,"1741 1657 15037 1748 15051 15087 15100 1787","1741=>Onsbjærg (1576)<br>1657=>Tanderup (1156)<br>1657=>Onsbjærg (1576)<br>15037=>Tanderup (1156)<br>15037=>Onsbjærg (1576)<br>1748=>Onsbjærg (1576)<br>15051=>Onsbjærg (1576)<br>15087=>Onsbjærg (1576)<br>15087=>Vadstrup (1582)<br>15100=>Onsbjærg (1576)<br>1787=>Vadstrup (1582)"
2,9.29617367,57.09917817,"1615 1755","1615=>Kollerup (657)<br>1755=>Kollerup (657)"
1,8.86226781,56.65591926,1662,"1662=>Krejbjærg (673)"
1,9.519653,54.948097,15025,"15025=>Ladegård (677)"
2,9.49674939,54.93188828,"15025 1655","15025=>Kværs (4526)<br>1655=>Søderup (4527)"
2,9.40184802,54.93671437,"15025 1655","15025=>Pugholm (4555)<br>1655=>Pugholm (4555)"
1,9.89037661,56.38825081,1795,"1795=>Langå (679)"
3,9.76257845,56.36791677,1795,"1795=>Aldrup (3226)<br>1795=>Hvorslev (3227)<br>1795=>Kovdal (3229)"
4,8.61786553,55.80774922,"1751 1672 16740 16762","1751=>Lindbjærggård (706)<br>1672=>Ølgod (4255)<br>16740=>Ølgod (4255)<br>16762=>Ølgod (4255)"
1,11.816826,55.773001,16741,"16741=>Lindholm (714)"
2,8.4446389,55.90317791,15052,"15052=>Lønborggård (719)<br>15052=>Lønborg (4188)"
3,10.39599158,55.3017613,"1804 1617 1610","1804=>Lundby (725)<br>1617=>Dømmestrup (1917)<br>1610=>Lyndelse (1918)"
3,9.71390405,57.06848707,"1686 1716","1686=>Lykkegård (742)<br>1686=>Birkumgård (2383)<br>1716=>Birkumgård (2383)"
2,9.4181296,56.80367274,"1764 1782","1764=>Mølgård (787)<br>1782=>Mølgård (787)"
2,9.68866011,56.1539,"1602 1801","1602=>Mollerup (791)<br>1801=>Mollerup (791)"
3,10.37665808,56.33447364,"1783 14982 1806","1783=>Mørke (796)<br>14982=>Mørke (796)<br>1806=>Ommestrup (3467)"
1,9.70370454,55.63840667,1649,"1649=>Nebbegård (809)"
1,9.40066468,55.65757088,1649,"1649=>Ødstedgård (3890)"
1,9.61684353,56.71861431,1722,"1722=>Nørager (819)"
3,9.58869625,57.06335248,"1616 1693 15018","1616=>Øland (851)<br>1693=>Øland (851)<br>15018=>Øland (851)"
1,10.48898813,55.30994566,1681,"1681=>Ore (860)"
1,10.28463828,55.57287797,1681,"1681=>Nærå (1956)"
1,8.66720039,56.77254886,1622,"1622=>Ovtrup (901)"
3,10.30975213,57.61903603,"1646 15118","1646=>Råbjærg (916)<br>1646=>Bunken (2187)<br>15118=>Råbjærg (916)"
1,10.94768309,55.73466966,1629,"1629=>Refsnæs (933)"
2,10.762739,55.352476,"16734 16735","16734=>Rejstrup (936)<br>16735=>Rejstrup (936)"
3,10.70372579,55.36192302,"16734 16735 15036","16734=>Avnslev (2130)<br>16735=>Avnslev (2130)<br>15036=>Avnslev (2130)"
3,8.5265426,56.49479876,"16758 16761","16758=>Resen (940)<br>16761=>Resen (940)<br>16761=>Resen Mose (3983)"
1,8.95811773,56.09047433,16755,"16755=>Rind (948)"
5,8.810434,56.6441,"1663 1770 1706 1777","1663=>Rødding (958)<br>1663=>Spøtrup (2968)<br>1770=>Rødding (958)<br>1706=>Hesthave (2966)<br>1777=>Hesthave (2966)"
4,8.73672367,56.81203718,"1770 1778 1785 15054","1770=>Mors (2550)<br>1778=>Mors (2550)<br>1785=>Mors (2550)<br>15054=>Mors (2550)"
2,10.35363066,57.42561052,"14993 15125","14993=>Skjærum (1055)<br>15125=>Skjærum (1055)"
1,8.63217387,55.46388899,1669,"1669=>Sneumgård (1089)"
2,8.7041957,56.84934584,16736,"16736=>Solbjærg (1097)<br>16736=>Jølbygård (2593)"
2,9.57362711,56.53268589,"1699 1659","1699=>Sønderup (1111)<br>1659=>Fastruplund (3094)"
1,8.80735008,55.64839629,16768,"16768=>Starup (1119)"
2,9.86429637,57.32061766,"1775 15090","1775=>Stenbjærggård (1125)<br>15090=>Stenbjærggård (1125)"
4,9.83422482,57.36607902,"1775 1772 15124","1775=>Skrolles hede (2322)<br>1775=>Hjortnæs (4673)<br>1772=>Skrolles hede (2322)<br>15124=>Hjortnæs (4673)"
2,10.67239199,55.53421698,15061,"15061=>Stubberup (1141)<br>15061=>Martofte (4594)"
2,10.71589465,55.24233713,1665,"1665=>Tårup (1170)<br>1665=>Langeble (2138)"
1,9.90701839,57.30294273,15134,"15134=>Tolstrup (1200)"
1,10.10652524,57.56519257,15134,"15134=>Uggerby (2252)"
1,9.33453634,56.97674443,1813,"1813=>Tolstrup (1201)"
1,11.15514541,55.6801489,1704,"1704=>Tømmerby (1204)"
1,8.41669644,56.20216079,1656,"1656=>Torsted (1225)"
5,8.2861537,56.1439275,"1656 1798 15056 1628","1656=>He (4130)<br>1798=>He (4130)<br>1798=>Hindø i Stadil fjord (4131)<br>15056=>He (4130)<br>1628=>Hindø i Stadil fjord (4131)"
1,9.85225898,55.43914396,1688,"1688=>Udby (1268)"
3,9.19196978,55.87934678,"16769 16770 16771","16769=>Ullerup (1273)<br>16770=>Ullerup (1273)<br>16771=>Ullerup (1273)"
1,9.95603185,57.16277574,1599,"1599=>Vang (1287)"
2,9.46847879,56.98422923,1682,"1682=>Vår (1292)<br>1682=>Krastrup (2874)"
2,9.82346994,55.50641302,"1732 1803","1732=>Vejlby (1297)<br>1803=>Vejlby (1297)"
1,9.49686839,56.41942697,1786,"1786=>Vinkel (1320)"
1,9.48690535,56.43894474,1786,"1786=>Tapdrup (3073)"
1,11.7649764,55.57309263,1809,"1809=>Sønderstrup (1477)"
1,11.59056834,55.53920625,1612,"1612=>Stenlille (1487)"
1,11.30667568,55.54653956,1596,"1596=>Frendved (1505)"
1,11.38081372,55.47713842,15015,"15015=>Ørslev (1509)"
1,11.95792563,54.7421868,15015,"15015=>Idestrup (1850)"
1,11.21079755,55.47116625,1746,"1746=>Drøsselbjærg (1519)"
2,11.31006328,55.68657399,"15042 16751","15042=>Bregnør (1541)<br>16751=>Bregnør (1541)"
2,10.60946083,55.46615784,"15042 16751","15042=>Drigstrup (1922)<br>16751=>Drigstrup (1922)"
1,11.21334063,55.65521253,1714,"1714=>Værslev (1552)"
1,10.64140852,55.86326329,1604,"1604=>Besser (1583)"
1,11.94294401,55.29796577,16749,"16749=>Bradepandes Toft, Viborg (1630)"
1,9.37836463,56.45780394,16749,"16749=>Viborg (2887)"
1,11.4636582,55.42962554,14991,"14991=>Kindstrup (1640)"
1,11.25718547,55.36278196,1620,"1620=>Vemmelev (1649)"
2,11.29055466,55.34548624,1685,"1685=>Hemmershøj (1651)<br>1685=>Stude (1652)"
1,11.27076891,55.30099507,1618,"1618=>Boslunde (1653)"
1,11.34728641,55.28568455,1757,"1757=>Egitslevmagle (1662)"
1,11.32005579,55.23330818,1728,"1728=>Sevedø (1671)"
1,11.65556372,55.19109303,15133,"15133=>Karrebæksminde (1680)"
2,12.23538072,55.39970485,16750,"16750=>Vallø (1695)<br>16750=>Valløby (1696)"
3,11.75351597,55.17756856,"15008 1742 1760","15008=>Vejlø (1730)<br>1742=>Gavnø (4563)<br>1760=>Gavnø (4563)"
4,12.05718997,55.04785158,"1696 16764 1691 1692","1696=>Mern (1750)<br>16764=>Mern (1750)<br>1691=>Sandvig (1752)<br>1692=>Sandvig (1752)"
